"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11356561684223,6.61264442794243e-06,1.65541599252367e-09,7.29041636360219e-11,8.44605352062743e-13,2.67107708664563e-15,2.44545900168825e-18,8.33920138817727e-22,2.21494943243001e-25,4.41067280049176e-29,3.83977174085663e-33,1.43842586458287e-37,2.8584893207295e-42,3.39965492778746e-47,2.15828175885891e-52,6.77748435058162e-58,1.10135479018398e-63,9.68275845008718e-70,4.52390128670399e-76,1.09913896029963e-82,1.39918290545474e-89,9.41918018027948e-97,3.34238151491177e-104,6.23066732248761e-112,6.11110533021329e-120,3.15714125176824e-128,8.58638595429965e-137,1.22911501137405e-145,9.26341722895788e-155,3.67615937813603e-164,7.68198246618771e-174,8.45387177440902e-184,4.9000157835414e-194,1.49607553422028e-204,2.40650947161067e-215,2.03973650334932e-226,9.11167470017431e-238,2.14565075842385e-249,2.66423795757055e-261,1.74493178716573e-273,6.03034039989965e-286,1.10018674334222e-298,1.06023711769196e-311,0,0,0,0,0,0,0
"2",6.61280960028415e-06,4.61453449264982e-10,2.32770012053839e-13,2.06556740292396e-14,4.82178703648939e-16,3.07261236815242e-18,5.6682486783491e-21,3.89475485931538e-24,2.08442675108469e-27,8.36363017052654e-31,1.46710954917847e-34,1.10741850428659e-38,4.43433013515583e-43,1.06265782174578e-47,1.35935817277375e-52,8.60124745803973e-58,2.8163545086912e-63,4.9891473457734e-69,4.69685884916279e-75,2.29939799260826e-81,5.89797860495198e-88,8.00034956943539e-95,5.72030303600278e-102,2.14864533886764e-109,4.24636281508753e-117,4.42036873380482e-125,2.42237875051362e-133,6.98700930565407e-142,1.06105325219562e-150,8.48452324642682e-160,3.57251104684164e-169,7.9217855552585e-179,9.25192409499662e-189,5.69187376394543e-199,1.84483050286714e-209,3.15072225226806e-220,2.83596858120579e-231,1.34564158493289e-242,3.3667474003117e-254,4.44306976790827e-266,3.0939526514127e-278,1.13737950860516e-290,2.20855974922405e-303,2.26688123527638e-316,0,0,0,0,0,0
"3",1.50286682334996e-09,1.52779450174575e-10,1.55285616962245e-13,2.77658345041416e-14,1.30601011672293e-15,1.67692425785848e-17,6.23335304008236e-20,8.63018516644005e-23,9.30665855886646e-26,7.52435227178316e-29,2.65952452691204e-32,4.04501734956166e-36,3.26365161140601e-40,1.57592799035332e-44,4.06203803144302e-49,5.17891379128978e-54,3.41689565591838e-59,1.21965747782184e-64,2.31358903910825e-70,2.28223317330579e-76,1.17954962079412e-82,3.22395627286606e-89,4.64479308786784e-96,3.51543626097805e-103,1.3999055884555e-110,2.93634651016057e-118,3.24233594187968e-126,1.88440583671071e-134,5.76617019011526e-143,9.29062383194982e-152,7.88239454817272e-161,3.52188221505901e-170,8.28802330099754e-180,1.0274041569601e-189,6.7098017161938e-200,2.30903487530999e-210,4.18782903917865e-221,4.00390795875583e-232,2.018516833947e-243,5.3675009718279e-255,7.53129776554039e-267,5.5786448207348e-279,2.18272801083768e-291,4.51425822562297e-304,4.9386263426737e-317,0,0,0,0,0
"4",6.05286203161956e-11,1.23985922276813e-11,2.53925211399249e-14,9.14855447047302e-15,8.67072565544425e-16,2.24331111362206e-17,1.68021532777952e-19,4.6873835109586e-22,1.01852410466535e-24,1.65925756856685e-27,1.18172342323338e-30,3.62159089264112e-34,5.88775798010225e-38,5.72861562399002e-42,2.97525679582503e-46,7.6433950903049e-51,1.01612351195013e-55,7.30835817272105e-61,2.79341406370258e-66,5.55234275044685e-72,5.78228676095585e-78,3.18448868361879e-84,9.24451424524562e-91,1.40982143245568e-97,1.13122966231395e-104,4.78108536448058e-112,1.0637617273821e-119,1.24574154375239e-127,7.68082942193993e-136,2.49363391881165e-144,4.26297854025244e-153,3.83792921997616e-162,1.81986953008278e-171,4.54566854830996e-181,5.98181930477592e-191,4.14783290684707e-201,1.51581730566076e-211,2.92017688544377e-222,2.96636512037005e-233,1.58939381483101e-244,4.49362019030417e-256,6.70690897100359e-268,5.28762294623004e-280,2.20350688353688e-292,4.85737131277635e-305,5.66512961819178e-318,0,0,0,0
"5",5.9851597802251e-13,2.47032735564827e-13,1.01942460147713e-15,7.40063392580072e-16,1.41331525259996e-16,7.36784134174748e-18,1.11194384764481e-19,6.25051150072396e-22,2.73667697886208e-24,8.98324390191946e-27,1.28914682836696e-29,7.96073352265151e-33,2.60777911980349e-36,5.11255147522396e-40,5.35031834069551e-44,2.76954631916141e-48,7.41883959329202e-53,1.07516832296102e-57,8.28054857433155e-63,3.31640237942841e-68,6.95917460348187e-74,7.72262548127047e-80,4.51727485778802e-86,1.38810936934219e-92,2.24428247443556e-99,1.91126271782385e-106,8.56851197432296e-114,2.02188360867225e-121,2.51190656275877e-129,1.64321811359926e-137,5.66034392657821e-146,1.02681875227154e-154,9.81079589328495e-164,4.93774785622257e-173,1.30927715520998e-182,1.829307477557e-192,1.34703684348402e-202,5.22888305871701e-213,1.07026551612271e-223,1.15548843232243e-234,6.58260207469547e-246,1.97966091478832e-257,3.14482173223161e-269,2.64068818066582e-281,1.17292750432043e-293,2.75642993009718e-306,3.41888486265684e-319,0,0,0
"6",1.47256470371118e-15,1.22467344781272e-15,1.01832888108392e-17,1.48959782633868e-17,5.73200169590796e-18,6.02108400151171e-19,1.8309835134532e-20,2.07388319686284e-22,1.82961381043925e-24,1.21014173445618e-26,3.49923080268652e-29,4.35402027903273e-32,2.87392427786046e-35,1.1352966800355e-38,2.39396862248686e-42,2.49697745027048e-46,1.34774933177481e-50,3.9356526454305e-55,6.10754346729693e-60,4.92880722180772e-65,2.08400858479907e-70,4.65987107323223e-76,5.49227912337403e-82,3.40068907538506e-88,1.10786773758666e-94,1.90106927236188e-101,1.71731561403708e-108,8.16522240779701e-116,2.04400759177637e-123,2.69427172961061e-131,1.87006265400646e-139,6.83556291977394e-148,1.31598788486139e-156,1.3345772467694e-165,7.13039442599311e-175,2.00740882971216e-184,2.97848729289277e-194,2.32965903430405e-204,9.60820195938321e-215,2.09017836989874e-225,2.39928868582711e-236,1.45392789536012e-247,4.6538807306966e-259,7.87414658380115e-271,7.04733149729959e-283,3.3370878820791e-295,8.34012684610613e-308,1.08743848649658e-320,0,0
"7",1.18145261945479e-18,1.97983675091095e-18,3.31714378878017e-20,9.77715325763928e-20,7.58083178224569e-20,1.60454681364453e-20,9.83171536040559e-22,2.24386287096761e-23,3.98876642891308e-25,5.31597061526197e-27,3.09732000927882e-29,7.76552985293572e-32,1.03281639646567e-34,8.22099392508803e-38,3.49301595966856e-41,7.34114653611263e-45,7.9840924029875e-49,4.6978629966882e-53,1.46898482425714e-57,2.38868967020114e-62,2.0350944019159e-67,9.16908742581022e-73,2.17756922292499e-78,2.71677362397208e-84,1.78337058045944e-90,6.1662166770383e-97,1.12237533577792e-103,1.07528396939636e-110,5.42381432400497e-118,1.44055836957739e-125,2.0147111026631e-133,1.48387755024391e-141,5.75629214062223e-150,1.17625588350898e-158,1.26630640374939e-167,7.18336998768071e-177,2.14760948816915e-186,3.38469143163585e-196,2.81278151193699e-206,1.2329469241571e-216,2.85174504125215e-227,3.4820757508711e-238,2.24583451164899e-249,7.65655055141707e-261,1.38077055218755e-272,1.31744233846836e-284,6.63443257622627e-297,1.74299990762656e-309,2.27270197086973e-322,0
"8",4.90504445722729e-21,1.65623964769983e-20,5.59146034404848e-22,3.32078326112251e-21,5.18814523272754e-21,2.2126606587713e-21,2.73186274174397e-22,1.25629909640104e-23,4.49989621771688e-25,1.2084080785025e-26,1.41867946711565e-28,7.16698433480695e-31,1.9206827778803e-33,3.08051978328699e-36,2.63734777206584e-39,1.11685779919673e-42,2.4475225365746e-46,2.90180783419876e-50,1.82832234639032e-54,5.99048998294699e-59,1.02838167946766e-63,9.33604726688848e-69,4.46761823104373e-74,1.12311620518843e-79,1.48552510634787e-85,1.03496183756323e-91,3.79586559026831e-98,7.32762168662989e-105,7.44752274750289e-112,3.98570398954965e-119,1.12319230058057e-126,1.6668885332188e-134,1.30292218287074e-142,5.36468982041349e-151,1.16372072192839e-159,1.33016451244101e-168,8.01308209013269e-178,2.54466441452799e-187,4.26102998177104e-197,3.76348447941193e-207,1.75397581019196e-217,4.31537236304178e-228,5.60821906080285e-239,3.85254330075387e-250,1.39991944938092e-261,2.69141274056435e-273,2.73098697742164e-285,1.44570727060257e-297,3.84201917905532e-310,4.44659081257122e-323
"9",4.7545093585265e-23,3.23484213986829e-22,2.2005048039419e-23,2.63332680430432e-22,8.28978963873237e-22,7.1238268650282e-22,1.77224832101763e-22,1.64219945076361e-23,1.18522965564877e-24,6.41328866896248e-26,1.51711536993719e-27,1.5443222795726e-29,8.3391979054018e-32,2.69500637751112e-34,4.64911568759369e-37,3.96705288069851e-40,1.75171707952547e-43,4.18478423083376e-47,5.31281074631584e-51,3.50752747201471e-55,1.21327772056596e-59,2.21940259786684e-64,2.14001225010978e-69,1.08400692136728e-74,2.88904638206726e-80,4.05570175856398e-86,2.99722714605598e-92,1.16584020285505e-98,2.38756378705997e-105,2.57463306728535e-112,1.46194682298641e-119,4.37170827589937e-127,6.88541703405075e-135,5.7124649018652e-143,2.49686379708562e-151,5.75067201193782e-160,6.98039485761179e-169,4.4666103833791e-178,1.50705569105391e-187,2.68208166518636e-197,2.51867785738101e-207,1.24863198933279e-217,3.26970300948476e-228,4.52582777363287e-239,3.31375730815705e-250,1.28370464240784e-261,2.62465118327867e-273,2.79962257159122e-285,1.4991524757647e-297,3.65735523101952e-310
"10",2.23441797255024e-25,3.06322542479856e-24,4.19870482025433e-25,1.01242984513487e-23,6.42200805617413e-23,1.11200783857664e-22,5.57424718067648e-23,1.04076986387952e-23,1.51355592326423e-24,1.65022783273368e-25,7.86590838999035e-27,1.61337517247431e-28,1.75545163991644e-30,1.14311926263425e-32,3.97346375368417e-35,6.83178277207663e-38,6.07851062580835e-41,2.92599407892335e-44,7.48500120811896e-48,9.95716644684034e-52,6.9400414625197e-56,2.55802679351889e-60,4.96995452641529e-65,5.07265548252284e-70,2.72411215008177e-75,7.70554989119643e-81,1.14742534781653e-86,8.99313196746124e-93,3.7110266980505e-99,8.06346295489532e-106,9.22582016276017e-113,5.55893683562142e-120,1.76416000413393e-127,2.94916060245366e-135,2.59738834782706e-143,1.20539057279233e-151,2.94819590552747e-160,3.80120749256364e-169,2.58428236169039e-178,9.26722731784709e-188,1.75354776255064e-197,1.7516469983163e-207,9.24246034158669e-218,2.5777718015414e-228,3.80306983669824e-239,2.96856026807362e-250,1.22298043420268e-261,2.6285398059737e-273,2.83614241532096e-285,1.39417255678243e-297
