"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11357884621175,2.51827197410669e-12,1.66875085380231e-22,5.64245691132932e-23,9.81574646900651e-24,8.81773232784009e-25,4.10442164310625e-26,9.9253509297402e-28,1.24858460599017e-29,8.16900674477483e-32,2.77487605575159e-34,4.87958076900571e-37,4.42648138284646e-40,2.06434009444572e-43,4.94565468597253e-47,6.27592609066341e-51,6.13384956974322e-55,1.41953075237289e-58,4.26711152410492e-62,8.34511388275823e-66,9.85828532854252e-70,7.00802958713539e-74,3.00325427007266e-78,7.83782121212044e-83,1.30433576609753e-87,1.64130085750746e-92,2.13981001953984e-97,2.90754684137629e-102,3.0660998572994e-107,2.15774546829474e-112,9.83668343130005e-118,2.9543624041578e-123,6.20900259813723e-129,1.02410103671852e-134,1.46494885146912e-140,1.75680542537425e-146,1.58484785908474e-152,1.00996503039976e-158,4.54783412028666e-165,1.50954294747631e-171,3.88456984962194e-178,7.84263439896449e-185,1.19621017906523e-191,1.31261635873155e-198,1.00702507015886e-205,5.38122205316478e-213,2.03218196671856e-220,5.54518331431384e-228,1.10951196352255e-235,1.61948807723082e-243
"2",2.51827197414324e-12,2.63232864346986e-23,2.44749732593491e-33,1.16116042081588e-33,2.83426564802543e-34,3.57246003911771e-35,2.33321997138406e-36,7.91667533741771e-38,1.39735961566005e-39,1.2827815769465e-41,6.11392767082033e-44,1.50852484045477e-46,1.92009114465666e-49,1.25642826586792e-52,4.22350962401898e-56,7.52005066202601e-60,1.03126271118124e-63,3.3486846157045e-67,1.41239666331494e-70,3.87568261418302e-74,6.42407449700416e-78,6.40764376915251e-82,3.85290041079052e-86,1.41086116940594e-90,3.29436396689814e-95,5.8165252807103e-100,1.06400553736473e-104,2.02856365076547e-109,3.00152152273609e-114,2.96379818587348e-119,1.89579056443529e-124,7.98911510256967e-130,2.35586282719679e-135,5.45210500475587e-141,1.09430180386733e-146,1.8413297297005e-152,2.33071261368641e-158,2.08401448680033e-164,1.31671644665694e-170,6.13234197762847e-177,2.21420116599272e-183,6.27233662036554e-190,1.34235730120965e-196,2.06676784354601e-203,2.22478175197836e-210,1.66809696524863e-217,8.83885928278882e-225,3.38409683842303e-232,9.50062358480167e-240,1.94576830598522e-247
"3",1.43496209973212e-22,2.33788754092491e-23,3.04999397001318e-33,2.03030940594898e-33,6.95350551338571e-34,1.22976995266519e-34,1.12695203196602e-35,5.36519891972784e-37,1.32875352335956e-38,1.71152088547088e-40,1.14457177874378e-42,3.9624924761175e-45,7.07670475750022e-48,6.49740859071929e-51,3.06456767296902e-54,7.65613780961933e-58,1.47316549491749e-61,6.7119655405983e-65,3.97214781873542e-68,1.52936156479946e-71,3.55685190554673e-75,4.97790749208874e-79,4.19980855239871e-83,2.1578399956422e-87,7.0696804585472e-92,1.7513989030149e-96,4.49529905763408e-101,1.20253185067171e-105,2.49656373956457e-110,3.45894034716695e-115,3.10440267897128e-120,1.83560663221401e-125,7.59493720083962e-131,2.4662190436394e-136,6.94540856554768e-142,1.63977966423304e-147,2.91229862571521e-153,3.65376961688868e-159,3.23911177206502e-165,2.11667064987455e-171,1.0723517007358e-177,4.26228784260199e-184,1.27989633252147e-190,2.76497754650741e-197,4.17619312943127e-204,4.39347036018258e-211,3.26644895792537e-218,1.75475175858108e-225,6.91223132057651e-233,1.98632598786681e-240
"4",4.59259027313902e-23,1.04986663830724e-23,1.92177591982781e-33,1.79497845834272e-33,8.62569436007528e-34,2.14046133624103e-34,2.75221392958817e-35,1.83846697909307e-36,6.38862920197506e-38,1.15461901129891e-39,1.08340985606557e-41,5.26273433307942e-44,1.31876472314962e-46,1.69890725237924e-49,1.12432522843839e-52,3.94117509367908e-56,1.06404690628964e-59,6.80224392069121e-63,5.64834392285675e-66,3.05140005739269e-69,9.95744713628172e-73,1.95534004952367e-76,2.31471867466977e-80,1.66871130481039e-84,7.67105332979305e-89,2.66645057764938e-93,9.60285347278276e-98,3.60438811294119e-102,1.04995543723596e-106,2.04110115489715e-111,2.57035289435215e-116,2.13249278221397e-121,1.23801351771358e-126,5.64061027545868e-132,2.22887387256578e-137,7.38357072104332e-143,1.83996726207319e-148,3.23898247637716e-154,4.02890122924347e-160,3.69408787032313e-166,2.62593774963943e-172,1.46447918959724e-178,6.17033114044324e-185,1.87033126530424e-191,3.96369973109449e-198,5.85087906148598e-205,6.10355053072494e-212,4.6006119405721e-219,2.54279545948598e-226,1.02526689867953e-233
"5",7.43193633372676e-24,2.38381013568217e-24,6.12256665297123e-34,8.02385853363153e-34,5.41017527643207e-34,1.88372675061348e-34,3.39848966922743e-35,3.1853183766391e-36,1.55309472020306e-37,3.93842167463834e-39,5.18524807238278e-41,3.5341212988131e-43,1.24259777997809e-45,2.24608491012444e-48,2.08565131407916e-51,1.02581424348028e-54,3.88594828380284e-58,3.48563326872719e-61,4.06110175524174e-64,3.0783297285941e-67,1.40947456666636e-70,3.88351312798191e-74,6.45050840092385e-78,6.52484479401152e-82,4.20859589513084e-86,2.05262215195211e-90,1.0372155590791e-94,5.4625260023885e-99,2.23267794958391e-103,6.0899397008284e-108,1.07605498887663e-112,1.25262919477656e-117,1.02036039695546e-122,6.52300256572013e-128,3.6165976538288e-133,1.68102584138139e-138,5.87775249134125e-144,1.45178747256665e-149,2.53381156759173e-155,3.25977904319809e-161,3.25131176824102e-167,2.54419644784592e-173,1.50407383656599e-179,6.39694278788019e-186,1.90216386728413e-192,3.93968545941229e-199,5.76655210389098e-206,6.09877380244495e-213,4.72967826354415e-220,2.67577970555167e-227
"6",6.08097561985002e-25,2.73675670905493e-25,9.86259725719876e-35,1.81356985380349e-34,1.71575632321402e-34,8.38214994808863e-35,2.12185998280689e-35,2.79046682129953e-36,1.90904078604282e-37,6.79254812982671e-39,1.25479649810254e-40,1.19999229749473e-42,5.91998802423672e-45,1.50144584592402e-47,1.956223418841e-50,1.35001540132854e-53,7.17563372487824e-57,9.03104873094239e-60,1.47636456434687e-62,1.570211398417e-65,1.0087730715413e-68,3.89990710443341e-72,9.08901201700782e-76,1.28998947172778e-79,1.16747195092894e-83,7.98935073512206e-88,5.66454128494292e-92,4.18583869641815e-96,2.40053643624496e-100,9.18731187501363e-105,2.27773491933246e-109,3.72035593497029e-114,4.25215222990268e-119,3.81413453020255e-124,2.96716639598066e-129,1.93512642300874e-134,9.49378725355824e-140,3.29021663264957e-145,8.05729029685355e-151,1.45444099737193e-156,2.03544704544777e-162,2.23483303227743e-168,1.85377424663838e-174,1.10625030141716e-180,4.61553566297209e-187,1.34130943834409e-193,2.75471642967712e-200,4.0878641309129e-207,4.44814333342448e-214,3.53094357540446e-221
"7",2.51577351105746e-26,1.58864813414845e-26,8.03296865404737e-36,2.07258480207401e-35,2.75122986394325e-35,1.88590556615486e-35,6.69845257216236e-36,1.23602676559318e-36,1.18647739128068e-37,5.92338869425498e-39,1.53533819275595e-40,2.06016716765628e-42,1.42606092200897e-44,5.07481449292023e-47,9.27731281005143e-50,8.98329615366591e-53,6.6996251530144e-56,1.18310060252609e-58,2.71375321090443e-61,4.04974903877296e-64,3.65053665601703e-67,1.98020769196807e-70,6.47539709765594e-74,1.28952314721649e-77,1.63750516837011e-81,1.57232007414145e-85,1.56418265633995e-89,1.62180433158722e-93,1.30502105170361e-97,7.00794883355581e-102,2.43780459133083e-106,5.58693283436373e-111,8.9596492933601e-116,1.12764256621674e-120,1.23086551320729e-125,1.12634462936984e-130,7.75344468235078e-136,3.77027422060417e-141,1.29547997441833e-146,3.2811875004492e-152,6.44299800063898e-158,9.92582280753759e-164,1.15523816600594e-169,9.67300325081237e-176,5.66269656262579e-182,2.30899720813143e-188,6.65372081458266e-195,1.3854069927763e-201,2.11520733420876e-208,2.35590728901787e-215
"8",5.26255692814545e-28,4.66279402844977e-28,3.30817011946386e-37,1.19761525500726e-36,2.23061765309428e-36,2.14541566799371e-36,1.06920071409353e-36,2.7682536197852e-37,3.72847054017604e-38,2.61176879558836e-39,9.4986480876893e-41,1.7883538495056e-42,1.73693001148037e-44,8.67276660684238e-47,2.22460513722901e-49,3.02245400541616e-52,3.16277090851255e-55,7.83668074040217e-58,2.52216838105658e-60,5.28110844178828e-63,6.67954585722936e-66,5.08386738230093e-69,2.33261532145926e-72,6.51777115054078e-76,1.16130392148531e-79,1.56457872375959e-83,2.18392225931897e-87,3.17717701823584e-91,3.58718456050631e-95,2.7028402286873e-99,1.31923325501186e-103,4.2421829862545e-108,9.54553349092378e-113,1.68567522656921e-117,2.58170308935898e-122,3.31482214210251e-127,3.20167230315504e-132,2.18448150790692e-137,1.05317219788896e-142,3.74276860663955e-148,1.03120064017818e-153,2.22902501943423e-159,3.64009905000313e-165,4.27657659103339e-171,3.51278410434691e-177,2.00976289567859e-183,8.12604528402244e-190,2.37402499494229e-196,5.08573940671507e-203,7.94790382307998e-210
"9",5.56607508964627e-30,6.9197711764892e-30,6.88853047698003e-39,3.49904329871018e-38,9.1442981959388e-38,1.23404199963875e-37,8.62920886106229e-38,3.13480741135963e-38,5.92418963681737e-39,5.82272410568318e-40,2.97130018243022e-41,7.84930913087976e-43,1.06967918863699e-44,7.49414573243677e-47,2.69718452044615e-49,5.14174661885948e-52,7.54939160281193e-55,2.62463925728031e-57,1.185235881414e-59,3.48216260169082e-62,6.17965379437883e-65,6.5994033078396e-68,4.24860962605065e-71,1.6656972173642e-74,4.16424327391337e-78,7.87192356007205e-82,1.54174969332156e-85,3.14710589262075e-89,4.98559404728553e-93,5.27080335219328e-97,3.60970139556606e-101,1.62866713412598e-105,5.14205110004741e-110,1.2740994684621e-114,2.73797181072259e-119,4.93260293415259e-124,6.68476358632209e-129,6.39957000193459e-134,4.32907445224219e-139,2.15864832328778e-144,8.34498073773059e-150,2.53098957051565e-155,5.79938393846577e-161,9.56000594374764e-167,1.10180975856264e-172,8.84490611509922e-179,5.01788714271863e-185,2.05693319091866e-191,6.18275802572056e-198,1.35573246996165e-204
"10",2.97665395810187e-32,5.19235371866414e-32,7.25257734106935e-41,5.16902162437485e-40,1.89540778512999e-39,3.58901661365905e-39,3.52135456541922e-39,1.79491087252837e-39,4.75942210422011e-40,6.56363967696709e-41,4.69957187777375e-42,1.74195305917162e-43,3.33082494594106e-45,3.27426363106824e-47,1.65346656075238e-49,4.42271217263229e-52,9.11136001202632e-55,4.44461473192199e-57,2.81619380951546e-59,1.16091398634367e-61,2.89073572325894e-64,4.33153833372696e-67,3.91270917398842e-70,2.15238545140542e-73,7.55011085682023e-77,2.00258681020155e-80,5.50322921054646e-84,1.57618915433052e-87,3.50354047888187e-91,5.19709059784413e-95,4.99399380569444e-99,3.16156636293724e-103,1.40055318571842e-107,4.86922451405924e-112,1.4681779101734e-116,3.71124066088475e-121,7.05703483413349e-126,9.47938692179764e-131,8.99741513576297e-136,6.29503061766695e-141,3.41455834668823e-146,1.45309096670491e-151,4.67172808050774e-157,1.08055556711105e-162,1.74738581240407e-168,1.96819745481055e-174,1.56671346364427e-180,9.01118944372088e-187,3.80047107581592e-193,1.16929051573706e-199
