"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11357884621676,9.55035445679401e-15,-5.8677760327755e-23,-3.38715837385749e-24,1.81726552801048e-23,1.25113076884166e-21,2.54612384511075e-20,1.53367041710844e-19,2.73434047167813e-19,1.44288284658281e-19,2.25348292006176e-20,1.04160980863031e-21,1.42482474005326e-23,5.76760505373379e-26,6.90831642423525e-29,2.44820644188544e-32,2.56666590209034e-36,7.95922215902853e-41,7.29915327179416e-46,1.97915326821071e-51,1.58627185270154e-57,3.75692446895617e-64,2.62836780514597e-71,5.4294392087966e-79,3.30999035669911e-87,5.95192862681211e-96,3.15478520394693e-105,4.92546433251615e-115,2.263252059282e-125,3.0579119808485e-136,1.21358865334722e-147,1.41307490965641e-159,4.82098903972015e-172,4.81219309660166e-185,1.40301295381178e-198,1.19253236739349e-212,2.94869274250205e-227,2.11571710977865e-242,4.39232035196993e-258,2.62936975442817e-274,4.52010906911753e-291,2.22030042421731e-308,0,0,0,0,0,0,0,0
"2",9.5503544649045e-15,5.51235593320716e-33,-9.63995054383819e-41,-1.58387278160973e-41,2.4187261268777e-40,4.73974009156646e-38,2.74545836509491e-36,4.70707256605997e-35,2.38866342030316e-34,3.58770688385615e-34,1.59486405283478e-34,2.09825358994057e-35,8.16954513625385e-37,9.41272689501829e-39,3.20904406821524e-41,3.23694269635051e-44,9.6591704770715e-48,8.52559370709576e-52,2.22540983874848e-56,1.71751470277856e-61,3.91816002074002e-67,2.64131702089506e-73,5.25966059642605e-80,3.09250258581539e-87,5.36618128494807e-95,2.74650150720663e-103,4.14357722697518e-112,1.84134995674056e-121,2.40827233565391e-131,9.26149653075761e-142,1.04619155590173e-152,3.46727592052254e-164,3.3669981493903e-176,9.56606427319985e-189,7.93844508427088e-202,1.9205581211094e-215,1.35166888102822e-229,2.76046285652504e-244,1.63117979213275e-259,2.77934848115065e-275,1.35995259374408e-291,1.9013852145041e-308,0,0,0,0,0,0,0,0
"3",2.53372655536798e-38,2.7018595739148e-33,-1.34488095064533e-40,-6.28945258153818e-41,2.73377496826032e-39,1.52480430453172e-36,2.51395766092512e-34,1.22681056117445e-32,1.77200558555257e-31,7.57548768883516e-31,9.5851922406448e-31,3.58937346676112e-31,3.9777919549813e-32,1.30449723161817e-33,1.26586356548197e-35,3.63437507452046e-38,3.08686815509635e-41,7.75508204528402e-45,5.76176158347272e-49,1.26569556568536e-53,8.21853632858598e-59,1.57694430659868e-64,8.93793230295583e-71,1.49579792824278e-77,7.38774184946546e-85,1.07624148407922e-92,4.62156259041677e-101,5.84565597252565e-110,2.17613597650945e-119,2.3820184205485e-129,7.65876374690932e-140,7.22469273277801e-151,1.99690484456912e-162,1.61484670855144e-174,3.81431862165105e-187,2.62659125000426e-200,5.2616126029349e-214,3.05853867766435e-228,5.14419492699312e-243,2.49483657609109e-258,3.47461255311586e-274,1.38272636036233e-290,1.56249556947913e-307,0,0,0,0,0,0,0
"4",5.25736381312337e-40,1.59571224199879e-34,-2.26078446845914e-41,-3.00934293375159e-41,3.72310351977643e-39,5.91071438086595e-36,2.77375015089375e-33,3.85274620119779e-31,1.58395010343277e-29,1.92739408605216e-28,6.94135519304746e-28,7.39853280636799e-28,2.33374035487287e-28,2.17839759066417e-29,6.01678373236035e-31,4.91689305167011e-33,1.1886735865063e-35,8.49991228265949e-39,1.79749150228165e-42,1.12389136918368e-46,2.07717492826433e-51,1.13443198668281e-56,1.83013313513575e-62,8.71770293291339e-69,1.22553118004664e-75,5.08166342468634e-83,6.21110002377367e-91,2.23612693071381e-99,2.36936922593807e-108,7.38202217368839e-118,6.75573207861855e-128,1.81391378549459e-138,1.42704656985991e-149,3.28469911343141e-161,2.2083340763197e-173,4.3283643783848e-186,2.46793493314415e-199,4.08330977509375e-213,1.95478628587679e-227,2.69840718416237e-242,1.0696834623054e-257,1.21162619677547e-273,3.8970387317176e-290,3.53080975153081e-307,0,0,0,0,0,0
"5",1.31444551962137e-42,1.13556670641391e-36,-4.57931744246134e-43,-1.73498923997891e-42,6.10961342076784e-40,2.76078196199963e-36,3.68759306100918e-33,1.45790614450455e-30,1.70602023211862e-28,5.9087650019806e-27,6.05694986863264e-26,1.83754858288979e-25,1.64979232012146e-25,4.38326174079907e-26,3.44594366670909e-27,8.01526802005389e-29,5.51535428145692e-31,1.12255792839527e-33,6.7568562381085e-37,1.20250165894992e-40,6.32583609937144e-45,9.83347101491128e-50,4.51538283683254e-55,6.12205849325778e-61,2.4496457775194e-67,2.89113476719247e-74,1.00580659243677e-81,1.03068491998025e-89,3.10846318716824e-98,2.75658790107017e-107,7.18046274630872e-117,5.48757125009555e-127,1.22881128733289e-137,8.05056117400815e-149,1.54056082652226e-160,8.59451563202739e-173,1.394809228729e-185,6.56866253287058e-199,8.95050255300875e-213,3.51673089615071e-227,3.96798890571939e-242,1.279285088276e-257,1.17116185887955e-273,3.02023009484982e-290,2.17080011054606e-307,0,0,0,0,0
"6",3.95989261519015e-46,9.73726489060899e-40,-1.11765714571008e-45,-1.20528055427376e-44,1.20806029546571e-41,1.5537834928979e-37,5.90724384988311e-34,6.64744865160651e-31,2.21407902380672e-28,2.18267549864192e-26,6.36839437063239e-25,5.49918482096938e-24,1.40531045951746e-23,1.06273239932637e-23,2.37803479550977e-24,1.57438736553825e-25,3.08354632062361e-27,1.78636145287364e-29,3.06047454134082e-32,1.55029123554452e-35,2.32128816993177e-39,1.02707339619199e-43,1.34237152502401e-48,5.18035048016736e-54,5.89995192638653e-60,1.98196981161595e-66,1.96257694146706e-73,5.72429031226998e-81,4.91388482604081e-89,1.24032245258021e-97,9.19599461659118e-107,2.0003682941809e-116,1.27496568875998e-126,2.37751340964517e-137,1.29496844612697e-148,2.05629423035449e-160,9.49865641242941e-173,1.27323284089659e-185,4.93812202572676e-199,5.52251684102555e-213,1.77358446643189e-227,1.62754228257538e-242,4.24097173476328e-258,3.11294898576749e-274,6.36847316468604e-291,3.5779289008781e-308,0,0,0,0
"7",1.43744248349422e-50,1.00606853660644e-43,-3.28687128248058e-49,-1.00889451951124e-47,2.8782581241829e-44,1.0536955520775e-39,1.14023156015414e-35,3.65213367581114e-32,3.46232878682628e-29,9.71511347744624e-27,8.06811666328425e-25,1.98300610327471e-23,1.44238610064425e-22,3.10467887272003e-22,1.9773997979296e-22,3.72624487397507e-23,2.0772740111185e-24,3.4252806792473e-26,1.67031781257065e-28,2.40828093924073e-31,1.02637586207873e-34,1.29259468872397e-38,4.80858318464043e-43,5.28186212850646e-48,1.71222134061218e-53,1.6371632343307e-59,4.61429286250938e-66,3.83074840670317e-73,9.3598840047587e-81,6.72455599468501e-89,1.41909422396812e-97,8.78629947087415e-107,1.59396232391485e-116,8.46030548427142e-127,1.3116131772574e-137,5.92809776159582e-149,7.79427624307478e-161,2.97375347505492e-173,3.28278517390842e-186,1.04496371389076e-199,9.552115226265e-214,2.49495933518204e-228,1.85046163161311e-243,3.86607456057906e-259,2.25121544787721e-275,3.59995405893547e-292,1.54675354298397e-309,0,0,0
"8",6.28729420009314e-56,1.25251919126872e-48,-1.1647240249732e-53,-1.01758246587442e-51,8.26298770398828e-48,8.61005705461142e-43,2.65196296810339e-38,2.41771206770696e-34,6.52393664385874e-31,5.21042106739052e-28,1.23163104685652e-25,8.61620502816015e-24,1.78384459901291e-22,1.09288808356841e-21,1.98123962328713e-21,1.06266756793955e-21,1.68617768539008e-22,7.913875797422e-24,1.0984383647396e-25,4.50782703664925e-28,5.46827114209488e-31,1.96015084051269e-34,2.07552407184846e-38,6.48905144445502e-43,5.98739040978618e-48,1.62949551741701e-53,1.30722353215007e-59,3.08895688819558e-66,2.14823703410838e-73,4.39297631842525e-81,2.63869986848777e-89,4.6501641092044e-98,2.40117517878475e-107,3.62756625698376e-117,1.60073188273094e-127,2.05926243046098e-138,7.70647277093279e-150,8.36889910651344e-162,2.62959792364997e-174,2.38249287192709e-187,6.1988834071162e-201,4.60851390299453e-215,9.7288393115844e-230,5.78541725348095e-245,9.58881713363092e-261,4.36443922068456e-277,5.33747834524853e-294,1.6931038770067e-311,0,0
"9",3.31362470414195e-62,1.87891632934086e-54,-4.97312758286489e-59,-1.236686720345e-56,2.85831905181474e-52,8.47740910791865e-47,7.43204076846717e-42,1.92854031271739e-37,1.48121258472355e-33,3.36716187036533e-30,2.2654543581413e-27,4.51101455988321e-25,2.65826783972332e-23,4.63554632109726e-22,2.39191506825209e-21,3.65165459371298e-21,1.649221993693e-21,2.20317261868396e-22,8.70399240884455e-24,1.01670174716928e-25,3.51042647960627e-28,3.58164756925641e-31,1.07945525825196e-34,9.60597836052697e-39,2.52279219881025e-43,1.95425209992866e-48,4.46232080839075e-54,3.00127848283444e-60,5.9410083408661e-67,3.45796298507624e-74,5.9120076685999e-82,2.96549221587334e-90,4.3584881454499e-99,1.87417824534596e-108,2.35395225211395e-118,8.61934502755189e-129,9.18124830355122e-140,2.83790551488538e-151,2.53806338120356e-163,6.54528015546879e-176,4.84722984408222e-189,1.02570993649071e-202,6.16322760454705e-217,1.04319471356856e-231,4.92129322967815e-247,6.37567501003319e-263,2.21930689727473e-279,2.00377224272107e-296,4.37771380368321e-314,0
"10",2.10430743759379e-69,3.39622791149239e-61,-2.55860062843949e-65,-1.81099025680174e-62,1.19138090677567e-57,1.00574200530593e-51,2.50966090548842e-46,1.85361356412049e-41,4.05220479240776e-37,2.62193247447718e-33,5.02107073897755e-30,2.84576325303344e-27,4.77316877150866e-25,2.36914964756928e-23,3.47953202991671e-22,1.51198781230186e-21,1.94366418491491e-21,7.39050567887046e-22,8.31050946330186e-23,2.76303400512312e-24,2.71541402680384e-26,7.88574156162546e-29,6.76468926091319e-32,1.71343772602289e-35,1.28083066138587e-39,2.82406272541331e-44,1.8354309732426e-49,3.51371939940795e-55,1.97972313876565e-61,3.27980597243774e-68,1.59604935184001e-75,2.27872349945869e-83,9.53266271269161e-92,1.16673644917287e-100,4.17102735034885e-110,4.34713541808765e-120,1.31799618034431e-130,1.15956170976484e-141,2.95176590757622e-153,2.16666219029161e-165,4.56709550063893e-178,2.75077176286623e-191,4.70458929849455e-205,2.26653485924472e-219,3.04340523463483e-234,1.12225158439837e-249,1.11189796103595e-265,2.85745528086673e-282,1.77689582619711e-299,2.31959028285701e-317
