"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11357877580366,3.52065462110284e-08,4.14184327064029e-15,3.69969730602933e-15,2.68687632405858e-15,1.58662186644183e-15,7.61859726316802e-16,2.97494962723645e-16,9.44734087553576e-17,2.43995628669134e-17,5.12517502144427e-18,8.75580329735225e-19,1.21659495064294e-19,1.37486192472394e-20,1.26369142387274e-21,9.4476357443386e-23,5.74671459185881e-24,2.84642617120808e-25,1.15112512785753e-26,3.83284317490925e-28,1.07835959003862e-29,2.75883089859158e-31,7.45892478441587e-33,2.42000366940876e-34,8.79706302724992e-36,3.08756180017587e-37,9.63518349625552e-39,2.60099171123032e-40,6.03797762800211e-42,1.20792592964912e-43,2.09797756111912e-45,3.20856774661355e-47,4.42349874298157e-49,5.67948849151873e-51,7.01509561389809e-53,8.46044170462524e-55,9.84741678668539e-57,1.07687938622366e-58,1.07980037984213e-60,9.79614393320858e-63,8.02266480131633e-65,5.96578269488317e-67,4.06958556782791e-69,2.57350537183898e-71,1.5189363924187e-73,8.37617125697071e-76,4.29939455398668e-78,2.04209131442638e-80,8.92256623940614e-83,3.56569275531351e-85
"2",3.52065505717532e-08,1.03483385163976e-15,1.34913661686458e-22,1.335498874094e-22,1.0748307273372e-22,7.03365231560616e-23,3.74280793815954e-23,1.61963519790592e-23,5.69983442087291e-24,1.63135982912936e-24,3.79744491935879e-25,7.18941979430978e-26,1.10702880268576e-26,1.38639524414905e-27,1.41216055822146e-28,1.16998756012375e-29,7.8866541509561e-31,4.32900568169036e-32,1.94010766018872e-33,7.15878649918586e-35,2.23201459230856e-36,6.32810344970832e-38,1.89600632082361e-39,6.81702115594738e-41,2.7461950818532e-42,1.0681307177441e-43,3.69388865121757e-45,1.10503960198546e-46,2.84279431279711e-48,6.3024485160684e-50,1.21306732762534e-51,2.0559395665006e-53,3.14108799865045e-55,4.46928946083103e-57,6.11755550530612e-59,8.17621730176528e-61,1.05462186654387e-62,1.27807570705671e-64,1.42019525243289e-66,1.42782440996254e-68,1.29584589163204e-70,1.06786709211291e-72,8.07262952449442e-75,5.65724491608085e-77,3.70027970293379e-79,2.2612864395983e-81,1.28627075755172e-83,6.77041541607828e-86,3.27827214487753e-88,1.45182478311193e-90
"3",2.91813895080661e-15,1.22370440597734e-15,1.76797813863821e-22,1.93945430345659e-22,1.72978116131206e-22,1.25443178667631e-22,7.3973941540185e-23,3.54742717293666e-23,1.38348223226317e-23,4.38809654810444e-24,1.13196489367231e-24,2.37492764030165e-25,4.05256998624198e-26,5.62436798270909e-27,6.34871467028258e-28,5.82905348135822e-29,4.35436325463828e-30,2.64871407954044e-31,1.31549081135366e-32,5.3791847817687e-34,1.8586137533413e-35,5.83956842186018e-37,1.93892953532904e-38,7.72559525022832e-40,3.44892506759801e-41,1.48659217649157e-42,5.6972634475932e-44,1.88875405116186e-45,5.38465730335747e-47,1.32293041595675e-48,2.82180932869217e-50,5.29990601239144e-52,8.97331660196685e-54,1.41490224335008e-55,2.14625309514645e-57,3.17885344141351e-59,4.54391204430202e-61,6.10245785538409e-63,7.51469449669963e-65,8.372461120655e-67,8.42067212350655e-69,7.68998811986447e-71,6.44226450104676e-73,5.00315058899868e-75,3.62650442500664e-77,2.45597703095602e-79,1.54816121452607e-81,9.03054929483746e-84,4.84572672780741e-86,2.3781715809783e-88
"4",2.52588407312795e-15,1.17381332404238e-15,1.87937941633512e-22,2.28471583134866e-22,2.2581816127393e-22,1.81480437831816e-22,1.18597788842593e-22,6.30269635847858e-23,2.72396514827185e-23,9.57456825366991e-24,2.73710241088212e-24,6.36390276531693e-25,1.20342420192413e-25,1.85087465799026e-26,2.3152833845997e-27,2.35576220723538e-28,1.95017296206353e-29,1.31461510731124e-30,7.23546457990377e-32,3.27876379058665e-33,1.25544553914195e-34,4.37123894530879e-36,1.60842526385831e-37,7.10208515796444e-39,3.51360346820188e-40,1.67832434922545e-41,7.12796270752234e-43,2.6187231639318e-44,8.27346270971499e-46,2.25258563869323e-47,5.32460062083143e-49,1.10826241681605e-50,2.0794213232172e-52,3.63354883430105e-54,6.1080216104595e-56,1.00254805842435e-57,1.58810668958629e-59,2.36357622019625e-61,3.22545670497538e-63,3.98242945156087e-65,4.43871001720599e-67,4.49211379012813e-69,4.17040944964091e-71,3.58920929099871e-73,2.88309188957203e-75,2.16376273880259e-77,1.51152934892128e-79,9.77078895887623e-82,5.81017814245239e-84,3.16001234164655e-86
"5",1.77352486703465e-15,9.13351543105059e-16,1.6205724895193e-22,2.18323885280325e-22,2.39134915731344e-22,2.12975186475546e-22,1.54237808211211e-22,9.08355190408507e-23,4.35056766995079e-23,1.69464465094456e-23,5.36865575212793e-24,1.38328959283131e-24,2.89883422160006e-25,4.9407935996088e-26,6.84918539473149e-27,7.72291546848682e-28,7.08497017159896e-29,5.2927158453423e-30,3.22820752502763e-31,1.62113886697502e-32,6.87896389508644e-34,2.65426795191928e-35,1.08232120328311e-36,5.29610052975181e-38,2.90360914881757e-39,1.53700885167041e-40,7.23404084107789e-42,2.94523661836272e-43,1.03117643487596e-44,3.11130108953307e-46,8.15009803560876e-48,1.8798944439903e-49,3.90884469807515e-51,7.56923499200085e-53,1.41005682880294e-54,2.56481659900561e-56,4.5024184435892e-58,7.42593008093246e-60,1.12302008827538e-61,1.53659516871398e-63,1.89794319455801e-65,2.12859113764963e-67,2.18995535333868e-69,2.0886728065979e-71,1.85928162742559e-73,1.54636280644733e-75,1.19710820101421e-77,8.57554083034513e-80,5.65114432016955e-82,3.40604822991928e-84
"6",1.01013018813832e-15,5.76491753470762e-16,1.13354472103078e-22,1.69233568521546e-22,2.05420279822217e-22,2.02742312800167e-22,1.62712642636802e-22,1.06194303252255e-22,5.63646104863022e-23,2.43306824875451e-23,8.54193510124528e-24,2.43903978306388e-24,5.66427354332021e-25,1.0698739539389e-25,1.64357637174659e-26,2.05374875299322e-27,2.08794532416861e-28,1.72852131035863e-29,1.16834921113584e-30,6.50199313350932e-32,3.0574853345806e-33,1.30737802281673e-34,5.90782534475039e-36,3.20363305059521e-37,1.94643437382006e-38,1.14180789683485e-39,5.95542410204004e-41,2.68699583699799e-42,1.04254508701608e-43,3.48593248594798e-45,1.01194015034161e-46,2.58666700491127e-48,5.96033320465276e-50,1.27905487069478e-51,2.64051639164281e-53,5.32259757268758e-55,1.03544786005586e-56,1.89255408760906e-58,3.1717579231213e-60,4.80935722208276e-62,6.58303019079521e-64,8.18182056627663e-66,9.32841860358344e-68,9.85957607144548e-70,9.72630919963568e-72,8.96456774382227e-74,7.69070987566668e-76,6.10533650282628e-78,4.45861065244068e-80,2.97802958764707e-82
"7",4.66695243560004e-16,2.95164544119137e-16,6.43168567208047e-23,1.06411295180961e-22,1.43139533564261e-22,1.56558172029983e-22,1.39241184218548e-22,1.00707703755943e-22,5.92356349712404e-23,2.83364795455001e-23,1.10246023575834e-23,3.48851516202901e-24,8.97802919737655e-25,1.87924963233179e-25,3.19931360307347e-26,4.43026087564279e-27,4.99132873201413e-28,4.57917092162628e-29,3.43004525440592e-30,2.11538173921197e-31,1.10235554583393e-32,5.22364378013124e-34,2.61586354062925e-35,1.57197366771682e-36,1.05841827813851e-37,6.88058987676917e-39,3.97704393088677e-40,1.98851903157821e-41,8.55012902608172e-43,3.16819466524928e-44,1.01920789354654e-45,2.88711137949561e-47,7.37239538302453e-49,1.75324383101528e-50,4.01104076336132e-52,8.95997718112442e-54,1.93164169487384e-55,3.91256621621344e-57,7.26655388037093e-59,1.22104189456317e-60,1.8521853295054e-62,2.55107724059489e-64,3.22327045934868e-66,3.77539179773052e-68,4.12730840336045e-70,4.21563758362005e-72,4.00788643205453e-74,3.52592969353605e-76,2.85350512053736e-78,2.11214232497252e-80
"8",1.74906157310662e-16,1.22588851349295e-16,2.96023823466308e-23,5.42756015608797e-23,8.09080209632383e-23,9.80669767106237e-23,9.66562223150738e-23,7.74711257770769e-23,5.04981288010591e-23,2.67702973622256e-23,1.15421124187312e-23,4.04741787208973e-24,1.15433936955853e-24,2.67763904712163e-25,5.0517219118639e-26,7.75223603646449e-27,9.67896512433967e-28,9.84044344611367e-29,8.16850782998553e-30,5.58273090745601e-31,3.22399752321245e-32,1.69301819483942e-33,9.39546375276014e-35,6.25696128348485e-36,4.66864225301363e-37,3.36336500703613e-38,2.15438730743184e-39,1.19373577542948e-40,5.68808647720499e-42,2.33571819842527e-43,8.32695904969646e-45,2.61397995597792e-46,7.39711545516492e-48,1.94944578828418e-49,4.94243518733674e-51,1.22350535667686e-52,2.92307936324203e-54,6.56131367602464e-56,1.35043181891108e-57,2.51472091252837e-59,4.22725778450807e-61,6.45227642629696e-63,9.0344385650548e-65,1.17268538649416e-66,1.42069702547472e-68,1.60809936852553e-70,1.69426010558459e-72,1.65178451498796e-74,1.48140382802222e-76,1.21515883819269e-78
"9",5.31731373279263e-17,4.13003019562035e-17,1.10520789616603e-23,2.24562391763639e-23,3.70970198244403e-23,4.98293583420081e-23,5.44261218385509e-23,4.83428781937083e-23,3.49207036724288e-23,2.05152096852457e-23,9.80219028731295e-24,3.80917511457945e-24,1.2039306345408e-24,3.09481757414168e-25,6.4704952307541e-26,1.10037353757845e-26,1.52249943259175e-27,1.71537054498754e-28,1.57797846707898e-29,1.19514363282226e-30,7.64862151575504e-32,4.45107755102409e-33,2.7373909126191e-34,2.02021286152913e-35,1.67047247681714e-36,1.33363748498108e-37,9.46678771290837e-39,5.81302419321449e-40,3.06955327625393e-41,1.39683302312487e-42,5.51855712444049e-44,1.91980196054959e-45,6.02048722606967e-47,1.75831009165216e-48,4.94015247438332e-50,1.35525278914966e-51,3.58814599796825e-53,8.92555773593073e-55,2.03578677886645e-56,4.20111417785466e-58,7.82615578027225e-60,1.32378600364046e-61,2.05409749610163e-63,2.95472088284801e-65,3.96690211141381e-67,4.97597234780549e-69,5.80978720509489e-71,6.27694893741105e-73,6.23855103293763e-75,5.67098350049214e-77
"10",1.31127808975119e-17,1.12867995027162e-17,3.34716118599999e-24,7.53676088986175e-24,1.37975443354989e-23,2.05382357716652e-23,2.48599524776949e-23,2.44703664039079e-23,1.95887182370589e-23,1.27530498550822e-23,6.75268188056944e-24,2.908031885435e-24,1.01855563385837e-24,2.90157237948675e-25,6.72281158459754e-26,1.26697667681071e-26,1.94267739263518e-27,2.4255853417041e-28,2.47271889689177e-29,2.07543359100332e-30,1.4719293817015e-31,9.49257482033521e-33,6.46950053747167e-34,5.29110192948295e-35,4.84845517713872e-36,4.28960120469527e-37,3.37440205912692e-38,2.2962088351426e-39,1.34369126202265e-40,6.77616348527504e-42,2.96674342336755e-43,1.14373639462846e-44,3.97480853385872e-46,1.28645650468669e-47,4.00548450539333e-49,1.21772739588613e-50,3.572851262316e-52,9.84907079179592e-54,2.48947201851498e-55,5.69317467483877e-57,1.1753130988522e-58,2.20311890549084e-60,3.78840385354525e-62,6.03902381610194e-64,8.98497408365593e-66,1.24898829229367e-67,1.61605336991089e-69,1.93490271194406e-71,2.13112701257878e-73,2.14683689215375e-75
