"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.1010500987496,0.00605840428161283,1.6251184304967e-05,1.66544129167818e-05,1.66044097892493e-05,1.61055750702907e-05,1.51984596768363e-05,1.39543344826505e-05,1.24659501707161e-05,1.08361485528954e-05,9.1662596174808e-06,7.54607483298023e-06,6.04669781822898e-06,4.71688878235004e-06,3.58281836015681e-06,2.65058550464091e-06,1.91052797125514e-06,1.34228319104728e-06,9.19698159542125e-07,6.14957046079578e-07,4.01604075902727e-07,2.5641294892083e-07,1.60248700714576e-07,9.81709709055081e-08,5.9050772473049e-08,3.49407682944144e-08,2.03790032355699e-08,1.17405106328512e-08,6.69469490974392e-09,3.78539226873232e-09,2.1255286560478e-09,1.18638904772418e-09,6.5853510020761e-10,3.63473994720995e-10,1.99370143822491e-10,1.08578627930854e-10,5.8647581355544e-11,3.13818174203357e-11,1.66168520533947e-11,8.69817225740453e-12,4.49714562354496e-12,2.29482470875484e-12,1.15500146569534e-12,5.73036732314614e-13,2.80099245850267e-13,1.34815040368177e-13,6.38594950558294e-14,2.97528614493238e-14,1.36267895555639e-14,6.13135441072661e-15
"2",0.00614153240738021,7.82815346290572e-06,2.12896531443509e-08,2.2120522864031e-08,2.2360009986464e-08,2.1989091001637e-08,2.10384192640575e-08,1.95841690274855e-08,1.77379692073692e-08,1.56327704278124e-08,1.34071245425928e-08,1.11904380591144e-08,9.09131562219759e-09,7.19029313688322e-09,5.537302392332e-09,4.1533426182479e-09,3.03523156661129e-09,2.16204670547934e-09,1.50192666307388e-09,1.01819434753596e-09,6.74165465228249e-10,4.36406120783752e-10,2.76520852227123e-10,1.7175087008356e-10,1.04742740558073e-10,6.28366885383839e-11,3.71574812985675e-11,2.17036514269867e-11,1.25475547606483e-11,7.19319262499277e-12,4.09505985495986e-12,2.31741016871923e-12,1.30417898376419e-12,7.29817215324115e-13,4.05866654405804e-13,2.24104247931398e-13,1.22726496292085e-13,6.65807695828237e-14,3.57439021475308e-14,1.8969841553064e-14,9.94386317992368e-15,5.14458321700748e-15,2.62522000211987e-15,1.32052954032635e-15,6.54425311966998e-16,3.19351518282937e-16,1.53369361427334e-16,7.24476593845624e-17,3.36412138762696e-17,1.53467712365203e-17
"3",7.96003372369689e-06,8.30260724590309e-06,2.28931861179168e-08,2.41165695211596e-08,2.47157973842813e-08,2.46429331942296e-08,2.39045580462877e-08,2.25608392876123e-08,2.07174590766112e-08,1.85119016020002e-08,1.60965653329166e-08,1.36215695008636e-08,1.12199078049345e-08,8.9968740175603e-09,7.02466752186736e-09,5.3420479427761e-09,3.95807795155432e-09,2.85851235947517e-09,2.01328946028445e-09,1.3837915187459e-09,9.28942802895724e-10,6.09671362521246e-10,3.91665519049281e-10,2.46643053548279e-10,1.52502290117859e-10,9.27573243190393e-11,5.56113810505064e-11,3.29331072398757e-11,1.9303741457088e-11,1.1219837651974e-11,6.4760117257886e-12,3.7156326525993e-12,2.12006682353132e-12,1.20284300218343e-12,6.78204557628383e-13,3.79673172396098e-13,2.10804874075886e-13,1.15950763589096e-13,6.31116093423712e-14,3.39588899600581e-14,1.80479306017122e-14,9.46683829325649e-15,4.8978215390088e-15,2.49785867495482e-15,1.25505373601671e-15,6.20945819236407e-16,3.02347109788662e-16,1.4480183352275e-16,6.81716569831074e-17,3.15305612590467e-17
"4",8.1005352665162e-06,8.56634958405353e-06,2.39480429519164e-08,2.55777189311023e-08,2.65768432905019e-08,2.68660401214009e-08,2.64225341590027e-08,2.52831680371646e-08,2.35393907877133e-08,2.13251577441903e-08,1.87999600255738e-08,1.61299622051406e-08,1.347032200078e-08,1.09512279332113e-08,8.66920839639359e-09,6.68411541663088e-09,5.02114764820444e-09,3.67655623670514e-09,2.62536595394283e-09,1.82951840747047e-09,1.24519561680567e-09,8.28565592812647e-10,5.39670809876113e-10,3.44560086171474e-10,2.16000588471609e-10,1.33201547777698e-10,8.0966847350632e-11,4.861370789424e-11,2.88901649178627e-11,1.70246264518503e-11,9.96279364662017e-12,5.79547143270277e-12,3.35264861771167e-12,1.92854565523322e-12,1.10246337984696e-12,6.25742812231286e-13,3.52248454773039e-13,1.96437569282741e-13,1.08403344968376e-13,5.91383773591416e-14,3.18658729892681e-14,1.69467279335722e-14,8.88927506886888e-15,4.59635687640176e-15,2.3414812758045e-15,1.17453122143373e-15,5.79827981379792e-16,2.81546348620068e-16,1.34388522233395e-16,6.3019146890353e-17
"5",8.01947671832869e-06,8.59826047222388e-06,2.43706617599061e-08,2.63901339382439e-08,2.78013361773409e-08,2.84936721299331e-08,2.84119944842792e-08,2.75639361176639e-08,2.60188113636368e-08,2.38982982031373e-08,2.13606340317442e-08,1.85811698540006e-08,1.5732588046796e-08,1.29678357681212e-08,1.04079840118005e-08,8.13604990535734e-09,6.19662401122467e-09,4.60019092335674e-09,3.33048116817925e-09,2.35307845160969e-09,1.6237519909277e-09,1.09544732209378e-09,7.23395864269473e-10,4.68268075665071e-10,2.97623354689878e-10,1.86081772612612e-10,1.14679101710023e-10,6.98101048461369e-11,4.20622067857023e-11,2.51305570087594e-11,1.49103606488987e-11,8.79383418709834e-12,5.15774695791861e-12,3.00804554438118e-12,1.74341647447812e-12,1.00326423986853e-12,5.7259961223198e-13,3.23749416570664e-13,1.81138019991549e-13,1.00188719743231e-13,5.47340687849511e-14,2.95121099394675e-14,1.56950693123266e-14,8.22797804454123e-15,4.2496441170442e-15,2.16126951844881e-15,1.08174780449764e-15,5.32548593489477e-16,2.57723494292891e-16,1.22531243889089e-16
"6",7.72363569285739e-06,8.39593054518721e-06,2.41272626547925e-08,2.64889543135959e-08,2.82925035579325e-08,2.93992751262063e-08,2.97216154972652e-08,2.92344154553801e-08,2.79784159361053e-08,2.60546435303529e-08,2.36110221757801e-08,2.08236182285713e-08,1.78758129082723e-08,1.49387968484975e-08,1.2156182906891e-08,9.634445035206e-09,7.43961968862089e-09,5.5995604351416e-09,4.11024350603828e-09,2.94428242299418e-09,2.05989577130542e-09,1.40896283450035e-09,9.43336309432734e-10,6.19109645218122e-10,3.98953718148286e-10,2.52895926382925e-10,1.58017349084573e-10,9.75261925493183e-11,5.95768481233116e-11,3.60886032653421e-11,2.17089389560661e-11,1.29810915161955e-11,7.71925629740087e-12,4.56438560162681e-12,2.68214068954681e-12,1.5648698808362e-12,9.05516646746166e-13,5.19083080757411e-13,2.94455713235494e-13,1.6512456481436e-13,9.14603970936907e-14,4.9998629370114e-14,2.69589868515271e-14,1.43290019926625e-14,7.503396058811e-15,3.86898216093033e-15,1.96334360090509e-15,9.79968285243509e-16,4.80827479479158e-16,2.31773938692469e-16
"7",7.23692648684574e-06,7.97597359276549e-06,2.32383566215875e-08,2.58669166940515e-08,2.80113293109559e-08,2.95108319200637e-08,3.02482136265262e-08,3.01650621561455e-08,2.92695079960884e-08,2.76350290641339e-08,2.53905476943683e-08,2.27036646303559e-08,1.97600509706995e-08,1.67425024534689e-08,1.38128872201649e-08,1.10993215514129e-08,8.68966341642822e-09,6.63114685579075e-09,4.93497266696849e-09,3.58409205769623e-09,2.54230367801687e-09,1.76304828737116e-09,1.19677831282413e-09,7.96337595837715e-10,5.20277034970356e-10,3.3437705114115e-10,2.11827280826014e-10,1.32550350085739e-10,8.20955511633563e-11,5.04190505813393e-11,3.07500394239162e-11,1.8642355313223e-11,1.12395136784004e-11,6.73809106436776e-12,4.01438105168158e-12,2.37463990164858e-12,1.39315185639623e-12,8.09694860850984e-13,4.65679354735082e-13,2.6476536657499e-13,1.48684282644967e-13,8.24086060825932e-14,4.50505944651047e-14,2.42770209014889e-14,1.28890173994338e-14,6.73815747334436e-15,3.4667556367203e-15,1.75437096004649e-15,8.72732559731622e-16,4.26519596915784e-16
"8",6.59721306309993e-06,7.37178306780352e-06,2.17759314820761e-08,2.457528050004e-08,2.69817446795907e-08,2.88204164264028e-08,2.99502892208215e-08,3.0282240449704e-08,2.97907674419289e-08,2.85173184020066e-08,2.65646022726601e-08,2.40829509898428e-08,2.12512406557973e-08,1.82557252150237e-08,1.52702333858896e-08,1.24405657843167e-08,9.87481899355926e-09,7.64006977389684e-09,5.76468950331838e-09,4.24475681976791e-09,3.05269611843393e-09,2.14636138238469e-09,1.47718483092564e-09,9.965540037197e-10,6.60116768789156e-10,4.30135276891464e-10,2.76269524294671e-10,1.75272772973847e-10,1.10061566913036e-10,6.85319709157471e-11,4.23766601394754e-11,2.60473964131875e-11,1.59218507514903e-11,9.67754934681433e-12,5.84560683889914e-12,3.50583328053773e-12,2.08532834431505e-12,1.22879620411559e-12,7.16519398703846e-13,4.13032887565959e-13,2.35164092815525e-13,1.32148125294802e-13,7.32438988607734e-14,4.00173946586217e-14,2.15404969313065e-14,1.14171985712812e-14,5.95558076298247e-15,3.0556584438872e-15,1.54115758078181e-15,7.636376774804e-16
"9",5.85144902453523e-06,6.62915162177176e-06,1.98538454592414e-08,2.27168896916424e-08,2.52873257999149e-08,2.73851810981605e-08,2.88535248821297e-08,2.95779689788685e-08,2.95015291149734e-08,2.86321532677696e-08,2.70415221114744e-08,2.48553571141046e-08,2.22370455081945e-08,1.93675361628752e-08,1.6424927079743e-08,1.35668929266026e-08,1.09182214594377e-08,8.56451097379758e-09,6.55184562003885e-09,4.8912858050707e-09,3.56645123129797e-09,2.54236587799381e-09,1.77399558427539e-09,1.21339170998058e-09,8.14898353525697e-10,5.38356829924424e-10,3.50574751603443e-10,2.25498990882393e-10,1.43564917758112e-10,9.06334155723126e-11,5.68204070228392e-11,3.54098775196501e-11,2.19450282154807e-11,1.3523542787777e-11,8.28203720903878e-12,5.03594901210248e-12,3.03701544928179e-12,1.8144078072444e-12,1.07266840189816e-12,6.2690922180725e-13,3.61887452087855e-13,2.06179751183809e-13,1.15861447229293e-13,6.41798643854693e-14,3.50258104259551e-14,1.88223792251673e-14,9.9545486416799e-15,5.17827073118164e-15,2.64794817807736e-15,1.33024695251007e-15
"10",5.05000922065504e-06,5.80055016921229e-06,1.76132038731657e-08,2.04326682724401e-08,2.30601224461661e-08,2.53195983583793e-08,2.7047215489998e-08,2.81108853603325e-08,2.84271415279188e-08,2.79721059819592e-08,2.67845761526946e-08,2.49606644574042e-08,2.26410054715294e-08,1.99928860321486e-08,1.71904424553869e-08,1.43961542785215e-08,1.17462836437031e-08,9.34186624506512e-09,7.24564780869916e-09,5.48427337126417e-09,4.05429022545295e-09,2.93021229079246e-09,2.07298452014218e-09,1.43756350195678e-09,9.78840533020278e-10,6.55633629276451e-10,4.3286664239206e-10,2.8229330424622e-10,1.82216118373706e-10,1.16629738354384e-10,7.4132352946482e-11,4.68392959959149e-11,2.94309694492864e-11,1.83882920916052e-11,1.14174884677684e-11,7.03877719957137e-12,4.30373364590972e-12,2.60684842662665e-12,1.56253175353562e-12,9.25871066291558e-13,5.4187843641615e-13,3.13009014577449e-13,1.7833322893811e-13,1.00155455201311e-13,5.54174447285214e-14,3.01936289128126e-14,1.61899257518608e-14,8.53867584155873e-15,4.42687995643175e-15,2.25477404304084e-15
