"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.10285655801087,0.00536112502060657,1.7779973705855e-09,3.50845380662129e-12,2.52523643604205e-16,2.09597925477189e-20,4.88459600949684e-22,2.01692986080499e-24,1.42847521415549e-27,1.73531922746534e-31,3.61589533003221e-36,1.29237047208891e-41,7.92314447360706e-48,8.33204988554199e-55,1.50298249522455e-62,4.65058382349239e-71,2.46840245982442e-80,2.24741175191633e-90,3.51002828851853e-101,9.40378940561566e-113,4.32177733020928e-125,3.40715402690531e-138,4.60779562740628e-152,1.06897589718743e-166,4.25417516314152e-182,2.90423817807781e-198,3.40103202058575e-215,6.83181883797713e-233,2.35388197046462e-251,1.39096756256823e-270,1.40952953976973e-290,2.44888599662886e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0053611268018569,3.28203053604036e-08,5.68315299955246e-14,5.85525141779629e-16,2.20040885220721e-19,9.5358600265798e-23,1.16030747318492e-23,2.50153616671378e-25,9.25039442697893e-28,5.86730239525611e-31,6.38331821243501e-35,1.19121244648733e-39,3.8130396577462e-45,2.09361663293359e-51,1.97183591376428e-58,3.18563399902266e-66,8.82827642417432e-75,4.19676016785406e-84,3.42226528403266e-94,4.78715512950721e-105,1.1487050885243e-116,4.72834847631516e-129,3.33873898932524e-142,4.04416368310865e-156,8.40325864446962e-171,2.99527115868073e-186,1.83141255315455e-202,1.92080535875868e-219,3.45543916183695e-237,1.06612253237182e-255,5.64073702506901e-275,5.11683944931821e-295,7.9556913210602e-316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2.55858680999535e-13,1.77779784676003e-09,1.60731374230758e-14,8.64626235028961e-16,1.69651535944032e-18,3.83871466105357e-21,2.43876865530474e-21,2.74521177272957e-22,5.30030509147992e-24,1.75529712325439e-26,9.97080482797851e-30,9.71503779170624e-34,1.62367141664658e-38,4.65474114518435e-44,2.28897314887287e-50,1.93080028805494e-57,2.79375907698322e-65,6.93423780094842e-74,2.95236333295769e-83,2.15628014387301e-93,2.70151746018296e-104,5.80604318133774e-116,2.14054718362673e-128,1.35376291468132e-141,1.46870025457894e-155,2.73333671693543e-170,8.72599035402562e-186,4.77841045436739e-202,4.48822784259465e-219,7.23020012179705e-237,1.99733356502744e-255,9.45993361929097e-275,7.67955004440418e-295,1.06810316321805e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",9.67406423204909e-17,3.50964134115306e-12,1.65673318142737e-16,4.65320164519678e-17,4.76708407185382e-19,5.63186710213954e-21,1.86813700175398e-20,1.09795748054562e-20,1.10683297544204e-21,1.91383024241975e-23,5.67615882023605e-26,2.88762218003144e-29,2.51979709753136e-33,3.77167715931353e-38,9.68392075336774e-44,4.26500392267223e-50,3.22212647123355e-57,4.17564831326626e-65,9.28253375052462e-74,3.53975716140063e-83,2.31551508930698e-93,2.59831409673431e-104,5.00158604611865e-116,1.65157044852572e-128,9.3553321710036e-142,9.09056190583151e-156,1.51524853675239e-170,4.33235611507248e-186,2.12464875399135e-202,1.78703935507546e-219,2.57754318559076e-237,6.37404302085418e-256,2.70168198947738e-275,1.96192863082079e-295,2.43955169436923e-316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1.34418297062807e-21,2.5461483904479e-16,6.2754532069321e-20,9.2027145107276e-20,4.92253076362056e-21,3.03640415564204e-22,5.25880967139324e-21,1.61374832233511e-20,8.49383700230823e-21,7.66825943288111e-22,1.18746132680014e-23,3.1541101512748e-26,1.43705572719756e-29,1.12308881379562e-33,1.50557490739186e-38,3.46212008483689e-44,1.36564187977521e-50,9.24037739529379e-58,1.07251625608702e-65,2.13541538293504e-74,7.29336694955439e-84,4.27310584131858e-94,4.2946848143335e-105,7.40443980232901e-117,2.18990798303653e-129,1.11103805505309e-142,9.66926873318645e-157,1.44346233648248e-171,3.69606842654661e-187,1.62314952168896e-203,1.22236783366402e-220,1.57827437124559e-238,3.49279657803244e-257,1.32432269481682e-276,8.59789620367924e-297,9.55042233183567e-318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",9.82564831702725e-28,9.71757919884829e-22,1.25052110265023e-24,9.57488199086271e-24,2.67409893433725e-24,8.61232004572666e-25,7.78788603527093e-23,1.24778422200739e-21,3.42909218019527e-21,1.61638043934511e-21,1.30688632746356e-22,1.81245297539706e-24,4.3115661389903e-27,1.75932913829641e-30,1.23142201450529e-34,1.47848943041667e-39,3.04498021229342e-45,1.07574394036229e-51,6.51920494458974e-59,6.77711209413854e-67,1.20854247356362e-75,3.69699663079407e-85,1.9400291372939e-95,1.746387901665e-106,2.69678252607409e-118,7.14365618971637e-131,3.24606186035932e-144,2.53011446347465e-158,3.38256590436785e-173,7.75597398208315e-189,3.04965899085593e-205,2.05590679721846e-222,2.37555867824847e-240,4.70281443279582e-259,1.59414481151445e-278,9.24548520343829e-299,9.16442366470928e-320,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",6.73807977703925e-34,3.47940171444338e-27,2.3378091845121e-29,9.34594061206809e-28,1.36282034774577e-27,2.29167406621797e-27,1.08199144909003e-24,9.05139008743991e-23,1.29875281996554e-21,3.19641000353027e-21,1.34936133241603e-21,9.77076898480967e-23,1.21358053354203e-24,2.58554556630684e-27,9.44895030755355e-31,5.9233367986937e-35,6.36948367846398e-40,1.1748981341167e-45,3.71755575965032e-52,2.01780445869605e-59,1.87874517295332e-67,3.0007275516308e-76,8.22161839175107e-86,3.86421540750862e-96,3.11557414087404e-107,4.30907706312891e-119,1.02233224677225e-131,4.16051400610088e-145,2.90418740328407e-159,3.47685248787372e-174,7.13793769623905e-190,2.51244432577064e-206,1.5157596369612e-223,1.56672931467867e-241,2.77290792164144e-260,8.39670581617888e-280,4.34557214337227e-300,3.83889006818649e-321,0,0,0,0,0,0,0,0,0,0,0,0
"8",1.15817485500416e-40,3.12258383875159e-33,1.09544391270189e-34,2.28652342080226e-32,1.74085579595893e-31,1.52844068657735e-30,3.76782843905138e-27,1.64571309412954e-24,1.23292567730371e-22,1.58432555138283e-21,3.492060484479e-21,1.32024275544095e-21,8.56180240681454e-23,9.52402104829181e-25,1.81728594164824e-27,5.94809204412393e-31,3.33954295282117e-35,3.21628533128593e-40,5.31353320024515e-46,1.50583204850895e-52,7.32043498212468e-60,6.10473936727722e-68,8.73311999822069e-77,2.14311261046955e-86,9.02180229877279e-97,6.5149491101111e-108,8.07031297925357e-120,1.71481335714798e-132,6.24979911244952e-146,3.90660262268412e-160,4.18752368261882e-175,7.69577782956892e-191,2.42414148652146e-207,1.30825723995669e-224,1.20894398036239e-242,1.91139839809326e-261,5.16488666000689e-281,2.38183739854982e-301,1.87744945419674e-322,0,0,0,0,0,0,0,0,0,0,0
"9",1.99617575426389e-48,2.81002577504371e-40,5.14704415033104e-41,5.60938117578138e-38,2.22983972195207e-36,1.02218850113477e-34,1.31566424513987e-30,3.00040325894975e-27,1.17363743256942e-24,7.87431951231489e-23,9.06195529229213e-22,1.78881530618275e-21,6.05687291407563e-22,3.51783251274901e-23,3.50469016786734e-25,5.98929348888794e-28,1.75572502611944e-31,8.82867616629068e-36,7.61545694475172e-41,1.12683585105097e-46,2.86017468864427e-53,1.24535838655373e-60,9.30182579201596e-69,1.19183275542748e-77,2.61960121085763e-87,9.87698639742827e-98,6.38815370284588e-109,7.08717878009373e-121,1.3486341107792e-133,4.40148139689111e-147,2.46336326602768e-161,2.36371579626281e-176,3.88751655469878e-192,1.09541576145898e-208,5.28522605332718e-226,4.36294922767076e-244,6.15547098272747e-263,1.48212268359119e-282,6.0789650006199e-303,4.94065645841247e-324,0,0,0,0,0,0,0,0,0,0
"10",7.29529383802503e-57,5.36198836812662e-48,5.12796448750927e-48,2.91792160363332e-44,6.05625099394746e-42,1.44954853227435e-39,9.74133307699273e-35,1.15991055526465e-30,2.36891989903899e-27,8.29852693013012e-25,4.98633486999924e-23,5.13921254880428e-22,9.08554722467654e-22,2.75517594817748e-22,1.43316225476065e-23,1.27877129151437e-25,1.95724563738626e-28,5.13873204958792e-32,2.31434395581499e-36,1.78798612388551e-41,2.36955939131925e-47,5.3869251421368e-54,2.10080790899768e-61,1.40541637885578e-69,1.61285909403987e-78,3.17509885820735e-88,1.07220963237095e-98,6.21082492414023e-110,6.17080169548257e-122,1.05152081039165e-134,3.07269188694999e-148,1.53942084049588e-162,1.32192223315753e-177,1.94484140701341e-193,4.89937097891995e-210,2.11168175971741e-227,1.55553987805442e-245,1.95557990678754e-264,4.18786435571567e-284,1.52393418135461e-304,0,0,0,0,0,0,0,0,0,0
