"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11357884621679,6.34767182974037e-59,-2.31699074575536e-106,8.82218839646748e-107,2.14172620432434e-106,2.07799223482456e-106,8.0619156838034e-107,1.25086087801431e-107,7.76337744627403e-109,1.92799982702915e-110,1.91688268682243e-112,7.63562202992451e-115,1.21995658889493e-117,7.83106427908188e-121,2.02454300532103e-124,2.11520354141795e-128,8.97260928973503e-133,1.5545860411666e-137,1.10782601591945e-142,3.27037167778874e-148,4.02309536834828e-154,2.068745050598e-160,4.44365367844795e-167,3.97023895043937e-174,1.46587825495472e-181,2.22059105887211e-189,1.42702383825225e-197,1.25497313589697e-204,1.2969676497126e-210,6.75709434359968e-217,1.72755435069244e-223,2.16873564033627e-230,1.33755945665278e-237,4.05433122785387e-245,6.04116950011395e-253,4.42529237320494e-261,1.59422085137912e-269,2.87464515382474e-278,4.17814881475182e-287,2.86331750848648e-295,2.27175145204249e-303,9.62629126025953e-312,2.10570778257539e-320,0,0,0,0,0,0,0
"2",6.34767182974036e-59,2.58937537288067e-112,-1.44589488944582e-159,8.42210453583575e-160,3.12780829030944e-159,4.64250064388006e-159,2.75535892735632e-159,6.54004617455353e-160,6.2094678479839e-161,2.35907934423496e-162,3.58808703096528e-164,2.18647105396929e-166,5.34411214526892e-169,5.24787946225243e-172,2.07549621267125e-175,3.31725593630419e-179,2.15266994911498e-183,5.70565268019626e-188,6.22005183072733e-193,2.80899802031154e-198,5.28623570929049e-204,4.15838834287858e-210,1.36643869903301e-216,1.86766280981409e-223,1.054900756889e-230,2.44463578366071e-238,2.40330384888443e-246,3.23328330351363e-253,5.11175876237056e-259,4.07411295275605e-265,1.59344353564283e-271,3.06015519306548e-278,2.88723283302064e-285,1.33881267197031e-292,3.05178184609146e-300,3.41984410986026e-308,1.8847106875871e-316,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1.45351340740939e-107,6.01304032217737e-111,-5.13650484300554e-158,4.57702709236382e-158,2.60036827057693e-157,5.9044381911466e-157,5.36088714355156e-157,1.94657515126542e-157,2.82733076916583e-158,1.643223590429e-159,3.82339315166175e-161,3.56419615927051e-163,1.33267823529859e-165,2.00200643655625e-168,1.21125460080815e-171,2.96158601533378e-175,2.9400498569544e-179,1.19210484926294e-183,1.9880852497289e-188,1.37348622747982e-193,3.95413302862595e-199,4.75840795678181e-205,2.39198613421378e-211,5.0014836310613e-218,4.32159297705857e-225,1.53206890407804e-232,2.30411786719164e-240,4.74211023704476e-247,1.14691204119591e-252,1.39837838999071e-258,8.36681552196668e-265,2.45809601608797e-271,3.54788124847737e-278,2.5167435131687e-285,8.77615944875346e-293,1.50448965463888e-300,1.26840946510794e-308,5.35252835528027e-317,0,0,0,0,0,0,0,0,0,0,0,0
"4",8.82029300245169e-107,5.58200167599667e-110,-7.29449825288811e-157,9.9435870954948e-157,8.64224021185875e-156,3.00193947775573e-155,4.16957598208573e-155,2.31610518689184e-155,5.14630592862517e-156,4.57559437761669e-157,1.62866472722323e-158,2.32260954760877e-160,1.3285312989642e-162,3.05311969694166e-165,2.82582769755314e-168,1.05697925794439e-171,1.60519827968189e-175,9.95681232707723e-180,2.5402282769041e-184,2.68468865881998e-189,1.18236828412178e-194,2.17668229541735e-200,1.67387840262453e-206,5.35421709195947e-213,7.07738565842565e-220,3.83830228708464e-227,8.83074704760681e-235,2.78032954640361e-241,1.0286949740902e-246,1.91872655352769e-252,1.75622619924507e-258,7.89316129132054e-265,1.74282221005138e-271,1.89127571020702e-278,1.0089096322749e-285,2.64587209076952e-293,3.41248687729463e-301,2.20293851864632e-309,1.14629800908259e-317,0,0,0,0,0,0,0,0,0,0,0
"5",2.13965486649344e-106,2.07148862295034e-109,-4.1411397876964e-156,8.63573733718638e-156,1.14819209373324e-154,6.10129504617099e-154,1.29641445147504e-153,1.10164616422416e-153,3.74465079059729e-154,5.09325145210328e-155,2.77339141603688e-156,6.05044837235272e-158,5.29437890311133e-160,1.86131096652644e-162,2.63543712165754e-165,1.50801382302582e-168,3.50347820017126e-172,3.32447392883024e-176,1.29749959975814e-180,2.097781692015e-185,1.41335418968463e-190,3.9803857252311e-196,4.68258745600619e-202,2.29134162083114e-208,4.63338731890333e-215,3.84411874958526e-222,1.35296618207679e-229,6.51654873877462e-236,3.6884157438103e-241,1.05244209696468e-246,1.4736605354465e-252,1.0132109048935e-258,3.4224242148349e-265,5.68155840373728e-272,4.636569511189e-279,1.86013827161736e-286,3.67011142128475e-294,3.62445333215678e-302,2.88515851287322e-310,1.0828861656358e-317,0,0,0,0,0,0,0,0,0,0
"6",2.07491916884419e-106,3.07306598614114e-109,-9.39812247311312e-156,2.99814415352217e-155,6.09816981815923e-154,4.95722767364116e-153,1.61135999853872e-152,2.09470426781612e-152,1.08924052482001e-152,2.26641513193992e-153,1.88793651680911e-154,6.30079943490263e-156,8.43441549802568e-158,4.53618527700739e-160,9.82553899820865e-163,8.60084108713429e-166,3.05679910024039e-169,4.43733569208464e-173,2.64934467207092e-177,6.55274695082402e-182,6.75376574565303e-187,2.90972549095967e-192,5.23654249628336e-198,3.91994934631817e-204,1.2126098542594e-210,1.5390444349085e-217,8.28653905196331e-225,6.10570425153796e-231,5.28676321671845e-236,2.30770387908113e-241,4.94323433077499e-247,5.19930717973392e-253,2.68665151389198e-259,6.82302322033723e-266,8.51800763994308e-273,5.2277926609609e-280,1.57791735171891e-287,2.38385256103541e-295,2.90294250164807e-303,1.66679972353289e-310,1.10798568857583e-317,0,0,0,0,0,0,0,0,0
"7",8.0436910854635e-107,1.82245982125844e-109,-8.52626945131432e-156,4.16104430093534e-155,1.29473598818517e-153,1.61009850698029e-152,8.00641387526176e-152,1.592208917371e-151,1.2665810947535e-151,4.03162888444201e-152,5.13760072980838e-153,2.62301331360721e-154,5.37145209950989e-156,4.41935996047767e-158,1.4643903286067e-160,1.96098046827358e-163,1.06618143885472e-166,2.36765479375346e-170,2.16255138544272e-174,8.18244786021013e-179,1.29014260953233e-183,8.50306738679635e-189,2.34099297650837e-194,2.68082095618106e-200,1.2686456192111e-206,2.46321469071601e-213,2.02887908353229e-220,2.28691816352952e-226,3.0292603170734e-231,2.02282676961979e-236,6.62859808360437e-242,1.06656626127205e-247,8.4311259810842e-254,3.27554044764495e-260,6.25570151925787e-267,5.87338168488387e-274,2.71197697571858e-281,6.26776945547452e-289,1.16762647195242e-296,1.02560657107452e-303,1.04294968617499e-310,5.66438357906656e-318,0,0,0,0,0,0,0,0
"8",1.24654031015857e-107,4.32056738067928e-110,-3.09224395803815e-156,2.30860117386671e-155,1.09890378328134e-153,2.09056065417196e-152,1.59030431637846e-151,4.83809207821734e-151,5.88760892937854e-151,2.86693850937223e-151,5.58894783849078e-152,4.36517920542329e-153,1.36749317096601e-154,1.72117374195548e-156,8.72477153641995e-159,1.78732016758587e-161,1.48659299388347e-164,5.05023075652925e-168,7.05652935219448e-172,4.08450883201201e-176,9.85204049053271e-181,9.93335522071818e-186,4.18362098172649e-191,7.32912126968444e-197,5.30586625300346e-203,1.57597787634161e-209,1.98580176163307e-216,3.42422447303558e-222,6.93873138113278e-227,7.08816874265559e-232,3.55327580560064e-237,8.74635195822773e-243,1.05768553055721e-248,6.28616573877815e-255,1.83658382787851e-261,2.63787880142606e-268,1.86330730916424e-275,6.58784510460281e-283,1.87744046701079e-290,2.52275405532282e-297,3.92454535326702e-304,3.26069869558247e-311,1.39837376005031e-318,0,0,0,0,0,0,0
"9",7.72243052463396e-109,4.09468352848157e-111,-4.48316976691916e-157,5.12026246685596e-156,3.72850608626724e-154,1.08510018234807e-152,1.26275523612208e-151,5.87685460332947e-151,1.09406127999512e-150,8.14991252448997e-151,2.43050490452279e-151,2.90402532475151e-152,1.39173120237164e-153,2.67970376300675e-155,2.07801182207194e-157,6.51220678710444e-160,8.2860926444555e-163,4.30626549306491e-166,9.20476293509119e-170,8.15066739677517e-174,3.00753988937023e-178,4.6388790648668e-183,2.98883054566275e-188,8.01000421480236e-194,8.87092712516374e-200,4.03083207702715e-206,7.76984503845859e-213,2.04960687346123e-218,6.35360619582962e-223,9.92901444298921e-228,7.61435094513525e-233,2.86723174698634e-238,5.30425368094383e-244,4.82264647299585e-250,2.15547123565581e-256,4.73607084203316e-263,5.11775764785784e-270,2.76802803251952e-277,1.20677180701747e-284,2.48065158265013e-291,5.90353423054976e-298,7.50352406062075e-305,4.9227800566537e-312,1.66831146631214e-319,0,0,0,0,0,0
"10",1.91248603759971e-110,1.55130245974859e-112,-2.59832337768497e-158,4.53975186633458e-157,5.05715919194181e-155,2.25150793132907e-153,4.00824905649848e-152,2.85372646877875e-151,8.12719952025577e-151,9.26155898789871e-151,4.22531924586072e-151,7.72316479256042e-152,5.66216006986203e-153,1.66780565088092e-154,1.97851134600311e-156,9.48528948880235e-159,1.84630764675184e-161,1.46786786101714e-164,4.79988292043883e-168,6.50194189056893e-172,3.67022918986082e-176,8.66017594884314e-181,8.53585117283157e-186,3.49953355577842e-191,5.92895706459106e-197,4.12131562940809e-203,1.215305333053e-209,4.9042826433225e-215,2.32571820351242e-219,5.56000033312722e-224,6.52279066501116e-229,3.75746742652178e-234,1.06338025109666e-239,1.47904574751248e-245,1.01127736838165e-251,3.39921099400829e-258,5.61916163854325e-265,4.649370645907e-272,3.10084970606377e-279,9.75109096891745e-286,3.55002490544599e-292,6.90265980498234e-299,6.92777061209551e-306,3.59161809916344e-313,9.75779650536462e-321,0,0,0,0,0
