"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11357884621678,9.65703772396153e-16,3.64051485096576e-27,1.31679087574969e-27,1.92829533543935e-28,1.14713940472835e-29,2.78558132832669e-31,2.7784622816502e-33,1.14707048191043e-35,1.97600960334562e-38,1.43032194819593e-41,4.36761004043205e-45,5.62567458862448e-49,3.06136771467187e-53,8.06269213990291e-58,4.03992196711897e-62,4.81087236668066e-66,3.39169820730636e-70,1.21113610507839e-74,2.18466731812377e-79,2.01323042079387e-84,1.01531258074842e-89,3.82810709685647e-95,1.68503727358967e-100,6.51761584843921e-106,1.5251440466134e-111,2.01218860817559e-117,1.59583617435864e-123,8.99151667740016e-130,4.13843345523056e-136,1.43391340594091e-142,3.26883152119059e-149,4.80531864858355e-156,4.83106277237e-163,3.47135425336513e-170,1.74933382943395e-177,5.97725148650862e-185,1.37714440766761e-192,2.1567746188276e-200,2.29193122062686e-208,1.63537832732973e-216,7.76453767877096e-225,2.43655831804142e-233,5.01433277962412e-242,6.7037549849665e-251,5.76478659335153e-260,3.15725938091826e-269,1.09031040468365e-278,2.34833859174445e-288,3.10476543804029e-298
"2",4.3218863046019e-16,2.79566384975487e-29,1.63964657884269e-40,9.22679063443759e-41,2.10210219458114e-41,1.94555221308092e-42,7.35002730387178e-44,1.14057548431895e-45,7.32581670870552e-48,1.96336666357647e-50,2.21101954724951e-53,1.05038630868054e-56,2.10487456990884e-60,1.78202391959276e-64,7.30170908967233e-69,5.69198625546405e-73,1.05453529161392e-76,1.15664717839822e-80,6.42573882024838e-85,1.80327452520579e-89,2.58533268735819e-94,2.02847256358929e-99,1.18987096497416e-104,8.14838831314106e-110,4.90340066807795e-115,1.78511378510076e-120,3.66412383776542e-126,4.52101741669852e-132,3.96302896218924e-138,2.83776668416281e-144,1.52971333258048e-150,5.42532902272999e-157,1.2408010528986e-163,1.94074760771156e-170,2.16956033489151e-177,1.7009514138026e-184,9.04205532122227e-192,3.24109328724341e-199,7.89701985500799e-207,1.30558894437312e-214,1.44933753141926e-222,1.07056568756583e-230,5.22662023978857e-239,1.67341518517011e-247,3.4806079120318e-256,4.65657521571029e-265,3.96771132640208e-274,2.1317014412443e-283,7.14304448638655e-293,1.46925728348927e-302
"3",2.26725071253642e-25,5.50475644301042e-27,5.02284553029442e-38,4.3974069516632e-38,1.55864150010739e-38,2.24430417720841e-39,1.31908929863195e-40,3.18460589434523e-42,3.18224877419769e-44,1.32686246753556e-46,2.32468169708385e-49,1.7181709971497e-52,5.356609289619e-56,7.05543338032102e-60,4.49760291518093e-64,5.45464943070113e-68,1.57220993785458e-71,2.68285214317222e-75,2.31881084305974e-79,1.01239622726655e-83,2.25814343887771e-88,2.75645332727822e-93,2.5155200881993e-98,2.68006950601141e-103,2.5091009761893e-108,1.42112761497868e-113,4.53820108733062e-119,8.71156516785336e-125,1.18804714021435e-130,1.3235170186894e-136,1.10996507436411e-142,6.12451581701675e-149,2.17918574779721e-155,5.30282839876265e-162,9.22266987924398e-169,1.12492419373899e-175,9.30346923640235e-183,5.18818811898279e-190,1.96668058642554e-197,5.05852012421295e-205,8.73640933552265e-213,1.00397563393722e-220,7.62565611060908e-229,3.79844981909662e-237,1.2291480831564e-245,2.55836287816462e-254,3.39142335906972e-263,2.83474981810341e-272,1.47780839572654e-281,4.72910595394112e-291
"4",1.62907249908344e-23,6.15354514404096e-25,8.7354146003625e-36,1.18980770218775e-35,6.5610412804931e-36,1.46978790736415e-36,1.34398235378209e-37,5.04802481896645e-39,7.84777118793148e-41,5.0907823671254e-43,1.38761356041098e-45,1.59557726765166e-48,7.73905341070096e-52,1.5858714716762e-55,1.57279390798029e-59,2.96759048360295e-63,1.3307426630814e-66,3.53286221015628e-70,4.75052601347758e-74,3.22680940085291e-78,1.11974914110557e-82,2.12650434069531e-87,3.01918578047963e-92,5.00442888726731e-97,7.28908511877142e-102,6.42294759142101e-107,3.19103415495049e-112,9.52994346511918e-118,2.02196775341082e-123,3.50442281754959e-129,4.57238404183986e-135,3.92510758130895e-141,2.1728035956896e-147,8.22583913609217e-154,2.22574660566968e-160,4.22365786134939e-167,5.4344652596228e-174,4.71491668715723e-181,2.78060024360035e-188,1.11269112780002e-195,2.98972012401177e-203,5.34523927297178e-211,6.31637071748606e-219,4.89489303590351e-227,2.46426516683437e-235,7.97979605978425e-244,1.64572805188085e-252,2.14011552848492e-261,1.73574942095446e-270,8.64160400519811e-280
"5",6.64530022020033e-22,3.90522447390627e-23,8.62483014570872e-34,1.82763818009668e-33,1.567951531669e-33,5.46463237493174e-34,7.77403094031622e-35,4.54276840999722e-36,1.09873223226649e-37,1.10885939775235e-39,4.70226286225135e-42,8.41206510744885e-45,6.34773877888978e-48,2.02369755286828e-51,3.12245260882565e-55,9.16588542875794e-59,6.39456420726964e-62,2.64113127942061e-65,5.52524330977489e-69,5.83887849322069e-73,3.15226906149437e-77,9.31354961511171e-82,2.05724120217594e-86,5.30513348684147e-91,1.20215711963923e-95,1.64804477555482e-100,1.27383300859845e-105,5.91858361471025e-111,1.95365604607154e-116,5.26789120801405e-122,1.06932424973701e-127,1.4281199871925e-133,1.22992894261436e-139,7.24412907187789e-146,3.04949625691469e-152,9.0030058649798e-159,1.80219606242218e-165,2.43257175719887e-172,2.23190965487993e-179,1.38950174635501e-186,5.80846563008085e-194,1.61563948027215e-201,2.97023858444592e-209,3.58107442734379e-217,2.80481355040972e-225,1.41304101626646e-233,4.53385331664806e-242,9.17261212147472e-251,1.15741540184756e-259,8.96484957655823e-269
"6",1.53893854028947e-20,1.40701617320998e-21,4.83448320196275e-32,1.59380851969161e-31,2.12728154789112e-31,1.15345248085589e-31,2.55288610108158e-32,2.32087734137339e-33,8.7331289727852e-35,1.37120032582022e-36,9.0464408243319e-39,2.51779221493587e-41,2.95585227049024e-44,1.46607336006287e-47,3.51926822799806e-51,1.60722750081144e-54,1.74445712680032e-57,1.12094874210772e-60,3.64832559523511e-64,5.99815988158727e-68,5.03800155224933e-72,2.31577663222282e-76,7.95816731998081e-81,3.19279169855108e-85,1.12559438971996e-89,2.40069015325052e-94,2.8868619754214e-99,2.0867850973529e-104,1.0716536863148e-109,4.49561975781584e-115,1.41973930874121e-120,2.94992045932655e-126,3.952501536388e-132,3.62180132359751e-138,2.37199060961006e-144,1.0894788687634e-150,3.39296775219641e-157,7.12508046139394e-164,1.01706132762344e-170,9.85090304390073e-178,6.40655839342768e-185,2.77238946333796e-192,7.92953161965512e-200,1.4873595436931e-207,1.81239573478148e-215,1.42052937937543e-223,7.0910301945172e-232,2.2319338342138e-240,4.38151155503174e-249,5.27988092648673e-258
"7",2.02329638976017e-19,2.87795326735568e-20,1.53844197567256e-30,7.89066538244838e-30,1.63850915818457e-29,1.38219725124539e-29,4.75935580808907e-30,6.73155410529867e-31,3.94075507575058e-32,9.6262446448589e-34,9.88052795117677e-36,4.27827511161507e-38,7.81408199342863e-41,6.02972296282329e-44,2.25185510562608e-47,1.59997002447918e-50,2.70172542022761e-53,2.70092845336228e-56,1.36762595246316e-59,3.4981481520012e-63,4.57114371112028e-67,3.26896042476075e-71,1.74772250629582e-75,1.0908785843136e-79,5.98320891787963e-84,1.98533946776424e-88,3.71424974918779e-93,4.17704569672303e-98,3.33727795355783e-103,2.17808039469776e-108,1.07013694803455e-113,3.45929401415595e-119,7.2110023020805e-125,1.02800358046034e-130,1.04744055969281e-136,7.48482499003435e-143,3.62651090980682e-149,1.18480109463769e-155,2.63117195971348e-162,3.96482983799521e-169,4.01161932516415e-176,2.70081963838025e-183,1.20180856785997e-190,3.50711609504811e-198,6.64865238071001e-206,8.1073184653184e-214,6.29626161141646e-222,3.08319620872606e-230,9.41651551385016e-239,1.76537434328577e-247
"8",1.51017860903372e-18,3.34194241809515e-19,2.77934694801376e-29,2.21779646390675e-28,7.16478809814348e-28,9.40309707485847e-28,5.03727296884535e-28,1.1084320384728e-28,1.00953083947841e-29,3.83657293742767e-31,6.12650980200073e-33,4.12712960327893e-35,1.17274551398976e-37,1.40789281502124e-40,8.1801090581257e-44,9.04225842159426e-47,2.3754872016579e-49,3.69463026348057e-52,2.91052714549603e-55,1.15821433714369e-58,2.35462651710608e-62,2.61971010729517e-66,2.17902628512864e-70,2.11598616349485e-74,1.80558106828381e-78,9.32103242165322e-83,2.712981063454e-87,4.74669474448118e-92,5.90012039768001e-97,5.99085513071515e-102,4.57931678802189e-107,2.30300680896261e-112,7.46878225507062e-118,1.65651437373669e-123,2.62588913168377e-129,2.91927539105765e-135,2.20053774282501e-141,1.11848894940706e-147,3.86439846135493e-154,9.05948767981799e-161,1.42608436279467e-167,1.49371417802867e-174,1.03407879770264e-181,4.69477623622254e-189,1.38466526987284e-196,2.6268472707031e-204,3.17385273678207e-212,2.41797378463915e-220,1.14891280108217e-228,3.3510435352801e-237
"9",6.39921409359192e-18,2.20314816937918e-18,2.85058453128037e-28,3.53882645062676e-27,1.77863709583296e-26,3.63162780407454e-26,3.02672048425911e-26,1.03617311049431e-26,1.46821364315387e-27,8.68079581948803e-29,2.15662995114153e-30,2.26025284309456e-32,9.99215390769152e-35,1.8662565475181e-37,1.68696962529273e-40,2.90115879986948e-43,1.18575154416658e-45,2.86918402859529e-48,3.5164584716212e-51,2.17705395608299e-54,6.88570962232607e-58,1.19186296909062e-61,1.54234658900132e-65,2.33012247657912e-69,3.09335195191272e-73,2.48440719885565e-77,1.12499849169883e-81,3.06226590297039e-86,5.92187023417741e-91,9.35477287360866e-96,1.11247826697476e-100,8.70427265774957e-106,4.39170823903966e-111,1.51539310920315e-116,3.73725647076755e-122,6.46395017943393e-128,7.58050560874542e-134,5.99442411366652e-140,3.22213762989922e-146,1.17520124386951e-152,2.87806261981934e-159,4.68995787308453e-166,5.05128054359664e-173,3.56787122387544e-180,1.63713875726151e-187,4.83194442900055e-195,9.08281142361555e-203,1.07654337028102e-210,7.95817396390157e-219,3.61121085820814e-227
"10",1.53940659058692e-17,8.24549674561007e-18,1.65979120942948e-27,3.20571727933176e-26,2.50668473709762e-25,7.96269572657647e-25,1.03247019050708e-24,5.49900279932472e-25,1.21223633079548e-25,1.11507479459955e-26,4.30989319078042e-28,7.02739421307002e-30,4.83328967529546e-32,1.40443444259379e-34,1.97507598117594e-37,5.28438514815334e-40,3.36018414498778e-42,1.26495245255415e-44,2.41194670352889e-47,2.32315306100129e-50,1.14315140116507e-53,3.07841943952786e-57,6.19769016222799e-61,1.45670982763283e-64,3.00863881355392e-68,3.75932536332396e-72,2.64841167290987e-76,1.1215609227617e-80,3.37431229536138e-85,8.29289282986058e-90,1.53430167163584e-94,1.86766132984051e-99,1.46603904742466e-104,7.87016401058746e-110,3.01965825217635e-115,8.12548532139947e-121,1.48250409075503e-126,1.82386047159858e-132,1.52522757580873e-138,8.65464426464247e-145,3.29749112578182e-151,8.35985520965273e-158,1.40080512113544e-164,1.5393303052666e-171,1.09889084709384e-178,5.04588576685415e-186,1.47564604546067e-193,2.72107084414903e-201,3.12945105891272e-209,2.20929647957945e-217
