"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11352673101018,2.60568103995818e-05,3.77202321314404e-11,1.31383499498884e-14,9.4434083523499e-20,1.63574286323929e-26,9.41488634272505e-34,1.15889831385054e-41,9.82469026772254e-51,1.60763988363382e-60,4.39824527125226e-71,1.34478768721834e-82,6.63075701786753e-95,4.84103998388302e-108,4.58035111969331e-122,5.94082429027767e-137,9.10571704195142e-153,1.38790371480615e-169,1.98650709239656e-187,2.69165772999792e-206,3.63249713036565e-226,5.41253021124671e-247,9.9655962401232e-269,2.26355680561486e-291,5.70769653560113e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2.60568426454322e-05,1.478056180529e-09,1.58344475895705e-14,4.08157947054682e-17,2.17107623018745e-21,2.78304486806391e-27,1.18543876969631e-33,1.07986197174505e-40,6.77486515243398e-49,8.20407139080891e-58,1.66103573028014e-67,3.75847897798164e-78,1.37145128663957e-89,7.40994208391228e-102,5.18840401207656e-115,4.98012901802541e-129,5.64893930159326e-144,6.37192957359867e-160,6.74932933400908e-177,6.76782633102281e-195,6.75917238105836e-214,7.45328018076784e-234,1.0155686189529e-254,1.70708935535992e-276,3.1855512916928e-299,5.92878775009496e-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",5.48722228191909e-12,3.22488030889267e-11,2.55672752427634e-15,4.87717858315266e-17,1.91988115167046e-20,1.82128684919498e-25,5.74111361650831e-31,3.87029557634678e-37,1.79694759913111e-44,1.61036031538441e-52,2.41285639255477e-61,4.04039194525217e-71,1.09106501080028e-81,4.36258525540389e-93,2.26058984012913e-105,1.60578519738406e-118,1.34794643866098e-132,1.1252151365567e-147,8.82031489069293e-164,6.54532999051816e-181,4.83765323704425e-199,3.94773080917343e-218,3.9807804664611e-238,4.95192525116922e-259,6.83850705961525e-281,9.6261114158391e-304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2.97132946411327e-16,1.29232197077595e-14,7.58229095258303e-18,1.07039365954548e-18,3.11822957325624e-21,2.18912703339917e-25,5.10678560153448e-30,2.54773637910893e-35,8.75396163418474e-42,5.80565409777105e-49,6.43751780305892e-57,7.97754635618215e-66,1.59424601378292e-75,4.71745221316083e-86,1.8090235683685e-97,9.50974288278018e-110,5.90762380335299e-123,3.64951063072608e-137,2.11710319988359e-152,1.16264828876155e-168,6.35931614633964e-186,3.84044971755662e-204,2.86590408290252e-223,2.63831335136051e-243,2.69632641059352e-264,2.80880067841781e-286,2.87741003234094e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",3.65098531681856e-22,1.17513801573909e-19,5.10243481022254e-22,5.33064079372173e-22,1.14921913325498e-23,5.97069101879356e-27,1.0307661061722e-30,3.80562388362682e-35,9.67686953224923e-41,4.74941669995397e-47,3.89732328670925e-54,3.5741781627098e-62,5.2859259102943e-71,1.15752961903016e-80,3.28494194999298e-91,1.27794193212685e-102,5.87508356905443e-115,2.6859301924024e-128,1.15308411124901e-142,4.68625791878729e-158,1.89691171121201e-174,8.47769243084173e-192,4.68183490863882e-210,3.18962547131933e-229,2.41237407424206e-249,1.85973891773451e-270,1.4099109477439e-292,1.04018409656903e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1.35471911714667e-28,3.22691050029158e-25,1.03689404512956e-26,8.01669212728726e-26,1.2790205017707e-26,4.91765578238487e-29,6.28278980165665e-32,1.7166317303313e-35,3.23031615082018e-40,1.17330059057268e-45,7.12515502591119e-52,4.83574012753466e-59,5.29257108307141e-67,8.57702373515799e-76,1.80132082469834e-85,5.18601014868742e-96,1.76439233149735e-107,5.96945531234242e-120,1.89653055234438e-133,5.70405775316132e-148,1.70869172351078e-163,5.65136198154215e-180,2.30967267301298e-197,1.16448232915126e-215,6.51773555020306e-235,3.71845845527433e-255,2.08622674316027e-276,1.13903981385938e-298,6.02760087926321e-322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1.22565101149302e-35,2.160545217804e-31,5.1377112384807e-32,2.9396077764689e-30,3.47080775793453e-30,9.87574917757796e-32,9.33734329225201e-34,1.88802092412897e-36,2.62926019954467e-40,7.0673516180446e-45,3.17614703333925e-50,1.59524762287657e-56,1.29208392429732e-63,1.54959963954139e-71,2.40842338755065e-80,5.1313779021472e-90,1.2919766660555e-100,3.23484208923185e-112,7.60566328237725e-125,1.69285607485996e-138,3.7528284243206e-153,9.18558859785802e-169,2.77819785730991e-185,1.03658402088854e-202,4.29365567762724e-221,1.81280997999994e-240,7.52678878787015e-261,3.04120710814826e-282,1.1924349121638e-304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",7.28932419537754e-44,9.50917126626249e-39,1.67343123905978e-38,7.08576001752714e-36,6.19136606699476e-35,1.30372155393365e-35,9.12214543087227e-37,1.36502102246477e-38,1.40677608063874e-41,2.7983818696059e-45,9.30700076461061e-50,3.45936293556085e-55,2.07356482097716e-61,1.84037053321346e-68,2.1167885195648e-76,3.33762474368711e-85,6.21894975704284e-95,1.15232327632593e-105,2.00501310239385e-117,3.30262320598074e-130,5.41821921865952e-144,9.81439933199549e-159,2.1967406044774e-174,6.06567289974864e-191,1.85934749087089e-208,5.80957687329034e-227,1.78509288855438e-246,5.33772209378706e-267,1.54882915761698e-288,4.35262848815863e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",7.98114814678533e-53,7.70512425861739e-47,1.00346844609668e-45,3.14442441285923e-42,2.03329350713103e-40,3.16852624013212e-40,1.64069677891883e-40,1.81689380823545e-41,1.38571542601389e-43,2.03992840747211e-46,5.02084215552561e-50,1.38108948238377e-54,6.12635526042901e-60,4.02391412197701e-66,3.42515141601197e-73,3.99667359629635e-81,5.51108480913783e-90,7.55706663996884e-100,9.73094468179858e-111,1.18619390480609e-122,1.44016450738795e-135,1.93053698937028e-149,3.19780554521844e-164,6.53448148235861e-180,1.48235280066647e-196,3.42763359007292e-214,7.79416469680568e-233,1.72473981341965e-252,3.70365066982171e-273,7.70259339030979e-295,1.54793039544033e-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1.55561081460717e-62,1.11140948678691e-55,1.07116665456381e-53,2.48401008406632e-49,1.18869692768991e-46,1.37084150698361e-45,5.25311773341845e-45,4.30504033712709e-45,2.4298563701359e-46,2.64716095527591e-48,4.82170751138688e-51,9.81533175208995e-55,3.22213857186727e-59,1.56620862440969e-64,9.86596462708282e-71,8.51956325004303e-78,8.69389950445422e-86,8.82245891464171e-95,8.40717848408961e-105,7.58420080561419e-116,6.8143605730794e-128,6.76005150418232e-141,8.28672258409836e-155,1.25314334393327e-169,2.10377877691013e-185,3.5999937997234e-202,6.05809127492829e-220,9.9208456695106e-239,1.57657266875558e-258,2.42649734376537e-279,3.60871987432661e-301,4.94065645841247e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
