"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11350469326801,3.70572167795761e-05,1.20669483460082e-08,3.55124008353662e-09,5.79953270607231e-10,5.27114482034112e-11,2.67536513076037e-12,7.62377764674138e-14,1.23718325311589e-15,1.20147106246215e-17,8.20930059335846e-20,5.28787140841738e-22,3.37258962005219e-24,1.68406695894671e-26,5.79876649882479e-29,1.37310880430815e-31,2.35862138262747e-34,3.15560101988667e-37,3.40863739508139e-40,2.90224936581144e-43,1.86914450639693e-46,8.95535390048029e-50,3.22271468859663e-53,8.86380822002397e-57,1.87856003138874e-60,3.05536366499411e-64,3.78556683273743e-68,3.56295801260133e-72,2.55238455985783e-76,1.39539627371548e-80,5.82595195415268e-85,1.85598063415019e-89,4.50773141498846e-94,8.34630298170099e-99,1.17848449524867e-103,1.2691986434783e-108,1.04253833389267e-113,6.53083053202989e-119,3.11993833953855e-124,1.13666946534157e-129,3.15820523700753e-135,6.69211100264395e-141,1.08142976331785e-146,1.33272865680745e-152,1.2525077987751e-158,8.97528710630105e-165,4.90034086690985e-171,2.03226749408624e-177,6.3375744611363e-184,1.45015920644132e-190
"2",3.70602204657561e-05,2.99638759931263e-09,1.31789823169944e-12,5.23870187434541e-13,1.15556899479866e-13,1.41862319235281e-14,9.72533115662019e-16,3.74326682974873e-17,8.20491007882839e-19,1.07624794943386e-20,9.93263344524335e-23,8.64168365880769e-25,7.44458009167575e-27,5.02105861540118e-29,2.3352360474677e-31,7.46894644107427e-34,1.7328934228083e-36,3.13151818687701e-39,4.56891294649236e-42,5.25443510568486e-45,4.57081259029053e-48,2.95796150678386e-51,1.43777474908537e-54,5.34131970028904e-58,1.52901775571418e-61,3.35899679084826e-65,5.62130080608441e-69,7.1462110969327e-73,6.91465432502179e-77,5.1060040225191e-81,2.87945118936198e-85,1.23901193910149e-89,4.06461402153997e-94,1.01651701904861e-98,1.93866874980318e-103,2.82012633774692e-108,3.12888950635174e-113,2.6474382359658e-118,1.70829418307087e-123,8.4064004288685e-129,3.15482633633026e-134,9.02937048371121e-140,1.97084233943217e-145,3.28060943997372e-151,4.16440022588436e-157,4.03069188677351e-163,2.97246514221231e-169,1.66506265065867e-175,7.01345495515797e-182,2.167623495151e-188
"3",1.00111589966041e-08,2.05703883741345e-09,1.22204051391841e-12,6.56125084471926e-13,1.95487083259065e-13,3.24151824455031e-14,3.00154626388211e-15,1.56045287517617e-16,4.61990373533472e-18,8.18522583023665e-20,1.02033307802783e-21,1.19904408381266e-23,1.39519920930853e-25,1.27101458689127e-27,7.98445464044464e-30,3.44931649965611e-32,1.08094795098701e-34,2.63843923266721e-37,5.19953217264123e-40,8.07675013774727e-43,9.48993545521048e-46,8.29509931898953e-49,5.4460190091602e-52,2.73272608625149e-55,1.05662111880608e-58,3.13527453841062e-62,7.08699360784008e-66,1.21691511337835e-69,1.59042848819349e-73,1.5862953590483e-77,1.20829186257482e-81,7.02258249295009e-86,3.11171560497843e-90,1.05112525207343e-94,2.70771314808556e-99,5.32018625911933e-104,7.97274232146176e-109,9.11176618192248e-114,7.94142832371488e-119,5.278436000982e-124,2.6756535129694e-129,1.03435857008319e-134,3.04947274679083e-140,6.85624979038168e-146,1.17555726922875e-151,1.5368453229335e-157,1.53082856532773e-163,1.15824276210092e-169,6.58961825976707e-176,2.75087795335256e-182
"4",2.78018323800448e-09,7.71597446435666e-10,6.19146073562988e-13,4.49007286932853e-13,1.80694129409503e-13,4.04700438588732e-14,5.06161927174675e-15,3.55430194867726e-16,1.42133292587736e-17,3.401361449723e-19,5.72694897756328e-21,9.09024789715155e-23,1.42868349118087e-24,1.7579623446462e-26,1.49163827986343e-28,8.70383273738413e-31,3.68418561004747e-33,1.21462731660336e-35,3.2331022981624e-38,6.78345663253747e-41,1.0765566607521e-43,1.27102605279294e-46,1.1271228227913e-49,7.63919193817586e-53,3.98960440575384e-56,1.59898854398047e-59,4.88192436106025e-63,1.13226613634086e-66,1.99876441459343e-70,2.69271720154213e-74,2.77036996610604e-78,2.17481338755266e-82,1.30162018448469e-86,5.93879145652717e-91,2.06635762842638e-95,5.48389208358873e-100,1.11001543859614e-104,1.7134959669673e-109,2.01715080978046e-114,1.81094073297689e-119,1.23990405085059e-124,6.47423637272916e-130,2.57810985645947e-135,7.8292925826973e-141,1.81317161403407e-146,3.20172854811921e-152,4.3076472774328e-158,4.40222667227781e-164,3.38292438696256e-170,1.90749138739582e-176
"5",4.21933539276297e-10,1.58168733922865e-10,1.71428177590398e-13,1.67919720617166e-13,9.12749461355836e-14,2.761216411771e-14,4.66461145627162e-15,4.42424886181833e-16,2.38968288728287e-17,7.72425265067268e-19,1.75665399570445e-20,3.7661522211687e-22,7.99498029201616e-24,1.32877108213388e-25,1.52287181343245e-27,1.20024413784668e-29,6.8621433698286e-32,3.05576926328016e-34,1.09864197817506e-36,3.11348676680172e-39,6.67409051387623e-42,1.06431180960147e-44,1.27480835430801e-47,1.16702539808328e-50,8.23231441775344e-54,4.45652857110768e-57,1.83781426359087e-60,5.75729282350857e-64,1.37274742428068e-67,2.49792274209934e-71,3.4712449124191e-75,3.68068551656095e-79,2.97543329043866e-83,1.83367872759966e-87,8.6176705695613e-92,3.08910399207538e-96,8.44562660586085e-101,1.76094248974354e-105,2.80001065254549e-110,3.39535181108743e-115,3.13998700521706e-120,2.21456051255283e-125,1.19113133107978e-130,4.88584832521112e-136,1.52832457907143e-141,3.64519212416413e-147,6.62422809463727e-153,9.14380114877347e-159,9.49086708764428e-165,7.22828745007569e-171
"6",3.50123995365052e-11,1.77279163563079e-11,2.59524577426263e-14,3.43365941997595e-14,2.52096215943707e-14,1.03008820922523e-14,2.35043731491209e-15,3.01114712078866e-16,2.19680712991619e-17,9.59107650054473e-19,2.94616008236646e-20,8.53153567431031e-22,2.44627889094438e-23,5.49158824730509e-25,8.50100704168975e-27,9.04973473812e-29,6.98852096115185e-31,4.20344405315698e-33,2.04126848634288e-35,7.8135823668071e-38,2.26232237741003e-40,4.87293376987807e-43,7.88362135318312e-46,9.74810935676878e-49,9.28797980749413e-52,6.79133630570007e-55,3.7828523321495e-58,1.60064608977529e-61,5.15497858329582e-65,1.26699370881163e-68,2.37815381838955e-72,3.40598417539131e-76,3.71897586540802e-80,3.09567683669145e-84,1.96508566501819e-88,9.51444273817792e-93,3.51351598132374e-97,9.89496945370059e-102,2.125143188507e-106,3.48074752475266e-111,4.34785269446148e-116,4.14184413318254e-121,3.00902001472272e-126,1.66711146225157e-131,7.043677820553e-137,2.26915173348267e-142,5.56977460660561e-148,1.03845658357745e-153,1.45588372518597e-159,1.49766763042458e-165
"7",1.59123342296796e-12,1.08825065997323e-12,2.15183499648757e-15,3.84544778149972e-15,3.81342542547444e-15,2.1046630460713e-15,6.48658422375453e-16,1.12242825817899e-16,1.1060576779484e-17,6.52247508838156e-19,2.70620469746294e-20,1.05849970743103e-21,4.09947958107146e-23,1.24302526319444e-24,2.59903179794704e-26,3.73711356128259e-28,3.89802792759838e-30,3.16682579833154e-32,2.07719975289531e-34,1.07395863594485e-36,4.20001730581346e-39,1.22192999573839e-41,2.67018162478485e-44,4.45958726858501e-47,5.73924501312224e-50,5.66823658372986e-53,4.26453171554475e-56,2.43728607253758e-59,1.06022314966024e-62,3.51968748861693e-66,8.92336824938193e-70,1.72619847662358e-73,2.54583757276912e-77,2.86234631562969e-81,2.45418488210361e-85,1.60497537795431e-89,8.00545792721597e-94,3.04521480536107e-98,8.83386790242503e-103,1.95431450285736e-107,3.29728116874202e-112,4.24262005474679e-117,4.1631752615683e-122,3.1154693558938e-127,1.77794187157226e-132,7.73643428247365e-138,2.56492194283354e-143,6.45927990723211e-149,1.22315552270668e-154,1.69953323291053e-160
"8",3.9845634734113e-14,3.68073901759065e-14,9.83046996721764e-17,2.37285642600598e-16,3.1783303085997e-16,2.36933012235519e-16,9.86321023371625e-17,2.30526071451435e-17,3.06830452652366e-18,2.44395015187647e-19,1.3696190458859e-20,7.2358426475789e-22,3.7851781799454e-23,1.55023230992485e-24,4.37811989346777e-26,8.50298829488489e-28,1.19795212158077e-29,1.31455244573203e-31,1.16463874525067e-33,8.13316822183521e-36,4.2961803951338e-38,1.68825087545532e-40,4.98299772843144e-43,1.12409698200702e-45,1.95399347436604e-48,2.60660690159167e-51,2.64885477978749e-54,2.04480800215354e-57,1.20144125472602e-60,5.38726812333837e-64,1.84481376681623e-67,4.82029561005348e-71,9.60224679621212e-75,1.45822177400838e-78,1.68875989201154e-82,1.49172315927979e-86,1.00499815867672e-90,5.16364346507814e-95,2.02324485444208e-99,6.04576451657647e-104,1.37775496034787e-108,2.3944698343503e-113,3.17365089684311e-118,3.20787303297482e-123,2.47269455988372e-128,1.45329234093276e-133,6.50796974929318e-139,2.21367930971733e-144,5.66202145050791e-150,1.06262179586633e-155
"9",5.62759414701748e-16,7.02160303966645e-16,2.53299748014233e-18,8.25830972395352e-18,1.49409414401566e-17,1.50440143377882e-17,8.4589348795511e-18,2.67040215151451e-18,4.80080768940819e-19,5.16496545020567e-20,3.90961590185433e-21,2.78986153041574e-22,1.97123812856479e-23,1.09045758022002e-24,4.15966992900132e-26,1.09119415249642e-27,2.07648662639348e-29,3.07770381942357e-31,3.68298006988407e-33,3.47397843552515e-35,2.4786151546875e-37,1.31559678641147e-39,5.24488219719912e-42,1.59811511606334e-44,3.75220549526068e-47,6.76080290920261e-50,9.27983197271207e-53,9.67595250651938e-56,7.678969826503e-59,4.65080617038023e-62,2.15115353532597e-65,7.59192272596265e-69,2.0427263868525e-72,4.19005903892909e-76,6.55426049385547e-80,7.81993697768673e-84,7.11605859328071e-88,4.93843936453081e-92,2.61361221432664e-96,1.05488025275127e-100,3.24700641773842e-105,7.62218986205434e-110,1.36454786214623e-114,1.86297068118088e-119,1.93962847611781e-124,1.53978573350563e-129,9.31348159920232e-135,4.2789821009228e-140,1.47827932460211e-145,3.74733863568712e-151
"10",4.91490229284708e-18,8.28299923509359e-18,4.03594588288528e-20,1.77730094556738e-19,4.34317168454364e-19,5.90679639218022e-19,4.48604031817148e-19,1.91286089430127e-19,4.64494159341339e-20,6.74982630918321e-21,6.90110281518121e-22,6.65160241441696e-23,6.34807359998956e-24,4.74319376951028e-25,2.44388176136583e-26,8.65929585898473e-28,2.22571173309794e-29,4.45580143425257e-31,7.20207438827353e-33,9.17581356433498e-35,8.84271833930684e-37,6.33955426742734e-39,3.41374350296642e-41,1.40495507177322e-43,4.45553870586801e-46,1.08435405983687e-48,2.0103523201499e-51,2.8312943313515e-54,3.03496356091861e-57,2.48277857271992e-60,1.55110209999843e-63,7.39400916943806e-67,2.68718541300022e-70,7.44503605551226e-74,1.57300314048019e-77,2.53494402066824e-81,3.11575904317495e-85,2.92060821978088e-89,2.08777627031448e-93,1.13816492315073e-97,4.73199645071017e-102,1.5003765033312e-106,3.62801015280845e-111,6.69029039858517e-116,9.40842070628509e-121,1.00882932424826e-125,8.24192571036529e-131,5.11465486726775e-136,2.38666571723041e-141,8.17179120022675e-147
