"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.05957414225932,0.0262297045712479,0.000367405318106004,0.000104194918634267,1.69309684076603e-05,1.60770388532419e-06,9.33721931108894e-08,3.63788875128197e-09,1.07750690894048e-10,2.5827184485893e-12,4.81205542921756e-14,6.63718290169733e-16,6.73840883929701e-18,5.11655049746608e-20,2.93710772948181e-22,1.27350407449407e-24,4.15039358714514e-27,1.01444700221583e-29,1.86093763479493e-32,2.56491307501675e-35,2.65652342664274e-38,2.06658595521556e-41,1.20704175062757e-44,5.29249651775983e-48,1.74198739169613e-51,4.30354292113195e-55,7.97861888692646e-59,1.10986104726772e-62,1.15817009361217e-66,9.06490932479663e-71,5.32062385754965e-75,2.34145279502079e-79,7.72403318048298e-84,1.90962340475088e-88,3.5375419695115e-93,4.90915446726865e-98,5.10221289523373e-103,3.97050852953864e-108,2.31286170763464e-113,1.00817990208828e-118,3.28749276130412e-124,8.01610277527118e-130,1.46096719172967e-135,1.98916164049893e-141,2.02201238758229e-147,1.533394187026e-153,8.66608242165024e-160,3.6424827099295e-166,1.13247136341072e-172,2.56867939989895e-179
"2",0.0264679385933642,0.000296772129729139,5.59775203127938e-06,2.13773201524237e-06,4.67764247614195e-07,5.98122018352347e-08,4.6777799929333e-09,2.45420112074028e-10,9.78857118144893e-12,3.15947416283374e-13,7.92696368025673e-15,1.47230754084326e-16,2.01284629138056e-18,2.05811208486775e-20,1.59092658046329e-22,9.28900302136805e-25,4.07658547141209e-27,1.34176091146509e-29,3.31448528487055e-32,6.15170401310865e-35,8.57975593252978e-38,8.98779712367497e-41,7.06904234450929e-44,4.17385517212649e-47,1.84995134154889e-50,6.15431810817651e-54,1.53645564078503e-57,2.87805718217839e-61,4.04428412916093e-65,4.26256761147884e-69,3.36906102491229e-73,1.99650421002407e-77,8.86885303124266e-82,2.95263361563189e-86,7.36549494404048e-91,1.37640276311315e-95,1.92635319709114e-100,2.01865442897154e-105,1.58344876326195e-110,9.29460394228509e-116,4.08127784651551e-121,1.34008744047021e-126,3.28888605325579e-132,6.02999487645239e-138,8.254089679109e-144,8.42903170471742e-150,6.41483062212343e-156,3.6307670132628e-162,1.52008059410208e-168,4.64288356231872e-175
"3",0.000196433933745636,0.000176039799077331,4.47136281445302e-06,2.29941849156073e-06,6.77532740236065e-07,1.16662574353612e-07,1.22862701736479e-08,8.68018383099037e-10,4.66204627245887e-11,2.02633193170719e-12,6.8460671096948e-14,1.71226635769699e-15,3.15225906850097e-17,4.34029069169468e-19,4.51791895680153e-21,3.5521876998187e-23,2.09923886373733e-25,9.30419802338299e-28,3.0949839996588e-30,7.73528372484946e-33,1.45276127228511e-35,2.04932616336167e-38,2.17048560895255e-41,1.72572744783638e-44,1.02999149906489e-47,4.61415074662851e-51,1.55120918748929e-54,3.91280553494923e-58,7.40404429966209e-62,1.05084130178008e-65,1.11844139956113e-69,8.92509999772208e-74,5.33886355951579e-78,2.39347793155789e-82,8.04007883333372e-87,2.02321674498824e-91,3.81303943337698e-96,5.38066385382897e-101,5.68350702434654e-106,4.49243475145121e-111,2.65635157824307e-116,1.1745216695714e-121,3.88163975964626e-127,9.58344924873699e-133,1.76649572559168e-138,2.42917945198997e-144,2.48946261548297e-150,1.89739302544569e-156,1.06970502786814e-162,4.39970662359484e-169
"4",4.8269702308743e-05,5.82515484684508e-05,1.99239307985704e-06,1.37972215197389e-06,5.47447412658709e-07,1.26935231814276e-07,1.8001520512371e-08,1.71260242649158e-09,1.23863319710716e-10,7.24961974553019e-12,3.2982554988311e-13,1.11084373642964e-14,2.75386123808862e-16,5.10596074366589e-18,7.15707542241717e-20,7.57759809958071e-22,6.03025979776516e-24,3.59908094009289e-26,1.6121653416837e-28,5.42582676922964e-31,1.37221585662403e-33,2.60662026837579e-36,3.7175951900167e-39,3.98030083024019e-42,3.19901174450272e-45,1.9298007767991e-48,8.73634085073793e-52,2.96746748690928e-55,7.56145230878533e-59,1.4451464028193e-62,2.07122104598535e-66,2.22569069652087e-70,1.79282973063092e-74,1.08232615760522e-78,4.89584362390497e-83,1.65900671965565e-87,4.21032416436125e-92,8.0005271411726e-97,1.1379879053991e-101,1.21127157866952e-106,9.64459083254336e-112,5.74245750493409e-117,2.5555859250631e-122,8.49641292317731e-128,2.10894307869522e-133,3.90526374562693e-139,5.38933131705644e-145,5.53127279705215e-151,4.19923634722641e-157,2.32577931537911e-163
"5",6.71876587425532e-06,1.09184468762198e-05,5.0288295911863e-07,4.6894513568785e-07,2.50559751364132e-07,7.82329282230562e-08,1.49401548503981e-08,1.91399574442077e-09,1.86408465761174e-10,1.46918554859128e-11,9.00086439838175e-13,4.08217292557536e-14,1.36275876577303e-15,3.40245904375417e-17,6.42228437954648e-19,9.15638424587913e-21,9.81221303367657e-23,7.88607790324163e-25,4.756828932959e-27,2.1558194234921e-29,7.34188189182983e-32,1.87802440572142e-34,3.60681664421837e-37,5.20015595371096e-40,5.62800933835881e-43,4.57182876076764e-46,2.78705508194249e-49,1.27479530438967e-52,4.37419567466842e-56,1.12575358669801e-59,2.1726834046025e-63,3.14393320692051e-67,3.41024868073071e-71,2.77232194213696e-75,1.68869628941884e-79,7.70567450601659e-84,2.63339831477099e-88,6.73842075219205e-93,1.29067135754117e-97,1.84994176221536e-102,1.98353030835563e-107,1.59034492360592e-112,9.53065015736066e-118,4.26683800815792e-123,1.42617856862237e-128,3.55629616301238e-134,6.60877457668258e-140,9.13376086139655e-146,9.33755948156188e-152,6.96418131898556e-158
"6",5.49739709361668e-07,1.20300371873618e-06,7.46124889038577e-08,9.36925689692919e-08,6.74113345227983e-08,2.83432537581805e-08,7.28876119624436e-09,1.25741342884359e-09,1.64907824344424e-10,1.75021250096944e-11,1.44389913504933e-12,8.8182526782525e-14,3.96413675933083e-15,1.33278794053341e-16,3.3876316689712e-18,6.5038297614807e-20,9.38535334537687e-22,1.01574156807709e-23,8.25046070000988e-26,5.03514000265834e-28,2.30911236871522e-30,7.95385023451623e-33,2.05702109866114e-35,3.99364588170269e-38,5.82031510902723e-41,6.36678445806128e-44,5.22653962899296e-47,3.21919774237678e-50,1.48745525320673e-53,5.15498666251733e-57,1.33973578408414e-60,2.61056508234902e-64,3.8131664846704e-68,4.17428294578793e-72,3.42395677991874e-76,2.1039038515313e-80,9.6821160881427e-85,3.33618681025298e-89,8.60491157525007e-94,1.66083810269654e-98,2.39798569315538e-103,2.58903294860499e-108,2.08933116444546e-113,1.25959060536454e-118,5.6693813061526e-124,1.90369858128057e-129,4.76386786699553e-135,8.86598330449828e-141,1.22053196369682e-146,1.22581335757153e-152
"7",2.87301799541206e-08,8.46616466651951e-08,7.07081984840828e-09,1.19564401920508e-08,1.15842568202797e-08,6.55878600101749e-09,2.27125544350468e-09,5.27629242838184e-10,9.31816784422541e-11,1.33173726384541e-11,1.4794596688644e-12,1.21671067055842e-13,7.36532491956594e-15,3.33459304207666e-16,1.14134377115589e-17,2.95071970901121e-19,5.73387107882757e-21,8.35639625212794e-23,9.14013274909317e-25,7.51145998046838e-27,4.63870098414995e-29,2.15162818011727e-31,7.49319551095817e-34,1.95900874574303e-36,3.84460585602192e-39,5.66322708568314e-42,6.26032068205723e-45,5.19240417872062e-48,3.23074923191632e-51,1.50773629514427e-54,5.27661617819847e-58,1.38455233278209e-61,2.72332279803669e-65,4.01452107097234e-69,4.43423428796785e-73,3.66905949592857e-77,2.2737235219733e-81,1.0550091683788e-85,3.66429802305178e-90,9.52379809764092e-95,1.85168867928633e-99,2.69213890852101e-104,2.92553752656001e-109,2.37501472994617e-114,1.43949799959552e-119,6.50896727768952e-125,2.19337107941939e-130,5.49689977354259e-136,1.01901029172491e-141,1.3781365980968e-147
"8",1.10036010138845e-09,4.36638175170751e-09,4.91069846956371e-10,1.11818560009823e-09,1.45887700918466e-09,1.11227574728225e-09,5.18672821479391e-10,1.6225379799547e-10,3.85864697039081e-11,7.42611334069979e-12,1.11092478321354e-12,1.23028957902581e-13,1.00288339954761e-14,6.11420330550907e-16,2.81807153059418e-17,9.81074529281107e-19,2.56720453216937e-20,5.03813819679277e-22,7.42065186595407e-24,8.21206570504702e-26,6.82909162656412e-28,4.26552300658017e-30,2.00037138306099e-32,7.04236365037883e-35,1.86111152762967e-37,3.69167156226285e-40,5.49533488769943e-43,6.13768474611107e-46,5.14254191738664e-49,3.23175540498495e-52,1.52302524684425e-55,5.38145207835706e-59,1.42537037103954e-62,2.8294423565274e-66,4.20847012298842e-70,4.68920123086498e-74,3.91309394453983e-78,2.44499152046089e-82,1.14353751159297e-86,4.00228775942966e-91,1.04786324157891e-95,2.05150510893401e-100,3.00205963410298e-105,3.28184792571192e-110,2.67856207015862e-115,1.63095222998104e-120,7.40081876496279e-126,2.497606283888e-131,6.23481015210572e-137,1.1354693961533e-142
"9",3.43330927925108e-11,1.83458694858471e-10,2.77842301636055e-11,8.5193703623665e-11,1.49675524057379e-10,1.53667872497076e-10,9.64945102046697e-11,4.0648309588823e-11,1.30173076301391e-11,3.37354260124431e-12,6.79591259382473e-13,1.0134655209545e-13,1.11247581694577e-14,9.13310636651939e-16,5.66851312117877e-17,2.65740438960675e-18,9.36385374573473e-20,2.47458702098354e-21,4.90809788820164e-23,7.3141199347876e-25,8.19051302607129e-27,6.88904399063649e-29,4.35046627072184e-31,2.06244380282311e-33,7.33963696652598e-36,1.96048597590705e-38,3.92982626701201e-41,5.91047342388405e-44,6.66859028178045e-47,5.64330057367678e-50,3.58129671801402e-53,1.70400624871991e-56,6.07768148825546e-60,1.62461165171089e-63,3.25395441883508e-67,4.88230144940537e-71,5.48636248932073e-75,4.6161518318005e-79,2.90731203919844e-83,1.37021288015134e-87,4.83084212227403e-92,1.27358913404542e-96,2.50965810545188e-101,3.69447049409518e-106,4.06044813877501e-111,3.3292928475455e-116,2.03436572218857e-121,9.24510275620873e-127,3.10777452026835e-132,7.62149562769983e-138
"10",8.5348434320222e-13,6.14128757735062e-12,1.25244310612671e-12,5.17137034868846e-12,1.22345340310192e-11,1.6914463535851e-11,1.43026417031306e-11,8.11324603989678e-12,3.49874127844235e-12,1.22099915378465e-12,3.31219160673706e-13,6.65143191002803e-14,9.83185022712479e-15,1.08693029678491e-15,9.08428683705951e-17,5.73479415718497e-18,2.72115519506498e-19,9.68366872804843e-21,2.586359629769e-22,5.19010660220856e-24,7.82643188135049e-26,8.86441675460518e-28,7.53816288544079e-30,4.81227391035204e-32,2.30611679265599e-34,8.29485812976576e-37,2.23901538279984e-39,4.53465758458491e-42,6.88961206493577e-45,7.85113453592524e-48,6.70931288626979e-51,4.29880185353217e-54,2.06467968406098e-57,7.43195061977101e-61,2.00448689136494e-64,4.04999838208353e-68,6.12848688670803e-72,6.94364247761918e-76,5.88894389440718e-80,3.73742356239959e-84,1.77437586562135e-88,6.2992758384405e-93,1.67153065408109e-97,3.3135268237163e-102,4.90400336837765e-107,5.41461139999764e-112,4.45536028068731e-117,2.72649085530061e-122,1.23418512618333e-127,4.07576856059671e-133
