"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.0993332366689,0.00693892228478486,7.89302972263687e-05,4.1475719713804e-05,1.57313801256606e-05,4.32495285219858e-06,8.6879209531968e-07,1.29554421403106e-07,1.47882239469111e-08,1.36236268962073e-09,1.08511756428103e-10,7.84489765006036e-12,5.12606068332889e-13,2.92336421761421e-14,1.41904598475752e-15,5.84034965177516e-17,2.0547236624046e-18,6.23501293554281e-20,1.63819926292056e-21,3.72296168552538e-23,7.29873654445119e-25,1.23229709497029e-26,1.79148094086946e-28,2.24374284050027e-30,2.42210722029404e-32,2.25374520939704e-34,1.80731634636286e-36,1.24880910891882e-38,7.43420498687635e-41,3.81254658106986e-43,1.68423740350849e-45,6.40843527115689e-48,2.09991040171985e-50,5.92485477487559e-53,1.439127425135e-55,3.00861336282804e-58,5.41200656002758e-61,8.37381716055657e-64,1.11395177711162e-66,1.27329170010335e-69,1.24955418410309e-72,1.05161267656363e-75,7.57756584133534e-79,4.66401089997939e-82,2.44361358853524e-85,1.08406097721738e-88,4.03974727396545e-92,1.25002966236811e-95,3.16299005374734e-99,6.42641742300397e-103
"2",0.00698794499970001,3.15163916789287e-05,4.23775328636333e-07,2.63228753657564e-07,1.18019477406856e-07,3.83544451824665e-08,9.10746799338677e-09,1.60539348915876e-09,2.16617102521695e-10,2.35894019397772e-11,2.22099943348197e-12,1.8980445501318e-13,1.46605521962119e-14,9.88318620088756e-16,5.67097829902787e-17,2.75897541159647e-18,1.14738685316476e-19,4.11567688150153e-21,1.27825677752549e-22,3.43389815247032e-24,7.95781789054476e-26,1.58821465415764e-27,2.72931355294496e-29,4.04074817243959e-31,5.1561973907406e-33,5.67137614941347e-35,5.37607449391642e-37,4.39111311410199e-39,3.09001483240149e-41,1.87321943969048e-43,9.78192369945318e-46,4.39967331579119e-48,1.70418468711097e-50,5.68382985691718e-53,1.63196212088977e-55,4.03296701718012e-58,8.57559119906121e-61,1.568471728359e-63,2.466420248059e-66,3.33254528771669e-69,3.86590084089993e-72,3.84590803774975e-75,3.27582178489365e-78,2.38340348613482e-81,1.4761075801922e-84,7.74081442234406e-88,3.40984475243435e-91,1.24723472520353e-94,3.73055259196378e-98,8.9596642919777e-102
"3",5.3460407008911e-05,2.58440940175742e-05,4.10778739476698e-07,3.01615100875386e-07,1.59853042490926e-07,6.1408768723009e-08,1.72369254741187e-08,3.59162605128987e-09,5.72861747534915e-10,7.3743114680308e-11,8.20730285944217e-12,8.29098022232136e-13,7.57002425986889e-14,6.03241742603409e-15,4.09166302011717e-16,2.3530825817263e-17,1.15676908615162e-18,4.90484786425856e-20,1.80073513940657e-21,5.71829571771755e-23,1.56646488029234e-24,3.69558614692632e-26,7.50714888069965e-28,1.31380481030075e-29,1.98173720397052e-31,2.57663229456655e-33,2.88719911978891e-35,2.78761985234778e-37,2.31881955221481e-39,1.66166132228268e-41,1.02571236589855e-43,5.4534233877022e-46,2.49696761629753e-48,9.84429876679537e-51,3.34119064189752e-53,9.76030339597403e-56,2.45329731132294e-58,5.30408253512067e-61,9.85934629641371e-64,1.57472444495886e-66,2.15936811828792e-69,2.53934866310613e-72,2.55676711770489e-75,2.19895297091503e-78,1.60984419847623e-81,9.97929721865299e-85,5.19631384536039e-88,2.24675867132115e-91,7.94381030741162e-95,2.25525108776125e-98
"4",2.65563656562719e-05,1.51755750456584e-05,2.85127606059251e-07,2.47475298474379e-07,1.55041209365215e-07,7.04050961249977e-08,2.33604376813228e-08,5.7538660853329e-09,1.08484058915568e-09,1.65076421117568e-10,2.17175831497495e-11,2.59336937418894e-12,2.7990021715083e-13,2.63660344602471e-14,2.11397941476526e-15,1.43709516897302e-16,8.35107722360629e-18,4.18570707760639e-19,1.81652172433476e-20,6.81875102026245e-22,2.20803701772256e-23,6.15767103187323e-25,1.47861683688111e-26,3.05885528844721e-28,5.45408135621039e-30,8.38253663989543e-32,1.11031758129233e-33,1.26721846991363e-35,1.24604109148829e-37,1.05549307292525e-39,7.7016882126695e-42,4.8403528688303e-44,2.6198002697481e-46,1.22092088761711e-48,4.89836856966701e-51,1.69145709721937e-53,5.02568561069819e-56,1.28440761893364e-58,2.82220258965535e-61,5.32834209223694e-64,8.63697536721964e-67,1.20061785259553e-69,1.42896337937487e-72,1.45275819325458e-75,1.25721254086554e-78,9.21238926854855e-82,5.67041914410431e-85,2.89816882466757e-88,1.21127731663939e-91,4.0649675755574e-95
"5",9.47079966641432e-06,6.39750497772263e-06,1.42086301235357e-07,1.45778092540969e-07,1.07958046990587e-07,5.79507996713664e-08,2.2729180542558e-08,6.61774484291904e-09,1.4749036813684e-09,2.65295720183621e-10,4.1257618673195e-11,5.8237739280961e-12,7.43003450850213e-13,8.27332102271044e-14,7.84121352344412e-15,6.30108765461197e-16,4.32832593400826e-17,2.56444716044472e-18,1.31556703958233e-19,5.8374703315657e-21,2.23446557881126e-22,7.36599242054834e-24,2.09082602314201e-25,5.1129158674314e-27,1.07765262805996e-28,1.95785311477574e-30,3.06548593654828e-32,4.1357194561607e-34,4.80705849373004e-36,4.81337718455438e-38,4.15171856610053e-40,3.08436994086694e-42,1.97335439125575e-44,1.08710600091098e-46,5.15564842931978e-49,2.10445811707741e-51,7.3913213230593e-54,2.23294025996242e-56,5.79975813193839e-59,1.29437841391401e-61,2.48015205848905e-64,4.07538731700503e-67,5.73366951999648e-70,6.8905257026439e-73,7.04880008590922e-76,6.10557028706629e-79,4.44238896812471e-82,2.68393853468645e-85,1.32598904198168e-88,5.26018358779899e-92
"6",2.43744590854294e-06,1.94628499478728e-06,5.10970086626286e-08,6.1970214029465e-08,5.42491849399351e-08,3.4422713072875e-08,1.59594127713102e-08,5.49275986483497e-09,1.44707726210605e-09,3.07684606659382e-10,5.65623113784638e-11,9.43789114604479e-12,1.42334032102014e-12,1.87346361611927e-13,2.0989211930571e-14,1.99377359032192e-15,1.6189287667048e-16,1.13383276716458e-17,6.8756806673402e-19,3.60640806747019e-20,1.63181647639673e-21,6.35881775286017e-23,2.13358757061487e-24,6.16749331983636e-26,1.53661935450327e-27,3.30000865150973e-29,6.10775721771735e-31,9.74049379347979e-33,1.33831016054142e-34,1.58407131215803e-36,1.61510293151278e-38,1.41835918901544e-40,1.07268526886852e-42,6.98532454383518e-45,3.91602499820032e-47,1.88951312595423e-49,7.84475120491186e-52,2.80144216703689e-54,8.601256620312e-57,2.26913716912118e-59,5.13955196845555e-62,9.98305142918953e-65,1.66025402422223e-67,2.35853164026994e-70,2.852016335523e-73,2.92018600842139e-76,2.51158758707816e-79,1.79370813255937e-82,1.04753034357242e-85,4.91218872802342e-89
"7",4.57547453836911e-07,4.31872008122555e-07,1.34026773706199e-08,1.92143876625394e-08,1.9883106352772e-08,1.49136374165605e-08,8.1734019328999e-09,3.32524789311684e-09,1.03555363905343e-09,2.60275994328672e-10,5.65591610367371e-11,1.11557363024261e-11,1.98874679959995e-12,3.09430750022995e-13,4.09790423355335e-14,4.60138928273373e-15,4.41660279695793e-16,3.65642838884698e-17,2.62102541473044e-18,1.62509167380513e-19,8.69204124843818e-21,4.003817820371e-22,1.5880196361864e-23,5.42627186445914e-25,1.59810983965036e-26,4.05698003347322e-28,8.87599446807185e-30,1.67326103059057e-31,2.71760894476819e-33,3.80235255644763e-35,4.58274111833463e-37,4.75728106860163e-39,4.25297046123351e-41,3.27381477106225e-43,2.16950390499225e-45,1.2374064039788e-47,6.07280150564019e-50,2.56353374290578e-52,9.30393671144823e-55,2.90143641572148e-57,7.76828293545486e-60,1.7836537330356e-62,3.50646287933303e-65,5.88821794228757e-68,8.41669604491608e-71,1.01870307275164e-73,1.03569741853779e-76,8.74346968102849e-80,6.03595660176532e-83,3.34581563473028e-86
"8",6.4029555976034e-08,7.14408920429646e-08,2.62078166304132e-09,4.44133254397288e-09,5.43273403755664e-09,4.8168736494628e-09,3.12055611009656e-09,1.5007233233913e-09,5.524546963076e-10,1.64136682130047e-10,4.21620734251766e-11,9.83025325930169e-12,2.07154048860165e-12,3.80999905306989e-13,5.96445365046873e-14,7.91672036825769e-15,8.9823947507251e-16,8.79039380389084e-17,7.44851946363569e-18,5.45913778158756e-19,3.45156005561526e-20,1.87938358519763e-21,8.81139062670605e-23,3.55907877647517e-24,1.23905373991599e-25,3.71820947425412e-27,9.61602250662248e-29,2.14283933724418e-30,4.11396263030086e-32,6.80413978101859e-34,9.69379060559114e-36,1.18952777320985e-37,1.25705884196924e-39,1.14383876305767e-41,8.96021865502212e-44,6.04112742519547e-46,3.50463011576281e-48,1.74879783198672e-50,7.50265162134924e-53,2.76572220380093e-55,8.75322312831487e-58,2.37575130628606e-60,5.52086516660522e-63,1.09589573502805e-65,1.85171638526817e-68,2.6492802839283e-71,3.1839090288855e-74,3.1773059100377e-77,2.59279867538123e-80,1.69891698900411e-83
"9",6.96768205567592e-09,9.18971766984183e-09,3.98504846179851e-10,7.98295209792739e-10,1.15429321011004e-09,1.20979118730728e-09,9.26455626910371e-10,5.2667260014393e-10,2.2918396467827e-10,8.04897677080372e-11,2.44401827716735e-11,6.73588495989939e-12,1.67791843679776e-12,3.64795735841016e-13,6.7506100072874e-14,1.05916865908012e-14,1.42055946733108e-15,1.64332354878763e-16,1.64600886347376e-17,1.42604665225745e-18,1.06579229857576e-19,6.8599355923001e-21,3.8018635779642e-22,1.81525290488339e-23,7.47028460439753e-25,2.64989291292828e-26,8.10097714784568e-28,2.13392431345594e-29,4.84280753184148e-31,9.46798495553931e-33,1.59450333513176e-34,2.3128839877845e-36,2.88923146338782e-38,3.10769940025371e-40,2.87766521524065e-42,2.29343861818697e-44,1.5727466860858e-46,9.27691680327113e-49,4.70463897244436e-51,2.05006458276621e-53,7.66963067019896e-56,2.460678609739e-58,6.7594058527552e-61,1.58605442126275e-63,3.16789503386305e-66,5.35761727730619e-69,7.61117828351684e-72,8.97837499560793e-75,8.66073940909905e-78,6.70819687469588e-81
"10",6.30929593998556e-10,9.8365365054439e-10,5.04221211582712e-11,1.19398396174995e-10,2.04079121604245e-10,2.52836818750714e-10,2.28876914205441e-10,1.53803265579229e-10,7.91145796719125e-11,3.28443322265523e-11,1.17888563900383e-11,3.84069088433055e-12,1.13092291715618e-12,2.90642671826101e-13,6.35770113251042e-14,1.17915168634762e-14,1.86943960515113e-15,2.55636324405844e-16,3.0267679087852e-17,3.09976057359198e-18,2.73851081119461e-19,2.08357618886337e-20,1.36500217061072e-21,7.70409126232888e-23,3.74773514797945e-24,1.57147520437076e-25,5.67889817541768e-27,1.76828861906987e-28,4.74371746553164e-30,1.09629297224043e-31,2.1824382685948e-33,3.74212121644423e-35,5.52578270532542e-37,7.02583484321064e-39,7.69035990741369e-41,7.24504328677088e-43,5.87300144429346e-45,4.09498632794914e-47,2.45483644119215e-49,1.26447797157681e-51,5.59198041448396e-54,2.12076989601452e-56,6.88643804848513e-59,1.91008050379154e-61,4.50974343864861e-64,9.01571561414188e-67,1.51400698234431e-69,2.11116019556116e-72,2.40727599641121e-75,2.20406388973241e-78
