"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11357882419907,1.10088541185056e-08,1.21414811298308e-15,1.17637119564232e-16,3.87441004478944e-18,4.38927888807498e-20,1.71195986016465e-22,2.27486251048365e-25,1.01334883827518e-28,1.49687890264569e-32,7.79977680283362e-37,2.96262039958859e-41,2.16497962982343e-45,1.02351327723848e-49,2.13072984520642e-54,1.93188327442945e-59,8.10982420264573e-65,1.99416070636614e-70,4.11139727194325e-76,6.34024306190811e-82,5.36783635635046e-88,2.29934089445089e-94,5.33173244976132e-101,7.78361771542498e-108,7.78686004241836e-115,4.89776036577018e-122,1.75919366593579e-129,3.60196105330804e-137,4.4351213057957e-145,3.3644099217752e-153,1.50619885017124e-161,3.74549736188933e-170,5.01451050396095e-179,3.62579070064832e-188,1.4515955919389e-197,3.30255259075906e-207,4.28742061292579e-217,3.10181690656654e-227,1.20702134193006e-237,2.4504257878164e-248,2.54303840311796e-259,1.3328532684855e-270,3.50344520856752e-282,4.5998541478816e-294,3.00982700365681e-306,9.80369520386327e-319,0,0,0,0
"2",1.1008854381011e-08,4.80678024948924e-16,9.39308456889578e-23,1.61252091812158e-23,9.41002915930792e-25,1.88887394199689e-26,1.30535245072501e-28,3.07336242171993e-31,2.42572748531702e-34,6.34883608482637e-38,5.86157105993384e-42,3.94486622214909e-46,5.10780721907051e-50,4.27856935186014e-54,1.57818494523613e-58,2.53533178791553e-63,1.8857745537513e-68,8.21604667098996e-74,3.00134969015943e-79,8.20082367977647e-85,1.23019865120341e-90,9.33692251001015e-97,3.83612854115842e-103,9.92271945819849e-110,1.7588791305956e-116,1.96017827464677e-123,1.24748721567972e-130,4.52570118376104e-138,9.87362838882546e-146,1.32710288109681e-153,1.05269463764191e-161,4.63824843221954e-170,1.10026543132528e-178,1.40960056674552e-187,9.9991570042138e-197,4.03080604372199e-206,9.27177027163781e-216,1.18852177166705e-225,8.19464876904062e-236,2.94768696616545e-246,5.42022278442309e-257,5.03351042185251e-268,2.34427400951661e-279,5.45357783780499e-291,6.32271201428586e-303,3.64901606544181e-315,0,0,0,0
"3",9.87321952904e-16,2.26826250252767e-16,7.85365265542903e-23,2.38887390510351e-23,2.47003581504554e-24,8.78495757707712e-26,1.07569436636902e-27,4.48744660518919e-30,6.27555208414294e-33,2.91023765578989e-36,4.76072162448001e-40,5.67695491625913e-44,1.30239306434499e-47,1.9329942632038e-51,1.26332269293878e-55,3.59596631468085e-60,4.73909043513325e-65,3.65841134164655e-70,2.36793974792824e-75,1.14639936195197e-80,3.04703974882463e-86,4.0976139495645e-92,2.98294226886079e-98,1.36712058298145e-104,4.2937476533432e-111,8.47852889378766e-118,9.56060661127672e-125,6.14553409824889e-132,2.37560891730608e-139,5.65753400584454e-147,7.95150623282346e-155,6.20762411349112e-163,2.60911538279883e-171,5.92265308192209e-180,7.44402852430948e-189,5.31693013950869e-198,2.16698610945043e-207,4.92181197534367e-217,6.01274288328746e-227,3.832199078012e-237,1.24855664508679e-247,2.05440705160173e-258,1.69530682167249e-269,6.9878868641019e-281,1.43546352633329e-292,1.46787457459661e-304,7.46926368307084e-317,0,0,0
"4",8.36048916291537e-17,3.40322466431933e-17,2.08782170613362e-23,1.12522495973401e-23,2.0614546878025e-24,1.29907619101809e-25,2.81843654065498e-27,2.08325806931536e-29,5.16202530259818e-32,4.24151549985932e-35,1.22939035652824e-38,2.5975078687621e-42,1.0558638313772e-45,2.7766479273429e-49,3.2153552264524e-53,1.62164090014189e-57,3.78667892766449e-62,5.17941169741751e-67,5.93995230907294e-72,5.09533400974944e-77,2.39960221503375e-82,5.71763708660502e-88,7.37487742877426e-94,5.98881906657376e-100,3.33269292487685e-106,1.16601382299004e-112,2.32966274754377e-119,2.65333234414162e-126,1.81731987913063e-133,7.66845750857906e-141,1.90965387346506e-148,2.64152714437165e-156,1.96719478166448e-164,7.91215497269455e-173,1.76202039498556e-181,2.22991479198062e-190,1.61030393356772e-199,6.48039020553551e-209,1.40272708658304e-218,1.58406509500287e-228,9.14445073864048e-239,2.6660008488859e-249,3.89804194312647e-260,2.84687550231703e-271,1.03618949308996e-282,1.87741542729263e-294,1.6926751505126e-306,7.59566642603416e-319,0,0
"5",2.25093468760405e-18,1.62347736373556e-18,1.76471037093393e-24,1.68517030885022e-24,5.47019296525719e-25,6.10784333240564e-26,2.34793428911535e-27,3.07500029798706e-29,1.35003998191425e-31,1.96549512901209e-34,1.00940424686997e-37,3.77882351570122e-41,2.72164867119495e-44,1.26814635314146e-47,2.60196789360977e-51,2.32515588633404e-55,9.62011536772236e-60,2.33145288074769e-64,4.73754752335738e-69,7.20058351001363e-74,6.00839809181714e-79,2.53664938582516e-84,5.7972639732845e-90,8.3413025472483e-96,8.22455468996279e-102,5.09853264420943e-108,1.80492421896084e-114,3.64235255627514e-121,4.42024272982067e-128,3.30481511852637e-135,1.45820379234181e-142,3.57390541987508e-150,4.71584750433187e-158,3.36071424083744e-166,1.32608738662931e-174,2.97354074365539e-183,3.8046778584476e-192,2.71291137264744e-201,1.04047594583162e-210,2.0818828976319e-220,2.1294395202121e-230,1.09999922839134e-240,2.84972542390697e-251,3.68764746602356e-262,2.37817887692988e-273,7.63466749456598e-285,1.21962909352391e-296,9.69711739666518e-309,3.83889006818649e-321,0
"6",1.92687542866587e-20,2.46241583013918e-20,4.74256188685276e-26,8.02431150051914e-26,4.61520545730485e-26,9.13062893468448e-27,6.21903720666717e-28,1.44313443950461e-29,1.1226197315069e-31,2.89589242322753e-34,2.6351175435207e-37,1.74789719758344e-40,2.23056945907033e-43,1.84152440109879e-46,6.6947512666353e-50,1.06000764982899e-53,7.77072637927921e-58,3.33681701480466e-62,1.20138924612215e-66,3.23535741032997e-71,4.78341084876023e-76,3.578193645257e-81,1.44894161069406e-86,3.69390816699983e-92,6.45340654859139e-98,7.08836787886625e-104,4.44615326196082e-110,1.58976103775476e-116,3.41838047392463e-123,4.52841125679678e-130,3.5403102944542e-137,1.53741308007066e-144,3.59444366561956e-152,4.53866289174581e-160,3.17316676325531e-168,1.26072120643776e-176,2.85816612396401e-185,3.61101751233833e-194,2.4538637496111e-203,8.69959650250118e-213,1.5766399772103e-222,1.44305876478643e-232,6.62398080705479e-243,1.5187624701704e-253,1.73543914701165e-264,9.87141503424498e-276,2.79409695507151e-287,3.93623267142001e-299,2.76155328373516e-311,9.88131291682493e-324
"7",5.24462149240856e-23,1.18753472585186e-22,4.05249364491301e-28,1.21490278358074e-27,1.23808139995589e-27,4.33993540115417e-28,5.2375735979631e-29,2.15346682949733e-30,2.96816800147874e-32,1.35663383457868e-34,2.18728121907e-37,2.57066171495015e-40,5.81258353146822e-43,8.50267042152994e-46,5.47692413995758e-49,1.53651106102415e-52,1.99578024951642e-56,1.51847591159542e-60,9.68687437658747e-65,4.62217733547384e-69,1.21083909733551e-73,1.60485944881511e-78,1.15145895086107e-83,5.20125422800493e-89,1.61003539949375e-94,3.13340881104189e-100,3.48240800499562e-106,2.20623354900764e-112,8.4055173026337e-119,1.97294201139952e-125,2.73296581429453e-132,2.1028478705888e-139,8.711107572272e-147,1.94892009759268e-154,2.41425653715913e-162,1.69955017052122e-170,6.82695139407284e-179,1.52824628918141e-187,1.8400880809317e-196,1.15587717881689e-205,3.71167144358805e-215,6.01929211723412e-225,4.8955882151502e-235,1.98884109020889e-245,4.02665136321847e-256,4.05824687601529e-267,2.03528360992839e-278,5.08029155540323e-290,6.31517972108992e-302,3.91277958352352e-314
"8",4.53981558568949e-26,1.82135579235167e-25,1.1012735981106e-30,5.84977044869286e-30,1.05626018149027e-29,6.56038589645803e-30,1.40281587445961e-30,1.02195819752932e-31,2.49578882550907e-33,2.02118661378625e-35,5.77394715788681e-38,1.20236831367793e-40,4.81710610088002e-43,1.24852361856879e-45,1.4249596101345e-48,7.08314173166086e-52,1.63014926862181e-55,2.19759152639047e-59,2.48397456567707e-63,2.10007348975407e-67,9.74762328204663e-72,2.28914718043353e-76,2.9101112043866e-81,2.32912940718143e-86,1.27745430371918e-91,4.40505587204882e-97,8.67437963861675e-103,9.73721297818849e-109,6.57312730179781e-115,2.73367152828795e-121,6.70950715154462e-128,9.1472108045891e-135,6.71395802324053e-142,2.66148296608079e-149,5.84167625608785e-157,7.28639096177585e-165,5.18596645920492e-173,2.05693541053187e-181,4.38823956712665e-190,4.88413678219948e-199,2.77888174829555e-208,7.98491638907506e-218,1.15067915403726e-227,8.28273679548688e-238,2.97127068198561e-248,5.30592447257024e-259,4.71489415787185e-270,2.08525927525734e-281,4.59284248418637e-293,5.04203240305946e-305
"9",1.25285855864215e-29,8.90600707605273e-29,9.54130731431247e-34,8.97999082252574e-33,2.87297858502293e-32,3.16166083070748e-32,1.19787355243119e-32,1.54620775878644e-33,6.69062924374441e-35,9.60041382780876e-37,4.8593788317817e-39,1.79295705385305e-41,1.27274965687619e-43,5.8449116501673e-46,1.18197463053332e-48,1.04101250027375e-51,4.24504010823211e-55,1.01397163999622e-58,2.03072162245979e-62,3.04202061678899e-66,2.50178975089006e-70,1.04099873290592e-74,2.34482524640547e-79,3.32520884567928e-84,3.23143254163484e-89,1.97435640776227e-94,6.88869520790765e-100,1.3701169074212e-105,1.63877530808128e-111,1.20758611240477e-117,5.25154162858488e-124,1.26855497296712e-130,1.64977089636717e-137,1.15875899720387e-144,4.50641646617749e-152,9.95934375113321e-160,1.25595005087363e-167,8.82648385089504e-176,3.33642846091497e-184,6.57966402961082e-193,6.63300582290837e-202,3.37703138749732e-211,8.62270208767163e-221,1.09973338422823e-230,6.99004832003963e-241,2.21168583202235e-251,3.48224025825165e-262,2.72879718111359e-273,1.06492043104612e-284,2.07140801575844e-296
"10",1.14260833841786e-33,1.439139166629e-32,2.73181982957495e-37,4.55558835102174e-36,2.58241111160214e-35,5.03538502248734e-35,3.38028091371972e-35,7.73097158618176e-36,5.92730950548082e-37,1.50697138792225e-38,1.35151298411485e-40,8.83555356320599e-43,1.11129990563901e-44,9.04254443844565e-47,3.24000192274176e-49,5.05612112352823e-52,3.65315193320205e-55,1.54609493378301e-58,5.48637076856341e-62,1.45620100303971e-65,2.12194632315806e-69,1.56443742825176e-73,6.24371239937923e-78,1.56882950265696e-82,2.70132182160595e-87,2.92436244691496e-92,1.80786928533593e-97,6.37106585620259e-103,1.35020058671177e-108,1.7628745276104e-114,1.35835885155695e-120,5.81381768731689e-127,1.33967720129232e-133,1.66722440873989e-140,1.14883240650518e-147,4.49863219606844e-155,1.00518626212273e-162,1.25165984461759e-170,8.38310330123648e-179,2.92921420020587e-187,5.23217429830275e-196,4.71988409295586e-205,2.13532522322576e-214,4.82539055176782e-224,5.43437558487159e-234,3.04661320685224e-244,8.49918003039553e-255,1.1800868372873e-265,8.15988953982509e-277,2.81227110701343e-288
