"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.09754116213322,0.00796636726850468,2.31291849352624e-05,1.58726344059745e-06,3.40242610837795e-08,2.40135942975012e-10,7.10851264406439e-13,1.3349165776762e-15,1.55821193787552e-18,9.22544239418955e-22,2.84056024239275e-25,4.87322148184497e-29,4.62807145827054e-33,2.37484480190503e-37,6.60682051347033e-42,1.00476384671256e-46,8.34346508274536e-52,3.77477058766516e-57,9.31250777905178e-63,1.25390001132829e-68,9.21444819321655e-75,3.69577136218133e-81,8.09256780219812e-88,9.67599064535909e-95,6.31788218806673e-102,2.25281397424172e-109,4.38627969210692e-117,4.6609551744872e-125,2.7001813886435e-133,8.51095028429248e-142,1.45480562779168e-150,1.34215372306323e-159,6.64154127530558e-169,1.74991287056219e-178,2.43557233243615e-188,1.77654537613411e-198,6.74068869317932e-209,1.3215753010166e-219,1.33122930699805e-230,6.85665447237576e-242,1.79877535300032e-253,2.39601382991622e-265,1.61650549937531e-277,5.51322199520312e-290,9.49146693951205e-303,8.23904246494754e-316,0,0,0,0
"2",0.00798006518352839,4.10324628949476e-05,2.25623765216896e-07,2.93245110833144e-08,1.19049540074301e-09,1.59130505243339e-11,8.92138467385866e-14,3.17296224756943e-16,7.0144650979452e-19,7.86524917148148e-22,4.58655432048389e-25,1.49023905242794e-28,2.68038450691301e-32,2.60489084476777e-36,1.37247378347459e-40,3.95305449865354e-45,6.21688032848647e-50,5.3268917343465e-55,2.48889863277077e-60,6.34688632220897e-66,8.83332885571399e-72,6.70992112760948e-78,2.78263292184181e-84,6.30118550109214e-91,7.79211944731516e-98,5.26219166627098e-105,1.94041625950951e-112,3.9050874436393e-120,4.28455803051718e-128,2.55769289111598e-136,8.28004254093221e-145,1.44672874002116e-153,1.35584791479141e-162,6.76574740803703e-172,1.78343645309823e-181,2.46371328255107e-191,1.77041623584704e-201,6.57385740762738e-212,1.2541182538496e-222,1.22336242323061e-233,6.07822892737074e-245,1.53336906855953e-256,1.95925885011733e-268,1.26554433406662e-280,4.12631592462035e-293,6.78364529245809e-306,5.61846511794207e-319,0,0,0
"3",1.05522960645265e-05,1.27906338147922e-05,1.33200720983972e-07,3.27876104090431e-08,2.52094842590542e-09,6.38185501529874e-11,6.77614999039914e-13,4.56428655573475e-15,1.91099613757373e-17,4.05821441541555e-20,4.4819426789328e-23,2.7579916660884e-26,9.39488268343298e-30,1.72918334794651e-33,1.72549150556614e-37,9.41236635757715e-42,2.80346915105901e-46,4.54940286810344e-51,4.02573319798886e-56,1.94426631800097e-61,5.1247972089831e-67,7.37270664380021e-73,5.79058859478785e-79,2.48339789994206e-85,5.81616741235376e-92,7.43883991646276e-99,5.19506168164965e-106,1.98008493397997e-113,4.11449310096085e-121,4.65174563130281e-129,2.85205162918206e-137,9.43776538449365e-146,1.67513687278565e-154,1.58311459796766e-163,7.90335456484702e-173,2.06776530719863e-182,2.81412715022541e-192,1.9790003228986e-202,7.15025165948525e-213,1.32097691432822e-223,1.2430093552933e-234,5.9388354937175e-246,1.43715518878512e-257,1.75811171073255e-269,1.0856474880599e-281,3.3802337992724e-294,5.30225891779326e-307,4.18720634850456e-320,0,0
"4",4.93523356796874e-07,1.13294822169856e-06,2.23450754252067e-08,1.04169905058794e-08,1.51688870004628e-09,7.27267100381908e-11,1.46247102898842e-12,1.86566823185817e-14,1.4793760250491e-16,5.94991839184851e-19,1.24451338145102e-21,1.45038558645257e-24,9.35705408839108e-28,3.26171549035697e-31,6.16417713358151e-35,6.36822442680111e-39,3.59229978131814e-43,1.1040492328171e-47,1.85027501818523e-52,1.6924050076686e-57,8.448555994499e-63,2.3019188474454e-68,3.42407302642747e-74,2.78114652485029e-80,1.23359247769529e-86,2.98811480587672e-93,3.95221013836291e-100,2.85292524353931e-107,1.12274250312264e-114,2.4040142449305e-122,2.79148767239288e-130,1.74946299677839e-138,5.88089107333661e-147,1.05259776506503e-155,9.95219344213066e-165,4.93135014636934e-174,1.27105857524035e-183,1.69287529347121e-193,1.15839768801702e-203,4.05311415205477e-214,7.22312711455596e-225,6.53596034884239e-236,2.9954979970671e-247,6.94015365751123e-259,8.11649833692875e-271,4.78612310563866e-283,1.4218549989455e-295,2.12676703314663e-308,1.60077269252564e-321,0
"5",6.94196527828720e-09,3.01815848416598e-08,1.12738189674718e-09,9.95379639615893e-10,2.74509547392857e-10,2.49261343927295e-11,9.49304446524042e-13,2.29355898121731e-14,3.44438211526974e-16,2.62362047368526e-18,1.03931411576735e-20,2.29397131682141e-23,2.80285674214432e-26,1.85039774325226e-29,6.62294848435973e-33,1.29584148719544e-36,1.38440559106029e-40,8.05817075423461e-45,2.55765265172016e-49,4.4306437662725e-54,4.18892197650455e-59,2.16155876106641e-64,6.08943934154459e-70,9.36732122763207e-76,7.86901745279029e-82,3.6099678026635e-88,9.04280841630319e-95,1.23626321402845e-101,9.21420714942992e-109,3.7365611796122e-116,8.21727890858498e-124,9.75336164303165e-132,6.2094045405632e-140,2.10487599854601e-148,3.76912147199868e-157,3.53707622103718e-166,1.72663840344336e-175,4.35529975527259e-185,5.64427310034615e-195,3.74021377485193e-205,1.26237998628658e-215,2.16337349537152e-226,1.87779588174276e-237,8.23959162777538e-249,1.82499869637959e-260,2.03814450595391e-272,1.14673658857437e-284,3.2485199114332e-297,4.63103847116278e-310,3.45845952088873e-323
"6",3.69531519024868e-11,3.04276452318942e-10,2.15255676340395e-11,3.5993954386558e-11,1.87998989777362e-11,3.23303381493765e-12,2.33194381662989e-13,1.06703762527845e-14,3.03485816528875e-16,4.37809657959298e-18,3.28464474840327e-20,1.37305146417912e-22,3.1772909530639e-25,3.97263283853074e-28,2.69291079971718e-31,9.97883229812627e-35,2.01905635748237e-38,2.22576247282117e-42,1.33795395134986e-46,4.38958728161286e-51,7.85988840238223e-56,7.68136509625941e-61,4.09832054474887e-66,1.19399162585551e-71,1.8996064207175e-77,1.65045505309916e-83,7.8299854672337e-90,2.02733643599097e-96,2.86173953688343e-103,2.19786737474474e-110,9.15407920411656e-118,2.05777657187703e-125,2.48113901889033e-133,1.59288679719439e-141,5.40201497465598e-150,9.60101882124349e-159,8.87629140552881e-168,4.24038665605013e-177,1.04076500350801e-186,1.3061658940825e-196,8.34928465221633e-207,2.70986667780941e-217,4.45473685690254e-228,3.70200169692826e-239,1.55292591457554e-250,3.28458423638446e-262,3.49998637939846e-274,1.87778329243048e-286,5.06985547578329e-299,6.87769607399781e-312
"7",1.21348129014394e-13,1.89237496642466e-12,2.5354246943668e-13,8.02939675384459e-13,7.94266278786042e-13,2.58689087554585e-13,3.5338100187776e-14,3.06240130641053e-15,1.64959761408305e-16,4.5069445141702e-18,6.40387036476674e-20,5.06988601276723e-22,2.22190567706366e-24,5.26143626152391e-27,6.75468508564408e-30,4.74045594930984e-33,1.81654468549754e-36,3.79257093844884e-40,4.31770847865352e-44,2.68282961512926e-48,9.09793931418366e-53,1.68392333965352e-57,1.70155928359966e-62,9.3885753349208e-68,2.8289110779769e-73,4.65496716708871e-79,4.18245357830278e-85,2.05094140119477e-91,5.48295627897846e-98,7.97523363341533e-105,6.29091548664445e-112,2.67827184819256e-119,6.11596215676949e-127,7.43628209614841e-135,4.77621623490199e-143,1.6076917040412e-151,2.8149731328066e-160,2.54686200615952e-169,1.18388601068205e-178,2.81392683328815e-188,3.40659874437599e-198,2.09400103428345e-208,6.51940971515553e-219,1.02607731600892e-229,8.15176147198938e-241,3.26541499831527e-252,6.58994190630355e-264,6.69603870547023e-276,3.42393346666769e-288,8.79690639895958e-301
"8",2.64601117080986e-16,7.81489299644799e-15,1.98300500567011e-15,1.18935982790076e-14,2.22819771756938e-14,1.37443106424448e-14,3.55586532353277e-15,5.83608301077593e-16,5.95380534871838e-17,3.0807472994205e-18,8.29036496353663e-20,1.24304418422477e-21,1.03174231430626e-23,4.6270819392497e-26,1.12503293367607e-28,1.49533155423257e-31,1.08522732688436e-34,4.29107002007661e-38,9.25214558305834e-42,1.08877837395163e-45,6.99272876071443e-50,2.4512252212332e-54,4.69099789291173e-59,4.90202025490326e-64,2.79738315421192e-69,8.71779262336774e-75,1.48346838096621e-80,1.37770955260615e-86,6.97551783427627e-93,1.92159711491877e-99,2.87071466073451e-106,2.31466468550856e-113,1.00104931264384e-120,2.30517441968445e-128,2.80407205046012e-136,1.78757886717475e-144,5.92780553721362e-153,1.01573954675271e-161,8.94219402004111e-171,4.02535561505468e-180,9.22931964949512e-190,1.07444168788167e-199,6.33536275107249e-210,1.88842852102997e-220,2.841379093647e-231,2.1556257034653e-242,8.23898684209944e-254,1.58550432658866e-265,1.53543715638298e-277,7.4712617691873e-290
"9",2.93334684120323e-19,1.64078634409925e-17,7.88515183302128e-18,8.95688025897907e-17,3.17800430162113e-16,3.71262402663976e-16,1.81911671948729e-16,5.65449696110217e-17,1.09250743011031e-17,1.07063909230265e-18,5.45654728423812e-20,1.5494875538172e-21,2.4357349145282e-23,2.06882245942003e-25,9.52661294888851e-28,2.39810412249093e-30,3.29616172364972e-33,2.46837219090935e-36,1.00796338054711e-39,2.24646178730563e-43,2.73252085531082e-47,1.81408349457291e-51,6.57501194534819e-56,1.301258749393e-60,1.40636409248372e-65,8.3006021974561e-71,2.67509133169939e-76,4.70516916896129e-82,4.5118149531764e-88,2.35393473131943e-94,6.66007866665074e-101,1.0170321230003e-107,8.33027443771477e-115,3.63299568528087e-122,8.36965414046924e-130,1.01051044776022e-137,6.34639058987729e-146,2.05955058751284e-154,3.433930045537e-163,2.92758060692097e-172,1.27125170553877e-181,2.80286360476349e-191,3.13002534062684e-201,1.76699032136819e-211,5.03523858177687e-222,7.23471585838271e-233,5.2369591677491e-244,1.90866655201558e-255,3.50067610619715e-267,3.22604997064427e-279
"10",1.65146962038021e-22,1.74951011384089e-20,1.59232508858471e-20,3.42559249768161e-19,2.30192232076651e-18,5.09300857330916e-18,4.72619084636622e-18,2.7822869398914e-18,1.01809802359912e-18,1.88958113647445e-19,1.82388572354831e-20,9.8090070347705e-22,2.92027821221507e-23,4.6975853773328e-25,4.0968233066144e-27,1.95314281898361e-29,5.08430658042099e-32,7.21092728796754e-35,5.57676672905293e-38,2.35393254176624e-41,5.42270170841153e-45,6.81815319466445e-49,4.68018782170253e-53,1.75423451486152e-57,3.59069908688191e-62,4.0137294570082e-67,2.44982104895197e-72,8.16071560433431e-78,1.48204548558253e-83,1.46440742850647e-89,7.84700841514235e-96,2.26942943090722e-102,3.52045319404855e-109,2.90777903013824e-116,1.26870684526589e-123,2.90102740937189e-131,3.45060362536767e-139,2.12079159524504e-147,6.69690636051058e-156,1.08130670834075e-164,8.89260162924845e-174,3.71326980305188e-183,7.85343490042001e-193,8.39659523367348e-203,4.53154559024779e-213,1.23311912149628e-223,1.69051875747259e-234,1.16688517422526e-245,4.05328594093635e-257,7.07430296712541e-269
