"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11309208817249,0.00024279576802502,3.70917210547219e-07,9.31173659076067e-08,1.24014100899891e-08,8.80901110423494e-10,3.36886451138295e-11,7.10682284317814e-13,8.91433964748e-15,8.07184459632016e-17,6.63676375922753e-19,4.71862756033475e-21,2.42274214846613e-23,8.46355246848379e-26,2.07787570213988e-28,3.80346820989512e-31,5.35930618064887e-34,5.73130247857141e-37,4.52618771641717e-40,2.61503658984628e-43,1.11408145249483e-46,3.53408897178902e-50,8.36344946219544e-54,1.4710425786594e-57,1.91742834612339e-61,1.8523815266703e-65,1.328189309148e-69,7.07248989224088e-74,2.795966687278e-78,8.20280779518244e-83,1.78580843106755e-87,2.88534579615282e-92,3.45998159609642e-97,3.07924484899829e-102,2.03368833787037e-107,9.96736702656111e-113,3.62512523505745e-118,9.78360770548874e-124,1.95925566090519e-129,2.91125129508251e-135,3.20954528479035e-141,2.62517634806558e-147,1.59292746810578e-153,7.16998085012651e-160,2.39363119768317e-166,5.92428996557263e-173,1.08554421841623e-179,1.46545331305309e-186,1.43676248329382e-193,9.91080710882521e-201
"2",0.000242893125077888,1.13185657094344e-07,2.39599513304216e-10,8.33485965364319e-11,1.53814522218974e-11,1.51395195079506e-12,8.02282172883112e-14,2.34518846503958e-15,4.07614945819951e-17,5.11437274641979e-19,5.82686030974138e-21,5.74053818887151e-23,4.0841601914016e-25,1.97700117150995e-27,6.72562212474262e-30,1.70589129007227e-32,3.33072512438112e-35,4.93562568988677e-38,5.40107379060612e-41,4.32398303832681e-44,2.55259443717824e-47,1.12202107885695e-50,3.67932063942448e-54,8.9673909853576e-58,1.61964065097138e-61,2.16814652568242e-65,2.15415441110366e-69,1.5894535786225e-73,8.7069523629098e-78,3.53960967751494e-82,1.06779128025957e-86,2.39060615097751e-91,3.97230525759046e-96,4.89859700472701e-101,4.48301869395226e-106,3.04456510070203e-111,1.53435725606248e-116,5.73800827300237e-122,1.59225240146733e-127,3.27837900430248e-133,5.0081996708348e-139,5.67616841930204e-145,4.77256062838082e-151,2.97667973864814e-157,1.37698755420057e-163,4.72245412684064e-170,1.19905090789135e-176,2.24295599601296e-183,3.04713999927185e-190,2.91256157254839e-197
"3",3.0055179975565e-07,7.05935240620772e-08,2.07070418082849e-10,9.98134536390631e-11,2.55238859252542e-11,3.48112973350391e-12,2.55619464985631e-13,1.03538815323199e-14,2.49364257646361e-16,4.33545960996892e-18,6.844410309162e-20,9.34356697977811e-22,9.21131264963455e-24,6.17851840552748e-26,2.91251750208237e-28,1.02363728251151e-30,2.7694415211016e-33,5.68662100390603e-36,8.62285021466232e-39,9.56562553888751e-42,7.82473926907429e-45,4.76593083337134e-48,2.16557395056289e-51,7.31358225925014e-55,1.83038048098188e-58,3.39523624917525e-62,4.67430302417096e-66,4.77910468628369e-70,3.6276345239267e-74,2.04348471927402e-78,8.54202923314576e-83,2.64997257029907e-87,6.10147201622636e-92,1.0426111952415e-96,1.32214742601488e-101,1.24420877938123e-106,8.68866695842087e-112,4.50242505015663e-117,1.73123449634828e-122,4.93925908132515e-128,1.04554551957066e-133,1.64200791293931e-139,1.91306659991512e-145,1.65336754870528e-151,1.05980502787889e-157,5.03642500213595e-164,1.77194773623878e-170,4.5929604100488e-177,8.64615504950645e-184,1.14515530462532e-190
"4",7.03185188986559e-08,2.28862114983685e-08,9.30220202904474e-11,6.21320170303032e-11,2.20156659727057e-11,4.16067605809462e-12,4.23346797966758e-13,2.37609725150885e-14,7.92964760382766e-16,1.91035240886607e-17,4.17900648577599e-19,7.90511831337089e-21,1.07988089316538e-22,1.00368478609944e-24,6.55601899018886e-27,3.19283456886737e-29,1.19696426118354e-31,3.40566504477319e-34,7.15578283161295e-37,1.09996368707332e-39,1.2467905738195e-42,1.05227689089587e-45,6.62542861468653e-49,3.10048599146927e-52,1.07522576239351e-55,2.76367485586455e-59,5.27220725311923e-63,7.46931572867387e-67,7.85627112289597e-71,6.13229435940989e-75,3.55198656961014e-79,1.52689897269084e-83,4.87149443452934e-88,1.15347618812528e-92,2.02686487303296e-97,2.6429980117691e-102,2.55749850426914e-107,1.83640045760397e-112,9.78442841360624e-118,3.86812083674124e-123,1.13459230440982e-128,2.46905518379495e-134,3.98606432681768e-140,4.77355889929809e-146,4.23991855669263e-152,2.79198173466813e-158,1.361130521026e-164,4.88877701482568e-171,1.2752320198792e-177,2.34039542988375e-184
"5",8.56114538137078e-09,3.8609548863449e-09,2.17452923169022e-11,2.0125820640224e-11,9.88163106764274e-12,2.58773246554822e-12,3.64846691739644e-13,2.83750743363836e-14,1.31215562408033e-15,4.38029753887676e-17,1.32776687330483e-18,3.48029310344653e-20,6.58782367111662e-22,8.48441910289416e-24,7.67933542505599e-26,5.18225183760937e-28,2.69204269536372e-30,1.06135667225067e-32,3.09011923313665e-35,6.5819578385304e-38,1.03378189229321e-40,1.2089938904892e-43,1.05479172732821e-46,6.83976486667254e-50,3.28677309141762e-53,1.17061927621106e-56,3.09442428556722e-60,6.07472841757659e-64,8.85362604676829e-68,9.5760491847201e-72,7.68587562351466e-76,4.57816038188078e-80,2.02395835994653e-84,6.64058987299528e-89,1.61689375630753e-93,2.92154235562587e-98,3.91732317252601e-103,3.89762514277192e-108,2.87757597347331e-113,1.57634050003811e-118,6.40690814175662e-124,1.93195996759149e-129,4.32185599677245e-135,7.17177964661926e-141,8.82675005464655e-147,8.054054237962e-153,5.4407705642545e-159,2.70781837690921e-165,9.78739630951889e-172,2.48900557396605e-178
"6",5.44180223009452e-10,3.40066829127881e-10,2.65395440664048e-12,3.4036153071025e-12,2.31565666423797e-12,8.40279116217463e-13,1.6416224050916e-13,1.7691250370682e-14,1.13361485862631e-15,5.24375579125798e-17,2.20251734884514e-18,7.99966853388691e-20,2.09824791633092e-21,3.7445153040145e-23,4.69629962235979e-25,4.39146409554006e-27,3.1610504575508e-29,1.72690919485997e-31,6.96693962881139e-34,2.05627203305376e-36,4.47520625688843e-39,7.25215210465682e-42,8.76734659699671e-45,7.87773369452673e-48,5.24551953631258e-51,2.58876793051771e-54,9.48234980002221e-58,2.57941749296564e-61,5.20924293415244e-65,7.80725685023003e-69,8.68288630341981e-73,7.16671984066772e-77,4.39025413518804e-81,1.99596723952867e-85,6.73421374246974e-90,1.68607256694034e-94,3.1326519057356e-99,4.31898274363074e-104,4.41841863598786e-109,3.35388957642441e-114,1.88888660162446e-119,7.89249243724715e-125,2.44649879493712e-130,5.62548944301336e-136,9.59384876845422e-142,1.21301243193153e-147,1.13545460722767e-153,7.83046510569439e-160,3.92187605206822e-166,1.38201011538942e-172
"7",1.8259590030876e-11,1.58114319313082e-11,1.70985408829335e-13,3.03853836554e-13,2.86455448423158e-13,1.44034043008217e-13,3.89918207085652e-14,5.82260642857788e-15,5.16991138502065e-16,3.31374198184758e-17,1.92865360201927e-18,9.70656461214622e-20,3.52784114095548e-21,8.72381591237129e-23,1.51609125384809e-24,1.96443446218037e-26,1.95937832247882e-28,1.48325231646988e-30,8.2917508365558e-33,3.39112210259684e-35,1.02266778996265e-37,2.2963976211882e-40,3.84686567992793e-43,4.78959514391604e-46,4.41921041935162e-49,3.02209390259329e-52,1.53387323561536e-55,5.78167666885348e-59,1.61795125781281e-62,3.36006711905366e-66,5.17812180631969e-70,5.9222568389175e-74,5.02707232988544e-78,3.16692329614412e-82,1.48057255702333e-86,5.13662337299639e-91,1.32242869270068e-95,2.52638919613944e-100,3.58132975702949e-105,3.76690677048056e-110,2.93968408130428e-115,1.70203157144996e-120,7.31066874733647e-126,2.3293303029592e-131,5.50455598915276e-137,9.64391424225589e-143,1.25088253075802e-148,1.19534418127071e-154,8.29579363157873e-161,4.0507361927115e-167
"8",3.36503427789723e-13,4.03764689191078e-13,6.05027126209111e-15,1.48983846344941e-14,1.9462122767113e-14,1.35599139903571e-14,5.08655753160397e-15,1.05251075969957e-15,1.29494365058556e-16,1.150125212512e-17,9.27554270828703e-19,6.46858529539172e-20,3.25770266121418e-21,1.11626569270623e-22,2.68809795037243e-24,4.82631823092066e-26,6.67045366278845e-28,6.99698222475441e-30,5.42001690719005e-32,3.07154221204382e-34,1.28353081870642e-36,3.99371872299599e-39,9.27034871787058e-42,1.5993610533511e-44,2.04480102812131e-47,1.93763955361669e-50,1.36274051797994e-53,7.11764236852711e-57,2.75998332763072e-60,7.9423247366695e-64,1.69601860548919e-67,2.68784518634303e-71,3.16148269686015e-75,2.7597636031156e-79,1.78781549056316e-83,8.59467357484253e-88,3.0660736970171e-92,8.11650842965747e-97,1.59430703517723e-101,2.32365252874767e-106,2.51272891400219e-111,2.01591051854742e-116,1.19982914730434e-121,5.29726916828322e-127,1.73461029928518e-132,4.21106194217114e-138,7.56856386523333e-144,1.00218658944305e-149,9.63767368507018e-156,6.52089040028598e-162
"9",3.94567360548726e-15,6.56022390331325e-15,1.3621465538481e-16,4.64779360924347e-16,8.41310913301502e-16,8.12235397490943e-16,4.22189668173576e-16,1.21051129758402e-16,2.06372505076926e-17,2.53983060432899e-18,2.83829557525414e-19,2.74275024528609e-20,1.91402258782602e-21,9.08786477159934e-23,3.03248059944055e-24,7.54444954500859e-26,1.4448595683506e-27,2.10009867049032e-29,2.25417813704685e-31,1.77012013783047e-33,1.02497015135397e-35,4.41917351744019e-38,1.42140655447802e-40,3.39803166418777e-43,6.01991865511056e-46,7.90444208788648e-49,7.70318028489449e-52,5.57508789524065e-55,2.99557830939968e-58,1.19448450756527e-61,3.53445255433726e-65,7.76165719149412e-69,1.26502666085371e-72,1.53016905423221e-76,1.3735639706881e-80,9.14985568235689e-85,4.52299501831753e-89,1.65909565762669e-93,4.51578033255432e-98,9.11991296181292e-103,1.36654459197364e-107,1.5191759768163e-112,1.25289565725459e-117,7.66489482017631e-123,3.47788119163273e-128,1.16993871746262e-133,2.91369189914699e-139,5.34610391659989e-145,7.12393075812028e-151,6.67902448261054e-157
"10",5.917859248717e-17,1.363392183902e-16,3.92269585274625e-18,1.85466850648723e-17,4.6519458219514e-17,6.22327081759895e-17,4.48232199930368e-17,1.78083203970781e-17,4.20692347546693e-18,7.17424478929757e-19,1.11093262700449e-19,1.48756183257321e-20,1.43844905614546e-21,9.46385212357116e-23,4.37585359684185e-24,1.50851965585776e-25,4.00320394417168e-27,8.06269887711863e-29,1.19918900018084e-30,1.30485065657414e-32,1.04695483406671e-34,6.25484346191998e-37,2.78774064625341e-39,9.23464357136362e-42,2.26695031474554e-44,4.1245945487571e-47,5.56978929808234e-50,5.58571902137962e-53,4.15878727796807e-56,2.29786872110359e-59,9.42161841728292e-63,2.86692594470312e-66,6.47471055717059e-70,1.08522242009944e-73,1.34985430520652e-77,1.24597954391889e-81,8.53456597945869e-86,4.33795877145366e-90,1.63608349667837e-94,4.57848728394019e-99,9.5063497672249e-104,1.46438991148275e-108,1.67348649004674e-113,1.41863989578139e-118,8.91947667289324e-124,4.15763546430694e-129,1.43478089099373e-134,3.64785877356851e-140,6.73564162879148e-146,8.75046195275028e-152
"11",5.61193497432495e-18,1.79154392717888e-17,7.14249524947467e-19,4.67940122033724e-18,1.62636229560656e-17,3.01481045334382e-17,3.00886724502632e-17,1.65646245935142e-17,5.42227964814669e-18,1.28130391610836e-18,2.74930136033904e-19,5.10115258974703e-20,6.83512460369037e-21,6.23129854196056e-22,3.99238172728477e-23,1.90712391370982e-24,7.01284624294654e-26,1.95715717390277e-27,4.03358824510498e-29,6.08167765385947e-31,6.76159568635575e-33,5.59752909551054e-35,3.45693285687652e-37,1.58678240979916e-39,5.3975652877021e-42,1.36080478770542e-44,2.54631421280606e-47,3.53843299469912e-50,3.6505412472496e-53,2.79495248577781e-56,1.58793744333687e-59,6.69550002446768e-63,2.09529686124775e-66,4.86634196170859e-70,8.38743997384634e-74,1.07278354646758e-77,1.01821922949983e-81,7.17139983978739e-86,3.74785382127582e-90,1.45330863752229e-94,4.18127078805972e-99,8.92503434401789e-104,1.41329896544285e-108,1.66013215772945e-113,1.44633378062646e-118,9.3418787604844e-124,4.4671657303222e-129,1.57377687674909e-134,4.02663977087092e-140,7.24858856890539e-146
