"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",7.00277322050638,0.517727224159772,0.254039950058316,0.0828317469101742,0.00518410087629429,0.00055151500703058,3.55474399490454e-05,1.48608816595279e-06,4.25754684974885e-08,8.45447501338862e-10,1.15075389743358e-11,1.06606153941581e-13,6.70833363933584e-16,2.86125255985344e-18,8.24819848776817e-21,1.60259567161466e-23,2.09358014423932e-26,1.83476917125792e-29,1.07643895747515e-32,4.21961087965224e-36,1.10321482058044e-39,1.9206512945346e-43,2.22328335547419e-47,1.70888370955792e-51,8.71098436531846e-56,2.94152354078476e-60,6.57331675227347e-65,9.71180864733081e-70,9.47874625262376e-75,6.10662297380851e-80,2.59504050636712e-85,7.26941978119825e-91,1.34156422866501e-96,1.630212906935e-102,1.30371525106888e-108,6.85849280920518e-115,2.37246588446185e-121,5.39422175938284e-128,8.05861393534492e-135,7.9077266768441e-142,5.09530794690938e-149,2.15523292565512e-156,5.98286731694034e-164,1.08970868531028e-171,1.30196479637315e-179,1.02019816330244e-187,5.24180880440778e-196,1.7656703606087e-204,3.89846840760747e-213,5.64085837821281e-222
"2",0.499463537875155,0.0605996009384194,0.0432114272930448,0.0204748743155644,0.00186219732613224,0.000287897186246013,2.6965982373115e-05,1.63825055572598e-06,6.82060681771137e-08,1.96824000730389e-09,3.8931550086681e-11,5.24118329184985e-13,4.79280277022769e-15,2.97070090663832e-17,1.24448500770101e-19,3.51384307266894e-22,6.67076771941516e-25,8.49562810731496e-28,7.24321367071705e-31,4.12612256474969e-34,1.56768080045001e-37,3.96619357249474e-41,6.67187699361849e-45,7.45235534696568e-49,5.52047071701645e-53,2.70900019132937e-57,8.79729385290573e-62,1.88882832290869e-66,2.6789900329695e-71,2.50812477928583e-76,1.5488879600421e-81,6.30526642558885e-87,1.69099761311359e-92,2.98609543207329e-98,3.47032327453727e-104,2.65303943640793e-110,1.33365293531292e-116,4.40655785740781e-123,9.56662744998423e-130,1.36419983353689e-136,1.27739322988861e-143,7.85192635489648e-151,3.16751884231905e-158,8.38393840378931e-166,1.45567605837705e-173,1.65759285480003e-181,1.23766279432439e-189,6.05840939952552e-198,1.94388621961209e-206,4.0874254926357e-215
"3",0.254976591200188,0.0346873147575891,0.035944078949634,0.0247501493307917,0.00327122268195282,0.00073493623728841,0.000100036000159419,8.8317796962022e-06,5.34341307995124e-07,2.24079238891687e-08,6.44099693269441e-10,1.26011034071837e-11,1.6745442036307e-13,1.50832114183826e-15,9.18231928468457e-18,3.76767049342197e-20,1.03942749693966e-22,1.92371932198709e-25,2.38344613734802e-28,1.97307684750851e-31,1.08939993928891e-34,4.00526674406956e-38,9.79114315004317e-42,1.58930319103129e-45,1.71087051593732e-49,1.22005075565561e-53,5.75765704314805e-58,1.79645776374639e-62,3.70274201105115e-67,5.03766548401002e-72,4.52093248890025e-77,2.67447960937888e-82,1.04233344870579e-87,2.67482389500725e-93,4.51740756799112e-99,5.01869587432133e-105,3.66621415149967e-111,1.76036332527159e-117,5.55379094562962e-124,1.15089708394836e-130,1.56606916501295e-137,1.39891194073754e-144,8.20089398487766e-152,3.15440825548769e-159,7.95907124006924e-167,1.31705329712553e-174,1.42907706925628e-182,1.01657579228352e-190,4.74001611419495e-199,1.44839380092874e-207
"4",0.105258624990167,0.0106739747827071,0.0160735084110917,0.0160838115892033,0.0030892218171934,0.00100859422480476,0.000199503704883734,2.55959176917836e-05,2.25044839166748e-06,1.37144931051802e-07,5.72873935422452e-09,1.62870480419512e-10,3.14527229339552e-12,4.11702289909225e-14,3.64224943808403e-16,2.17179105562677e-18,8.70697221743939e-21,2.3417606036826e-23,4.2163238525366e-26,5.07224766595661e-29,4.06978651335458e-32,2.17442061725742e-35,7.72455275990768e-39,1.82210974201228e-42,2.85044553953807e-46,2.95393772400492e-50,2.02580230218678e-54,9.18535847369773e-59,2.75125207847849e-63,5.4395639490166e-68,7.09399068650293e-73,6.09859389094164e-78,3.45402064398395e-83,1.28807538099095e-88,3.16128165828954e-94,5.10378799929995e-100,5.41810488616885e-106,3.78059122289948e-112,1.73330411815365e-118,5.21974829966776e-125,1.03217144823304e-131,1.339859041157e-138,1.14145228730096e-145,6.38031758730547e-153,2.33945458681712e-160,5.6257885925364e-168,8.87081536282504e-176,9.17012982061516e-184,6.21360110694133e-192,2.75916733474033e-200
"5",0.000616652716363319,0.00197146900818958,0.00431422006867963,0.00627347860141235,0.0017510412149242,0.0008307906174381,0.00023881076638202,4.45247483130333e-05,5.68889158357145e-06,5.03809312554978e-07,3.05825239588327e-08,1.26352683485143e-09,3.54591379191167e-11,6.74498576133316e-13,8.67152081046679e-15,7.51400460622392e-17,4.37772429407213e-19,1.71100616487e-21,4.47683276445602e-24,7.82645679319174e-27,9.12565824332105e-30,7.08539326949513e-33,3.65781366526427e-36,1.25386446770893e-39,2.85047111311302e-43,4.2927249496806e-47,4.2781560205227e-51,2.81892485961201e-55,1.22700294273674e-59,3.52538975849065e-64,6.68130806295197e-69,8.34696184390889e-74,6.86991674295423e-79,3.72302245488383e-84,1.32783893407842e-89,3.11532000926199e-95,4.80601671849298e-101,4.87332552422973e-107,3.24689541711186e-113,1.42092424256393e-119,4.08320359395986e-126,7.70257854593339e-133,9.53592042403573e-140,7.74595524548292e-147,4.12738647653383e-154,1.44235364662847e-161,3.30506282884074e-169,4.96500276736622e-177,4.88894567505663e-185,3.15484271926815e-193
"6",5.28621362068226e-05,0.000245596314766255,0.000781019751999884,0.00165042568823161,0.000669440145792728,0.000461567050860158,0.000192807955381149,5.22396611356224e-05,9.69961209197088e-06,1.24830506001655e-06,1.10117335885185e-07,6.61141885687984e-09,2.69628754839739e-10,7.45327081370098e-12,1.39247999971151e-13,1.75344837305968e-15,1.48456003193554e-17,8.43196437432231e-20,3.20609133942639e-22,8.14513042236741e-25,1.38014552686848e-27,1.55722896562234e-30,1.16825573592736e-33,5.81962191227268e-37,1.9225987263335e-40,4.20758501475335e-44,6.09374514550552e-48,5.83497498978179e-52,3.69087158009172e-56,1.5410555714365e-60,4.24424542535089e-65,7.70540112134283e-70,9.21607771829766e-75,7.25801967741685e-80,3.7618001147806e-85,1.28256921743324e-90,2.87535357305154e-96,4.23700749197544e-102,4.10232384310269e-108,2.6089178005611e-114,1.08947768195683e-120,2.98662894586537e-127,5.37323188944274e-134,6.34272350362925e-141,4.91138256605794e-148,2.49418242888917e-155,8.30546608861216e-163,1.81314115420336e-170,2.5945088903497e-178,2.43301897320802e-186
"7",3.20560122233082e-06,2.16428506497384e-05,0.000100018990095145,0.000307145568351592,0.000181045553519407,0.000181400608669899,0.000110117595898601,4.33570728580186e-05,1.1698813037684e-05,2.18794296247467e-06,2.80477993637476e-07,2.44717822426966e-08,1.45032376897167e-09,5.82604038928481e-11,1.58177019032313e-12,2.89451120479169e-14,3.561294154007e-16,2.93945405749405e-18,1.6242079646153e-20,5.9964141273409e-23,1.47654364640228e-25,2.42103858701419e-28,2.63945943056102e-31,1.91073153187393e-34,9.17321096533053e-38,2.91738309467482e-41,6.14006092479546e-45,8.54388163950028e-49,7.85367617168377e-53,4.76529933754421e-57,1.90721742909698e-61,5.03179339259365e-66,8.74583960378432e-71,1.00092457462662e-75,7.53887872917047e-81,3.73525009373297e-86,1.21690859960161e-91,2.60587612591862e-97,3.66650521782638e-103,3.38852421248206e-109,2.05634683210978e-115,8.19194691356618e-122,2.14175245814182e-128,3.67398434366546e-135,4.13421555679884e-142,3.05102242013259e-149,1.47641695541731e-156,4.68386599345272e-164,9.73993009848916e-172,1.32731500367882e-179
"8",1.35446731335512e-07,1.3289276191302e-06,8.9247726380558e-06,3.98278424562247e-05,3.4116009065825e-05,4.96748917245706e-05,4.38210461664586e-05,2.50734332823367e-05,9.83158374438361e-06,2.6720557167514e-06,4.97778502245743e-07,6.3114736749206e-08,5.43573118446906e-09,3.17317722694979e-10,1.25196461830034e-11,3.32929083286678e-13,5.95267508013449e-15,7.14001030751635e-17,5.73325988988729e-19,3.07595121218161e-21,1.10068220295294e-23,2.62267935518982e-26,4.15514619336658e-29,4.37118129272777e-32,3.04963849491831e-35,1.40944545197477e-38,4.31077466776876e-42,8.71697290396145e-46,1.16442439088887e-49,1.02673016427059e-53,5.97164762221488e-58,2.28952082139499e-62,5.78297262207912e-67,9.61786797574666e-72,1.05271799662237e-76,7.57971378219707e-82,3.58854926234969e-87,1.11671551599041e-92,2.28333125671404e-98,3.06658522364329e-104,2.70438577558615e-110,1.5656231590932e-116,5.94835956413308e-123,1.48283582866459e-129,2.42480443498515e-136,2.60049983711824e-143,1.82872451559754e-150,8.43085374349584e-158,2.54771453703237e-165,5.04541344004195e-173
"9",3.9271603071693e-09,5.59937120029881e-08,5.46465720314778e-07,3.5438911525072e-06,4.41143257817769e-06,9.33439522298288e-06,1.19662984028815e-05,9.94990017827922e-06,5.66964976898507e-06,2.23926808268973e-06,6.06212026511677e-07,1.11698416806201e-07,1.3979834972634e-08,1.18594960114493e-09,6.79973192247048e-11,2.62772130142354e-12,6.82759223025167e-14,1.19009619747997e-15,1.38871360034182e-17,1.08272542151414e-19,5.63026279757449e-22,1.9495741184674e-24,4.48857713310588e-27,6.86197346398232e-30,6.95707054741099e-33,4.67255207178575e-36,2.07677300753936e-39,6.10277327213914e-43,1.18467893016476e-46,1.5180061217459e-50,1.28303707324361e-54,7.14854180373501e-59,2.6239274995566e-63,6.34172400121288e-68,1.00871482670446e-72,1.05544837255227e-77,7.26157674385205e-83,3.28384311475271e-88,9.75745603302533e-94,1.90436657835005e-99,2.44057403392314e-105,2.05323383024022e-111,1.13364275859398e-117,4.10676552492306e-124,9.75913633938195e-131,1.52096538279833e-137,1.55431349175581e-144,1.04133320308841e-151,4.57295320255977e-159,1.31604452484595e-166
"10",7.79691471210047e-11,1.61551592834935e-09,2.29119862565964e-08,2.1592753239712e-07,3.90602595175119e-07,1.20107324998286e-06,2.23754083068536e-06,2.70369498364215e-06,2.23883988183578e-06,1.28499288682068e-06,5.05530092426358e-07,1.35362171677592e-07,2.4619553459684e-08,3.03509431537777e-09,2.52886461773533e-10,1.42017192096347e-11,5.36237308575936e-13,1.35831141287553e-14,2.3033386867336e-16,2.6097041615474e-18,1.97210231002019e-20,9.92357958994329e-23,3.32020676533158e-25,7.37621051478776e-28,1.08677216614248e-30,1.06070369238851e-33,6.85104456099554e-37,2.92565309072708e-40,8.25323266561131e-44,1.53682627835267e-47,1.88763617445017e-51,1.52835547951933e-55,8.15242062962014e-60,2.86332019525096e-64,6.61848844129559e-69,1.00636433211339e-73,1.00618306627827e-78,6.61235716884397e-84,2.85521185149276e-89,8.09804371146642e-95,1.50816682384833e-100,1.84384172739179e-106,1.47941247688927e-112,7.7882663865897e-119,2.68955299674164e-125,6.09138264588467e-132,9.04613365174472e-139,8.80728257080699e-146,5.620523944234e-153,2.35059852369886e-160
