"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",7.60180940062466e-20,1.67486987666216e-24,1.77573036977047e-25,-1.24499574546969e-27,6.17603901027429e-29,2.48422110106931e-30,8.50678114625025e-31,2.49361776306233e-31,3.61911982431737e-32,2.587224989957e-33,9.06454855036869e-35,1.54854865016702e-36,1.28309470217857e-38,5.12913601473295e-41,9.84430127108596e-44,9.03813756175028e-47,3.96238923712951e-50,8.30189379610464e-54,8.34361464776831e-58,4.04810490526896e-62,9.56001211789654e-67,1.10908677934421e-71,6.37930913441937e-77,1.83488855940496e-82,2.65931985605571e-88,1.95465426916984e-94,7.32573925677348e-101,1.40616628518945e-107,1.38735031852004e-114,7.0560339468424e-122,1.85428755155787e-129,2.52264366864147e-137,1.77934748960166e-145,6.51523914647261e-154,1.23966398054173e-162,1.22670963674568e-171,6.31743395097145e-181,1.69413164380187e-190,2.36682857033539e-200,1.72334602132535e-210,6.54199713250662e-221,1.29510433375157e-231,1.33740267077191e-242,7.20566967913808e-254,2.0259125424143e-265,2.97283230756194e-277,2.27710950589379e-289,9.10563056309907e-302,1.90071339233507e-314,0
"2",4.05709093571872e-22,8.01000240472161e-26,1.51293788133594e-26,-1.88975038183775e-28,1.67008703573235e-29,1.19677310415346e-30,7.3009493197832e-31,3.8127335557028e-31,9.85830012848332e-32,1.2555261735997e-32,7.8366464236288e-34,2.3850716319308e-35,3.52068998261483e-37,2.50729704283676e-39,8.57312130130624e-42,1.40225022797273e-44,1.09520699099795e-47,4.08797983732994e-51,7.31944765920188e-55,6.3265701808645e-59,2.66175154031824e-63,5.50132243006185e-68,5.63725550022181e-73,2.88865890840332e-78,7.45846827589832e-84,9.76655775757666e-90,6.52101992263798e-96,2.22994037510448e-102,3.91954096667805e-109,3.55142159491028e-116,1.6626894923235e-123,4.02979059208201e-131,5.0638384141177e-139,3.30325370137998e-147,1.11971643122725e-155,1.97395998887795e-164,1.81104723837389e-173,8.65224328756187e-183,2.15348014039911e-192,2.79343810874967e-202,1.88916293840347e-212,6.66279304955298e-223,1.22576228149526e-233,1.17655143106382e-244,5.89318072864561e-256,1.54060739696253e-267,2.1023159378075e-279,1.49767159243211e-291,5.56949349202791e-304,1.07913388527533e-316
"3",1.45141450083443e-21,1.34088872315624e-24,4.51204776751558e-25,-1.00403657443602e-26,1.58079915877846e-27,2.01809641833456e-28,2.19331962601232e-28,2.04057023484777e-28,9.39960549340676e-29,2.1326808101691e-29,2.37149843733672e-30,1.28583877216277e-31,3.38146872062203e-33,4.29018359770366e-35,2.61337395216302e-37,7.61518763444703e-40,1.05960450600927e-42,7.04610051191889e-46,2.24755795045247e-49,3.46093480680016e-53,2.59409037581318e-57,9.55162333137923e-62,1.74369413600775e-66,1.59181044978866e-71,7.32212661487122e-77,1.70813271349009e-82,2.03183348972748e-88,1.23782240122218e-94,3.87608056102821e-101,6.25680064810454e-108,5.21859674101225e-115,2.25329246785548e-122,5.04437570272031e-130,5.86221869696463e-138,3.54014162948702e-146,1.11184291025092e-154,1.81730308476528e-163,1.54674531003844e-172,6.85841019116574e-182,1.5849447894945e-191,1.90957623722359e-201,1.19982086063037e-211,3.93241041481505e-222,6.72443810570864e-233,6.00049867131088e-244,2.79461549339871e-255,6.79392215328689e-267,8.62246967454604e-279,5.71246147232806e-291,1.97185702342581e-303
"4",5.01336962640242e-21,1.13274579256568e-23,6.79056495619228e-24,-2.691995020884e-25,7.55081647822409e-26,1.7173215914273e-26,3.32509565293319e-26,5.51120119193014e-26,4.52269024623425e-26,1.82812370047192e-26,3.62155479429847e-27,3.49825315491672e-28,1.63893825268087e-29,3.70446584747668e-31,4.02016404471293e-33,2.08696576726216e-35,5.17333989487277e-38,6.12870264278895e-41,3.48275652428949e-44,9.55428373865896e-48,1.27579917875585e-51,8.36887157321244e-56,2.721776891324e-60,4.42655705831372e-65,3.62747517961983e-70,1.50758332465395e-75,3.19477538036541e-81,3.46739287537773e-87,1.93432751373919e-93,5.56265380229869e-100,8.26562984592716e-107,6.35817209591908e-114,2.53579790515322e-121,5.25002933006036e-129,5.64823620484037e-137,3.16029878456835e-145,9.20247352354303e-154,1.39536723346213e-162,1.10226411408771e-171,4.53804554990275e-181,9.7405664570636e-191,1.0903253773361e-200,6.36635789249448e-211,1.93945948666313e-221,3.08322028961477e-232,2.55818397220594e-243,1.10795667240494e-254,2.50510761083561e-266,2.9567220125066e-278,1.81825643007396e-290
"5",3.24124517857886e-23,4.79551540758003e-23,5.1215479209757e-23,-3.6171130696713e-24,1.80748310828157e-24,7.32359741036081e-25,2.52621014671022e-24,7.45940345741354e-24,1.09055400269717e-23,7.85323169172272e-24,2.77159897318882e-24,4.76956822671525e-25,3.98091516479975e-26,1.60301809959241e-27,3.09919644764391e-29,2.86624398072106e-31,1.26578907568331e-33,2.67147663654456e-36,2.70457135682994e-39,1.32180065950593e-42,3.14443518835041e-46,3.67468175070828e-50,2.12910878308881e-54,6.16884553021895e-59,9.00605880200292e-64,6.66813146560417e-69,2.51741987899983e-74,4.86755514750794e-80,4.83760425033675e-86,2.47841974156933e-92,6.56086769912034e-99,8.99104365040459e-106,6.38829504493806e-113,2.35626730252822e-120,4.51614811673042e-128,4.50169400003132e-136,2.3353119575673e-144,6.30843084807298e-153,8.87791524446456e-162,6.5115844386649e-171,2.48997243591275e-180,4.96545380557477e-190,5.16519086999172e-200,2.80329328818251e-210,7.93934876291595e-221,1.17355810830011e-231,9.0549926443162e-243,3.64740686190304e-254,7.66938992857485e-266,8.40229559597527e-278
"6",3.84866705993565e-23,1.01443972947036e-22,1.93012172619942e-22,-2.42849963968206e-23,2.16193536425116e-23,1.56057778564517e-23,9.59009552544885e-23,5.04487088032899e-22,1.3139705565892e-21,1.68569643327954e-21,1.0598730493455e-21,3.24933899560987e-22,4.83160452682972e-23,3.46608638680449e-24,1.19383020307003e-25,1.96697623122005e-27,1.54753257415627e-29,5.8186513633097e-32,1.04945035786975e-34,9.13738490822835e-38,3.87249711627704e-41,8.06233217935901e-45,8.32206888886171e-49,4.29565951047775e-53,1.11725738195832e-57,1.47372044311231e-62,9.91195020392057e-68,3.41434053990387e-73,6.04531299128289e-79,5.51767115268257e-85,2.6021644161499e-91,6.35295910056643e-98,8.04161763008006e-105,5.28415452939071e-112,1.80431196816984e-119,3.20414324371101e-127,2.96123828376538e-135,1.42509002081871e-143,3.57292949736673e-152,4.6686640990024e-161,3.18048235938983e-170,1.12992572772301e-179,2.09396696550633e-189,2.0246245015647e-199,1.02153518822228e-209,2.69008218943226e-220,3.69778411417512e-231,2.65356763251754e-242,9.94029490223517e-254,1.94012140004126e-265
"7",2.2763915324077e-23,1.0689450192607e-22,3.6233168830843e-22,-8.12179758234833e-23,1.28809923868612e-22,1.65647367468253e-22,1.81348743422445e-21,1.69955088744164e-20,7.88609947309955e-20,1.80238882015443e-19,2.01890305759552e-19,1.1026790900901e-19,2.92104330770769e-20,3.73317628977027e-21,2.29073144838791e-22,6.72393068593848e-24,9.42445868631899e-26,6.31293694911846e-28,2.02844630175796e-30,3.14641522493837e-33,2.37562407564621e-36,8.81129623595104e-40,1.62032794102284e-43,1.49002640499652e-47,6.90414409718805e-52,1.62242347670251e-56,1.9440199854552e-61,1.19300138618238e-66,3.76309692517151e-72,6.118922134689e-78,5.14098511936826e-84,2.23604310997851e-90,5.04243178550669e-97,5.9028890740762e-104,3.5908167485335e-111,1.13602015205498e-118,1.87042357351507e-126,1.60361980314204e-134,7.16268839711038e-143,1.66738826199604e-151,2.02362297887845e-160,1.28079318600342e-169,4.22854967458173e-179,7.28380983819891e-189,6.54726533586371e-199,3.07160000334442e-209,7.52199711430981e-220,9.61643877796115e-231,6.41764778997483e-242,2.23150577764517e-253
"8",6.68373154142964e-24,5.59139152798208e-23,3.37647356181176e-22,-1.34834707434574e-22,3.80970509773696e-22,8.72808714136036e-22,1.70232150609137e-20,2.8421939297573e-19,2.34949370412355e-18,9.56649875778016e-18,1.90902888724095e-17,1.85754213355174e-17,8.76637470440684e-18,1.99596551099028e-18,2.18193200035373e-19,1.1409924253199e-20,2.84910495639128e-22,3.39997704480012e-24,1.94625861598967e-26,5.37830673940679e-29,7.23435390211449e-32,4.78029099709499e-35,1.56606561154448e-38,2.56562687768871e-42,2.11788258280819e-46,8.86642926312399e-51,1.89268245717607e-55,2.06923816297691e-60,1.16280645912812e-65,3.3684449763777e-71,5.04189012900247e-77,3.90678671996488e-83,1.56953882107318e-89,3.27332518689225e-96,3.54740090185562e-103,1.99938102062955e-110,5.86464862585788e-118,8.95768817263326e-126,7.12792444117816e-134,2.95608058330693e-142,6.39148289685441e-151,7.20681770863861e-160,4.23885406760989e-169,1.30079280835029e-178,2.0830609122637e-188,1.74100166824132e-198,7.59556684591335e-209,1.72995098578137e-219,2.05678030972833e-230,1.274097145603e-241
"9",9.70406353430751e-25,1.4462622065704e-23,1.55590467845236e-22,-1.10691387208658e-22,5.57180606640506e-22,2.2741348114783e-21,7.9018943402658e-20,2.35036786042824e-18,3.46137711235793e-17,2.51084643237651e-16,8.92631342337507e-16,1.5473580010804e-15,1.30096214943335e-15,5.27703729870257e-16,1.02771061595665e-16,9.57425283500387e-18,4.25915140604463e-19,9.05488867537335e-21,9.23421917589753e-23,4.54608652797969e-25,1.0893924982726e-27,1.28242349038196e-30,7.48478935871185e-34,2.18451799179909e-37,3.21259891160586e-41,2.39605003298531e-45,9.11207709412676e-50,1.774772162137e-54,1.77677348217758e-59,9.16951965385666e-65,2.44513591882705e-70,3.37537345457841e-76,2.41583177769874e-82,8.97586433089523e-89,1.73296543019766e-95,1.74007389730816e-102,9.09298812275833e-110,2.47430405439563e-117,3.50762142273503e-125,2.59154285624348e-133,9.98242962716891e-142,2.00525987151941e-150,2.10120338119523e-159,1.14873605610576e-168,3.27722753440442e-178,4.87973583946293e-188,3.79271155827412e-198,1.53891957319318e-208,3.25958665156939e-219,3.59724209756298e-230
"10",6.93739008806845e-26,1.84196774732807e-24,3.53029071541243e-23,-4.47438977438849e-23,4.0124392985606e-22,2.91756936065328e-21,1.80604555806075e-19,9.57030597006669e-18,2.51091146888277e-16,3.24485379885725e-15,2.05513149172686e-14,6.34674116419559e-14,9.50642318330142e-14,6.86965845867883e-14,2.38346250498417e-14,3.95580498557765e-15,3.13505785684025e-16,1.18740287554734e-17,2.15728567308158e-19,1.89207208484177e-21,8.07749803080779e-24,1.6940118530246e-26,1.76139623134374e-29,9.15852648912871e-33,2.39949023926056e-36,3.18823894199086e-40,2.16005527573542e-44,7.49518897702621e-49,1.33679417005448e-53,1.22905569787306e-58,5.83875811732502e-64,1.43592517267534e-69,1.83091915346546e-75,1.21191247988897e-81,4.16847668950223e-88,7.45671715538358e-95,6.94191195752453e-102,3.36525551071075e-109,8.49904621898424e-117,1.11868643543368e-124,7.67677362188227e-133,2.74729717485363e-141,5.12856149509589e-150,4.99505447566199e-159,2.53874494140058e-168,6.73443690402155e-178,9.32496672654095e-188,6.740713967262e-198,2.5435776832165e-208,5.00085937515498e-219
