"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",8.65572412527659,0.131160631716652,0.036235465666766,0.00598250430078422,0.00010874673643696,4.89646216620051e-06,1.0895164112988e-07,1.34369952998435e-09,1.05192934709158e-11,5.36036246995704e-14,1.72229173596382e-16,3.47528122753449e-19,4.4286232292922e-22,3.56224006040486e-25,1.80565822493629e-28,5.76381521728464e-32,1.15785865978056e-35,1.46250310419898e-39,1.16050278383635e-43,5.77981063315449e-48,1.80510532215689e-52,3.53195676031737e-57,4.32572937851457e-62,3.31322980301603e-67,1.5857114892896e-72,4.73837864806557e-78,8.83378027331174e-84,1.02679372893581e-89,7.43671430433222e-96,3.3543875168618e-102,9.418360050065e-109,1.64537870011603e-115,1.78752781655731e-122,1.20677203221459e-129,5.05749891481274e-137,1.31384017067814e-144,2.11136484329511e-152,2.09340876248659e-160,1.27648576023075e-168,4.76898431671423e-177,1.08711492104229e-185,1.50521641296895e-194,1.25969815547033e-203,6.33746140119543e-213,1.90448260221816e-222,3.39091506754521e-232,3.53549363684501e-242,2.11643313927516e-252,7.01002027718688e-263,1.20630498959295e-273
"2",0.130860928994977,0.00521075664416929,0.0023751925089023,0.00064701695919569,1.94051298815339e-05,1.44161868117137e-06,5.29260461844692e-08,1.07697473964979e-09,1.39109759558294e-11,1.16958789079361e-13,6.20030566221814e-16,2.06425817557253e-18,4.34020726270139e-21,5.76013412031261e-24,4.81739923852989e-27,2.53720065716458e-30,8.40945770884313e-34,1.75257622560975e-37,2.29453128138657e-41,1.88551105309961e-45,9.71595951376942e-50,3.13665103688602e-54,6.33837382398889e-59,8.0100963360092e-64,6.32525487037181e-69,3.11853983700475e-74,9.59258824278378e-80,1.83967071350087e-85,2.19839466485078e-91,1.63608353410308e-97,7.57940661193422e-104,2.18470833258151e-110,3.91604866082116e-117,4.36202534062243e-124,3.01624366454836e-131,1.29282826210636e-138,3.42790883792653e-146,5.6077377124835e-154,5.64179505614357e-162,3.47772231867008e-170,1.30801324490651e-178,2.98815627854296e-187,4.1260884347114e-196,3.42495636304197e-205,1.69818265892331e-214,4.98875275889312e-224,8.58208488011853e-234,8.47646895020033e-244,4.63230742013679e-254,1.31523361490321e-264
"3",0.0360683151464926,0.00230088547076848,0.00173045656313026,0.000777759328068289,3.84869765208402e-05,4.71753704559772e-06,2.85760400570537e-07,9.59413418753105e-09,2.04468093729626e-10,2.83640660523135e-12,2.48094080088509e-14,1.36280899590352e-16,4.72769144633016e-19,1.03523495501885e-21,1.42852106314086e-24,1.24135643713633e-27,6.78855518893286e-31,2.33428540681038e-34,5.04241630609402e-38,6.83662053442913e-42,5.81253747186537e-46,3.09609266617082e-50,1.03226991960257e-54,2.15238937151943e-59,2.80432798551691e-64,2.28123354561623e-69,1.15776904250353e-74,3.66348064398662e-80,7.2231584992228e-86,8.86940801418969e-92,6.77941224020892e-98,3.22417034209194e-104,9.5354297320914e-111,1.75245974759778e-117,1.99937366132553e-124,1.41395653093532e-131,6.18574711442186e-139,1.66962241529023e-146,2.77150430116043e-154,2.81877772083433e-162,1.74922528402057e-170,6.59332658947352e-179,1.5021298971752e-187,2.0572718205514e-196,1.68301781598477e-205,8.15762935906641e-215,2.31543434362149e-224,3.77330853013829e-234,3.40229832998309e-244,1.59384320584761e-254
"4",0.00655276439891472,0.000407409448595236,0.000505550418604405,0.000374901067680957,3.0609266346159e-05,6.19044859358762e-06,6.18694884224699e-07,3.42726703842126e-08,1.20513411481415e-09,2.75832856755038e-11,3.98071960326922e-13,3.60784486189969e-15,2.06504568542309e-17,7.46082999318743e-20,1.69864467277404e-22,2.43545478142373e-25,2.19749856269145e-28,1.2467313445875e-31,4.44350116854474e-35,9.94021440661101e-39,1.39440110863716e-42,1.22547253142852e-46,6.74140749267083e-51,2.3192406949512e-55,4.985646322329e-60,6.69160176130711e-65,5.6033783412499e-70,2.92542920253234e-75,9.51679057924201e-81,1.92808279170492e-86,2.43159232818374e-92,1.90802638870479e-98,9.31052873912563e-105,2.82325303085433e-111,5.31451203714566e-118,6.20116323245321e-125,4.47607075673182e-132,1.99338288601901e-139,5.45953547600433e-147,9.16154338283062e-155,9.38039734693809e-163,5.83374919654339e-171,2.19289750060641e-179,4.95530278767239e-188,6.68859514647976e-197,5.34906459095604e-206,2.50503628099533e-215,6.73552641572137e-225,1.00204977552526e-234,7.74515610289077e-245
"5",1.00444978346377e-05,3.34313822337014e-05,6.84471527633693e-05,8.37481586190473e-05,1.12818205327016e-05,3.7645759611599e-06,6.20780612345127e-07,5.67384204068989e-08,3.29179176235912e-09,1.24311311295107e-10,2.96001501823422e-12,4.42637147322787e-14,4.18020273085485e-16,2.49185347390486e-18,9.36064069936017e-21,2.21437302011588e-23,3.29660556402516e-26,3.08587935361605e-29,1.81467576745674e-32,6.69787703210553e-36,1.55023241647068e-39,2.247917418463e-43,2.04030468867455e-47,1.15813169639592e-51,4.10772412332268e-56,9.0965678935602e-61,1.25679690448012e-65,1.08261097225375e-70,5.81086815085436e-76,1.94242323354415e-81,4.04181681920546e-87,5.23284554292261e-93,4.21303978989455e-99,2.10784511496306e-105,6.54666268215584e-112,1.26036811996429e-118,1.50102825033191e-125,1.10293603201828e-132,4.98405663638242e-140,1.37995077794444e-147,2.33122324632035e-155,2.39209300330756e-163,1.48359826247196e-171,5.53141008138983e-180,1.23187955184609e-188,1.62546961596478e-197,1.25597996219113e-206,5.57195898581148e-216,1.36770784861199e-225,1.74422254695218e-235
"6",2.96132400068132e-07,1.62622153108441e-06,5.49349125829862e-06,1.10901135849717e-05,2.46494702922809e-06,1.3571009219149e-06,3.69234184852094e-07,5.5681211404622e-08,5.33005223526037e-09,3.32106545720117e-10,1.30475322557957e-11,3.21921512642101e-13,5.01611128296513e-15,4.93355525122171e-17,3.05781176448714e-19,1.19350331558733e-21,2.93161889737095e-24,4.52779905760385e-27,4.39313873627989e-30,2.67535073464483e-33,1.02166389591748e-36,2.44432675565326e-40,3.66051013289219e-44,3.42824783452638e-48,2.00624149108452e-52,7.33039169256794e-57,1.67102287548706e-61,2.37496598535505e-66,2.10326341571083e-71,1.16001655495184e-76,3.98258108448678e-82,8.5073361343517e-88,1.13010530668851e-93,9.32888470810329e-100,4.7805588778137e-106,1.51853145803261e-112,2.98389080752027e-119,3.61752934087773e-126,2.69719522912628e-133,1.23214178669529e-140,3.43438226393533e-148,5.81447496704936e-156,5.94999275771091e-164,3.66019020720056e-172,1.34494251090344e-180,2.92807372340203e-189,3.73296174109088e-198,2.73241345921446e-207,1.1066225629224e-216,2.32849738527228e-226
"7",5.94088564403395e-09,5.38285461088755e-08,3.00019206131923e-07,9.99319336086549e-07,3.66474333950527e-07,3.32901533405749e-07,1.49442192097361e-07,3.71832784484692e-08,5.87270445670317e-09,6.0374256098174e-10,3.9135457312429e-11,1.59316116092592e-12,4.0958547804727e-14,6.64668443817438e-16,6.79709732034747e-18,4.37727717456965e-20,1.77400813487107e-22,4.5206711495985e-25,7.23699656690128e-28,7.27163129821711e-31,4.58170209691802e-34,1.80861338205387e-37,4.46884990676212e-41,6.90548270952307e-45,6.6676487986182e-49,4.01961415330165e-53,1.51184496302545e-57,3.54527503803825e-62,5.18028774024992e-67,4.71402715170969e-72,2.67030086155992e-77,9.41145648449964e-83,2.06276539455148e-88,2.80949539965718e-94,2.37544482603395e-100,1.24496673158278e-106,4.03631039399023e-113,8.07386286796757e-120,9.93228941983642e-127,7.48626758916316e-134,3.4428727355742e-141,9.6172414304461e-149,1.62376855726008e-156,1.64808278061844e-164,9.99186976664947e-173,3.58915924661329e-181,7.54973897002259e-190,9.11785098296406e-199,6.09274878458249e-208,2.11522797821866e-217
"8",7.65975259236246e-11,1.14510121675012e-09,1.05304749807118e-08,5.78723170403795e-08,3.50169100688476e-08,5.24828884619318e-08,3.88725328756045e-08,1.59582390262479e-08,4.15856131497058e-09,7.05382097363557e-10,7.54415721581537e-11,5.06719601302964e-12,2.14941473077103e-13,5.75504081387359e-15,9.71034169366133e-17,1.0317696495401e-18,6.89925162859529e-21,2.90079454815105e-23,7.66196383766594e-26,1.2702267614069e-28,1.32051680575872e-31,8.60063468965737e-35,3.50629301721515e-38,8.9395191139848e-42,1.4241656553854e-45,1.41657585577524e-49,8.79084054868161e-54,3.40126723157746e-58,8.19997224380209e-63,1.23117065446473e-67,1.15067863196025e-72,6.69142119712777e-78,2.41979760729399e-83,5.43782476265234e-89,7.58594181203986e-95,6.55979069593622e-101,3.50900889674508e-107,1.15810772517942e-113,2.35063193835269e-120,2.92326569320266e-127,2.21815346327823e-134,1.02232461007141e-141,2.8479351845723e-149,4.76927837501537e-157,4.77076574192716e-165,2.82749425900417e-173,9.81315405863346e-182,1.95540556803905e-190,2.15588358570544e-199,1.23491450921516e-208
"9",6.13486746696799e-13,1.51321973153795e-11,2.2960099028436e-10,2.08192146856709e-09,2.07844707667165e-09,5.13980397003933e-09,6.28115257321523e-09,4.25450605236439e-09,1.82925801269162e-09,5.11945779066575e-10,9.03395536814330e-11,1.00115792942296e-11,7.00684942625135e-13,3.09541333054318e-14,8.61732415203954e-16,1.51073518041643e-17,1.66676839063205e-19,1.15626643349654e-21,5.03905063466781e-24,1.37834380784133e-26,2.36422012944741e-29,2.5406342954505e-32,1.70894284574611e-35,7.18887886362393e-39,1.88962311709107e-42,3.10114588688059e-46,3.17526839975853e-50,2.02702203776122e-54,8.06302069412628e-59,1.99742887690495e-63,3.08017076125477e-68,2.9553354967503e-73,1.76333627618908e-78,6.53806123724728e-84,1.50487684463843e-89,2.14708437750842e-95,1.89500899401451e-101,1.03191385028961e-107,3.45578561420921e-114,7.09084719048544e-121,8.87746774129294e-128,6.75078078502982e-135,3.10286562330849e-142,8.57340255014079e-150,1.41499958445303e-157,1.38368626149186e-165,7.92341112338991e-174,2.60500222227474e-182,4.73875475603717e-191,4.47861259795073e-200
"10",3.09763596233074e-15,1.26065097786542e-13,3.15598044112311e-12,4.72163668621764e-11,7.77740778151682e-11,3.17329269502343e-10,6.39838835024636e-10,7.15069205966079e-10,5.07272796221325e-10,2.34238484835178e-10,6.81992974624532e-11,1.24701658202136e-11,1.43999206397231e-12,1.04959955801461e-13,4.82108842587646e-15,1.39453265010266e-16,2.53853570706314e-18,2.90558520770449e-20,2.08925811045863e-22,9.42906458980677e-25,2.66849650670556e-27,4.73138796586468e-30,5.25099518170142e-33,3.64454170094416e-36,1.58060964720416e-39,4.27995604585863e-43,7.23044837833596e-47,7.61571942593783e-51,4.99824933036064e-55,2.04295661081739e-59,5.19792835950313e-64,8.22867599924627e-69,8.10076420849975e-74,4.95572854956594e-79,1.88203268907797e-84,4.43040054006044e-90,6.45168019638525e-96,5.7965912174141e-102,3.20290237937535e-108,1.08433309414213e-114,2.23986253733204e-121,2.8103081673509e-128,2.13123129446266e-135,9.71602244258299e-143,2.64581383208693e-150,4.26882425880816e-158,4.03320702168561e-166,2.18783264727914e-174,6.56655990584918e-183,1.02396438495176e-191
