"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1.98779215011933e-14,6.16593369500313e-19,-3.36623950168048e-21,-9.33322238713673e-24,-3.14917478237784e-26,-5.76442643445838e-29,-1.38685593583123e-32,1.49057247078158e-36,-5.95462586259824e-41,-1.01523235735531e-47,-4.31572561752206e-51,1.28682549570315e-57,1.72674477982222e-60,3.30124948516362e-65,1.93827170318945e-70,3.56255316880737e-76,2.05149843869147e-82,3.70130050452519e-89,2.09223890488054e-96,3.70545873072152e-104,2.0561106122649e-112,3.57457793591736e-121,1.94704902744886e-130,3.32278959122097e-140,1.77665309475468e-150,2.97629697615169e-161,1.56215346946959e-172,2.56888647853706e-184,1.3235485784144e-196,2.13652809417056e-209,1.0805654734137e-222,1.71225066690696e-236,8.50075319887337e-251,1.32227351984893e-265,6.44405198200928e-281,9.83944510641338e-297,4.70712793282716e-313,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2.73880752710875e-16,4.83333722149448e-19,-7.40159910397846e-21,-5.75631379295377e-23,-5.44806037099249e-25,-2.79726458755363e-27,-1.88773529463495e-30,5.69108591689763e-34,-6.37718220139133e-38,-3.04980517463113e-44,-3.63657686364742e-47,3.04152158302574e-53,1.14480547390167e-55,6.13923406973923e-60,1.01107367033723e-64,5.21268882189523e-70,8.41984188444541e-76,4.26107709151912e-82,6.75629522709724e-89,3.35638387256671e-96,5.22406316545951e-104,2.54752828767586e-112,3.89227424020373e-121,1.86320948293605e-130,2.79443351387336e-140,1.31310576331672e-150,1.9332118206586e-161,8.91729136324292e-173,1.28872493028787e-184,5.8352739785943e-197,8.27820220962743e-210,3.67946425168602e-223,5.12397439964935e-237,2.2356465528923e-251,3.05613953169697e-266,1.30893189566551e-281,1.7564457688921e-297,7.38458754029106e-314,0,0,0,0,0,0,0,0,0,0,0,0
"3",3.22164181859041e-16,8.86410907967915e-18,-3.80755208807639e-19,-8.30609808322751e-21,-2.20509246896135e-22,-3.17578243132031e-24,-6.0116071209155e-27,5.08366514534613e-30,-1.59787543265746e-33,-2.14347533808474e-39,-7.16921269879071e-42,1.68190668420753e-47,1.77572206471406e-49,2.6710977758641e-53,1.23393048703653e-57,1.78444017939477e-62,8.0849330780839e-68,1.14768890941081e-73,5.10441189165423e-80,7.11280690438571e-87,3.10534682878237e-94,4.24769189770107e-102,1.82041214763187e-110,2.44433248020076e-119,1.02831145542826e-128,1.35538570245722e-138,5.59725295749188e-149,7.24203716821178e-160,2.93575846844759e-171,3.7286673867334e-183,1.48374996846601e-195,1.84987157829522e-208,7.22597148125007e-222,8.84351132284779e-236,3.39099438262705e-250,4.07383319142705e-265,1.53339215437764e-280,1.8083272827203e-296,6.68150996059664e-313,0,0,0,0,0,0,0,0,0,0,0
"4",3.83171848691094e-16,5.10745682614407e-17,-6.15386217907324e-18,-3.7655747006027e-19,-2.80409884269889e-20,-1.13279038441412e-21,-6.01480707890821e-24,1.42672525284845e-26,-1.25787831809342e-29,-4.73310896392974e-35,-4.44049900389188e-37,2.92209619022937e-42,8.65366148824063e-44,3.65129562714478e-47,4.73129694247595e-51,1.91921577475782e-55,2.43910524709494e-60,9.71204298339659e-66,1.21161438978153e-71,4.73578556630632e-78,5.79953833123394e-85,2.22519778330815e-92,2.67496211371584e-100,1.00748940818418e-108,1.18887770869077e-117,4.39549418933149e-127,5.09157381788638e-137,1.84786465848409e-147,2.10117406784778e-158,7.48561788221239e-170,8.35539589506228e-182,2.92199985126647e-194,3.2016006003279e-207,1.09907655965736e-220,1.18212276156856e-234,3.98355714408505e-249,4.20584580004126e-264,1.39126366727442e-279,1.44191390232063e-295,4.6821249187633e-312,0,0,0,0,0,0,0,0,0,0
"5",7.65221559450551e-17,9.22063014822127e-17,-3.11627634886732e-17,-5.34874342122511e-18,-1.11723907337411e-18,-1.26600275734541e-19,-1.88555454346768e-21,1.25455598248812e-23,-3.10256314106602e-26,-3.27461917114938e-31,-8.61744210176461e-33,1.59064551457193e-37,1.32132940397209e-38,1.56383343419327e-41,5.68402530391804e-45,6.46743244970146e-49,2.30553084620855e-53,2.57503592502031e-58,9.01092591478717e-64,9.87937170782269e-70,3.39361850593727e-76,3.65233424057484e-83,1.23154938429491e-90,1.30108893975334e-98,4.30661431909417e-107,4.46620656974818e-116,1.45116047232505e-125,1.47729032988479e-135,4.71183449979008e-146,4.70855827039334e-157,1.47421093330878e-168,1.44612250477358e-180,4.44451470941483e-193,4.27974054043514e-206,1.29117281799682e-219,1.22046448556317e-233,3.61442935496475e-248,3.35373032908916e-263,9.74967914712757e-279,8.8802724631782e-295,2.5341717493215e-311,0,0,0,0,0,0,0,0,0
"6",1.54306656606911e-17,5.21543294659379e-17,-4.94422273652581e-17,-2.38037910334318e-17,-1.39467424046362e-17,-4.43295798491904e-18,-1.85195471650335e-19,3.45631733170604e-21,-2.39759868625353e-23,-7.09821195251001e-28,-5.2396084910534e-29,2.71285241680377e-33,6.32115096483175e-34,2.09849460367151e-36,2.13946736060615e-39,6.82831997498073e-43,6.82786930682392e-47,2.13909392731759e-51,2.099656648107e-56,6.45714424507847e-62,6.22166297132677e-68,1.8782192046131e-74,1.77647824484607e-81,5.26438141081334e-89,4.88774614455572e-97,1.42181721331685e-105,1.29584393927719e-114,3.7002870559328e-124,3.31048701776605e-134,9.27944732143035e-145,8.14940851924036e-156,2.24235229701689e-167,1.93310484303455e-179,5.22132590164654e-192,4.41855266201982e-205,1.1715291712896e-218,9.73195296711206e-233,2.53291548418001e-247,2.06545236854716e-262,5.27695573642569e-278,4.22401552164939e-294,1.05935460478317e-310,0,0,0,0,0,0,0,0
"7",9.74890731212067e-19,9.24259548611223e-18,-2.4577285087629e-17,-3.31905392668785e-17,-5.45473000672076e-17,-4.86324775054179e-17,-5.69895781962272e-18,2.98339658583853e-19,-5.80505275880453e-21,-4.82070928903327e-25,-9.98143806376818e-26,1.44961524294448e-29,9.47447253751357e-30,8.82264968756432e-32,2.5230690949255e-34,2.25875768133051e-37,6.33538888110625e-41,5.56737190023333e-45,1.53285459338363e-49,1.32228620252835e-54,3.57374663667226e-60,3.02618765169714e-66,8.02863605187751e-73,6.67362077821278e-80,1.73802139975598e-87,1.41815122783905e-95,3.62546552174118e-104,2.90388085771245e-113,7.2873153985695e-123,5.72967631071753e-133,1.41145282102219e-143,1.08937253774528e-154,2.63426999873013e-166,1.99580441227422e-178,4.73750315478092e-191,3.52334267218334e-204,8.20982836683445e-218,5.9935906110078e-232,1.37092551854339e-246,9.82458982155840e-262,2.20591503911408e-277,1.5518042422349e-293,3.4202582591671e-310,0,0,0,0,0,0,0
"8",1.92974992851688e-20,5.1318190913758e-19,-3.82775029950462e-18,-1.44996093169787e-17,-6.68417098594038e-17,-1.67160240103819e-16,-5.49457788947462e-17,8.06830263583061e-18,-4.40361824644593e-19,-1.02576230071651e-22,-5.95746099343887e-23,2.42690702148419e-26,4.44925945809078e-26,1.16215492336311e-27,9.32237212379223e-30,2.34098824652278e-32,1.84176904203223e-35,4.53988052414103e-39,3.50612544113063e-43,8.48367956779861e-48,6.43153814757874e-53,1.52763375114202e-58,1.13683506673718e-64,2.65063247574594e-71,1.93631232304201e-78,4.43174879337204e-86,3.17796177432166e-94,7.13996336629764e-103,5.025937179598e-112,1.10843920273162e-121,7.65914789080663e-132,1.65814616989255e-142,1.12470590406597e-153,2.39017097076833e-165,1.59144927660114e-177,3.31994181669256e-190,2.16991122636298e-203,4.44352127703979e-217,2.85092865464052e-231,5.73085230554326e-246,3.6093240051621e-261,7.12207139757841e-277,4.4031206781079e-293,8.52881460508735e-310,0,0,0,0,0,0
"9",1.19679545077689e-22,8.9273494323179e-21,-1.86778591104864e-19,-1.9845959305664e-18,-2.56623040791473e-17,-1.80016942849249e-16,-1.65976663405871e-16,6.8363954336901e-17,-1.04661500787339e-17,-6.83842879137955e-21,-1.11404594635184e-20,1.27299686262757e-23,6.54627472727103e-23,4.79626114484756e-24,1.07918904888046e-25,7.60155825327013e-28,1.67753219323345e-30,1.15987828644012e-33,2.51262539342949e-37,1.70536305841469e-41,3.62643371929307e-46,2.41610853329711e-51,5.04344112536287e-57,3.29846065981556e-63,6.75879856689478e-70,4.33911868198036e-77,8.72785179027797e-85,5.50030759270693e-93,1.08602631729164e-101,6.7184249596619e-111,1.30217198828906e-120,7.90756927628055e-131,1.50449749202942e-141,8.96837502421969e-153,1.67498103512397e-164,9.8012138595374e-177,1.79689896900531e-189,1.03214629213506e-202,1.85751633526885e-216,1.04736440107098e-230,1.85027705132592e-245,1.02411685867675e-260,1.77597186231954e-276,9.64931460203095e-293,1.64259566081483e-309,0,0,0,0,0
"10",2.32548006550249e-25,4.86572461289546e-23,-2.85551460814467e-21,-8.51062956030867e-20,-3.08686429681342e-18,-6.07389909594316e-17,-1.57084567470342e-16,1.81487185668647e-16,-7.79359885709372e-17,-1.4283667086928e-19,-6.52707785635001e-19,2.09206572133137e-21,3.01768926236036e-20,6.20176650943886e-21,3.91419465584448e-22,7.7335663853405e-24,4.78718656683549e-26,9.28440780466957e-29,5.64159407092419e-32,1.07404688670731e-35,6.40646464315023e-40,1.19725712024715e-44,7.01019735578492e-50,1.28601755734257e-55,7.39158188365651e-62,1.33107252119426e-68,7.50999852389279e-76,1.32755268648473e-83,7.35254071575319e-92,1.27584189583517e-100,6.93633463935664e-110,1.18150889001693e-119,6.30547424898281e-130,1.05431976639707e-140,5.52332733722096e-152,9.06573569749271e-164,4.66207383604182e-176,7.51154104309042e-189,3.79186379920015e-202,5.99722297651577e-216,2.97181280671953e-230,4.61388220831928e-245,2.24432304091004e-260,3.42040910183563e-276,1.6332195068001e-292,2.44334545832183e-309,0,0,0,0
