"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1.94654538082441e-36,-1.73754193355477e-47,-3.52152631080444e-51,-4.67031348504774e-55,-1.71863202651674e-63,2.67657080267481e-69,-1.02696916515942e-74,-6.80836518931689e-82,-1.54835094799575e-89,-9.72731933958035e-98,8.99191365768699e-106,-3.37596312172805e-115,1.90771893870397e-125,5.35999537766187e-136,-1.34695010309573e-146,-1.17402612186512e-156,-2.87775558816885e-165,-9.53691831306754e-175,-3.53206506347354e-185,-1.36580849088891e-196,-5.05564862837772e-209,-1.68146531043867e-222,-5.43453435862454e-237,-2.02988415195122e-252,-1.00855562419466e-268,-7.19527622483645e-286,-7.64005735699023e-304,-1.23516411460312e-322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-3.28475183199202e-38,9.74845013542756e-46,1.00905004329744e-48,6.83453998012767e-52,1.28448088033267e-59,-1.02165665327257e-64,2.00200484119186e-69,6.77847579637861e-76,7.87299724282854e-83,2.52606985666357e-90,-1.19257526858186e-97,2.28671927465747e-106,-6.59950006673781e-116,-9.46983799695929e-126,1.21537732631297e-135,5.41026913880572e-145,6.7729287014485e-153,1.14633657315325e-161,2.16827453159726e-171,4.28210063692336e-182,8.09515990466545e-194,1.37504828646425e-206,2.26972825410631e-220,4.32976440527577e-235,1.09868793730244e-250,4.00316471177825e-267,2.17087139209195e-284,1.78100530477532e-302,2.22329540628561e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2.69399056155481e-37,-4.08768210928085e-42,-2.16090529123723e-44,-7.47504486729545e-47,-7.17486357019055e-54,2.91455636560565e-58,-2.9168500428428e-62,-5.04385411127407e-68,-2.99193431001923e-74,-4.9027392834369e-81,1.18211772473156e-87,-1.15762866115206e-95,1.70627467044882e-104,1.25043736758738e-113,-8.1961898955207e-123,-1.86337918455881e-131,-1.19135272196269e-138,-1.02981092298837e-146,-9.9481219843237e-156,-1.0033794242614e-165,-9.68757863839886e-177,-8.40406196918206e-189,-7.08478456417994e-202,-6.90237480925429e-216,-8.94520127101513e-231,-1.6645648058549e-246,-4.61012638650665e-263,-1.93163665081577e-280,-1.23380693053263e-298,-1.20587392685506e-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",5.67391505098585e-37,-6.76858191609942e-40,-1.82741756847136e-41,-3.22847445564499e-43,-1.58262742050872e-49,3.28336364529634e-53,-1.67819381702224e-56,-1.48208126959172e-61,-4.48996591510617e-67,-3.7576063145742e-73,4.62716189672629e-79,-2.31422043613518e-86,1.74207113673576e-94,6.5201918241703e-103,-2.18268934875177e-111,-2.534326967348e-119,-8.27529061376374e-126,-3.65327087714082e-133,-1.80238253586894e-141,-9.28437230659683e-151,-4.57808746101733e-161,-2.02833450341694e-172,-8.73289963160341e-185,-4.34522076641475e-198,-2.87597371628473e-212,-2.7332351156565e-227,-3.86607792357851e-243,-8.27303185433228e-260,-2.69878291867808e-277,-1.34711346190508e-295,-1.03091442506418e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4.69717674134187e-43,-9.8215293056855e-37,-1.35425582177738e-37,-1.22191714294523e-38,-3.05917680085607e-44,3.24135325141055e-47,-8.46118096196279e-50,-3.81629882353179e-54,-5.90465988354815e-59,-2.523739978626e-64,1.58719217356911e-69,-4.05416136424894e-76,1.55863232612706e-83,2.97933716922408e-91,-5.09369221035158e-99,-3.02054216407188e-106,-5.03717454305201e-112,-1.13570910655508e-118,-2.86163139517422e-126,-7.52836655296188e-135,-1.89589282160602e-144,-4.2899355061169e-155,-9.43302838800452e-167,-2.3970991997433e-179,-8.10290152697844e-193,-3.93291108456037e-207,-2.84111771053133e-222,-3.10502290687494e-238,-5.17308426244446e-255,-1.31876454856617e-272,-5.15427032525226e-291,-3.09184802135716e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1.53146409565264e-42,-1.63542458608772e-35,-1.15168471949654e-35,-5.30708616837359e-36,-6.78579048302314e-41,3.67200886671212e-43,-4.89541854156583e-45,-1.12767176403146e-48,-8.91080022850616e-53,-1.94512679233257e-57,6.2476157292676e-62,-8.15018214528358e-68,1.6002633220068e-74,1.56224417728812e-81,-1.36409132387973e-88,-4.13120872778749e-95,-3.51852566589983e-100,-4.05156041685174e-106,-5.21375225937694e-113,-7.00517426641485e-121,-9.00976486800443e-130,-1.04119464532756e-139,-1.16926726715754e-150,-1.51750505149608e-162,-2.61978823468979e-175,-6.49413394902818e-189,-2.39595043451717e-203,-1.33731864135387e-218,-1.13789222596367e-234,-1.48149547547849e-251,-2.95720713747491e-269,-9.05970756753563e-288,-4.26249018241738e-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-1.26701438341999e-42,6.91013824376342e-35,2.48525700194882e-34,5.84891524723486e-34,3.81945258831811e-38,-1.05556719852348e-39,7.18709658509926e-41,8.45527713546934e-44,3.41226959084843e-47,3.80413597800678e-51,-6.24027765905141e-55,4.15755886441466e-60,-4.16911650274431e-66,-2.07865771970714e-72,9.26955749158044e-79,1.4337524785041e-84,6.23647599127508e-89,3.66760316452002e-94,2.41041542692946e-100,1.65402450169046e-107,1.08647050306729e-115,6.41236000499833e-125,3.67774192558401e-135,2.43769345841657e-146,2.1492979365276e-158,2.72102896234261e-171,5.12709352378846e-185,1.46153693936565e-199,6.35122525858047e-215,4.22316649128454e-231,4.30527708106343e-248,6.73620086717344e-266,1.61862308074581e-284,5.97509036178134e-304,4.94065645841247e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-3.83924453636744e-43,1.0693809753085e-34,1.96425791381812e-33,2.3609349522675e-32,7.87392555953055e-36,-1.1113671489141e-36,3.86461858603942e-37,2.32200147717101e-39,4.78585425218375e-42,2.72491934959621e-45,-2.28287967918927e-48,7.76781731333394e-53,-3.97819544172688e-58,-1.01299325700459e-63,2.30708747905353e-69,1.82247143229007e-74,4.04862255573608e-78,1.21599520444366e-82,4.08152921522985e-88,1.43038990945377e-94,4.79857102189122e-102,1.4464165138918e-110,4.23680243861705e-120,1.43422583899579e-130,6.45827539263171e-142,4.1757509702633e-154,4.01840914665033e-167,5.85024694330473e-181,1.29838475030508e-195,4.40925870357916e-211,2.29567271682101e-227,1.83444790213854e-244,2.25121809162235e-262,4.24421921020083e-281,1.22951694977709e-300,5.47424735592101e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-1.3402763010839e-44,1.90661280275044e-35,1.78858692154864e-33,1.0979360593886e-31,1.87010426031561e-34,-1.3480734581627e-34,2.39411015550668e-34,7.34651670106703e-36,7.73321233380725e-38,2.24872116294275e-40,-9.62158153324102e-43,1.67202949063649e-46,-4.37333285968614e-51,-5.6874089908223e-56,6.61535958604402e-61,2.66889575429597e-65,3.02802641644181e-68,4.64478610573846e-72,7.96229482607199e-77,1.42511946079121e-82,2.44168844387752e-89,3.75883429076809e-97,5.62314794382673e-106,9.72165772959875e-116,2.2357376084908e-126,7.38278720265431e-138,3.62845216145026e-150,2.69788189785408e-163,3.05797288091738e-177,5.30367974977226e-192,1.41027293785378e-207,5.75546039321271e-224,3.60722926198951e-241,3.47324540374167e-259,5.13870481439759e-278,1.16838791111271e-297,4.08304742904831e-318,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-6.33916567039071e-47,4.60555270184302e-37,2.20653484477297e-34,6.91766100515933e-32,6.01768616435402e-34,-2.21543371652573e-33,2.00942045827565e-32,3.14912318083543e-33,1.69297132160311e-34,2.51424017324306e-36,-5.49413221706347e-38,4.87616129735723e-41,-6.51370597936963e-45,-4.32624953805419e-49,2.56999364469735e-53,5.2953136875801e-57,3.0683240838336e-59,2.40374711792941e-62,2.10447029289024e-66,1.92369981645778e-71,1.6832854462741e-77,1.32343369821921e-84,1.0111370087308e-92,8.92796154837469e-102,1.04861074741957e-111,1.76846028363784e-122,4.43892543197707e-134,1.68562463562606e-146,9.75782563385832e-160,8.64327246916441e-174,1.17377693576373e-188,2.44649288382201e-204,7.83103419603754e-221,3.85090081217018e-238,2.90979251097791e-256,3.37891209574734e-275,6.03052742954226e-295,1.65440720905208e-315,0,0,0,0,0,0,0,0,0,0,0,0
