"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",6.13578239617052,0.677283575749884,0.361559911988699,0.12254072882091,0.00854529306635411,0.000918839660432148,6.05401391151656e-05,2.63157686379638e-06,7.92722285366859e-08,1.66606177138931e-09,2.42602556265543e-11,2.44285552104664e-13,1.7019154839535e-15,8.20305300084811e-18,2.73406139679775e-20,6.29878697261721e-23,1.00266219777886e-25,1.1023611639139e-28,8.36713723784103e-32,4.38246047531513e-35,1.58322892011038e-38,3.94313897783386e-42,6.76694554115186e-46,7.99772634425857e-50,6.50618182499322e-54,3.64104310643221e-58,1.40091402172765e-62,3.70357855668085e-67,6.72337483320449e-72,8.37594218943406e-77,7.15615996952337e-82,4.19026467120946e-87,1.68046575745627e-92,4.61269050163205e-98,8.66012158532183e-104,1.11134013297286e-109,9.7416279315301e-116,5.82887489897223e-122,2.37908326636259e-128,6.61909488440671e-135,1.25435381280229e-141,1.61768264839206e-148,1.41821266699541e-155,8.43920399165905e-163,3.40059681554757e-170,9.24246534902211e-178,1.68204661307543e-185,2.02030796086483e-193,1.55715636288403e-201,7.35473494013071e-210
"2",0.634883841615155,0.0995593408956802,0.0780614823882573,0.0388581423358622,0.00397991311300563,0.000628537820580713,6.08247245301764e-05,3.88327233787718e-06,1.71809791390754e-07,5.30350516248258e-09,1.13425923167305e-10,1.67748940371455e-12,1.71650489570175e-14,1.21514366749821e-16,5.94847207089177e-19,2.01279311367516e-21,4.70589152784722e-24,7.59899622812224e-27,8.47138208296644e-30,6.51689072992756e-33,3.45789020149762e-36,1.26489542678072e-39,3.18823461746654e-43,5.53438267305961e-47,6.61262499939396e-51,5.43523808403353e-55,3.07149128653471e-59,1.19262640321838e-63,3.17991298816438e-68,5.81844102933721e-73,7.30126412761584e-78,6.2792030658402e-83,3.69860364739815e-88,1.49110248981551e-93,4.11170759939613e-99,7.74979625021223e-105,9.97745731240468e-111,8.76835507042084e-117,5.25639616025407e-123,2.14793980964514e-129,5.97845009374271e-136,1.13241844507169e-142,1.45814267645658e-149,1.27439834594362e-156,7.54230189078834e-164,3.01079823205534e-171,8.04779493471887e-179,1.41971608691882e-186,1.60716774006178e-194,1.114913209027e-202
"3",0.365735125852696,0.0572904750219313,0.0659754343561528,0.0482361405638009,0.00725619861638306,0.00168310821436357,0.000239224595235318,2.24320301655938e-05,1.45768503480379e-06,6.60881863952233e-08,2.07595633386303e-09,4.50931662367283e-11,6.77705554165524e-13,7.0464225040395e-15,5.06630734224437e-17,2.51785256960687e-19,8.64605760469336e-22,2.05058367125503e-24,3.35753531534403e-27,3.79360240461486e-30,2.95643016776714e-33,1.58838618850757e-36,5.88026375056935e-40,1.49920413581328e-43,2.63093752149347e-47,3.17614459898791e-51,2.63618591107399e-55,1.50340579637096e-59,5.88751586633699e-64,1.58222610081891e-68,2.91611750888952e-73,3.68346495675195e-78,3.18665363427052e-83,1.88690318121083e-88,7.64204159797457e-94,2.1155461942028e-99,4.00034235132683e-105,5.16345579355458e-111,4.54627265239022e-117,2.72856654115631e-123,1.11543971601449e-129,3.103197978263e-136,5.86877721333085e-143,7.53351843002099e-150,6.54849682151751e-157,3.83940932389238e-164,1.50731741887159e-171,3.905479596051e-179,6.49350425895524e-187,6.61613011451523e-195
"4",0.1693118529389,0.0179523134001465,0.0303644423539414,0.0326062352096407,0.00720414292269483,0.00245431471654219,0.00051235277626609,7.05629776673557e-05,6.73468159043936e-06,4.48458499877219e-07,2.06900573035274e-08,6.60084087285456e-10,1.45705059014749e-11,2.22508865610715e-13,2.3497151952638e-15,1.71513789855528e-17,8.65031504490972e-20,3.01325820851368e-22,7.24643659191998e-25,1.20254343680222e-27,1.37645380019928e-30,1.08616341256835e-33,5.90582980179608e-37,2.21151528799291e-40,5.70013002654566e-44,1.01069367394745e-47,1.23208414628637e-51,1.03201404677519e-55,5.93589940211871e-60,2.34297707694978e-64,6.34234071719606e-69,1.17664687178303e-73,1.4950975057435e-78,1.30025737474069e-83,7.73453412312113e-89,3.14479491639772e-94,8.73397670899714e-100,1.65577143532511e-105,2.14121587366188e-111,1.88748965106649e-117,1.13329034031728e-123,4.63073171317002e-130,1.28627199329213e-136,2.42509132860655e-143,3.09611382170272e-150,2.66615114335461e-157,1.53734068955987e-164,5.85039017017513e-172,1.42867893277367e-179,2.13798474463346e-187
"5",0.00089540951971797,0.00345207424998523,0.00857570968109661,0.0135254110007685,0.00438911729995086,0.00219619132825121,0.000673370471982232,0.000136209352051053,1.90937903096196e-05,1.86742167188075e-06,1.26539723661274e-07,5.92938301491282e-09,1.92233877592151e-10,4.31169138644717e-12,6.68745122464918e-14,7.16951039844591e-16,5.31089155856563e-18,2.71717062464813e-20,9.5973230218763e-23,2.33922201089105e-25,3.93257815130828e-28,4.55780715487095e-31,3.63987740861095e-34,2.0018928536048e-37,7.57845540334137e-41,1.97360636726598e-44,3.53367344644185e-48,4.34727091584831e-52,3.67250742729715e-56,2.12906658387248e-60,8.46478294982563e-65,2.30652122563141e-69,4.30453141223001e-74,5.49832926216132e-79,4.80375258534841e-84,2.86869154650256e-89,1.17016905155293e-94,3.25823209870252e-100,6.18852485549006e-106,8.01228368864339e-112,7.0657453151495e-118,4.24044530645674e-124,1.72997454421132e-130,4.79049125061804e-137,8.98284537806149e-144,1.13612685449004e-150,9.62182015330807e-158,5.37795293473498e-165,1.92890953814303e-172,4.23961944526715e-180
"6",8.00906279213626e-05,0.000453508230233006,0.00165470343453518,0.00383306004604568,0.00182691100832776,0.00134262716828628,0.00060462260519258,0.0001796314156422,3.69838882142175e-05,5.31260916349623e-06,5.28734205995084e-07,3.63885779893536e-08,1.7327286610661e-09,5.70812341685644e-11,1.30032336790915e-12,2.04750651444951e-14,2.2276567879142e-16,1.67395126905313e-18,8.68402501793503e-21,3.10876181535352e-23,7.67606109313962e-26,1.30665838537915e-28,1.53263212463645e-31,1.23804676640876e-34,6.88370061374061e-38,2.63297578807771e-41,6.92401172130529e-45,1.25110321607626e-48,1.55233043045149e-52,1.32176968009365e-56,7.71840248884628e-61,3.08897294291944e-65,8.46696147224721e-70,1.58846444817606e-74,2.03832034966024e-79,1.78780734084884e-84,1.07110124421265e-89,4.38035175821634e-95,1.22196611330519e-100,2.32366434584681e-106,3.00967852265839e-112,2.65288637581348e-118,1.58961499017722e-124,6.46513118416925e-131,1.78055858627874e-137,3.30760943844276e-144,4.11424060122566e-151,3.37749333995679e-158,1.77923952729419e-165,5.7437362158156e-173
"7",5.05269922938311e-06,4.20215410086357e-05,0.000225191515441917,0.000766165392889631,0.000536338971505641,0.000578925189616095,0.000382909771524169,0.00016708575100541,5.05259797592126e-05,1.06599482535203e-05,1.55822328749833e-06,1.57507928836167e-07,1.10157215369147e-08,5.32992131794517e-10,1.78329776001122e-11,4.12422967198756e-13,6.59038648837219e-15,7.27361765426587e-17,5.54209258343988e-19,2.91397091737432e-21,1.05677185984323e-23,2.64210413600968e-26,4.55167084937042e-29,5.40026445635513e-32,4.41006514807809e-35,2.4775073434632e-38,9.56909646748305e-42,2.53951821582192e-45,4.62793676685978e-49,5.78767431196245e-53,4.96387428562114e-57,2.91777977740626e-61,1.17465692343945e-65,3.23672656221402e-70,6.10022714406481e-75,7.85849417830764e-80,6.91503204230993e-85,4.15353346431936e-90,1.70181733253695e-95,4.7530483014239e-101,9.04198945127183e-107,1.17059749321501e-112,1.03021043229666e-118,6.15398437025483e-125,2.48931793861382e-131,6.79177635671845e-138,1.24080602437027e-144,1.49607636665266e-151,1.15754726417994e-158,5.4883759752846e-166
"8",2.21836813420572e-07,2.70973736245064e-06,2.13281065534441e-05,0.000106578072848813,0.000109579607374065,0.000173723225874072,0.000168762885143797,0.000108159572139096,4.80380470065949e-05,1.48857509623985e-05,3.19587950403578e-06,4.74469368868421e-07,4.87375576470366e-08,3.46351174131282e-09,1.70202048917994e-10,5.78134405785823e-12,1.35688146792042e-13,2.19951307697577e-15,2.46147205894078e-17,1.9008655512115e-19,1.01249405251737e-21,3.71797294361014e-24,9.40745601426823e-27,1.63931128737588e-29,1.96623969563338e-32,1.62237579547483e-35,9.20348892844412e-39,3.58738466417406e-42,9.60194214238556e-46,1.76368412583452e-49,2.22168534031592e-53,1.91804741398514e-57,1.13413022570673e-61,4.58989708167579e-66,1.27053898544779e-70,2.40395524687399e-75,3.1068929736658e-80,2.74091055558888e-85,1.64943477110623e-90,6.7661167012111e-96,1.89049836445896e-101,3.59471904978249e-107,4.64652587852188e-113,4.07665405939701e-119,2.42199304984656e-125,9.70556794026738e-132,2.6042730944671e-138,4.61191661701929e-145,5.24096754764317e-152,3.64973763363124e-159
"9",6.73118606537773e-09,1.20761981492348e-07,1.39604811362352e-06,1.02461568740314e-05,1.54727650634001e-05,3.60280809574286e-05,5.14049853401718e-05,4.83880713433624e-05,3.15648513155378e-05,1.43659452719498e-05,4.53000737025976e-06,9.87783450715538e-07,1.49026115357046e-07,1.55546533439534e-08,1.12267359905798e-09,5.60096160021739e-11,1.93072643943195e-12,4.59674523684433e-14,7.55551113785509e-16,8.56969555315102e-18,6.70427048339483e-20,3.61584932833547e-22,1.34375888882756e-24,3.4391857793061e-27,6.05864798626578e-30,7.34236165806753e-33,6.11761105176343e-36,3.50229213006667e-39,1.37682441680397e-42,3.71437146237316e-46,6.87214209456115e-50,8.71392812787719e-54,7.56767745104211e-58,4.49829247395121e-62,1.82884875433008e-66,5.08231088265444e-71,9.64730913509525e-76,1.25002822442948e-80,1.10485466736046e-85,6.65663197490215e-91,2.73172150792319e-96,7.62904405326982e-102,1.44836687360527e-107,1.8663759765505e-113,1.62859547015129e-119,9.58531384990269e-126,3.77760862230939e-132,9.82555151603642e-139,1.63995531367466e-145,1.67736371089444e-152
"10",1.41359406156281e-10,3.7248466718707e-09,6.32446232054925e-08,6.81756484963078e-07,1.51210260510425e-06,5.17129738895913e-06,1.08369901060488e-05,1.49825868202138e-05,1.43548048290717e-05,9.59561479208282e-06,4.44408707523091e-06,1.423280339608e-06,3.15381445191615e-07,4.83480706676781e-08,5.12527738495936e-09,3.75553240437703e-10,1.90140536841647e-11,6.64889477804208e-13,1.60512156266024e-14,2.67395765679303e-16,3.0724562911585e-18,2.4338262139966e-20,1.32845131417658e-22,4.99372913991939e-25,1.29208212949129e-27,2.29982730322171e-30,2.81440353956501e-33,2.3664750404442e-36,1.36638527363421e-39,5.41408414111647e-43,1.47121739511919e-46,2.73995700162603e-50,3.4949216226358e-54,3.05117818173658e-58,1.82197630705934e-62,7.43654507852056e-67,2.07329564929492e-71,3.94566231352438e-76,5.12212653381205e-81,4.53257238401891e-86,2.7319432721043e-91,1.1205995177732e-96,3.12466847123231e-102,5.91383973786631e-108,7.57929291455521e-114,6.55189395929519e-120,3.79247334324923e-126,1.44879709455791e-132,3.5516298478713e-139,5.33541222149464e-146
"11",2.0561907310316e-12,7.95778385366426e-11,1.98450593226468e-09,3.14197787943567e-08,1.02352901962363e-07,5.14118777397897e-07,1.58240513183468e-06,3.21322296559494e-06,4.52164440168695e-06,4.43932531577125e-06,3.01975548929955e-06,1.4204459847114e-06,4.62291028741106e-07,1.04088686530279e-07,1.62064094997475e-08,1.7441587081973e-09,1.29698291810439e-10,6.66122424425749e-12,2.3618786280346e-13,5.77895385507943e-15,9.75271352911666e-17,1.13468254022926e-18,9.09652472005269e-21,5.02226815368259e-23,1.90857876758333e-25,4.98953699706278e-28,8.96801742565911e-31,1.10753397308532e-33,9.39233025232375e-37,5.46600766631624e-40,2.1815598905506e-43,5.96731673320413e-47,1.11793830386785e-50,1.43348456015658e-54,1.25722563569012e-58,7.53679618955386e-63,3.08618421872597e-67,8.62632024683332e-72,1.64475425860458e-76,2.13766929217914e-81,1.89239808893208e-86,1.1400825760714e-91,4.66911828099264e-97,1.29791285916284e-102,2.44314773386495e-108,3.1019368412723e-114,2.63714300695394e-120,1.47966623736645e-126,5.3275673482923e-133,1.17547740118154e-139
"12",2.07055698822888e-14,1.17695804912137e-12,4.31088363005149e-11,1.0024485098488e-09,4.79627598863836e-09,3.5384456108222e-08,1.59960146994665e-07,4.7706771548192e-07,9.86008420136727e-07,1.42182531942298e-06,1.42051591937572e-06,9.81395591226625e-07,4.69115624814656e-07,1.55136151799744e-07,3.54765474442488e-08,5.60771061307679e-09,6.12461653857539e-10,4.62001891930758e-11,2.40598175576861e-12,8.64627478376781e-14,2.14313894358644e-15,3.66221878618304e-17,4.31211635847076e-19,3.49671243548217e-21,1.9517094383683e-23,7.49394281850158e-26,1.97829760233064e-28,3.58837061433592e-31,4.46949692587354e-34,3.82032735371125e-37,2.23945600640309e-40,8.99703766163379e-44,2.47561632890266e-47,4.66233606941059e-51,6.00577194543239e-55,5.28795113896709e-59,3.1802961390851e-63,1.305618653694e-67,3.65625807272636e-72,6.97945312534946e-77,9.07482858764346e-82,8.02984739197091e-87,4.83004205904223e-92,1.9719987047609e-97,5.45200031851609e-103,1.01667969015715e-108,1.26949189310631e-114,1.04617675994615e-120,5.53242208047961e-127,1.79285718092646e-133
