"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",6.43984253314593e-18,1.07545468188778e-19,1.89721686543835e-19,2.44945015352291e-19,1.57655715361173e-19,4.82144702483081e-20,6.94298115055267e-21,4.69711153473836e-22,1.48968602302594e-23,2.21038022310784e-25,1.5317356257947e-27,4.95033758984281e-30,7.45438072972732e-33,5.22821001235817e-36,1.70836761515348e-39,2.60328579304824e-43,1.85311702938138e-47,6.17637376968914e-52,9.66636313346056e-57,7.12730998560254e-62,2.48473094829337e-67,4.11098637438409e-73,3.24008900091726e-79,1.22097997563896e-85,2.20764449411248e-92,1.92156970438069e-99,8.07648914789154e-107,1.64380845165107e-114,1.6242530556483e-122,7.80969951899585e-131,1.83103127774957e-139,2.09723170354024e-148,1.17546164150377e-157,3.22868762563438e-167,4.35184209508454e-177,2.88178226832866e-187,9.38525076253966e-198,1.50464376528362e-208,1.1884676885753e-219,4.62840344839684e-231,8.89314640257747e-243,8.43568486059146e-255,3.95238929770666e-267,9.15132333418755e-280,1.0475678580801e-292,5.93092508820898e-306,1.66124632757661e-319,0,0,0
"2",7.6333089585384e-20,3.32011619564377e-21,1.13699405619344e-20,2.84963917580838e-20,3.56050037023229e-20,2.1137750344465e-20,5.90891033878675e-21,7.76018966264227e-22,4.77767116468849e-23,1.37615878610103e-24,1.85125150080397e-26,1.16143918944419e-28,3.39510553510763e-31,4.62247724302583e-34,2.93212942608608e-37,8.67368615363861e-41,1.19857372117199e-44,7.75488788440917e-49,2.35605328703322e-53,3.37231162363126e-58,2.28224082604477e-63,7.33007109771345e-69,1.12149964038202e-74,8.20409705250617e-81,2.87959516315455e-87,4.86562337227006e-94,3.96994974279364e-101,1.56853297463469e-108,3.00868129203502e-116,2.80825710770385e-124,1.27813978733904e-132,2.84190171798963e-141,3.09208305548516e-150,1.6487270664967e-159,4.3139580365576e-169,5.54554203199972e-179,3.50597460907294e-189,1.09113032142993e-199,1.67305555617153e-210,1.26483606749656e-221,4.71778911161268e-233,8.6872731673229e-245,7.90137901403452e-257,3.55146164774737e-269,7.89197031091415e-282,8.67372733621772e-295,4.71625347084498e-308,1.269748709812e-321,0,0
"3",1.42494519605873e-19,8.11026615649155e-21,5.39162982475231e-20,2.6232023601774e-19,6.36257633828946e-19,7.33264709872965e-19,3.97914228670721e-19,1.01445889315876e-19,1.21243488037567e-20,6.77939226164869e-22,1.77038486735055e-23,2.15614910333274e-25,1.22353287222955e-27,3.23383006262743e-30,3.98203981234829e-33,2.28668432172669e-36,6.1340499900163e-40,7.70438774822434e-44,4.54388954997089e-48,1.26255529056565e-52,1.65868617818654e-57,1.03416775341695e-62,3.0715811412258e-68,4.36187978592314e-74,2.97203820106753e-80,9.74858291662173e-87,1.54407381790536e-93,1.18428642785492e-100,4.40980447397566e-108,7.99024440998813e-116,7.05962448174583e-124,3.04713959064223e-132,6.43597717504557e-141,6.66180875667589e-150,3.38375849220851e-159,8.44398577246379e-169,1.03631624747245e-178,6.26094969273784e-189,1.86360557626648e-199,2.7350037681011e-210,1.98035140373308e-221,7.07892422932138e-233,1.2498754262728e-244,1.09056363774906e-256,4.70445561912728e-269,1.00371345921442e-281,1.05945171659598e-294,5.5315617099791e-308,1.42290906002279e-321,0
"4",5.34462800674704e-19,1.97886152607969e-20,2.55376196327948e-19,2.41197160398008e-18,1.1356733934796e-17,2.54074616254043e-17,2.67651703790039e-17,1.32463140131388e-17,3.0732583019646e-18,3.33588794400817e-19,1.69109664638401e-20,3.99815455790234e-22,4.40429580322145e-24,2.25973795816788e-26,5.40165115570455e-29,6.02153477713317e-32,3.13565551573406e-35,7.64538244302679e-39,8.75324124929335e-43,4.72140860431256e-47,1.20410803882571e-51,1.45737820707213e-56,8.40278633886645e-62,2.31640807107287e-67,3.06390865669857e-73,1.95093574232783e-79,5.99859558281932e-86,8.93137502756016e-93,6.45596186423736e-100,2.27081490205778e-107,3.89478349748689e-115,3.26342863262804e-123,1.33806223661899e-131,2.68864850248227e-140,2.65107049115122e-149,1.28424965832645e-158,3.05966812510431e-168,3.58841181791616e-178,2.07346216177626e-188,5.90717845746711e-199,8.30318036226622e-210,5.76168517311547e-221,1.97482692076926e-232,3.34497881452132e-244,2.80112044454795e-256,1.1601448176014e-268,2.37718879529952e-281,2.40940782458946e-294,1.20345067252112e-307,2.89028402817129e-321
"5",1.66907817937707e-21,2.48105581245612e-20,6.21557902391875e-19,1.1396025644917e-17,1.04163299350889e-16,4.52379174474897e-16,9.25105763778698e-16,8.88784494927595e-16,4.00295341596785e-16,8.43476477047387e-17,8.30060980433356e-18,3.80961596899823e-19,8.14663293012083e-21,8.1140895915627e-23,3.76520217156586e-25,8.14796237594185e-28,8.23664237633158e-31,3.89853223015292e-34,8.66464674662299e-38,9.07263834630916e-42,4.49166664553036e-46,1.05534481640251e-50,1.18120555329357e-55,6.32116719995185e-61,1.62307306688835e-66,2.00625102620176e-72,1.19749012020025e-78,3.4611524638467e-85,4.85672384499222e-92,3.3162269042182e-99,1.10414439719006e-106,1.79596025132275e-114,1.4294828981479e-122,5.57592248809737e-131,1.06729389123696e-139,1.00367303398042e-148,4.64191483621751e-158,1.05683009860512e-167,1.18543858406974e-177,6.55606249151372e-188,1.78890597326163e-198,2.40975347691962e-209,1.60336418881248e-220,5.27201407529317e-232,8.57028021595488e-244,6.89057544297848e-256,2.74086100016599e-268,5.39279240123081e-281,5.22891676638314e-294,2.44229821352286e-307
"6",5.10412696695203e-22,1.47285967773595e-20,7.16286028502446e-19,2.5494021907911e-17,4.52355331676792e-16,3.81370976336281e-15,1.51396721553988e-14,2.82358978878923e-14,2.46868522692397e-14,1.00980660397862e-14,1.92910239046156e-15,1.71872552895272e-16,7.13482830691512e-18,1.37951118484003e-19,1.24266417144354e-21,5.22028892550334e-24,1.02441465905638e-26,9.41253821790099e-30,4.06103314495222e-33,8.2546624936879e-37,7.93328922773877e-41,3.61843021423106e-45,7.86196939654967e-50,8.16738815371806e-55,4.07102751957598e-60,9.76857663547704e-66,1.13187379183147e-71,6.35077672631976e-78,1.72993415495849e-84,2.2930337695462e-91,1.48208166417493e-98,4.67975407246748e-106,7.23078291864742e-114,5.47523969443642e-122,2.03446621052511e-130,3.71397317462431e-139,3.33444627183331e-148,1.47370914410417e-157,3.20897041007066e-167,3.44516310323732e-177,1.82487980920049e-187,4.77198880901125e-198,6.1636650419067e-209,3.93426364864082e-220,1.24154358440906e-231,1.93777116556471e-243,1.49628408809478e-255,5.71506004270327e-268,1.07571908344943e-280,9.75362120541801e-294
"7",7.35004730606003e-23,4.11727700722387e-21,3.88700629025398e-19,2.68563610642704e-17,9.25057172687232e-16,1.51396748872809e-14,1.16671674310981e-13,4.22406518225956e-13,7.16926734661723e-13,5.69281817971025e-13,2.11117597478116e-13,3.65136907155078e-14,2.94247499259128e-15,1.1044206770945e-16,1.93127059864538e-18,1.57493973965066e-20,5.99964058903785e-23,1.07012929163978e-25,8.9628490521362e-29,3.53662423266671e-32,6.5981613912226e-36,5.8421122408602e-40,2.46411568631312e-44,4.96927452013462e-49,4.80832573396331e-54,2.23975842842365e-59,5.03788146368497e-65,5.48727637048017e-71,2.90161382655449e-77,7.46621580121089e-84,9.36790054273184e-91,5.74213259541551e-98,1.72232679610698e-105,2.53170687231296e-113,1.82616836176921e-121,6.47156242521134e-130,1.12790924197581e-138,9.67703381312992e-148,4.09049853861045e-157,8.5251173489637e-167,8.76606917743726e-177,4.44989837698277e-187,1.11575734630803e-197,1.38252895199612e-208,8.46940290944952e-220,2.56609873146771e-231,3.84649329168286e-243,2.85201475708168e-255,1.04210119299921e-267,1.83424335398586e-280
"8",4.97250236191915e-24,5.4072319532002e-22,9.90969311424799e-20,1.32914443732514e-17,8.88737764954367e-16,2.82359015007261e-14,4.22406496052376e-13,2.96876498055468e-12,9.78137776545758e-12,1.50776139240614e-11,1.08544991590665e-11,3.64435886543937e-12,5.70109441099772e-13,4.15393819466595e-14,1.41009599634959e-15,2.2322844866441e-17,1.65078640378279e-19,5.71586482432926e-22,9.29334006169828e-25,7.11860203209977e-28,2.57815354748939e-31,4.43134732055869e-35,3.62833214530253e-39,1.42042720449878e-43,2.66808660126026e-48,2.41261081208674e-53,1.05345037978804e-58,2.22742465569715e-64,2.28647180009148e-70,1.14210708307205e-76,2.78181731993326e-83,3.31008846949166e-90,1.92735623024437e-97,5.49971143658757e-105,7.70100394945809e-113,5.2978020318095e-121,1.79242414334151e-129,2.98530657481702e-138,2.44964397553375e-147,9.91076418693963e-157,1.97829803506785e-166,1.94947184878219e-176,9.48891768394959e-187,2.2824496609267e-197,2.7143123084158e-208,1.5964687920835e-219,4.64549609953602e-231,6.68650136815193e-243,4.74282512209753e-255,1.62055666652524e-267
"9",1.57702606446268e-25,3.32903929941008e-23,1.18436121439582e-20,3.08372895283621e-18,4.0027429781006e-16,2.46868555944558e-14,7.16926701862735e-13,9.78137783142352e-12,6.25610886823899e-11,1.87204779852804e-10,2.61621934756709e-10,1.70516161951196e-10,5.17824619680841e-11,7.32427330107592e-12,4.82651032358211e-13,1.48324929340763e-14,2.12929356370016e-16,1.43122085736128e-18,4.51727557432032e-21,6.71706451341659e-24,4.72251812496999e-27,1.5757259738866e-30,2.50456316382279e-34,1.9033733440979e-38,6.94040753145741e-43,1.21829474056017e-47,1.03266446473372e-52,4.23865647518967e-58,8.44638933272998e-64,8.19015499610021e-70,3.8725225165332e-76,8.94509578348673e-83,1.01108445887375e-89,5.60073978154039e-97,1.52241441420551e-104,2.03311205613447e-112,1.3353232914315e-120,4.31732383634759e-129,6.87715332694149e-138,5.40123320851835e-147,2.09294374355239e-156,4.00371221131205e-166,3.78305462852344e-176,1.7664737599487e-186,4.07798710071918e-197,4.65614518797645e-208,2.63013614414394e-219,7.34894702236657e-231,1.01191338249868e-242,6.71197760353164e-255
"10",2.3399744678316e-27,9.58895363224778e-25,6.62241697420701e-22,3.34725341255455e-19,8.43432143348539e-17,1.00980675006275e-14,5.69281797602235e-13,1.50776141760635e-11,1.87204781719166e-10,1.08745081293741e-09,2.95016897221642e-09,3.73265916746459e-09,2.20047040043567e-09,6.04195416864149e-10,7.72905101311841e-11,4.61091518226967e-12,1.28495693820116e-13,1.67663967209839e-15,1.02728208827253e-17,2.96532773101178e-20,4.04712727153695e-23,2.62140408309485e-26,8.08845019369492e-30,1.19326625374421e-33,8.44653132892708e-38,2.87823230423084e-42,4.73601158013239e-47,3.77365151828696e-52,1.45977095155629e-57,2.74780424957323e-63,2.52213117787687e-69,1.1309379134584e-75,2.4815398417772e-82,2.66845117911343e-89,1.40807829029029e-96,3.65035649737305e-104,4.65415066018378e-112,2.92111522481332e-120,9.03280882565083e-129,1.37716852963541e-137,1.03593323115661e-146,3.8469550468986e-156,7.05629811391217e-166,6.39619281967211e-176,2.86642282677932e-186,6.35332349492354e-197,6.96679022169544e-208,3.77885014490038e-219,1.01008504625215e-230,1.30060419341602e-242
