"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",7.03626925606025e-13,9.7086186310231e-15,1.06957701678335e-15,5.7928180574553e-17,9.89139250768756e-19,1.6472044980233e-20,3.44816999153479e-22,9.25523645714805e-24,1.38841537403903e-25,9.81274774674638e-28,3.20950469696411e-30,4.85010841943467e-33,3.38566033571193e-36,1.09169881830849e-39,1.6260266745759e-43,1.118708232629e-47,3.55524453702258e-52,5.21896945956316e-57,3.53884733421215e-62,1.10840851404312e-67,1.60360716734907e-73,1.07165597297549e-79,3.30804345666616e-86,4.71676881632435e-93,3.10652384009722e-100,9.45062766471728e-108,1.32801084756928e-115,8.61979111918423e-124,2.58431324135375e-132,3.57887059642869e-141,2.28927733797585e-150,6.76396779410218e-160,9.23112215787637e-170,5.81910838082764e-180,1.69436319663102e-190,2.27878747004288e-201,1.41562270349365e-212,4.06197018016848e-224,5.38357277508164e-236,3.29570413575195e-248,9.31898749059201e-261,1.21711380532862e-273,7.34234000997687e-287,2.04586448749855e-300,2.63301671000098e-314,0,0,0,0,0
"2",2.4871714610628e-14,2.1130150824774e-15,4.77551162796081e-16,5.30591663674255e-17,1.85862022713673e-18,6.34955708993808e-20,2.72676223307014e-21,1.50144286463264e-22,4.62065342224689e-24,6.69942153651579e-26,4.49518298576462e-28,1.39355301745157e-30,1.99562126968608e-33,1.32008005090699e-36,4.03355314080109e-40,5.69297977145492e-44,3.71154707891159e-48,1.11771979075366e-52,1.55479344967653e-57,9.99018238936664e-63,2.96506516202566e-68,4.0649417978089e-74,2.57414400127402e-80,7.52954810381631e-87,1.01732964908886e-93,6.34907348256715e-101,1.8302651574911e-108,2.43709142103265e-116,1.4989354169045e-124,4.25840000257663e-133,5.58806637893838e-142,3.38709492131331e-151,9.48294046655534e-161,1.22633087163431e-170,7.32521564395453e-181,2.02106563146052e-191,2.57564973506999e-202,1.51613789789678e-213,4.12225876797689e-225,5.17696904952623e-237,3.00302376929445e-249,8.0460720799805e-262,9.95749075117725e-275,5.69187000658326e-288,1.50277656457845e-301,1.8325241094863e-315,0,0,0,0
"3",1.83536302043966e-14,4.61012547910012e-15,2.1374341578921e-15,4.87187290729508e-16,3.50097392812971e-17,2.45360325486771e-18,2.16157777470682e-19,2.44171570092431e-20,1.54153137997961e-21,4.5851016606718e-23,6.31134221023181e-25,4.01384445825369e-27,1.17917389606772e-29,1.60015734655073e-32,1.00302762445328e-35,2.90420615258616e-39,3.88423469856643e-43,2.39964015115586e-47,6.8477606321874e-52,9.02634596167156e-57,5.49585782821156e-62,1.54567530540339e-67,2.00798037727604e-73,1.20492004040079e-79,3.33974806296461e-86,4.27587546373217e-93,2.52866557290717e-100,6.90735686020708e-108,8.71536707711226e-116,5.07939404139227e-124,1.36738149251306e-132,1.7002711982315e-141,9.76554631190246e-151,2.59074023898775e-160,3.17467529843832e-170,1.79689212297014e-180,4.69776275045093e-191,5.67290708442639e-202,3.1642071425115e-213,8.15207025988129e-225,9.70093968884412e-237,5.33214122042812e-249,1.35372461335702e-261,1.58744276528338e-274,8.59805474677907e-288,2.15088988926007e-301,2.48462824787058e-315,0,0,0
"4",1.56180711471125e-14,6.56633913972968e-15,6.24548253349321e-15,2.92032974738964e-15,4.30514227011019e-16,6.18964383972021e-17,1.11865167288585e-17,2.59227932055742e-18,3.35738973835453e-19,2.04861829835466e-20,5.7849085324965e-22,7.54741092250471e-24,4.54860267919946e-26,1.2662676898458e-28,1.62831498371263e-31,9.67198592071263e-35,2.65372775966509e-38,3.36325435540045e-42,1.96890541562054e-46,5.32415814727172e-51,6.65023742842229e-56,3.83691889548521e-61,1.02255459482422e-66,1.25877456006685e-72,7.15757859439413e-79,1.87992340998525e-85,2.28070541366086e-92,1.27806334938361e-99,3.3081779300833e-107,3.95528489678878e-115,2.18433001047734e-123,5.57197863693002e-132,6.56523804967169e-141,3.57306151996273e-150,8.98211529680711e-160,1.04295124505235e-169,5.59365621700763e-180,1.38571223377468e-190,1.58560489060282e-201,8.38032137421837e-213,2.04582863699563e-224,2.30685225935772e-236,1.20146508051342e-248,2.89029114887644e-261,3.21148880537288e-274,1.64811333704074e-287,3.90564713531996e-301,4.26880093418798e-315,0,0
"5",1.30203568809455e-15,4.52184344234236e-15,8.82309387238669e-15,8.46348996235673e-15,2.55957458047611e-15,7.5493338219791e-16,2.79898477215151e-16,1.33060804221263e-16,3.53535310359302e-17,4.42542286005625e-18,2.56361564504476e-19,6.86146894634131e-21,8.48320180270992e-23,4.84473481778188e-25,1.27804337531028e-27,1.55734746150443e-30,8.76574677250495e-34,2.27905578511902e-37,2.73705034154835e-41,1.5183488620103e-45,3.89063474927532e-50,4.60498923294691e-55,2.51764906565492e-60,6.35798261175925e-66,7.41652036414223e-72,3.99610520576649e-78,9.94554622390107e-85,1.14333768168615e-91,6.07118805733231e-99,1.48910487638583e-106,1.68705195256252e-114,8.82840679388785e-123,2.13395895006092e-131,2.38253213066525e-140,1.22868225822064e-149,2.92676368716445e-159,3.22019455905592e-169,1.63652287829806e-179,3.84155182022906e-190,4.16519254310129e-201,2.08596180240613e-212,4.82524721494003e-224,5.15553369614558e-236,2.54429086745313e-248,5.79954961283288e-261,6.1057303258079e-274,2.96828937589867e-287,6.65551744661898e-301,6.83230856081606e-315,0
"6",2.02509533314566e-16,1.44278226729549e-15,5.77522439478595e-15,1.13647565323181e-14,7.05084439964126e-15,4.26623388956325e-15,3.24488460221833e-15,3.16454702957915e-15,1.72487209557777e-15,4.42936596214378e-16,5.26383650617364e-17,2.89020913877842e-18,7.33051784821611e-20,8.58830693078444e-22,4.64778285356661e-24,1.1618456721196e-26,1.34157369779585e-29,7.15555393717083e-33,1.76292476527249e-36,2.00625093002699e-40,1.05462201657238e-44,2.56075294369478e-49,2.87208272450286e-54,1.48793437139903e-59,3.56063390698454e-65,3.93574300671697e-71,2.00946824984173e-77,4.7390328027643e-84,5.16239905587346e-91,2.59756164128338e-98,6.03714661107108e-106,6.48109357016297e-114,3.21376935725862e-122,7.36088614403796e-131,7.78742022343553e-140,3.80543554839467e-149,8.58937401489158e-159,8.95497076949752e-169,4.31232492715471e-179,9.59185384215694e-190,9.85454350513683e-201,4.67640824735365e-212,1.02501251531691e-223,1.03773146904533e-235,4.85260772403521e-248,1.0480481248164e-260,1.04523160598488e-273,4.80784891336678e-287,1.01250959278498e-300,9.42388684331463e-315
"7",1.45519085800941e-17,2.12685542904773e-16,1.74650055061409e-15,7.05054500678605e-15,8.97359310118985e-15,1.1138650905414e-14,1.73800042258442e-14,3.47716151919791e-14,3.88805944446716e-14,2.04823721731753e-14,4.99348523778962e-15,5.62462195722991e-16,2.92658682303973e-17,7.03391318310698e-19,7.80904572026101e-21,4.00463805529886e-23,9.48619504668929e-26,1.03796680326432e-28,5.24610129921422e-32,1.22475954865711e-35,1.32076364425203e-39,6.57898115449344e-44,1.51373759040521e-48,1.60879280984251e-53,7.89780402576844e-59,1.79088810405322e-64,1.87579579178587e-70,9.07521270445904e-77,2.02806261792849e-83,2.09342949642008e-90,9.98129493982679e-98,2.19819465266347e-105,2.23612074341931e-113,1.05068694109874e-121,2.28033962655428e-130,2.28598293374114e-139,1.05850476255043e-148,2.26390482101981e-158,2.2364961657347e-168,1.02052094604088e-178,2.1508918352367e-189,2.09390593078731e-200,9.41535298969213e-212,1.95548781815788e-223,1.87589273958058e-235,8.31144876374408e-248,1.70047687260679e-260,1.60461813798142e-273,6.93238575828752e-287,1.32365963976421e-300
"8",4.83026673914489e-19,1.4482776080515e-17,2.43974963767927e-16,2.02051423218507e-15,5.27555660238067e-15,1.34337479749871e-14,4.30008628824641e-14,1.76487863987081e-13,4.04842005656745e-13,4.37517686681474e-13,2.18817383463793e-13,5.05631448344523e-14,5.3971543937221e-15,2.66111180831279e-16,6.06075562632171e-18,6.37609482467147e-20,3.09846244414985e-22,6.95505133476896e-25,7.21134440781544e-28,3.45376742242945e-31,7.64064549243633e-35,7.80775677357938e-39,3.68536849271811e-43,8.03513409220301e-48,8.09211515895902e-53,3.76432266483025e-58,8.088474813691e-64,8.02787464669079e-70,3.68033895947764e-76,7.79340933698629e-83,7.62287374293461e-90,3.44398042417481e-97,7.1870797990226e-105,6.92776648420538e-113,3.08448121418914e-121,6.34334406724187e-130,6.0256068274932e-139,2.6438013969538e-148,5.35798521342588e-158,5.01554308101233e-168,2.16858925971355e-178,4.33090430681607e-189,3.99503618255987e-200,1.70216601201032e-211,3.34978930430117e-223,3.04473086947912e-235,1.2779256801716e-247,2.47382659522419e-260,2.19251699247233e-273,8.58814291151887e-287
"9",7.40615495902131e-21,4.55550141402228e-19,1.57431749348172e-17,2.67467896589054e-16,1.43265204768662e-15,7.48397492330182e-15,4.91445074913367e-14,4.13785580957e-13,1.94719193946763e-12,4.31699453437979e-12,4.42925204832428e-12,2.09964243260688e-12,4.59768056932164e-13,4.65050123783291e-14,2.17283178119957e-15,4.68939469924024e-17,4.67488516104517e-19,2.15272096099241e-21,4.57895448546829e-24,4.49889510278824e-27,2.04176388539271e-30,4.28020364963197e-34,4.14459181703339e-38,1.85377347941129e-42,3.8299074552321e-47,3.65490217436208e-52,1.61108421139763e-57,3.28030990961061e-63,3.08506843235488e-69,1.34019242750385e-75,2.68918752695177e-82,2.49244581232631e-89,1.06703878914932e-96,2.11000590210978e-104,1.92723754928503e-112,8.13081494809741e-121,1.58445273413989e-129,1.42616579097093e-138,5.92932679737016e-148,1.13863500480857e-157,1.00996554453877e-167,4.13780988356673e-178,7.83024500414639e-189,6.84414556785517e-200,2.76310573587081e-211,5.15218694253246e-223,4.43619868803407e-235,1.76172182708392e-247,3.20312390249107e-260,2.57390623814173e-273
"10",5.24546214920128e-23,6.61896124358549e-21,4.692547344116e-19,1.63550054608525e-17,1.79714221265152e-16,1.92591330516881e-15,2.59443076932108e-14,4.48131158602641e-13,4.32614668779133e-12,1.96759933078205e-11,4.14141022504562e-11,4.02741039943847e-11,1.80918105031401e-11,3.75409872237357e-12,3.5982780464941e-13,1.59311854008516e-14,3.258103975999e-16,3.07782853626329e-18,1.34302995230977e-20,2.70699795882452e-23,2.52028856094765e-26,1.08385671560895e-29,2.15303898894454e-33,1.97555662979566e-37,8.37305199158794e-42,1.63920758381254e-46,1.48231030672795e-51,6.19153670745577e-57,1.19456852448888e-62,1.06457463573604e-68,4.3822054281955e-75,8.33220715479217e-82,7.31774430241828e-89,2.96854326191281e-96,5.56234151949507e-104,4.81414501266822e-112,1.92454056180736e-120,3.55369772948243e-129,3.03094842606558e-138,1.1940441349132e-147,2.17272667275008e-157,1.82613028927782e-167,7.08923328440761e-178,1.2711764664123e-188,1.05280223901157e-199,4.027203702631e-211,7.11353812241847e-223,5.79528366852829e-235,2.16159233294584e-247,3.5633252459975e-260
