"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",7.38677697689654,0.465816987878734,0.210868142620566,0.0555218355574517,0.00118560687755563,5.65553784336319e-05,1.29684348583035e-06,1.63338712590525e-08,1.26756583148833e-10,6.10610174836585e-13,1.78334787696184e-15,3.15503031579293e-18,3.39176439888009e-21,2.21325400780427e-24,8.75368410442907e-28,2.09683762760532e-31,3.03953709811039e-35,2.66390577842277e-39,1.41024713266193e-43,4.50540824582474e-48,8.678167768979e-53,1.00685140522378e-57,7.0296449297306e-63,2.95066400195238e-68,7.43900579156473e-74,1.12542279017903e-79,1.02077996083617e-85,5.54624938620381e-92,1.80385394688799e-98,3.51006844345419e-105,4.08599516728905e-112,2.84732423343245e-119,1.19020990512688e-126,2.99765412798695e-134,4.58623813635373e-142,4.31872853430726e-150,2.54796895824886e-158,9.59110631768003e-167,2.32755864715612e-175,3.62677641615249e-184,3.56708369408367e-193,2.16644154145376e-202,7.96825169827611e-212,1.74990540903793e-221,2.27356159022174e-231,1.73766160457728e-241,7.78302467934743e-252,2.03441829422821e-262,3.06959302609312e-273,2.58762748383968e-284
"2",0.442117943208254,0.0406723713778745,0.0305805636561604,0.0133736105020454,0.000474324881180189,3.75802315006419e-05,1.43127618424059e-06,2.99416238360064e-08,3.85928709458452e-10,3.08781264858399e-12,1.49786721728265e-14,4.40140289722756e-17,7.85893338234274e-20,8.51764491244749e-23,5.59537867710313e-26,2.22614657755256e-29,5.35977730133958e-33,7.8020458523119e-37,6.86017517320804e-41,3.64019351238718e-45,1.16457833147314e-49,2.24417327200888e-54,2.60240410880629e-59,1.81430980151599e-64,7.59725890650112e-70,1.90900944588106e-75,2.87590707491515e-81,2.59532917492189e-87,1.40198952181299e-93,4.53115922358257e-100,8.76076294010552e-107,1.01398456982238e-113,7.03992972239244e-121,2.94494119597919e-128,7.48345322030999e-136,1.17044684321581e-143,1.14693884780363e-151,7.17075983205009e-160,2.89033010348788e-168,7.48028144041124e-177,1.22197070981992e-185,1.23266428569711e-194,7.53028172084797e-204,2.74671181408602e-213,5.92728196215054e-223,7.52427067516829e-233,5.59754965073949e-243,2.43018950574394e-253,6.09019263557295e-264,8.52711906644294e-275
"3",0.214930155311634,0.0173305447762465,0.0216425559036401,0.015720345046761,0.00092606112189277,0.000121863469392797,7.70881944092308e-06,2.6784905610766e-07,5.73419158712811e-09,7.62020044887569e-11,6.13958634024052e-13,2.99645156458161e-15,8.88648651384794e-18,1.59969192088397e-20,1.7454067274732e-23,1.15337692962735e-26,4.61226859606754e-30,1.11513304460805e-33,1.62855988976439e-37,1.43530217100685e-41,7.62672201804103e-46,2.44104586462188e-50,4.70158867303577e-55,5.4441700734519e-60,3.78640884311599e-65,1.58026163933517e-70,3.95408600465352e-76,5.92671512220916e-82,5.31761282633419e-88,2.85451027483034e-94,9.16673248975935e-101,1.7621964286269e-107,2.03208390432189e-114,1.41188811084863e-121,5.95903647490441e-129,1.54801809124365e-136,2.51950335957273e-144,2.6163160028786e-152,1.7515510855237e-160,7.52910999800748e-169,2.04285170649835e-177,3.42271864370339e-186,3.47286541367931e-195,2.10397301842302e-204,7.5410704746e-214,1.58998184067808e-223,1.96460864198759e-233,1.41666961249573e-243,5.89671052982021e-254,1.3712967534678e-264
"4",0.0763517306204877,0.00313376759629145,0.00650000155423144,0.0078418282876649,0.000767264752930089,0.00016769861491786,1.76195232372778e-05,1.01682623094119e-06,3.61558987682811e-08,7.98038235642734e-10,1.06793976298233e-11,8.65695678586279e-14,4.26420834136002e-16,1.27495548697934e-18,2.31049832570971e-21,2.53589118734648e-24,1.68431876237241e-27,6.76373716780496e-31,1.64064308918442e-34,2.40161873420546e-38,2.11957593457951e-42,1.12677536600011e-46,3.60459418181442e-51,6.93256214758291e-56,8.00829264463394e-61,5.55126255956574e-66,2.30706177733471e-71,5.74351165836305e-77,8.55914747344568e-83,7.63125117678592e-89,4.07032452767524e-95,1.29962823421767e-101,2.48918284130256e-108,2.87253801958394e-115,2.01368664486927e-122,8.68844826671268e-130,2.34872121809304e-137,4.05095173353542e-145,4.50443185535731e-153,3.21596413293571e-161,1.4492881384966e-169,4.03310415878072e-178,6.79683195491177e-187,6.83925957584418e-196,4.07147959179785e-205,1.42581036879601e-214,2.92614603213379e-224,3.50460330504329e-234,2.42287181683143e-244,9.35841756058274e-255
"5",4.8925569068608e-05,0.000287484868187347,0.000990403136553299,0.00198456906130424,0.000322510959778324,0.000117079011554948,2.04312089819242e-05,1.95838013901553e-06,1.15659086643841e-07,4.24008573412349e-09,9.42427688119843e-11,1.26886924558078e-12,1.03810283881163e-14,5.1552214684406e-17,1.55170194605533e-19,2.82867858636477e-22,3.12052464220764e-25,2.08132736673543e-28,8.38529076923124e-32,2.03872391653623e-35,2.98850286579891e-39,2.63871436938682e-43,1.40204436870414e-47,4.47867442993972e-52,8.59302347913957e-57,9.89345935286112e-62,6.82913928785162e-67,2.82380430085065e-72,6.98936851644385e-78,1.03503138741341e-83,9.16932044272732e-90,4.86270129738422e-96,1.54691195335399e-102,2.96500154471692e-109,3.45224309689403e-116,2.47401336454798e-123,1.11081474160563e-130,3.18212747822683e-138,5.87693473730401e-146,6.96903081707322e-154,5.21634452907157e-162,2.41102275957033e-170,6.74867860481086e-179,1.127902715734e-187,1.11523183742737e-196,6.48671783758707e-206,2.21110606788007e-215,4.39848168617995e-225,5.05062008792834e-235,3.24016423653294e-245
"6",1.65117308683684e-06,1.61146934234363e-05,9.22081706299068e-05,0.000306883795684178,8.28328415403642e-05,4.99444771558056e-05,1.4476141899696e-05,2.30465596193392e-06,2.26068059898264e-07,1.37652603105144e-08,5.08169001303753e-10,1.13638984758057e-11,1.5441916304191e-13,1.27367458969926e-15,6.36751246347112e-18,1.92794856504337e-20,3.53256204745607e-23,3.91338808684385e-26,2.61867132390706e-29,1.05747869151805e-32,2.57464422892706e-36,3.77577644386893e-40,3.33216109708707e-44,1.76792593649629e-48,5.63392309050011e-53,1.07736641021441e-57,1.2351837506489e-62,8.48302088071466e-68,3.48741974181866e-73,8.57768599731059e-79,1.26213007649485e-84,1.11171867258992e-90,5.87399056198468e-97,1.87000563254134e-103,3.61634372332087e-110,4.30448020910632e-117,3.21004152412797e-124,1.52734423918135e-131,4.68511836083308e-139,9.2276778790375e-147,1.14719342797903e-154,8.80687909382435e-163,4.09439569389704e-171,1.13656178562543e-179,1.86653831042125e-188,1.80321328342418e-197,1.02089719098064e-206,3.37307161658827e-216,6.43306319229433e-226,6.85473202857402e-236
"7",3.52729865523468e-08,5.7177086373739e-07,5.43400108479478e-06,3.00382490427189e-05,1.34664634940647e-05,1.3486175623773e-05,6.49238869906916e-06,1.71675423146817e-06,2.79699424100623e-07,2.82870159416619e-08,1.73444773476593e-09,6.44214855044094e-11,1.45396825943875e-12,1.99187718786245e-14,1.65395701600974e-16,8.31764154127816e-19,2.53130744831454e-21,4.6575589304169e-24,5.1765066241698e-27,3.47198426517406e-30,1.40402128117749e-33,3.41989741836658e-37,5.01283186299345e-41,4.41744913232747e-45,2.33813049262197e-49,7.4262848679616e-54,1.41413243904542e-58,1.6130929484998e-63,1.10144653260561e-68,4.49965984348199e-74,1.09967410335161e-79,1.60881135777213e-85,1.41186707157351e-91,7.4654127031454e-98,2.39789935384003e-104,4.74058901125317e-111,5.87181794830182e-118,4.64033360978393e-125,2.36419438816765e-132,7.73402163267875e-140,1.59698173411998e-147,2.03627145975418e-155,1.57236654055166e-163,7.24948863319075e-172,1.97743207032335e-180,3.17294179050515e-189,2.9836464337321e-198,1.63734897527517e-207,5.18661306110789e-217,9.17924274961289e-227
"8",4.5833053287843e-10,1.23398226950471e-08,1.94785651013766e-07,1.78838984737228e-06,1.33165425730919e-06,2.21501706466014e-06,1.77110015160847e-06,7.77852183758447e-07,2.10489706530813e-07,3.5357110624116e-08,3.60081816897481e-09,2.22137075793233e-10,8.32713456796061e-12,1.89475715906121e-13,2.61315733682002e-15,2.18268911256167e-17,1.10328298600132e-19,3.37171396017226e-22,6.22414184262453e-25,6.9337918023815e-28,4.65711627427635e-31,1.88411241620837e-34,4.58698385910461e-38,6.71376248151778e-42,5.90219430854932e-46,3.11362785150659e-50,9.84771622450701e-55,1.86575740925529e-59,2.11597018502586e-64,1.43574115565034e-69,5.82788274142448e-75,1.41612722619951e-80,2.06415021938955e-86,1.81280735132048e-92,9.67117238757109e-99,3.17563676415776e-105,6.5331320953471e-112,8.57528185732689e-119,7.25659228557287e-126,3.9428046929911e-133,1.35222877330033e-140,2.86375750219305e-148,3.67286276093808e-156,2.81260420842787e-164,1.2742456627375e-172,3.39597150216822e-181,5.30395256496909e-190,4.83441432416827e-199,2.54352966261777e-208,7.47670342774439e-218
"9",3.60310225396809e-12,1.61122821608154e-10,4.22430669974561e-09,6.44185608531303e-08,7.96692348197438e-08,2.20103314329852e-07,2.92309525348207e-07,2.13229488182456e-07,9.58365990352311e-08,2.67379212504444e-08,4.52274815864479e-09,4.63417688228848e-10,2.88534321579747e-11,1.09045009803113e-12,2.49786026829038e-14,3.46533164653123e-16,2.9093112417502e-18,1.47674099066924e-20,4.52776031720442e-23,8.37770543824385e-26,9.34591252904012e-29,6.28003095099897e-32,2.53940825000446e-35,6.17336035673379e-39,9.0140404082528e-43,7.89810753841016e-47,4.14898826308254e-51,1.30560618141841e-55,2.45933057065195e-60,2.77162107912412e-65,1.86861079185967e-70,7.54155081821677e-76,1.82578666613215e-81,2.66324258389257e-87,2.35987249761778e-93,1.28703565116244e-99,4.39776012438887e-106,9.58757651581725e-113,1.34754570386165e-119,1.21609187684773e-126,6.92726237537465e-134,2.43667746008557e-141,5.19059146956057e-149,6.60193298620737e-157,4.96782164165618e-165,2.19901002817832e-173,5.70444169789627e-182,8.6359023739573e-191,7.54659432210871e-200,3.68446719103061e-209
"10",1.72523933287343e-14,1.2813865581886e-12,5.57993177443819e-11,1.41330145723838e-09,2.90311858647454e-09,1.33214363521669e-08,2.93844645486016e-08,3.56018380024695e-08,2.65770571547702e-08,1.23155405477469e-08,3.46001981345399e-09,5.88842473481451e-10,6.08939777396235e-11,3.82237244062005e-12,1.45427214910847e-13,3.3509866166591e-15,4.67270555562643e-17,3.93942559225908e-19,2.00614510518547e-21,6.16530181368988e-24,1.14235558421976e-26,1.27494580061303e-29,8.56274097131974e-33,3.45742088217881e-36,8.38494975006965e-40,1.2202655426664e-43,1.06469166282994e-47,5.56473114063681e-52,1.74100187436176e-56,3.25886618326795e-61,3.6492352930932e-66,2.44621157729937e-71,9.83634444166801e-77,2.38311370964283e-82,3.50730003336516e-88,3.1770591402885e-94,1.80308666231401e-100,6.52896361552881e-107,1.52415540631174e-113,2.28455951479168e-120,2.16146430379814e-127,1.26280071203231e-134,4.46790533142187e-142,9.43862142193809e-150,1.17965168459758e-157,8.67292016515658e-166,3.73681524684842e-174,9.3960765492881e-183,1.36376697179461e-191,1.10589577566013e-200
