"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",2.33408258372717e-06,1.56046942822668e-08,2.22033412579396e-08,3.63529932312648e-08,5.58606405173309e-08,7.7832734682067e-08,9.45660506518103e-08,1.00152086129009e-07,9.24362082499324e-08,7.43404744415261e-08,5.20920741243398e-08,3.18017075164999e-08,1.6913468086331e-08,7.83588526413612e-09,3.16215852968801e-09,1.11143164672497e-09,3.40208000011318e-10,9.06824270164854e-11,2.10458905708055e-11,4.25225804563163e-12,7.47852237561926e-13,1.14467996523859e-13,1.52455959060612e-14,1.76647575642896e-15,1.78022573533901e-16,1.56004568424892e-17,1.18843142741029e-18,7.86780886058234e-20,4.5251501776091e-21,2.26025198002888e-22,9.80075446602626e-24,3.68778032235505e-25,1.20361912517196e-26,3.40597116075445e-28,8.35269536630524e-30,1.77440265244689e-31,3.26383275293786e-33,5.19604545687128e-35,7.15681965266676e-37,8.52551062166805e-39,8.78107593804976e-41,7.81811817202973e-43,6.01607213520676e-45,4.00073412312112e-47,2.29917606654525e-49,1.14190489726328e-51,4.90183698435053e-54,1.81898140135674e-56,5.83614199936296e-59,1.61939118423387e-61
"2",1.65882471249567e-07,2.93152605020917e-09,4.57720261247886e-09,8.22366269586519e-09,1.38667387824761e-08,2.12018629678866e-08,2.82676884120247e-08,3.28517382207869e-08,3.32723737622212e-08,2.93636678034228e-08,2.25787520141067e-08,1.51259281425041e-08,8.82770013311296e-09,4.48793214809534e-09,1.98739943905662e-09,7.66527239827265e-10,2.5747357673217e-10,7.5310336718333e-11,1.91797115924876e-11,4.25243502002878e-12,8.2068629680193e-13,1.37844288570286e-13,2.01461660436722e-14,2.5615273437523e-15,2.83275946865256e-16,2.72405110727369e-17,2.27716957690448e-18,1.6543155644843e-19,1.04409703393988e-20,5.72279295196842e-22,2.72303983402657e-23,1.12435340133303e-24,4.02689388503924e-26,1.25044726764953e-27,3.3650720549723e-29,7.84446290611935e-31,1.58336938001714e-32,2.76611733043095e-34,4.18081585467847e-36,5.46518258558738e-38,6.17696753820934e-40,6.0349423633938e-42,5.09597444222951e-44,3.71875191512735e-46,2.34516312280785e-48,1.27812718453856e-50,6.02069061606633e-53,2.45165307765395e-55,8.63177113582468e-58,2.62826497442575e-60
"3",1.64827080301848e-07,6.65260222378783e-09,1.1398330517995e-08,2.24724130056796e-08,4.15816830363715e-08,6.97661990006753e-08,1.02071534726767e-07,1.30171531004213e-07,1.44672089951704e-07,1.40105305565472e-07,1.18219065829055e-07,8.69066346046725e-08,5.56572548334357e-08,3.10501571159902e-08,1.50884974132483e-08,6.38604144514591e-09,2.3538572210657e-09,7.55518928452432e-10,2.11142734846437e-10,5.13706506280156e-11,1.08792228331767e-11,2.00517728712728e-12,3.21587914664879e-13,4.48693333242565e-14,5.44507204622055e-15,5.74582628882187e-16,5.27079255394552e-17,4.2018661764194e-18,2.91010080403837e-19,1.75032426935699e-20,9.13919166882796e-22,4.14094954741335e-23,1.62746102461512e-24,5.54560717837045e-26,1.63765116841301e-27,4.1892237319551e-29,9.27888716575878e-31,1.77880179581786e-32,2.95026692847234e-34,4.23202532155031e-36,5.24882642041658e-38,5.62734224038141e-40,5.21435689729569e-42,4.17555327159938e-44,2.88956979213026e-46,1.7281343955318e-48,8.93291215159492e-51,3.99161896601001e-53,1.54217368876579e-55,5.15283018186129e-58
"4",1.67043155323202e-07,1.3278333831902e-08,2.49652881241007e-08,5.40117631426305e-08,1.09669034556226e-07,2.01915811695714e-07,3.24170299023584e-07,4.53657295840586e-07,5.53273605667512e-07,5.87967185442864e-07,5.44414069545948e-07,4.39175454810511e-07,3.08638585010692e-07,1.88945063367242e-07,1.00753710762048e-07,4.67939924095686e-08,1.89270005047055e-08,6.66638416329385e-09,2.04439325878389e-09,5.45816517399248e-10,1.26844835669225e-10,2.56549400790384e-11,4.51503641697007e-12,6.91280752500008e-13,9.20559339906026e-14,1.06596749135242e-14,1.07302712863144e-15,9.38685923041251e-17,7.13393965577049e-18,4.70850702995424e-19,2.69783760621071e-20,1.34137827400397e-21,5.78502493781678e-23,2.16315207286729e-24,7.00975208295379e-26,1.967696550045e-27,4.78259684149877e-29,1.00609443872477e-30,1.8311158010434e-32,2.88234569530879e-34,3.92286470625995e-36,4.61517058651486e-38,4.69276160915949e-40,4.12368115837682e-42,3.13146490048439e-44,2.05511052741588e-46,1.16571945051435e-48,5.71601510042162e-51,2.42337648426956e-53,8.88539501909658e-56
"5",1.69979404359509e-08,2.32154565284294e-08,4.78975763105416e-08,1.13712607939908e-07,2.53365568731901e-07,5.11890671020624e-07,9.01827381501573e-07,1.38490953543849e-06,1.85343247485248e-06,2.16139038236303e-06,2.19610335978895e-06,1.94403825072984e-06,1.49920242282588e-06,1.00713784504212e-06,5.89328883163925e-07,3.00351694648019e-07,1.3331072496003e-07,5.15248746206672e-08,1.73394116369679e-08,5.07995541640723e-09,1.29547586658534e-09,2.87521848231698e-10,5.55270261256355e-11,9.32912542318277e-12,1.36326902054867e-12,1.73227583639859e-13,1.91349397591185e-14,1.8368767295727e-15,1.53190716980828e-16,1.10950573295248e-17,6.97598345180144e-19,3.80613523892445e-20,1.80128110380263e-21,7.39105816151206e-23,2.62824311974309e-24,8.09588465678838e-26,2.15930142161627e-27,4.98461427018677e-29,9.95524444640585e-31,1.71959231321508e-32,2.56818360115801e-34,3.31553644766583e-36,3.69945587087439e-38,3.56728450095537e-40,2.97264827815083e-42,2.14079199733345e-44,1.33252891485725e-46,7.17000199071424e-49,3.33572398895909e-51,1.34211357470964e-53
"6",2.36628069120762e-08,3.54642267722083e-08,8.02916004943838e-08,2.09174388019528e-07,5.11435409101794e-07,1.13387119360294e-06,2.1920640246037e-06,3.6939799416131e-06,5.42491834559384e-06,6.94213351756887e-06,7.74026507649707e-06,7.51884571860919e-06,6.36282462464827e-06,4.69052984364588e-06,3.01185475493695e-06,1.68441730550531e-06,8.2040445162194e-07,3.4795507230506e-07,1.28494309544234e-07,4.1309767345801e-08,1.15602036608422e-08,2.81546621279113e-09,5.96660369871082e-10,1.10003630972404e-10,1.76396906437728e-11,2.45962985673292e-12,2.98141970930509e-13,3.1406485590807e-14,2.87418744374644e-15,2.28431241270827e-16,1.57606709088981e-17,9.43619234168919e-19,4.90046591009457e-20,2.20650953844486e-21,8.6100968302802e-23,2.91038284349065e-24,8.51809325305809e-26,2.15776421386255e-27,4.72898207807376e-29,8.96364286769817e-31,1.46902243493414e-32,2.08113127804196e-34,2.54816080486736e-36,2.69631133247366e-38,2.46558016155023e-40,1.94846847190562e-42,1.33087988757378e-44,7.85823128062802e-47,4.01179699467056e-49,1.77125634745261e-51
"7",2.87408997364157e-08,4.72680738251566e-08,1.17433183650804e-07,3.35716384248859e-07,9.00737270045143e-07,2.19136324016193e-06,4.64886778399256e-06,8.59670062874953e-06,1.38539554268864e-05,1.94543557182658e-05,2.38025252461662e-05,2.53724078614687e-05,2.35615454763538e-05,1.90598305051677e-05,1.34299521468717e-05,8.2420158530187e-06,4.40509287367875e-06,2.05018731832477e-06,8.30802081916879e-07,2.93095897922273e-07,9.00048239050468e-08,2.4054366916145e-08,5.59389247795059e-09,1.13171546851329e-09,1.99142752696189e-10,3.04709930281688e-11,4.0530623042989e-12,4.68514259058265e-13,4.70502428773967e-14,4.10341641657046e-15,3.10676284658873e-16,2.04114330481634e-17,1.16320803788462e-18,5.74736979736013e-20,2.4610173639492e-21,9.12851374816756e-23,2.9318088584309e-24,8.14968004328038e-26,1.95996154625118e-27,4.07669046507106e-29,7.33153532014557e-31,1.13974918222984e-32,1.53136936267423e-34,1.77814212217255e-36,1.78426300154032e-38,1.54730680667685e-40,1.15975225390182e-42,7.51440295226706e-45,4.20970760605557e-47,2.03956576265196e-49
"8",3.04355345521549e-08,5.49277474733886e-08,1.49746965066054e-07,4.69767579860515e-07,1.38309479693128e-06,3.69242341849271e-06,8.59582627183472e-06,1.74427737616227e-05,3.08461410992173e-05,4.75321235683789e-05,6.3817047761312e-05,7.46480846860251e-05,7.60683627610944e-05,6.75246962783441e-05,5.22109241566832e-05,3.51611985746337e-05,2.06218965846331e-05,1.05319887932303e-05,4.68336204226563e-06,1.8130642972579e-06,6.10959697087875e-07,1.79177724568372e-07,4.57243468261281e-08,1.0151119910133e-08,1.9601284038719e-09,3.29116710717288e-10,4.80385528622555e-11,6.09358339700621e-12,6.71514084304161e-13,6.42661314525394e-14,5.33934494797008e-15,3.84943227567224e-16,2.40726494262736e-17,1.30520565910363e-18,6.13292699132475e-20,2.49629841420873e-21,8.79782643048078e-23,2.68363597857348e-24,7.0822932924907e-26,1.61650631206779e-27,3.19012652691025e-29,5.44208820592542e-31,8.02378995941327e-33,1.02237301384353e-34,1.12575811850829e-36,1.07128731781637e-38,8.81126094248692e-41,6.26484928794247e-43,3.8513358290583e-45,2.04757812397126e-47
"9",2.80899566102162e-08,5.5629509930279e-08,1.66423550830648e-07,5.72905651178454e-07,1.85095270683858e-06,5.42248278131037e-06,1.38521639934646e-05,3.08452896586539e-05,5.98573458760563e-05,0.000101215527459475,0.0001491213905144,0.000191410260561771,0.00021403949830232,0.000208495077041777,0.000176904082746625,0.000130732466960605,8.41379062152732e-05,4.71538105298747e-05,2.30095141000792e-05,9.77476290075819e-06,3.61450556964462e-06,1.16322482775328e-06,3.25739530784027e-07,7.93560832139538e-08,1.68148926229022e-08,3.09815270786808e-09,4.96233537688041e-10,6.90736277595528e-11,8.35291270336109e-12,8.77219515220057e-13,7.99755832671045e-14,6.3271689343219e-15,4.34190131256792e-16,2.58332064763796e-17,1.33201915983931e-18,5.94952766071669e-20,2.30093678340594e-21,7.70187051612891e-23,2.23043630343091e-24,5.58645921195321e-26,1.20979126910314e-27,2.2647038803005e-29,3.66411173891108e-31,5.12320631147833e-33,6.19043068968911e-35,6.46435281484626e-37,5.83445723472687e-39,4.55214760533724e-41,3.0708627617486e-43,1.79156598882313e-45
"10",2.25908073411417e-08,4.90940914872106e-08,1.61169213864076e-07,6.08826741760579e-07,2.15848604964028e-06,6.938976480739e-06,1.94517271188925e-05,4.75305354627068e-05,0.000101214939544453,0.000187809526099118,0.000303636326780361,0.000427683316080925,0.000524800607050699,0.000560969848950642,0.00052230583855624,0.000423558879895069,0.000299133701517299,0.000183964383284,9.85071405139004e-05,4.59208382050188e-05,1.86335577322221e-05,6.58042370569617e-06,2.02210625037475e-06,5.4057634727891e-07,1.2569390636683e-07,2.54136038429201e-08,4.46676246416668e-09,6.82279498175462e-10,9.05380858018108e-11,1.04338589254517e-11,1.04384833267432e-12,9.06218087242667e-14,6.82411841080167e-15,4.45541570239161e-16,2.52094689911006e-17,1.23560319929547e-18,5.24378084885759e-20,1.9261023861673e-21,6.12091419667414e-23,1.68231148048458e-24,3.99782272602919e-26,8.21235700817883e-28,1.45803656642306e-29,2.2370972399921e-31,2.9662461822129e-33,3.39902757965316e-35,3.36645960691861e-37,2.88225627151998e-39,2.13363425471389e-41,1.36595278005379e-43
