"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.995388973770506,4.90196833007155e-13,3.00056701247394e-14,1.35853958931761e-15,4.54964390264756e-17,1.12698634081691e-18,2.06488580005866e-20,2.79839851716068e-22,2.80517025603115e-24,2.07991232103704e-26,1.14068825240612e-28,4.62727221605509e-31,1.38841490882167e-33,3.08141098718027e-36,5.05843442100693e-39,6.14212655125812e-42,5.51642268320543e-45,3.66464955361881e-48,1.80070886703764e-51,6.54471433885972e-55,1.75943823940997e-58,3.49859359631255e-62,5.14575501688931e-66,5.5981026075294e-70,4.5047297493069e-74,2.68122196071714e-78,1.18041014420623e-82,3.84387483202587e-87,9.25852237646753e-92,1.64949218679822e-96,2.17367686937073e-101,2.11873111319469e-106,1.527540886102e-111,8.14602955770765e-117,3.21318150699973e-122,9.37477115260834e-128,2.02312273329152e-133,3.229385748321e-139,3.81288544570329e-145,3.32984278861185e-151,2.15094765134487e-157,1.02771357007239e-163,3.63203880753892e-170,9.49434499051944e-177,1.83575904004793e-183,2.6254423214995e-190,2.77731683594761e-197,2.17312401401328e-204,1.25770774151875e-211,5.38407494161312e-219
"2",0.995388973854189,1.04047177347296e-11,8.93627201543152e-13,5.67699610288296e-14,2.66757691969595e-15,9.27153079748736e-17,2.38353799008846e-18,4.53240646556609e-20,6.37487629214347e-22,6.63209611467641e-24,5.1034751049272e-26,2.90480730890147e-28,1.22293900187404e-30,3.80827587682249e-33,8.77178840113836e-36,1.49445908954978e-38,1.8832850282836e-41,1.75543282859982e-44,1.21028741378434e-47,6.17204319700338e-51,2.32812093412254e-54,6.49558475684315e-58,1.34050090337531e-61,2.04621897194625e-65,2.31032587440926e-69,1.92943661549008e-73,1.19185638933026e-77,5.44569709489748e-82,1.8404294409903e-86,4.60066914133565e-91,8.50665796212415e-96,1.16341076744739e-100,1.17691019751827e-105,8.80622366791816e-111,4.87385087321625e-116,1.99522051112837e-121,6.0415128523728e-127,1.35312103570504e-132,2.24162894918724e-138,2.74679941704409e-144,2.48958125577066e-150,1.66902100890366e-156,8.2762469406579e-163,3.03557673912711e-169,8.2354082136399e-176,1.65259024600107e-182,2.45290866862462e-189,2.69298360822022e-196,2.18686604199038e-203,1.31355055040106e-210
"3",9.26611732244696e-10,1.50966636978805e-10,1.81928318463695e-11,1.62164493247685e-12,1.06917149629895e-13,5.21404906895924e-15,1.88078431721568e-16,5.0180965683956e-18,9.90319141553027e-20,1.44559777562381e-21,1.56083109354821e-23,1.24652353878463e-25,7.36344756822891e-28,3.21734810563191e-30,1.03980295034792e-32,2.48565114929178e-35,4.39506647345611e-38,5.74813365525313e-41,5.56063522573541e-44,3.97885483280925e-47,2.10585236644121e-50,8.24392224421277e-54,2.38712956532026e-57,5.11274620998112e-61,8.09969411807517e-65,9.49115661865417e-69,8.22632381461616e-73,5.27386004462004e-77,2.50084939850458e-81,8.77167671204139e-86,2.27569383894031e-90,4.3669798646226e-95,6.19847257764903e-100,6.50765195754118e-105,5.05359100247631e-110,2.90276583169025e-115,1.23327535551149e-120,3.875647257492e-126,9.00875075618054e-132,1.54889165254692e-137,1.96976150562736e-143,1.8528590864216e-149,1.28916134925442e-155,6.63450155181484e-162,2.52548889212397e-168,7.11080492224210e-175,1.48090842904117e-181,2.28125474284672e-188,2.59929459305873e-195,2.19065184188346e-202
"4",6.55007235449953e-09,1.49734725587458e-09,2.53183327669974e-10,3.16653151894451e-11,2.92933247224754e-12,2.00442428311399e-13,1.01448769582747e-14,3.79786962220403e-16,1.05164571903002e-17,2.15394695545261e-19,3.26314737488085e-21,3.65657522203958e-23,3.03073856063663e-25,1.85805504645848e-27,8.4256772021069e-30,2.82609786086136e-32,7.01141566966091e-35,1.28664984627511e-37,1.74642994359649e-40,1.75338830115821e-43,1.30209052633887e-46,7.15221222507576e-50,2.90586708161299e-53,8.73267377746414e-57,1.94113109783353e-60,3.19152783707374e-64,3.88131191340832e-68,3.49135968534123e-72,2.32298699968478e-76,1.14323392856693e-80,4.1615926645995e-85,1.12052144549391e-89,2.23160289093323e-94,3.28737915377545e-99,3.58194421039661e-104,2.88684839257063e-109,1.72093820191627e-114,7.58826890882045e-120,2.4748922132599e-125,5.9704354147175e-131,1.06534889359249e-136,1.4060923733856e-142,1.3726884677597e-148,9.91211327651149e-155,5.29415517995317e-161,2.09152575309314e-167,6.11175455524539e-174,1.32100582401044e-180,2.11193087222127e-187,2.49741550794631e-194
"5",3.165084207148e-08,1.01520781042456e-08,2.40857830788188e-09,4.22671271266417e-10,5.48631612676162e-11,5.26738503831012e-12,3.7406359395613e-13,1.96486156560139e-14,7.63404317682179e-16,2.19388270893486e-17,4.66346087611539e-19,7.33228621009147e-21,8.52720334005966e-23,7.33516637105041e-25,4.66712526006068e-27,2.1964690309238e-29,7.64604501687894e-32,1.96872363877925e-34,3.749460651538e-37,5.28188551465127e-40,5.50358028072249e-43,4.24167868891556e-46,2.41805607243591e-49,1.01960300513098e-52,3.18003562374425e-56,7.33616350972996e-60,1.25182078634696e-63,1.57997950686549e-67,1.4750165331249e-71,1.01854087310725e-75,5.20230935346026e-80,1.965395806418e-84,5.49211996890506e-89,1.13518369497978e-93,1.73551516470275e-98,1.96257752042612e-103,1.64157740715502e-108,1.01562188716495e-113,4.64770843706448e-119,1.57319239763381e-124,3.93877290084189e-130,7.29417506561165e-136,9.9914279906259e-142,1.01231362443305e-147,7.58645245045039e-154,4.20531504919252e-160,1.72422712722727e-166,5.22909520198845e-173,1.17299122426527e-179,1.94625219844181e-186
"6",1.04547897650489e-07,4.70520156916394e-08,1.56630848765476e-08,3.85667025646875e-09,7.0239895150933e-10,9.46218292675685e-11,9.42833410457878e-12,6.94887864131406e-13,3.78818019433298e-14,1.52750510465419e-15,4.55586504031139e-17,1.00506736038186e-18,1.64004448296515e-20,1.97948504355125e-22,1.76719698040709e-24,1.16695426573478e-26,5.69978993333206e-29,2.05920698659451e-31,5.50271848435308e-34,1.08765391199097e-36,1.5901580652271e-39,1.719594333625e-42,1.37545964630133e-45,8.13777804585648e-49,3.56122953518026e-52,1.15273699588498e-55,2.75992090254741e-59,4.88763964359125e-63,6.40232712831999e-67,6.20315569481168e-71,4.44553098734295e-75,2.35651788838905e-79,9.23961720483264e-84,2.67962089651995e-88,5.74816031366892e-93,9.12053946563451e-98,1.07040547288266e-102,9.29206531706619e-108,5.96639944945041e-113,2.83366520174094e-118,9.95453291471182e-124,2.58660061157334e-129,4.97134615242793e-135,7.06732024051933e-141,7.431417774397e-147,5.77995852171455e-153,3.32517039969666e-159,1.41494392465969e-165,4.45349214581395e-172,1.03680788572994e-178
"7",2.36067497278463e-07,1.49070728108439e-07,6.96281231239047e-08,2.40554310542674e-08,6.14720558030367e-09,1.16192600122813e-09,1.62448364093692e-10,1.6799190428948e-11,1.28498335771779e-12,7.2701402979635e-14,3.04245539459529e-15,9.41763352952531e-17,2.15623202741216e-18,3.65161798475901e-20,4.57415967846837e-22,4.23812190042646e-24,2.90450217449205e-26,1.47233320540323e-28,5.52047753176825e-31,1.53102867751496e-33,3.1406977495349e-36,4.76546298044592e-39,5.34835462949397e-42,4.43988202986537e-45,2.72620684969922e-48,1.23817581692622e-51,4.15950805135077e-55,1.03356491875969e-58,1.89963293198334e-62,2.58248470882472e-66,2.59682071261861e-70,1.93144485607082e-74,1.06257305576441e-78,4.32385801023565e-83,1.30142812397819e-87,2.89737754802159e-92,4.77118363535684e-97,5.81143404070828e-102,5.23572264951335e-107,3.48904114927112e-112,1.71977522900823e-117,6.27008496595478e-123,1.69087421630856e-128,3.37275905157915e-134,4.97617299709702e-140,5.43052431990696e-146,4.38353213552935e-152,2.61723527715869e-158,1.15583934846291e-164,3.77562039929628e-171
"8",3.64374465500441e-07,3.22847449423033e-07,2.11584048804331e-07,1.02566285146275e-07,3.67758286923191e-08,9.75340927108607e-09,1.91331540424217e-09,2.77621327603023e-10,2.97958119302038e-11,2.36534100679231e-12,1.38889187293318e-13,6.03224887770001e-15,1.93787698514333e-16,4.60478436390056e-18,8.09335386052009e-20,1.05216511823554e-21,1.01175511675319e-23,7.19619723442227e-26,3.78588001325741e-28,1.4732171715186e-30,4.24036106206083e-33,9.02765684368906e-36,1.42161954618166e-38,1.65587621751762e-41,1.42662059806723e-44,9.09128454504015e-48,4.28526960414148e-51,1.49405707683362e-54,3.85294106931693e-58,7.34943042819783e-62,1.03693405702184e-65,1.08214319616786e-69,8.3532305236759e-74,4.76936257317925e-78,2.01419888337348e-82,6.29188101893076e-87,1.45376694860406e-91,2.48453557429948e-96,3.14073856332226e-101,2.93666558368869e-106,2.03101597352272e-111,1.03898271758278e-116,3.9313295165745e-122,1.10028884397686e-127,2.27777127154248e-133,3.48778456660873e-139,3.95025681589097e-145,3.30930769827645e-151,2.05061961413202e-157,9.39873064664938e-164
"9",3.84459422915203e-07,4.77961793565599e-07,4.39513271581804e-07,2.98942005713443e-07,1.50396605247386e-07,5.5966128062711e-08,1.54045362785946e-08,3.13623166772631e-09,4.72284596288468e-10,5.2606034515216e-11,4.33414552201323e-12,2.64123808789832e-13,1.19055031090939e-14,3.96939294231959e-16,9.78896042106017e-18,1.78560416779291e-19,2.40918387841814e-21,2.40431211456858e-23,1.77479370676836e-25,9.69038550197183e-28,3.91354532341864e-30,1.16905735937007e-32,2.58307735159433e-35,4.22158114915999e-38,5.1032754638256e-41,4.56308984174502e-44,3.01790223670055e-47,1.47634362570512e-50,5.34202453839475e-54,1.42975111180486e-57,2.83042170701412e-61,4.14455577586557e-65,4.48891074171277e-69,3.59616897714868e-73,2.13096025427893e-77,9.3399972385617e-82,3.02798894416473e-86,7.26102549108888e-91,1.28788705127092e-95,1.68963824413375e-100,1.63962988058978e-105,1.17688507856919e-110,6.24825043144517e-116,2.45368573536007e-121,7.12714488332601e-127,1.53125801757841e-132,2.43342128742461e-138,2.86037101906636e-144,2.48693007521862e-150,1.59934043988545e-156
"10",2.77296190898374e-07,4.83704161825153e-07,6.24096695855382e-07,5.95607395328542e-07,4.20440378806475e-07,2.19525459512773e-07,8.47815808218539e-08,2.42188916498443e-08,5.11732685779662e-09,7.99775672409114e-10,9.24547781434246e-11,7.90545136064564e-12,4.99988620507675e-13,2.33899723426895e-14,8.09348256388533e-16,2.07146357786084e-17,3.92152787792981e-19,5.4912276782323e-21,5.68747805579543e-23,4.35718656795588e-25,2.46904336247793e-27,1.0348738605135e-29,3.20835381931696e-32,7.35721139204769e-35,1.24790162934448e-37,1.5656100765945e-40,1.45285744415936e-43,9.97237352536793e-47,5.063026612782e-50,1.90133228324828e-53,5.28131380745013e-57,1.08508076135493e-60,1.64899102734535e-64,1.85357712250751e-68,1.5411296205495e-72,9.47771868056819e-77,4.31126381281166e-81,1.45057945749244e-85,3.61006137895971e-90,6.6454407154657e-95,9.04834453725791e-100,9.11277419560217e-105,6.78841255668948e-110,3.74043391502959e-115,1.52444543168237e-120,4.59555448219833e-126,1.02470792316141e-131,1.69004554379985e-137,2.06173508403735e-143,1.86038767336993e-149
