"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.995388973764582,1.85903411440881e-15,7.24426095458738e-12,8.35740675996653e-09,2.85443212859031e-06,0.000288628112343001,0.00864028890437472,0.0765752858015963,0.200918402164321,0.156070755287941,0.0358917038457764,0.00244364067895722,4.92551157297721e-05,2.93924689833475e-07,5.19267952756232e-10,2.71592454081061e-13,4.20547064019078e-17,1.92788994595463e-21,2.61649915408999e-26,1.05130731429051e-31,1.25057430254836e-37,4.40412910664496e-44,4.59178251891063e-51,1.41733759175473e-58,1.29519759317249e-66,3.50404341581533e-75,2.80655563288329e-84,6.65500765599686e-94,4.67190701594866e-104,9.70980590627495e-115,5.97444591515065e-126,1.08831708318919e-137,5.86926861086674e-150,9.37094205124218e-163,4.42948510761242e-176,6.19860506195255e-190,2.56806146667097e-204,3.14983343940655e-219,1.14377471421949e-234,1.22960075255883e-250,3.91343816846465e-267,3.68742808968917e-284,1.02863043495062e-301,8.49496471459439e-320,0,0,0,0,0,0
"2",0.995388973764582,5.74527190120902e-19,6.3723677196409e-15,2.09248232408757e-11,2.03419927045198e-08,5.8545823278575e-06,0.000498848956203467,0.0125838329750741,0.093978292451936,0.207784372660311,0.136009404816236,0.0263569847879094,0.00151214430719543,2.56839300693427e-05,1.29151794791178e-07,1.92269386253278e-10,8.47404100596371e-14,1.10571120221587e-17,4.27133451386948e-22,4.88490573506419e-27,1.65393911064525e-32,1.65788183742189e-38,4.91992358561012e-45,4.32248871774508e-52,1.12429455232533e-59,8.65759112462822e-68,1.97371646237848e-76,1.33211949085819e-85,2.66178105091476e-95,1.57460708926174e-105,2.75767322777765e-116,1.42982909619543e-127,2.19480623425504e-139,9.97422054448032e-152,1.34193807605075e-164,5.34511079269362e-178,6.30306338700032e-192,2.20047969145113e-206,2.27433158099183e-221,6.95922577309574e-237,6.30432795876193e-253,1.69078114487535e-269,1.3424765910947e-286,3.15570773426507e-304,2.22329540628561e-322,0,0,0,0,0
"3",6.77682625841674e-28,7.22652287330243e-23,2.28140893895962e-18,2.1322966429256e-14,5.90014703382947e-11,4.83335587574662e-08,1.17221004487719e-05,0.00084165252616683,0.0178908490315081,0.112589994483765,0.209768064853468,0.115704346238247,0.018894295396341,0.000913445111874214,1.30738933643959e-05,5.53985181200933e-08,6.94963641593974e-11,2.58105196116662e-14,2.8379330018856e-18,9.23800634318195e-23,8.90276891878552e-28,2.54005238153815e-33,2.14551211811399e-39,5.36525042843142e-46,3.9720961356743e-53,8.70603144290538e-61,5.64925838223815e-69,1.08525894254166e-77,6.17228590401282e-87,1.03927247033153e-96,5.18064148537453e-107,7.64554381931152e-118,3.34044212394321e-129,4.32086053340101e-141,1.6546543014959e-153,1.87592306756174e-166,6.2964172785577e-180,6.25666219280984e-194,1.84061365566847e-208,1.60307299913178e-223,4.13346900939663e-239,3.15534462475303e-255,7.13098692761094e-272,4.77115151193338e-289,9.45077672605967e-307,0,0,0,0,0
"4",1.21886943333367e-32,3.69950596021846e-27,3.32430607907204e-22,8.84359821392519e-18,6.96510599523288e-14,1.62404172742189e-10,1.1210819607235e-07,2.29112229929837e-05,0.00138621280813595,0.0248303172998798,0.131675615919151,0.206727938905134,0.0960867973027696,0.0132220558850479,0.000538647918505577,6.49653392275418e-06,2.31968579068765e-08,2.45215174005972e-11,7.67425537122175e-15,7.11043023741018e-19,1.95041145892534e-23,1.58389842496413e-28,3.80801930283555e-34,2.71045176152645e-40,5.71156272789703e-47,3.5631897166905e-54,6.58102694404161e-62,3.59848020950232e-70,5.82525974796625e-79,2.79178647612193e-88,3.96113669777359e-98,1.66390370223399e-108,2.06922288608603e-119,7.61828271549531e-131,8.30381422805203e-143,2.67959334797484e-155,2.55994647235133e-168,7.24041742671413e-182,6.06271359711987e-196,1.50293856110994e-210,1.1030269641575e-225,2.39663423115806e-241,1.54165825962516e-257,2.93592662283604e-274,1.65528586803696e-291,2.76294057679383e-309,0,0,0,0
"5",8.92243851603932e-38,7.70821153679916e-32,1.97148924474383e-26,1.49281478221257e-21,3.34647949859826e-17,2.22096204964461e-13,4.36379995706551e-10,2.53839531060035e-07,4.3714388434234e-05,0.00222874449897055,0.033640844428869,0.15032950245233,0.198880534561567,0.0778952659196597,0.00903234623543474,0.000310070762174428,3.1513147606632e-06,9.48185866858175e-09,8.44628825118957e-12,2.22745555353035e-15,1.73909346111634e-19,4.01982849597388e-24,2.75082431158338e-29,5.57299829862849e-35,3.34260989200705e-41,5.93544390352537e-48,3.12026473362611e-55,4.85624296992578e-63,2.23758787184407e-71,3.05232320561348e-80,1.23268373219474e-89,1.47381691915822e-99,5.21682343523693e-110,5.46687904954224e-121,1.6960690143949e-132,1.55782368187827e-144,4.23607665439252e-157,3.41020153929865e-170,8.12768772079619e-184,5.73488480652006e-198,1.19798978772366e-212,7.40887487144694e-228,1.35650728751841e-243,7.35296890772506e-260,1.17997839319903e-276,5.60603890551478e-294,7.88513052929216e-312,0,0,0
"6",2.65830907761203e-43,6.53670747295652e-37,4.75864550185568e-31,1.02560087557993e-25,6.54401279787621e-21,1.23617690090053e-16,6.9133387144352e-13,1.14463171156473e-09,5.61066629654009e-07,8.14205124797491e-05,0.00349803339426452,0.0444922939528186,0.167539174646084,0.186774968779307,0.0616441261365525,0.00602331332864019,0.000174240832564724,1.49222786945403e-06,3.7834768682769e-09,2.83999611842623e-12,6.31124641412493e-16,4.15224771250272e-20,8.0876453563677e-25,4.6637114360497e-30,7.96181293940962e-36,4.02404654705041e-42,6.02122350988848e-49,2.6673329429671e-56,3.49816617360001e-64,1.35823328843853e-72,1.56127365543261e-81,5.31317866459694e-91,5.35304057891761e-101,1.59667813548564e-111,1.40995401291305e-122,3.686067168088e-134,2.85293757270042e-146,6.53720372673595e-159,4.43468214890728e-172,8.90643090098933e-186,5.29560562868247e-200,9.32176809504052e-215,4.85793479083258e-230,7.49507174491626e-246,3.42350238690487e-262,4.62952253768547e-279,1.85341424872388e-296,2.19674435652116e-314,0,0
"7",3.22346461058561e-49,2.2561085823004e-42,4.67485145632717e-36,2.86778349477458e-30,5.20829569892535e-25,2.80037139315382e-20,4.45765403240282e-16,2.10071826995105e-12,2.93089319899423e-09,1.21060621975378e-06,0.000148039133925091,0.00535945831710549,0.057442850988005,0.182272773788527,0.171229404301335,0.0476217790872344,0.00392106113278413,9.5581168996387e-05,6.89781892243715e-07,1.47374372160499e-09,9.32186638405175e-13,1.74563928267314e-16,9.67780498034855e-21,1.5884368484993e-25,7.7185152632743e-31,1.11037150579493e-36,4.72904641601277e-43,5.96279079001689e-50,2.22585205271519e-57,2.45987899408215e-65,8.04825856571786e-74,7.79580242901145e-83,2.23558123154775e-92,1.89797642090334e-102,4.77047800379971e-113,3.54979856680008e-124,7.82017098502413e-136,5.10034454435458e-148,9.84812400192562e-161,5.62960895340281e-174,9.52738414138715e-188,4.77353213737979e-202,7.08070909957464e-217,3.10945575218676e-232,4.04261829402095e-248,1.55600797981121e-264,1.77309346803442e-281,5.9816661024813e-299,5.97425018862833e-317,0
"8",1.59087424421309e-55,3.16924969367982e-48,1.86916564580733e-41,3.26369713886411e-35,1.68710704226565e-29,2.58194004199641e-24,1.16982364292886e-19,1.56915325942732e-15,6.23133441634082e-12,7.3260095768197e-09,2.54990870805755e-06,0.00026275591973011,0.00801587827139128,0.0723969790796948,0.193580007827606,0.153239698401496,0.0359130922516928,0.00249175329235391,5.1183267505555e-05,3.11258844832855e-07,5.60384510157758e-10,2.98690403976572e-13,4.71332237855036e-17,2.20193121188416e-21,3.04544721694832e-26,1.24700769426237e-31,1.51167321024656e-37,5.42522091245872e-44,5.76431445958974e-51,1.81321218743881e-58,1.68857486860755e-66,4.65546150795313e-75,3.79993253554801e-84,9.18247509771689e-94,6.56922836442615e-104,1.39136055396731e-114,8.72440345331202e-126,1.61958043755495e-137,8.90102520697673e-150,1.44826577116164e-162,6.97633342895379e-176,9.94894245731982e-190,4.20046466661759e-204,5.25035271313299e-219,1.94289956426585e-234,2.12854555331512e-250,6.90376936201717e-267,6.6291878628422e-284,1.8845388979121e-301,1.58604953627957e-319
"9",3.19554028917462e-62,1.81195921882516e-54,3.04174825421243e-47,1.5117112431417e-40,2.22425792079944e-34,9.68884873455456e-29,1.24948179409602e-23,4.77043976481543e-19,5.39209614719253e-15,1.80437817626999e-11,1.78759129438488e-08,5.24299717012166e-06,0.000455262357238548,0.011703468464501,0.0890713762827271,0.200693110265505,0.133874385791615,0.026438282948727,0.00154575168345341,2.675573816259e-05,1.37108655881954e-07,2.08009675533542e-10,9.34271125693205e-14,1.24231876234051e-17,4.89061965336161e-22,5.69987669026479e-27,1.96669837535624e-32,2.00900392291426e-38,6.07567504331369e-45,5.43975096083698e-52,1.44189695467245e-59,1.13151459126542e-67,2.62879560436786e-76,1.80810733578717e-85,3.68181805904582e-95,2.2195818561649e-105,3.96141859282723e-116,2.09315327852235e-127,3.27432705038675e-139,1.51640010841768e-151,2.07910433875294e-164,8.43935954576529e-178,1.01417621682791e-191,3.60817905355427e-206,3.80043638433287e-221,1.18508521682164e-236,1.09404811212533e-252,2.99015697778685e-269,2.41948137458334e-286,5.7959056210754e-304
"10",2.61245150706874e-69,4.21634242564513e-61,2.01462508919264e-53,2.84985870907965e-46,1.19350198852128e-39,1.47976820611556e-33,5.43168985432362e-28,5.90264906157198e-23,1.89902065993649e-18,1.80876915326144e-14,5.10043624642323e-11,4.25796640895392e-08,1.052368561843e-05,0.000770023939611899,0.0166805864822786,0.106976684080588,0.203112978631337,0.114171299750427,0.0189997086948136,0.000936068577060612,1.36533466863059e-05,5.89578036522846e-08,7.53727224101312e-11,2.85271137992531e-14,3.19648149305025e-18,1.06036963116024e-22,1.04138926137827e-27,3.02788680901382e-33,2.60637501650958e-39,6.64209219048633e-46,5.01122175514037e-53,1.11931692518769e-60,7.40173014190428e-69,1.44905260081771e-77,8.39857841235116e-87,1.44111334217129e-96,7.32084520043167e-107,1.10101956306237e-117,4.90229649943889e-129,6.46211735355154e-141,2.52185919021029e-153,2.91365115880032e-166,9.96609450933942e-180,1.00921378901466e-193,3.02560394101793e-208,2.68541682615569e-223,7.05638164213377e-239,5.48937808529819e-255,1.26425579802432e-271,8.62020295389567e-289
