"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1.00027791765134,8.30902944633641e-11,7.48858080759556e-10,5.67519709416968e-09,3.6165509079085e-08,1.93794042699061e-07,8.73209532514302e-07,3.30848156764718e-06,1.05407418314186e-05,2.82387741115812e-05,6.36140005134722e-05,0.000120501313942049,0.000191938927014509,0.000257078968467334,0.000289535780084029,0.00027420169676552,0.000218358569830742,0.000146218576057505,8.23316966201838e-05,3.89819702471576e-05,1.552003556229e-05,5.19581697213186e-06,1.46267278940123e-06,3.46236401843744e-07,6.89176524041718e-08,1.15350752112847e-08,1.62346373426522e-09,1.92130785530992e-10,1.91198081825836e-11,1.59993489024307e-12,1.12577938942005e-13,6.66095474892593e-15,3.31399522981324e-16,1.38643489451493e-17,4.87729795581665e-19,1.44275072289109e-20,3.58868648669269e-22,7.50605848299656e-24,1.32014177481853e-25,1.95236678372056e-27,2.42792044426421e-29,2.53886553275405e-31,2.23242641750744e-33,1.65061889507194e-35,1.02623938320983e-37,5.36516086357676e-40,2.35857138070745e-42,8.71861512760847e-45,2.71005556070993e-47,7.08338893228337e-50
"2",1.00027791764481,1.508269989699e-11,1.55522205819123e-10,1.34845957240577e-09,9.83140664267738e-09,6.02733866507106e-08,3.1071894590255e-07,1.3469208670325e-06,4.90962852258799e-06,1.50482982867237e-05,3.8784514095368e-05,8.40546074477131e-05,0.000153178177999845,0.000234727774092496,0.000302457436635103,0.000327714954353182,0.000298579824153816,0.000228747766335917,0.000147361988010786,7.98263528452056e-05,3.63612922083653e-05,1.39272232068731e-05,4.48561472607536e-06,1.21481908898213e-06,2.76651769287187e-07,5.29770171988147e-08,8.53048568043628e-09,1.15502722241422e-09,1.31505188351618e-10,1.25900008948576e-11,1.01353987633662e-12,6.86101114778132e-14,3.90541882768011e-15,1.86930131744412e-16,7.52355697636861e-18,2.54623991707213e-19,7.24615527272572e-21,1.73399625634678e-22,3.48915996594315e-24,5.90372081798792e-26,8.39968401378063e-28,1.00492185498355e-29,1.01095969097748e-31,8.55199806418519e-34,6.08322043142591e-36,3.63857825334318e-38,1.83004635709112e-40,7.73970964219858e-43,2.75245008135102e-45,8.2308832232465e-48
"3",1.75765894908256e-13,2.46592473193328e-12,2.90909047814808e-11,2.88580410630532e-10,2.40718057990217e-09,1.68842860322869e-08,9.95838554763531e-08,4.93886752971557e-07,2.05967180887441e-06,7.22272163883305e-06,2.12978584482337e-05,5.28084232648049e-05,0.000110103891995459,0.000193034238553359,0.000284575972416959,0.00035277216957985,0.000367724536577052,0.000322316922974142,0.000237561365643687,0.000147231495617824,7.67287000121705e-05,3.36238285343033e-05,1.23899253639116e-05,3.83903811484518e-06,1.00024954702907e-06,2.19142447924745e-07,4.03716834766853e-08,6.25402216944634e-09,8.14655847116003e-10,8.92321068725094e-11,8.21864688615874e-12,6.36519482884622e-13,4.14529351453438e-14,2.27002729049773e-15,1.0452954874694e-16,4.04742936745019e-18,1.31780662721068e-19,3.60791503720784e-21,8.30602286060869e-23,1.60791152515068e-24,2.61735951180987e-26,3.58258759342085e-28,4.12346640864155e-30,3.99080318491295e-32,3.24780813343555e-34,2.22255555692169e-36,1.27893093492508e-38,6.18833426903904e-41,2.51786616904807e-43,8.61437406453523e-46
"4",2.262252611072e-14,3.63120192373107e-13,4.90108130600782e-12,5.56244359950947e-11,5.30849655025495e-10,4.2600006388275e-09,2.87461703423922e-08,1.63110729876803e-07,7.78246673732967e-07,3.12236896085653e-06,1.05337589190029e-05,2.98823490293842e-05,7.12817411271473e-05,0.000142979597509001,0.000241158207366916,0.000342028447745856,0.000407900856910782,0.00040905265111904,0.000344934005429645,0.000244582295740723,0.000145829782646277,7.31138486904433e-05,3.08237354451322e-05,1.09270541993947e-05,3.25726529224422e-06,8.164608634288e-07,1.72087695152944e-07,3.04997633548844e-08,4.54543369747466e-09,5.69621522922632e-10,6.00246532189151e-11,5.31869558895588e-12,3.96289727835536e-13,2.48286268560583e-14,1.30805135134887e-15,5.79467511508417e-17,2.1585673091601e-18,6.76136381465779e-20,1.78088231144277e-21,3.94428548497737e-23,7.34570812756887e-25,1.15035318910961e-26,1.51481968178121e-28,1.67734687284851e-30,1.56176984556379e-32,1.22276609759839e-34,8.05011251466974e-37,4.45648775641303e-39,2.0745107550451e-41,8.12027747312679e-44
"5",2.62249761117631e-15,4.81602239682646e-14,7.43693696363722e-13,9.65677046378682e-12,1.05439156404178e-10,9.68064161120782e-10,7.47375002460561e-09,4.85182579555357e-08,2.64852475332569e-07,1.21572424847822e-06,4.69243567278306e-06,1.52297853403685e-05,4.15643929785442e-05,9.53852688732202e-05,0.000184065917495616,0.000298674164472434,0.000407524891733095,0.00046756589956228,0.000451090545333706,0.000365945848934181,0.000249633077916692,0.000143192292985834,6.90668042606128e-05,2.80124623111265e-05,9.55356394197582e-06,2.7397551370584e-06,6.60678677704935e-07,1.33967988838957e-07,2.28425187584219e-08,3.27505915354485e-09,3.94844881641151e-10,4.00282019769436e-11,3.41222655254718e-12,2.44591769840317e-13,1.47427338990743e-14,7.47216442041545e-16,3.18454227426264e-17,1.14124745734845e-18,3.439100230321e-20,8.714491473027e-22,1.85682712217165e-23,3.32684907113954e-25,5.01218314931947e-27,6.34969655363163e-29,6.76411863708418e-31,6.05900996629142e-33,4.56377603328283e-35,2.89054134404992e-37,1.53945235943393e-39,6.89422618147815e-42
"6",2.73812946657652e-16,5.75296153945e-15,1.01639183615144e-13,1.50995175515742e-12,1.88624099846043e-11,1.98136047381434e-10,1.75009657760671e-09,1.29984851339704e-08,8.11812387379124e-08,4.26334827419675e-07,1.88268713681544e-06,6.99097428653726e-06,2.18287798011951e-05,5.73130368239394e-05,0.00012653468479691,0.000234908082622252,0.000366706441125798,0.000481361467347737,0.000531320181299162,0.00049314372094001,0.000384877842244724,0.000252583232081881,0.000139385734875237,6.46791565437418e-05,2.52372815190715e-05,8.28043214175345e-06,2.28452354541401e-06,5.29993423018084e-07,1.03389760138283e-07,1.69596459272268e-08,2.33931249309983e-09,2.71326307825701e-10,2.64623113941144e-11,2.17018047622107e-12,1.49656689547489e-13,8.67817936730805e-15,4.23148997150214e-16,1.73496299214328e-17,5.98162690020428e-19,1.73412592832624e-20,4.22740784098253e-22,8.66562459961868e-24,1.49368080349908e-25,2.16495031418171e-27,2.63858004486956e-29,2.7041128958786e-31,2.33029858130776e-33,1.68861455366308e-35,1.02892019417349e-37,5.27187446018809e-40
"7",2.57486673177815e-17,6.18951105114154e-16,1.25109455832374e-14,2.12645469007618e-13,3.03916540722467e-12,3.65245393290868e-11,3.69102819387243e-10,3.13647755379523e-09,2.24114115563788e-08,1.34656847790884e-07,6.80330407669462e-07,2.89030401890814e-06,1.03252214970001e-05,3.10161174714306e-05,7.83443523229365e-05,0.000166402620805298,0.000297197283379114,0.000446335791692493,0.000563651671376974,0.000598538498342459,0.000534448159806865,0.000401283486537885,0.000253354834613884,0.000134505272833474,6.004566088441e-05,2.25401163968178e-05,7.1148030963205e-06,1.88843404845804e-06,4.21476111555345e-07,7.9099968946989e-08,1.24827958266554e-08,1.65645494203317e-09,1.84833034057874e-10,1.73425024279952e-11,1.36828366154252e-12,9.07763516226893e-14,5.0640911354832e-15,2.3755408737167e-16,9.37034772787836e-18,3.10800074072078e-19,8.66839564852094e-21,2.03295863961245e-22,4.00913394638404e-24,6.64821101481362e-26,9.27024539149474e-28,1.08695076148839e-29,1.07166912206221e-31,8.88472049428078e-34,6.19382638575869e-36,3.63083481909391e-38
"8",2.18079117194376e-18,5.99763126917197e-17,1.38700379545945e-15,2.6971664117145e-14,4.4103193897309e-13,6.06407475462394e-12,7.01118225851694e-11,6.81632317851783e-10,5.57238731944795e-09,3.83058076104543e-08,2.21421687716222e-07,1.07623694424495e-06,4.39873542927454e-06,1.51175005188317e-05,4.36882198373972e-05,0.000106164889329249,0.000216935026703298,0.000372743993323644,0.000538547275854447,0.000654288397470483,0.000668415958766135,0.000574191299430176,0.000414761666078865,0.000251925900156361,0.000128670572547594,5.52608872677862e-05,1.99566977402207e-05,6.06026634274905e-06,1.54748678481439e-06,3.32272494763083e-07,5.9992096795341e-08,9.10806027819288e-09,1.16275966146706e-09,1.24820587734948e-10,1.12671660648249e-11,8.55215125530592e-13,5.45843643281146e-14,2.92949894883134e-15,1.32205840570941e-16,5.01695427462086e-18,1.60089131900978e-19,4.29552016567487e-21,9.69174280620752e-23,1.83873949561637e-24,2.93339626451316e-26,3.93507913295427e-28,4.43882896937735e-30,4.21032440009646e-32,3.35810995318194e-34,2.25219749310402e-36
"9",1.66352057397876e-19,5.23429207961153e-18,1.3849048479206e-16,3.0811590958917e-15,5.76421959834305e-14,9.06774121832835e-13,1.19947147113171e-11,1.3341754169099e-10,1.24786657297111e-09,9.81421514164472e-09,6.49045588952417e-08,3.60933370489164e-07,1.68776150539539e-06,6.63632005872646e-06,2.19419779787482e-05,6.10037359123045e-05,0.000142616342866781,0.00028035891113485,0.00046343799798919,0.000644170926682271,0.000752909550800856,0.000739974405393227,0.0006115370814842,0.000424972766361258,0.000248331384239854,0.000122020928276839,5.04160998027382e-05,1.75160579082219e-05,5.11723904375843e-06,1.25709252256137e-06,2.59675506385578e-07,4.51052336696621e-08,6.5880227870235e-09,8.09124690782097e-10,8.35618451578459e-11,7.25659347849415e-12,5.29894940539582e-13,3.25371086363252e-14,1.67996544015413e-15,7.29380156358498e-17,2.66280734027546e-18,8.17443515430896e-20,2.11012394810504e-21,4.58026267812627e-23,8.35997561025843e-25,1.28307440324764e-26,1.65588768982473e-28,1.79697535013881e-30,1.63977993437927e-32,1.25823343504072e-34
"10",1.14285936820114e-20,4.11421197817735e-19,1.24541112731616e-17,3.17008585896122e-16,6.78518219551798e-15,1.2211927253673e-13,1.84815805326263e-12,2.35193987548142e-11,2.5167815836799e-10,2.26462889976162e-09,1.71348682229756e-08,1.09017620403546e-07,5.83236685625452e-07,2.62376644867935e-06,9.92516466968376e-06,3.15705736592157e-05,8.4442179008101e-05,0.000189919079049539,0.000359178196487182,0.000571193873953834,0.000763817003943936,0.000858869755096625,0.000812077545858305,0.000645654081795452,0.000431652743341235,0.000242661744589866,0.000114709749551573,4.55965048217665e-05,1.52403514030121e-05,4.28341954608101e-06,1.01232148264735e-06,2.01177078964971e-07,3.36179129765798e-08,4.72384027967392e-09,5.58151205644039e-10,5.54550032545695e-11,4.63299475802756e-12,3.25473090921516e-13,1.92265151082892e-14,9.55032749805357e-16,3.98903788904579e-17,1.40103912669674e-18,4.13775309603461e-20,1.02756921899619e-21,2.14580279341126e-23,3.76791183294327e-25,5.56344582552571e-27,6.90747307358706e-29,7.21151885979135e-31,6.3309151420972e-33
