"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1.00027791764359,2.01161982563261e-14,4.14000765487546e-14,5.93048459585648e-14,5.91307001437126e-14,4.10364384741969e-14,1.98225765181625e-14,6.66475739854975e-15,1.55970472930391e-15,2.54058794878411e-16,2.88044693914007e-17,2.27310410552462e-18,1.24856907610665e-19,4.77352963891534e-21,1.27028296378403e-22,2.35285479050867e-24,3.03335735847417e-26,2.72198564720753e-28,1.70012903945507e-30,7.39114532052836e-33,2.23653345050039e-35,4.71056342802952e-38,6.90564287390371e-41,7.0464305384698e-44,5.00458461393528e-47,2.47400571621359e-50,8.51269674028479e-54,2.03876620838104e-57,3.39861126358064e-61,3.94338662575893e-65,3.18471832643725e-69,1.79022037649682e-73,7.00447784704007e-78,1.90756276812593e-82,3.61589415750413e-87,4.77074696789104e-92,4.38117758881334e-97,2.80045844711808e-102,1.24595170791282e-107,3.85839856641283e-113,8.31661824117157e-119,1.24772893480435e-124,1.30294933211693e-130,9.47040626275205e-137,4.79119109793315e-143,1.6871441002332e-149,4.13518232753529e-156,7.05457653964722e-163,8.37685576131953e-170,6.92348772192436e-177
"2",1.00027791764359,1.14774600729585e-14,3.3291393478973e-14,6.72127953812016e-14,9.4450822338374e-14,9.23832698882678e-14,6.28947966833416e-14,2.9803680993107e-14,9.83012173307966e-15,2.25674083259219e-15,3.60610426005843e-16,4.01077844300047e-17,3.10493752624041e-18,1.6730574785435e-19,6.27484002354701e-21,1.63805415439693e-22,2.97637504195128e-24,3.76427075713831e-26,3.31365930869382e-28,2.03033946645238e-30,8.65891067938172e-33,2.57034644541489e-35,5.31072568195236e-38,7.63747629833007e-41,7.64503860769648e-44,5.32651668209812e-47,2.58309691773979e-50,8.71910508595381e-54,2.04850450727964e-57,3.34993003635768e-61,3.81301357056741e-65,3.0208889885021e-69,1.6658465066418e-73,6.3939465257902e-78,1.70819252998838e-82,3.17642377480282e-87,4.11124973665781e-92,3.70376207599546e-97,2.32244855920484e-102,1.01363810297521e-107,3.0793109942549e-113,6.51115417301647e-119,9.58288345015349e-125,9.81676138133897e-131,6.99961356557427e-137,3.47387106124523e-143,1.20001624861146e-149,2.88532248014817e-156,4.82875747455671e-163,5.6248407141432e-170
"3",8.05610572289625e-16,4.73160503495612e-15,1.93430794057194e-14,5.50397617300193e-14,1.09008729196656e-13,1.50272603067477e-13,1.44189004450462e-13,9.62982241211093e-14,4.47649613847148e-14,1.44841145657232e-14,3.26196644720273e-15,5.11329476204375e-16,5.57899496307001e-17,4.2368677768294e-18,2.23958553334558e-19,8.23994280609418e-21,2.1101558980193e-22,3.76130618437677e-24,4.66655764683484e-26,4.02984538133092e-28,2.42222193435415e-30,1.01338222627839e-32,2.95098114348428e-35,5.98126972017837e-38,8.43828405265745e-41,8.28607186226064e-44,5.66339758605588e-47,2.6942581692978e-50,8.92144426107025e-54,2.05619796820963e-57,3.29859112373241e-61,3.68320462594094e-65,2.86257589531585e-69,1.54853837958589e-73,5.83070055741036e-78,1.52810537778312e-82,2.78753077665947e-87,3.53932007240619e-92,3.1279068290015e-97,1.92407314708196e-102,8.23802583981754e-108,2.45503971639659e-113,5.09246081455511e-119,7.3524261420638e-125,7.38869001097815e-131,5.16818466627218e-137,2.51618402759142e-143,8.52669208882372e-150,2.01118749697461e-156,3.3018576177982e-163
"4",1.70262778576539e-16,1.40939910386409e-15,8.12048683558632e-15,3.25659643680153e-14,9.09032940929427e-14,1.7661561588547e-13,2.38842924445566e-13,2.24817162062102e-13,1.47292401642185e-13,6.71684036574796e-14,2.13198189014446e-14,4.71016148454993e-15,7.24305667611717e-16,7.75249993524973e-17,5.77557808922935e-18,2.99490430508521e-19,1.08094660337193e-20,2.71555956510873e-22,4.74841017199144e-24,5.77924253956982e-26,4.89584225754304e-28,2.8868067568235e-30,1.18479117548901e-32,3.38454045580285e-35,6.72963344767765e-38,9.3135856019859e-41,8.97173036063765e-44,6.01546654623845e-47,2.80734779917647e-50,9.11920388468989e-54,2.06182324802559e-57,3.24473878352306e-61,3.55419988570739e-65,2.70980324445565e-69,1.43802842068065e-73,5.31166872555034e-78,1.36561505074994e-82,2.4437648220583e-87,3.04385755189563e-92,2.63890065363786e-97,1.59241242761323e-102,6.68839443658413e-108,1.95533870379799e-113,3.97883489059185e-119,5.63538562243214e-125,5.55552572223177e-131,3.81206666506094e-137,1.82066319196327e-143,6.0524685113535e-150,1.40045534735085e-156
"5",2.60002238587982e-17,3.03334849213443e-16,2.46320938039499e-15,1.39224014599074e-14,5.47722745931057e-14,1.49982711872054e-13,2.8586134197118e-13,3.79230671915812e-13,3.50175118257293e-13,2.25061346867591e-13,1.00681654624243e-13,3.13497134828873e-14,6.79439214329081e-15,1.02494708084214e-15,1.07618287746271e-16,7.86510480563671e-18,4.00089129285657e-19,1.41658549263742e-20,3.49110273558021e-22,5.98847540131436e-24,7.1499616380307e-26,5.9418947458917e-28,3.4370036900837e-30,1.38378571635529e-32,3.87785431761308e-35,7.56393758960129e-38,1.02692371949692e-40,9.70425577235547e-44,6.38293005113301e-47,2.92221211402121e-50,9.31187611597521e-54,2.06536324173959e-57,3.1885225911327e-61,3.42622874563913e-65,2.5625775176462e-69,1.33404804241103e-73,4.83392301187025e-78,1.21916304445763e-82,2.14021622120476e-87,2.61509405887495e-92,2.2240819107867e-97,1.31658239267634e-102,5.42474225904409e-108,1.55576492449759e-113,3.10557944870629e-119,4.31494349991002e-125,4.17293273135378e-131,2.80893348536068e-137,1.31605890458556e-143,4.29183484801255e-150
"6",2.86878016222431e-18,4.71708210955708e-17,5.39862801536127e-16,4.3005814095954e-15,2.38454072200975e-14,9.20271801651191e-14,2.47207297768833e-13,4.62210983010284e-13,6.01524105019224e-13,5.44878424340758e-13,3.4354211757494e-13,1.50762790149498e-13,4.6051326595989e-14,9.79092954900569e-15,1.44890365143861e-15,1.49241253923221e-16,1.06997116238779e-17,5.33935820291945e-19,1.85455553629807e-20,4.48357490820067e-22,7.5447146337434e-24,8.83679961579527e-26,7.2041209759156e-28,4.08790494202732e-30,1.61456071347154e-32,4.43855672133849e-35,8.4930360743295e-38,1.13114417772118e-40,1.04859253398927e-43,6.76595895837385e-47,3.03868553191085e-50,9.49895779673047e-54,2.06680716917813e-57,3.13009674997986e-61,3.29950936235838e-65,2.42088840029642e-69,1.23632876857661e-73,4.39467721270911e-78,1.08731101991978e-82,1.87246797457142e-87,2.24444417865218e-92,1.87256550857222e-97,1.08742429561508e-102,4.39536398457978e-108,1.23658638262319e-113,2.42151896790509e-119,3.30054069511177e-125,3.13123822209866e-131,2.06766858087387e-137,9.50341180066816e-144
"7",2.28707423855026e-19,5.30014041316005e-18,8.5492553635536e-17,9.59849194789601e-16,7.50086797506076e-15,4.07994058829125e-14,1.54464953381154e-13,4.07042612902832e-13,7.46592457952013e-13,9.53149710712844e-13,8.46978611797423e-13,5.23862809475976e-13,2.25525935536008e-13,6.75786045222877e-14,1.40946970950442e-14,2.04614344013815e-15,2.0675223138194e-16,1.45411293007153e-17,7.11835869191208e-19,2.42546717360537e-20,5.75234248597163e-22,9.49571935610557e-24,1.09105038534545e-25,8.72560490970708e-28,4.85713397754331e-30,1.881908148635e-32,5.0751696423666e-35,9.52656873815658e-38,1.24467580770867e-40,1.13190451565017e-43,7.16468560371953e-47,3.15659078256098e-50,9.6799526162619e-54,2.0661506296775e-57,3.06961939022076e-61,3.17424818750494e-65,2.2847097345176e-69,1.14460327720439e-73,3.99128499204057e-78,9.68733445966577e-83,1.63655140184786e-87,1.92437101896779e-92,1.57500438137815e-97,8.97239791582043e-103,3.55769805599323e-108,9.8189138193398e-114,1.88621681057975e-119,2.52204931945394e-125,2.34719591227819e-131,1.5204736786259e-137
"8",1.31742550256848e-20,4.30292845994824e-19,9.78218757225717e-18,1.54789553578932e-16,1.70483012304968e-15,1.30693616046797e-14,6.97367075180762e-14,2.59001515441509e-13,6.6954068503972e-13,1.20471811442798e-12,1.50878622332275e-12,1.3152362806394e-12,7.98019772298505e-13,3.37021280631934e-13,9.90683199957123e-14,2.02696417585985e-14,2.88663018792714e-15,2.86134368990533e-16,1.97416161940013e-17,9.48045505384822e-19,3.16890678209079e-20,7.37264878168631e-22,1.19390955537769e-23,1.34571505718955e-25,1.05576824799949e-27,5.76524652181782e-30,2.19129561393999e-32,5.79719431394721e-35,1.06750162986592e-37,1.36821087209493e-40,1.22059427467435e-43,7.57920093654282e-47,3.2757391761554e-50,9.85437328570645e-54,2.06339562442928e-57,3.00725186020568e-61,3.05063957724815e-65,2.15400049815655e-69,1.05860636194564e-73,3.62123743270169e-78,8.6221049225217e-83,1.42890516828037e-87,1.64826604373455e-92,1.32338137296044e-97,7.3956529708285e-103,2.87674808311624e-108,7.7886276392427e-114,1.46775595698757e-119,1.92522087907684e-125,1.75768511687223e-131
"9",5.48320750494476e-22,2.52408332151168e-20,8.08735475181194e-19,1.80361193995589e-17,2.79971297899059e-16,3.02494665772417e-15,2.27486553893725e-14,1.19076906626351e-13,4.33843562247553e-13,1.1002023590983e-12,1.94198462588486e-12,2.38590311437937e-12,2.04029808449901e-12,1.21441812592424e-12,5.03125883893989e-13,1.45083786560294e-13,2.91202369137184e-14,4.06822277933788e-15,3.95592775428185e-16,2.67747717431184e-17,1.26135404344606e-18,4.13601429811443e-20,9.43975798885053e-22,1.49959329579203e-23,1.65813513237231e-25,1.27614538221861e-27,6.83619097364898e-30,2.54895413422135e-32,6.61521031784991e-35,1.19497575201635e-37,1.50247872273902e-40,1.31489589405986e-43,8.00955170139969e-47,3.39593094186869e-50,1.00217437086373e-53,2.05855054631693e-57,2.94315801507778e-61,2.92886547669028e-65,2.02870580260908e-69,9.78075812282969e-74,3.28216014570681e-78,7.66621186719624e-83,1.24633751726702e-87,1.41034161343205e-92,1.11082788550218e-97,6.08979996938896e-103,2.32376969150494e-108,6.17187241013939e-114,1.14097097584654e-119,1.46813521392608e-125
"10",1.6489447639275e-23,1.06980853846236e-21,4.83103087158172e-20,1.51847402333197e-18,3.32206956124517e-17,5.05875769735497e-16,5.36182747252238e-15,3.95562938131111e-14,2.03119750133684e-13,7.25976419038435e-13,1.80603713592873e-12,3.12726467353974e-12,3.76908908964325e-12,3.16185513375754e-12,1.84621100006293e-12,7.50333784724685e-13,2.12256730338945e-13,4.17928741789263e-14,5.72765446347222e-15,5.46367907398571e-16,3.62766650102773e-17,1.6764991151687e-18,5.39278496818949e-20,1.20741531367737e-21,1.88162925601146e-23,2.04101048285366e-25,1.54095591688605e-27,8.09783634048377e-30,2.96197628457593e-32,7.54098296512369e-35,1.33631284688542e-37,1.64824637233501e-40,1.4150439036508e-43,8.45573768606089e-47,3.51695563668172e-50,1.01816011345235e-53,2.05163013731705e-57,2.87750350686245e-61,2.80909517820829e-65,1.90875790244878e-69,9.02753213407763e-74,2.97180999497531e-78,6.80936848071034e-83,1.08599152073049e-87,1.20553502781861e-92,9.31466057986397e-98,5.00942680885813e-103,1.87517946440936e-108,4.88575226500038e-114,8.86041057759965e-120
