"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1.00027791764358,1.30341083739615e-45,8.30178732005988e-50,2.29882466876783e-54,2.76747728460195e-59,1.44845914838065e-64,3.29588771411004e-70,3.26048745973671e-76,1.4022861062442e-82,2.62201214046162e-89,2.13145778518462e-96,7.53290938438148e-104,1.1574246330087e-111,7.7315517855299e-120,2.24535279173057e-128,2.8349569997263e-137,1.55615314478769e-146,3.71366020396598e-156,3.85297297600377e-166,1.73793581212795e-176,3.40812466344101e-187,2.90563582887697e-198,1.07698799483752e-209,1.73549957901219e-221,1.21585597484792e-233,3.70325590636209e-246,4.90376088638178e-259,2.82305160207989e-272,7.06565321348223e-286,7.6882905942122e-300,3.63706641883226e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1.00027791764358,7.12830277402468e-41,1.18150234695547e-44,8.51386990099315e-49,2.66724801502239e-53,3.6328190135085e-58,2.15113711481369e-63,5.53778888464741e-69,6.19795854696867e-75,3.01581647608273e-81,6.37977146841957e-88,5.86744874798193e-95,2.34605104769005e-102,4.07820995919934e-110,3.08209254002329e-118,1.01266485523459e-126,1.44653775004342e-135,8.98333873534585e-145,2.42543561428131e-154,2.84698838215084e-164,1.452866164618e-174,3.2233650656275e-185,3.10911903793914e-196,1.30379459286883e-207,2.37697695565924e-219,1.88401665339659e-231,6.4921489235214e-244,9.72604288151061e-257,6.33472631939902e-270,1.79375656526068e-283,2.20822397508214e-297,1.18186183404985e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1.31046561708434e-33,1.30013451052642e-36,5.60783093464619e-40,1.05158772490017e-43,8.57314312562514e-48,3.03863552292542e-52,4.68232028330337e-57,3.13680552467483e-62,9.13604103005794e-68,1.15683776755845e-73,6.36840751701154e-80,1.52416928024357e-86,1.58591363209508e-93,7.17413971976286e-101,1.41092555329177e-108,1.20637502553195e-116,4.48440209538092e-125,7.24720800012442e-134,5.09191183703235e-143,1.55537457420162e-152,2.06553750543565e-162,1.19254601455905e-172,2.99337533461984e-183,3.26656403679088e-194,1.54976249756496e-205,3.196561676259e-217,2.86645415163381e-229,1.11750861871273e-241,1.89409053164667e-254,1.39570795922342e-267,4.47128494538314e-281,6.22750535865068e-295,3.77085508483814e-309,9.88131291682493e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3.06314067136949e-30,7.90838442968057e-33,8.87672106625926e-36,4.33172965514279e-39,9.18996983015306e-43,8.47638739903799e-47,3.39900246060938e-51,5.92565183937277e-56,4.49122438461533e-61,1.47991695478243e-66,2.12008810049493e-72,1.3204271375479e-78,3.57535314650862e-85,4.20888847341288e-92,2.15407024492207e-99,4.79287690910363e-107,4.63635476220538e-115,1.9498491524784e-123,3.56508048276737e-132,2.83388115659384e-141,9.79349934252955e-151,1.47142501089747e-160,9.61130456131127e-171,2.72942091458567e-181,3.3697886335463e-192,1.80875097104784e-203,4.22083974864265e-215,4.28216029628186e-227,1.88873464808607e-239,3.62178732492546e-252,3.01938791104687e-265,1.09435656990641e-278,1.72441883333581e-292,1.1813283744936e-306,3.51774739838968e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2.3878420211337e-27,1.60429635346768e-29,4.68605705814193e-32,5.95078854759378e-35,3.28537868337514e-38,7.88570128353232e-42,8.22885061964664e-46,3.73320643430381e-50,7.36323740249813e-55,6.31392720742836e-60,2.3538257441776e-65,3.81498659744842e-71,2.68816359244917e-77,8.23497610620695e-84,1.0967634327151e-90,6.35049460158181e-98,1.59862319647544e-105,1.74955919015514e-113,8.32444215061002e-122,1.72197011333914e-130,1.54860283399924e-139,6.05478128823281e-149,1.02920251961805e-158,7.60584011330457e-169,2.44364161616205e-179,3.41327912014018e-190,2.07276499497244e-201,5.47233023332931e-213,6.28114037611863e-225,3.134358523671e-237,6.79990451384656e-250,6.4135860652997e-263,2.62992285927437e-276,4.68844756402194e-290,3.63378381838191e-304,1.22442806811899e-318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6.2078551861721e-25,1.08537236133067e-26,8.2501132330711e-29,2.72637148357455e-31,3.91700496618394e-34,2.44662373158075e-37,6.64391726991324e-41,7.84377664111649e-45,4.0259668143169e-49,8.98378052352601e-54,8.7154947655534e-59,3.67594436341624e-64,6.74046383666484e-70,5.37346725438909e-76,1.86235899356522e-82,2.80618413296894e-89,1.83828523514581e-96,5.23544502479263e-104,6.48243660725129e-112,3.48952989645822e-120,8.16656717537585e-129,8.30914091595558e-138,3.67550214089211e-147,7.06840142953016e-157,5.90975806858706e-167,2.14813795542511e-177,3.3946781529212e-188,2.33227100073654e-199,6.96631951015705e-211,9.04631563993957e-223,5.10721398436852e-235,1.25354619323597e-247,1.3376441681365e-260,6.20561500824211e-274,1.25162153633461e-287,1.09750168610026e-301,4.18390035764198e-316,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",5.3823867660927e-23,2.44889552682773e-24,4.84406078444199e-26,4.16574690737548e-28,1.55747163967084e-30,2.53157841531613e-33,1.78898455555055e-36,5.49624101487939e-40,7.3412314464769e-44,4.26300688536813e-48,1.07623502634676e-52,1.18125097632841e-57,5.63665182051489e-63,1.16934915937056e-68,1.05465684766974e-74,4.13544373155467e-81,7.04980371874987e-88,5.22487500434898e-95,1.68352184139835e-102,2.35833542851657e-110,1.43627091424331e-118,3.80286690828565e-127,4.37753731948268e-136,2.19074867821693e-145,4.76649596457243e-155,4.50868476054364e-165,1.85414836729024e-175,3.31499643042305e-186,2.57671044167325e-197,8.7074730680919e-209,1.27927122890067e-220,8.17103546696703e-233,2.26900539652209e-245,2.73928949642427e-258,1.43775307762344e-271,3.28076142439307e-285,3.25468501191129e-299,1.40374185172047e-313,0,0,0,0,0,0,0,0,0,0,0,0
"8",1.55634388787437e-21,1.84271892243003e-22,9.48542068359808e-24,2.12274618188967e-25,2.06530173648572e-27,8.73600597124376e-30,1.60652062106431e-32,1.28440993720552e-35,4.46441932795941e-39,6.74637181032856e-43,4.43220190240264e-47,1.26593897020731e-51,1.57199070178557e-56,8.48654946243986e-62,1.99184844493824e-67,2.03247590274706e-73,9.01651043915751e-80,1.73898383378662e-86,1.45813108903911e-93,5.31546869813613e-101,8.42423611019403e-109,5.80448196691479e-117,1.73876292884841e-125,2.2644422455116e-134,1.28211238362915e-143,3.15598486375916e-153,3.37744043566601e-163,1.57139170300619e-173,3.17852171742663e-184,2.79518064711788e-195,1.06865752596005e-206,1.77627902163671e-218,1.28359434474336e-230,4.03262997142494e-243,5.50798720042166e-256,3.2707055009904e-269,8.44372208613107e-283,9.47698929679625e-297,4.62435131032453e-311,0,0,0,0,0,0,0,0,0,0,0
"9",1.50083712788249e-20,4.62429222659686e-21,6.19442426419527e-22,3.60745227355125e-23,9.13364675099439e-25,1.00538360344099e-26,4.81131017127411e-29,1.0010110765241e-31,9.05437298799456e-35,3.56058902641135e-38,6.08736422051635e-42,4.52460525810302e-46,1.46209662508567e-50,2.05407087002584e-55,1.25458110632829e-60,3.33139425419917e-66,3.84589384025455e-72,1.930245381552e-78,4.21183861696171e-85,3.99553456978945e-92,1.64786653149113e-99,2.95469831223049e-107,2.30328789524605e-115,7.80597716577935e-124,1.15013891511084e-132,7.36745157383153e-142,2.05176799913007e-151,2.48418070501739e-161,1.30762160259475e-171,2.99243661097444e-182,2.97722599617249e-193,1.2877827864512e-204,2.42168359122601e-216,1.97986761909985e-228,7.0371835153476e-241,1.08744066839071e-253,7.30560581012379e-267,2.13378604157802e-280,2.70950199209992e-294,1.49579490548216e-308,3.45845952088873e-323,0,0,0,0,0,0,0,0,0
"10",4.82679554277333e-20,3.87015879129422e-20,1.34909532051533e-20,2.04456281394795e-21,1.34710748644293e-22,3.8587621678396e-24,4.80549073692776e-26,2.60178524938599e-28,6.12419654459589e-31,6.26715972532315e-34,2.78827995579062e-37,5.3931929778524e-41,4.53523206213669e-45,1.65804776824893e-49,2.63535140084875e-54,1.82105891916305e-59,5.47083267549954e-65,7.14540479715317e-71,4.05736625158355e-77,1.00162592777836e-83,1.07500596427245e-90,5.0160303984707e-98,1.01754451123891e-105,8.97409458209632e-114,3.44089831932589e-122,5.7358397065894e-131,4.1568671325914e-140,1.3097223859922e-149,1.79405737629866e-159,1.06840860230935e-169,2.76619246625089e-180,3.11366139816345e-191,1.52371709858366e-202,3.24176306527532e-214,2.99848699031173e-226,1.20577711835507e-238,2.1080255852425e-251,1.60224412330424e-264,5.2945062744344e-278,7.60617332279052e-292,4.75062705711851e-306,1.29000540129149e-320,0,0,0,0,0,0,0,0
