"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.995925159764905,5.07451576289834e-06,7.44973893238322e-08,1.49631650009505e-10,4.1118933312972e-14,1.54595261538072e-18,7.95218509865919e-24,5.59645151913302e-30,5.38858794306733e-37,7.09860756762954e-45,1.27940287994708e-53,3.15484076430995e-63,1.06434770283333e-73,4.9127602913784e-85,3.1024413817266e-97,2.68051078309263e-110,3.168600571798e-124,5.12452241865083e-139,1.1339013233331e-154,3.43267818805613e-171,1.42176193386326e-188,8.05668970733328e-207,6.24629306446861e-226,6.62558208998729e-246,9.61527445902699e-267,1.90912908894294e-288,5.18614754414736e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.995949006550074,5.64902418191529e-05,6.13731978598972e-06,9.12262946510752e-08,1.85522796287623e-10,5.16191074996109e-14,1.96498692318359e-18,1.02339855952121e-23,7.2923230846981e-30,7.10923656062125e-37,9.48235025718926e-45,1.73039393493033e-53,4.32026054432143e-63,1.4757434252327e-73,6.896801693997e-85,4.40981716961993e-97,3.85770836636997e-110,4.61715192828648e-124,7.56057631275082e-139,1.69383694356092e-154,5.19187543199253e-171,2.17727301810016e-188,1.24921583537841e-206,9.80613876539728e-226,1.05316047553767e-245,1.54748708377545e-266,3.11096752288403e-288,8.55657350130917e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1.42802169811254e-05,8.39195281092138e-05,6.74725654650586e-05,7.42210983990333e-06,1.11702654698606e-07,2.30004098837138e-10,6.47953171661008e-14,2.49739724389197e-18,1.3169448846631e-23,9.50131102447563e-30,9.37854428907222e-37,1.26655279011436e-44,2.34016846029826e-53,5.91571048219156e-63,2.04598603104494e-73,9.6813156651857e-85,6.26761138677805e-97,5.55144069338471e-110,6.72736996279382e-124,1.11537493985422e-138,2.53006930009275e-154,7.85199320013954e-171,3.33398296365624e-188,1.93679119170695e-206,1.53935288477569e-225,1.67390012598098e-245,2.49032975557676e-266,5.06897485664915e-288,1.41162512578742e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3.82539218441191e-07,1.66365421315849e-05,9.89888150868764e-05,8.05833189984316e-05,8.97511742666882e-06,1.36763778708396e-07,2.85126778582897e-10,8.13281487483095e-14,3.17380126975166e-18,1.69455057816729e-23,1.23784226153201e-29,1.23712060254819e-36,1.69158854927831e-44,3.16456045923411e-53,8.09968299029397e-63,2.83634208749431e-73,1.35889268467798e-84,8.90733273212038e-97,7.98814894649785e-110,9.8012303492095e-124,1.64532236720875e-138,3.77883014214575e-154,1.18740726998634e-170,5.10479139892929e-188,3.00256390662854e-206,2.41625342754261e-225,2.66028808949548e-245,4.00729044222722e-266,8.25864759358498e-288,2.32864353366957e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1.36749943490013e-09,4.40122047562258e-07,1.93800573327507e-05,0.000116754318672757,9.62336179717511e-05,1.08521712184174e-05,1.6743352637559e-07,3.53430621756184e-10,1.02070887005231e-13,4.03306820419094e-18,2.18024454107707e-23,1.61254117407079e-29,1.63174533940727e-36,2.25907116827477e-44,4.27901105342425e-53,1.10890123558928e-62,3.93168114683883e-73,1.90721509840213e-84,1.26577649251553e-96,1.14934481025821e-109,1.42784023583071e-123,2.42686074209977e-138,5.64346791609963e-154,1.79549098074872e-170,7.81549264952342e-188,4.65441875191193e-206,3.7923683359206e-225,4.22757706915419e-245,6.44775488102402e-266,1.34543111698285e-287,3.84105371186394e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6.52360861247189e-13,1.55379148764666e-09,5.06329862219817e-07,2.25740929761501e-05,0.000137696544125797,0.000114913680670568,1.31206815074981e-05,2.04963729725861e-07,4.38060001894159e-10,1.28093221939294e-13,5.12453734181673e-18,2.80491133943404e-23,2.10048496754138e-29,2.15206795599863e-36,3.0166737739789e-44,5.78544378386634e-53,1.5180321582699e-62,5.44955737352228e-73,2.67656287736302e-84,1.79857948208797e-96,1.65355171791806e-109,2.07989731599757e-123,3.57933188927411e-138,8.4274853932917e-154,2.71475105637964e-170,1.19645942919599e-187,7.21442804359804e-206,5.95171051123924e-225,6.71765437802302e-245,1.03735994747259e-265,2.19168058038354e-287,6.33520987313784e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",4.15295883808314e-17,7.32017288765351e-13,1.76531013095982e-09,5.82447321497495e-07,2.62922803714974e-05,0.000162381227746379,0.000137207973558829,1.58620327891513e-05,2.50884770989865e-07,5.42907348526679e-10,1.60735980514434e-13,6.5108314274099e-18,3.60824286895249e-23,2.7358421509129e-29,2.83806458527678e-36,4.02800013026823e-44,7.82154667015293e-53,2.07793409781669e-62,7.55278047482341e-73,3.75593370187595e-84,2.55543557838704e-96,2.37874517247249e-109,3.02947146643146e-123,5.27863674262605e-138,1.25838244187482e-153,4.10430368095567e-170,1.83148045266231e-187,1.11815253328729e-205,9.33976136354356e-225,1.06734905833291e-244,1.66883394978555e-265,3.56989748364699e-287,1.04480279747502e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",3.52805765222179e-22,4.60212336572529e-17,8.21328329327454e-13,2.00544757237264e-09,6.69949066792298e-07,3.06202141481392e-05,0.000191474359058042,0.000163813235698653,1.91744677097649e-05,3.07067326674477e-07,6.72790519461471e-10,2.01679651204553e-13,8.27142361901211e-18,4.64124409142084e-23,3.5630713455329e-29,3.7424033340057e-36,5.37789882721818e-44,1.05733017735344e-52,2.84409822362435e-62,1.04668142768451e-72,5.27011884164326e-84,3.63046507198546e-96,3.42168543033114e-109,4.41218650351326e-123,7.78401396924726e-138,1.87883791223816e-153,6.20455997575087e-170,2.80329383864619e-187,1.732854991036e-205,1.46552011654065e-224,1.69573236934366e-244,2.6844715156274e-265,5.8142841641017e-287,1.72293808197878e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",3.99964313711111e-28,3.86102574879092e-22,5.0994121648991e-17,9.21453654869927e-13,2.27804784857707e-09,7.7052751251525e-07,3.5657379421697e-05,0.000225759823998211,0.000195559922711404,2.31765623338098e-05,3.75797724322652e-07,8.33672038935248e-10,2.53030159360048e-13,1.0507159039765e-17,5.96944955325393e-23,4.64001335378725e-29,4.93446574025918e-36,7.17954644266433e-44,1.42918958901005e-52,3.89241056059325e-62,1.45038534870667e-72,7.39407973294377e-84,5.15728127684647e-96,4.92145446119129e-109,6.42542837701606e-123,1.14774832223279e-137,2.80496347079231e-153,9.3787231587738e-170,4.29038422226348e-187,2.68524935371525e-205,2.2993708331706e-224,2.6938250006013e-244,4.31783163309985e-265,9.46886646249186e-287,2.84096735593984e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",6.05080834134925e-35,4.32268632694854e-28,4.22503208529377e-22,5.64991955068529e-17,1.03369039312102e-12,2.58746604759192e-09,8.86124619730873e-07,4.15193847924985e-05,0.000266160117849392,0.000233437709943059,2.80114126618023e-05,4.59869887407645e-07,1.03293001458213e-09,3.17426211183347e-13,1.33459851444857e-17,7.67705147146768e-23,6.04190971438529e-29,6.5056391970617e-36,9.58388689230367e-44,1.93165405060687e-52,5.32663553720071e-62,2.00961368190558e-72,1.03730898343875e-83,7.32554031566522e-96,7.07794445490068e-109,9.35643922607765e-123,1.69219347248513e-137,4.18721627627883e-153,1.41754461011668e-169,6.56574543129058e-187,4.16070867935833e-205,3.6073355444007e-224,4.27899458483281e-244,6.94437070346704e-265,1.54191352947649e-286,4.68406707692178e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1.22154935353781e-42,6.4581810343245e-35,4.67138191601284e-28,4.62292128760637e-22,6.25926856803426e-17,1.15948901174916e-12,2.93863503313107e-09,1.01896819783076e-06,4.83405482293531e-05,0.00031376065041211,0.000278625810828725,3.38516761639704e-05,5.6269748423949e-07,1.27969281892683e-09,3.98173594613666e-13,1.69502123122508e-17,9.87219653048821e-23,7.86662424243333e-29,8.57628062869006e-36,1.27922083456871e-43,2.61052603273232e-52,7.28863993661399e-62,2.7842031968131e-72,1.4550949142542e-83,1.04044153554457e-95,1.01784114683096e-108,1.36231735475385e-122,2.49466674902454e-137,6.25003934429255e-153,2.14234261923692e-169,1.00468765874056e-186,6.44628008149209e-205,5.65878557912e-224,6.7963113864135e-244,1.11675849016105e-264,2.51062136690323e-286,7.72216615429808e-309,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",3.29088560973458e-51,1.2875700158431e-42,6.89231132161153e-35,5.04771563877608e-28,5.05779053916573e-22,6.93366351543944e-17,1.30047092694718e-12,3.33714054054799e-09,1.17161334509048e-06,5.62768896094544e-05,0.000369838250651405,0.000332529002636193,4.09056404640285e-05,6.88450670921095e-07,1.58525240863093e-09,4.99413156869256e-13,2.15257107829157e-17,1.26937805436619e-22,1.02414260678391e-28,1.13048771237707e-35,1.70728970608318e-43,3.52764245718942e-52,9.97235806185105e-62,3.85697771778913e-72,2.04094997365605e-83,1.47758867266462e-95,1.46356060188188e-108,1.98337041390718e-122,3.67733262335892e-137,9.328202432981e-153,3.23741946359751e-169,1.53721972362956e-186,9.98639836581498e-205,8.87601011127626e-224,1.07935088937099e-243,1.79574010771939e-264,4.08752361961675e-286,1.27295494158426e-308,0,0,0,0,0,0,0,0,0,0,0,0
"13",1.18308823872532e-60,3.42557969881796e-51,1.35702228259429e-42,7.35488430038116e-35,5.45381842882651e-28,5.53301017074049e-22,7.67994704568876e-17,1.45844798931458e-12,3.78930558690612e-09,1.34698970937106e-06,6.55095911645519e-05,0.000435894574896605,0.000396820410656508,4.94245249942571e-05,8.42222752412881e-07,1.96357456838371e-09,6.26330832331904e-13,2.733355674206e-17,1.63201620620507e-22,1.33317987860949e-28,1.49000936194035e-35,2.27837500501991e-43,4.76647568030855e-52,1.36428630307024e-61,5.34256260583115e-72,2.86239579150099e-83,2.09819434831132e-95,2.1042517868187e-108,2.88725844259497e-122,5.42012844909422e-137,1.39209688355634e-152,4.89176186670737e-169,2.35178229626882e-186,1.54690944045463e-204,1.39209420802099e-223,1.71399016967365e-243,2.88724734429409e-264,6.65419644419768e-286,2.0981822504835e-308,0,0,0,0,0,0,0,0,0,0,0
"14",5.67573637305813e-71,1.21618047147857e-60,3.56541263796916e-51,1.4300707935577e-42,7.84767914078214e-35,5.89197510127774e-28,6.0522454295557e-22,8.50566204526669e-17,1.63544400171909e-12,4.30228520662951e-09,1.54845532423909e-06,7.62489953308655e-05,0.000513695232704943,0.00047349228652165,5.97112613235976e-05,1.03023321007626e-06,2.43192853922818e-09,7.85420145970487e-13,3.4704774564587e-17,2.09803332480316e-22,1.73528774716579e-28,1.96366130356371e-35,3.0401683055564e-43,6.43968517289292e-52,1.86624049211815e-61,7.39957104034512e-72,4.01403766655054e-83,2.97914956094107e-95,3.02509580270191e-108,4.20263742001036e-122,7.98804820107932e-137,2.07728169460584e-152,7.39070852395651e-169,3.59759871295468e-186,2.39593662927269e-204,2.18310135189967e-223,2.72150059508378e-243,4.64171992534977e-264,1.08314199493221e-285,3.45802254259519e-308,0,0,0,0,0,0,0,0,0,0
