"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.791528176757632,4.62641331613586e-18,2.2499745680458e-21,2.64435901235944e-25,7.51056921119916e-30,5.15507414442747e-35,8.5507972197633e-41,3.42758257676777e-47,3.3203118362004e-54,7.77283499598378e-62,4.3973359993957e-70,6.01186862892009e-79,1.98627300528521e-88,1.58590813417151e-98,3.06003744450679e-109,1.42687222051701e-120,1.60787785111976e-132,4.37855339850717e-145,2.8814950383927e-158,4.58262932163101e-172,1.76125083051413e-186,1.63582680401657e-201,3.67166506344504e-217,1.99158305281907e-233,2.61061852103061e-250,8.26985767563437e-268,6.33085379283541e-286,1.17121374422789e-304,4.94065645841247e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.791528176759126,1.53817829527672e-14,3.8205100515991e-17,2.29321958541152e-20,3.32643901468775e-24,1.1660659586628e-28,9.87816545706098e-34,2.02226983253013e-39,1.00048720326285e-45,1.1961719137636e-52,3.45609197452215e-60,2.41316273417161e-68,4.07190424276439e-77,1.66042066768778e-86,1.63624500039928e-96,3.89662096165791e-107,2.24252668796324e-118,3.11886592710051e-130,1.04825132325793e-142,8.51419829488746e-156,1.6712127096899e-169,7.92737361520623e-184,9.08733527994573e-199,2.51740682061938e-214,1.68531033922602e-230,2.72656586705409e-247,1.06601110757659e-264,1.00720319360268e-282,2.2997577241787e-301,1.26876057852032e-320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.791528176907449,7.86420294299973e-12,9.97587199681246e-14,3.05813498725976e-16,2.26554171282454e-19,4.055992114082e-23,1.75481674121838e-27,1.83474648304617e-32,4.635856526269e-38,2.83069799484429e-44,4.17702154873205e-51,1.48953091743417e-58,1.28363620020406e-66,2.67327734737668e-75,1.34541327414826e-84,1.63635310909542e-94,4.80958906601757e-105,3.41624135010269e-116,5.86406460607419e-128,2.43253207543521e-140,2.43852960572219e-153,5.90754607529047e-167,3.45856410909155e-181,4.89321356408899e-196,1.67302387800545e-211,1.38235547119967e-227,2.76024072952992e-244,1.33193739441033e-261,1.55321040739248e-279,4.37709930431485e-298,2.98093222847637e-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.791528179063955,6.18284741925879e-10,4.00558703369243e-11,6.27124032306523e-13,2.37274104548248e-15,2.16948609101962e-18,4.7937239916767e-22,2.55975740369488e-26,3.3031950451762e-31,1.03009969100942e-36,7.76307752540702e-43,1.41383333597112e-49,6.22260365126616e-57,6.61844081234439e-65,1.70117451167657e-73,1.05669991569518e-82,1.58622250130577e-92,5.75421609697252e-103,5.04449686869332e-114,1.06870827917803e-125,5.47154680639638e-138,6.76971976869973e-151,2.02414160740651e-164,1.46258367162338e-178,2.55393698231369e-193,1.07772823558422e-208,1.09905132257348e-224,2.70854660742363e-241,1.6131111046792e-258,2.32167741440044e-276,8.07512214087633e-295,6.78743918485012e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5.45957232664917e-09,7.47494716403882e-09,2.4732456766048e-09,1.97758890912415e-10,3.82132877682242e-12,1.78444193077669e-14,2.01372453965396e-17,5.49170668297832e-21,3.61929707309202e-25,5.76435551482216e-30,2.21864037545667e-35,2.06363409308698e-41,4.63861260815967e-48,2.51972498217247e-55,3.30771290382409e-63,1.04933002805012e-71,8.044629038982e-81,1.49042309476657e-90,6.67302494892062e-101,7.22013891579966e-112,1.88789565208235e-123,1.19294397169946e-135,1.82167851131561e-148,6.72253468616249e-162,5.99520441984092e-176,1.29206561195371e-190,6.72937558107768e-206,8.46982809035709e-222,2.57622654788993e-238,1.89366492354516e-255,3.36381301158045e-273,1.44400994857674e-291,1.49802186521324e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1.98738729823946e-09,1.38967582066487e-08,2.34830293215004e-08,9.58968556621421e-09,9.46377142399161e-10,2.25701136072432e-11,1.30080703123857e-13,1.81176403467872e-16,6.09817692885404e-20,4.96030104238838e-24,9.75047283818549e-29,4.63183357765048e-34,5.31728384819178e-40,1.4751506336099e-46,9.88991419422108e-54,1.60235339542786e-61,6.27384397803499e-70,5.93633978575841e-79,1.35741741338554e-88,7.50097484334105e-99,1.00168605913569e-109,3.23262388918395e-121,2.52109002692688e-133,4.75150464988523e-146,2.16413122204731e-159,2.38202135467758e-173,6.33603165543422e-188,4.07285223533297e-203,6.32688000121596e-219,2.37514522349649e-235,2.15476725943108e-252,4.72411210575752e-270,2.50293545351292e-288,3.20470997984114e-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1.112479853273e-10,3.97287255804134e-09,3.4286783174943e-08,7.15086330069215e-08,3.60412494801389e-08,4.38986160983327e-09,1.29214558443726e-10,9.19140058477703e-13,1.58001630391062e-15,6.56373547815545e-19,6.58946567971218e-23,1.59867048922071e-27,9.37297252059405e-33,1.3280222680466e-38,4.54718892628e-45,3.76261920456701e-52,7.5239718995922e-60,3.63591473229457e-68,4.24609632926934e-77,1.19832776851939e-86,8.17280301973958e-97,1.34702627791702e-107,5.36525950077187e-119,5.16434234909685e-131,1.20129299401509e-143,6.75293379613527e-157,9.17372395432497e-171,3.01167754707205e-185,2.38935622352931e-200,4.58102816319408e-216,2.12253396601295e-232,2.37659929373797e-249,6.430828184858e-267,4.20520795355518e-285,6.64534718707035e-304,2.47032822920623e-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",9.57607431100996e-13,1.7465518159625e-10,7.69812696368905e-09,8.19970621278921e-08,2.11067391532232e-07,1.31296642785807e-07,1.97376629196459e-08,7.17046733986239e-10,6.29518973416632e-12,1.33561046730545e-14,6.8479476518874e-18,8.48497715620147e-22,2.54068340502058e-26,1.83848483663466e-31,3.21498670617964e-37,1.35865108061729e-43,1.38754259317443e-50,3.42447765107437e-58,2.04245255490139e-66,2.94387418607081e-75,1.02540667863091e-84,8.63142827388012e-95,1.75581525518951e-105,8.63146667159978e-117,1.0254158018868e-128,2.94391347454649e-141,2.04248889931102e-154,3.42455382230336e-168,1.38757962926633e-182,1.35869338978947e-197,3.21510112532062e-213,1.83855844599504e-229,2.54079643196774e-246,8.48539237382224e-264,6.84831322568077e-282,1.33568771001724e-300,6.29538445930916e-320,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1.26755967618091e-15,1.18071170817872e-12,2.65784073076685e-10,1.4458514112714e-08,1.90076314121946e-07,6.03867933085178e-07,4.63623629242734e-07,8.6019870492501e-08,3.85692891146036e-09,4.17920920741441e-11,1.09434993817204e-13,6.92513033061353e-17,1.05903255964763e-20,3.91381507576067e-25,3.49543249140359e-30,7.54416474645569e-36,3.93487586959326e-42,4.95975857792616e-49,1.51077456903814e-56,1.11211173146966e-64,1.97836675896019e-73,8.50500979974328e-83,8.83593389903729e-93,2.21839933342258e-103,1.34597384801075e-114,1.97352733094455e-126,6.99293186225727e-139,5.9880452813283e-152,1.23914030371622e-165,6.19677200728346e-180,7.48893705958895e-195,2.18717972438626e-210,1.5436839536034e-226,2.63294590303489e-243,1.08526328367036e-260,1.08103041330468e-278,2.60225794005665e-297,1.51381358158493e-316,0,0,0,0,0,0,0,0,0,0,0,0
"10",2.58008738445003e-19,1.22741480674122e-15,1.41110044451807e-12,3.9204338213421e-10,2.63220647749647e-08,4.2708607117815e-07,1.67463625728771e-06,1.58684752838223e-06,3.63378759115509e-07,2.01091402542943e-08,2.68928665441014e-10,8.6914116140894e-13,6.78817714605033e-16,1.28122570818482e-19,5.8439669244907e-24,6.44168497266139e-29,1.71593503969082e-34,1.10461727594879e-40,1.71843238064335e-47,6.46044884161848e-55,5.86951969010316e-63,1.28870069813917e-71,6.83771809214806e-81,8.76758423808714e-91,2.71680414234305e-101,2.03444682059862e-112,3.68166256222964e-124,1.61009406222972e-136,1.70164179247256e-149,4.3460494765127e-163,2.68244494247729e-177,4.00107410634814e-192,1.44222161991624e-207,1.25631063404714e-223,2.644671273662e-240,1.34541414057614e-257,1.65405484476041e-275,4.91420705801093e-294,3.52830910042149e-313,0,0,0,0,0,0,0,0,0,0,0
