"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01736692335786,9.01736692335786,9.01736693654714,9.01808960930569,0.451182219395464,4.10164787716067,4.49024353344834,4.03249330971294,1.24114596315446,1.59978323936677,1.62614601283592,0.790733235716391,0.527453160317353,0.421263070622358,0.193793204861661,0.116371446284863,0.0512578563853785,0.0214682135940135,0.00701055397340661,0.00182106338891395,0.000331609277231616,3.7849823424363e-05,2.28600641398825e-06,6.03030880147252e-08,5.71032640016279e-10,1.62749951027948e-12,1.21158074864717e-15,2.13601604117066e-19,8.41557998984876e-24,7.08193603663974e-29,1.21081026378253e-34,4.02216601661005e-41,2.53991428552766e-48,3.07320244888507e-56,7.11822085005518e-65,3.03649139865886e-74,2.325507927107e-84,3.23466393212957e-95,8.3562437173997e-107,3.99772889806582e-119,3.36780074109742e-132,4.89789534780639e-146,1.27877955756247e-160,6.23432747901337e-176,5.58176989856072e-192,8.55560751090982e-209,2.19586141616687e-226,1.00661686532661e-244,8.61517984183624e-264,1.35108527877793e-283
"2",4.74532700800917e-32,4.74532700800918e-32,4.74532701494995e-32,4.74570731649343e-32,2.3743152401672e-33,2.15846384141439e-32,2.36295961924509e-32,2.12207172834789e-32,6.53144483295047e-33,8.41874870707896e-33,8.55748098005004e-33,4.16117899101549e-33,2.77568579429802e-33,2.21686778800475e-33,1.01982334401477e-33,6.12396691528903e-34,2.69740925866214e-34,1.12974989980164e-34,3.68925556582813e-35,9.58322019737904e-36,1.74507089788869e-36,1.9918207928166e-37,1.20299507261718e-38,3.17340832035336e-40,3.00501979364392e-42,8.56460366678199e-45,6.37585993539507e-48,1.12406367577793e-51,4.42864079429299e-56,3.72681988315341e-61,6.37180531205707e-67,2.11663706174318e-73,1.33661233479613e-80,1.61725154423945e-88,3.74591451538302e-97,1.59793260783469e-106,1.22378247082919e-116,1.70221953364318e-127,4.39741549109747e-139,2.10377719703861e-151,1.7722818590121e-164,2.5774835685286e-178,6.72948902198111e-193,3.28077173906543e-208,2.9373678233634e-224,4.50232930926674e-241,1.15555689066956e-258,5.29725166819889e-277,4.53367883660414e-296,7.10999208993501e-316
"3",2.29041865126571e-41,2.29041865126571e-41,2.2904186546158e-41,2.29060221409375e-41,1.14600656622501e-42,1.04182195075577e-41,1.14052556862193e-41,1.02425663346872e-41,3.15252100431724e-42,4.0634626499855e-42,4.13042431248192e-42,2.00846895402377e-42,1.3397353865357e-42,1.07001168106356e-42,4.92236342023464e-43,2.95584435357948e-43,1.30195378858169e-43,5.45294399607002e-44,1.78068650337411e-44,4.62551605868608e-45,8.42290304874503e-46,9.61388643215959e-47,5.80647518506655e-48,1.53170341954336e-49,1.45042762514953e-51,4.13386220717504e-54,3.0774251151162e-57,5.42549839845956e-61,2.13756427278557e-65,1.79881760643164e-70,3.07546807719204e-76,1.02163349248522e-82,6.45140327729115e-90,7.80595961977411e-98,1.80803397902807e-106,7.71271324878764e-116,5.90680935486288e-126,8.21607312167266e-137,2.12249281054287e-148,1.01542644417803e-160,8.55424171680886e-174,1.24406946638763e-187,3.24811064515021e-202,1.58352433225744e-217,1.41777416749238e-233,2.17313137886595e-250,5.57750614556393e-268,2.55681515748296e-286,2.18826280015699e-305,0
"4",7.12354962458845e-52,7.12354962458845e-52,7.12354963500774e-52,7.12412053284317e-52,3.56425435153382e-53,3.24022438522017e-52,3.54720761713172e-52,3.18559358255151e-52,9.80481878472358e-53,1.26379855572855e-52,1.28462464904885e-52,6.24664327437568e-53,4.16678038511881e-53,3.32789872486127e-53,1.53092973089978e-53,9.19312455111522e-54,4.04927388133057e-54,1.69594834265957e-54,5.53820528208264e-55,1.43860569617579e-55,2.61965068341002e-56,2.99006459132704e-57,1.80590190801605e-58,4.7638301029549e-60,4.51105004708068e-62,1.28569388647569e-64,9.5712591719294e-68,1.68741234525811e-71,6.64814930865181e-76,5.59459576436738e-81,9.56517248696364e-87,3.17743521597606e-93,2.0064843328367e-100,2.42777191358732e-108,5.62326008192047e-117,2.39877087700094e-126,1.83710735760454e-136,2.55532343701181e-147,6.60127477366598e-159,3.15813035369072e-171,2.6604990025181e-184,3.869244854145e-198,1.01021170754504e-212,4.92500100640794e-228,4.40949283791869e-244,6.75876840661739e-261,1.7346890616445e-278,7.95208319019092e-297,6.80583060460545e-316,0
"5",1.42761431219729e-63,1.42761431219729e-63,1.42761431428539e-63,1.42772872661683e-63,7.14304074895123e-65,6.49365969334175e-64,7.10887777783264e-64,6.38417534931836e-64,1.96496134135949e-64,2.53274982413922e-64,2.57448692215647e-64,1.25187551314417e-64,8.35054941295817e-65,6.66936583519558e-65,3.06810131181915e-65,1.84237309692955e-65,8.11505731221485e-66,3.39881134311316e-66,1.10989907297018e-66,2.88307682223488e-67,5.24998210959976e-68,5.99232016330544e-69,3.61916677243202e-70,9.54708311763548e-72,9.04049238040184e-74,2.57662975646539e-76,1.91815419274003e-79,3.38170454565766e-83,1.33234042055321e-87,1.12120016074579e-92,1.91693437410621e-98,6.3678253531773e-105,4.02114942930967e-112,4.86544224893794e-120,1.12694471116584e-128,4.8073219338125e-138,3.68170490131274e-148,5.12106534413591e-159,1.32294640204418e-170,6.32913691953684e-183,5.33184529307027e-196,7.75426525015924e-210,2.02454221286328e-224,9.87008204458213e-240,8.83696389678459e-256,1.35450934135541e-272,3.47645073330818e-290,1.5936588319557e-308,0,0
"6",1.84356387443209e-76,1.84356387443209e-76,1.84356387712859e-76,1.84371162462539e-76,9.22423638223024e-78,8.3856517276539e-77,9.18011969128691e-77,8.24426803618141e-77,2.5374722798978e-77,3.27069155784145e-77,3.3245891725339e-77,1.61662183658453e-77,1.07835646489808e-77,8.61255159330388e-78,3.96202300105957e-78,2.37916673691592e-78,1.047945959348e-78,4.38908867376745e-79,1.43327915509909e-79,3.7230897948228e-80,6.77961636835661e-81,7.73824196263328e-82,4.6736468387819e-83,1.23287202933568e-84,1.16745293299386e-86,3.32735634283128e-89,2.47702740517025e-92,4.36699764152805e-96,1.72053099131309e-100,1.44787292667093e-105,2.47545218030214e-111,8.22315430681121e-118,5.19275112208602e-125,6.2830370126172e-133,1.45529120872286e-141,6.20798276832978e-151,4.75440607059545e-161,6.61313842708969e-172,1.70839993251729e-183,8.17319361504136e-196,6.88533120071911e-209,1.00135471925572e-222,2.61441262812288e-237,1.27458281551312e-252,1.14117008078309e-268,1.74915904664771e-285,4.48934906887107e-303,1.92685601878086e-321,0,0
"7",1.53413987996381e-90,1.53413987996381e-90,1.53413988220773e-90,1.53426283174593e-90,7.67603937810498e-92,6.97820287829423e-91,7.63932723816405e-91,6.86054904352745e-91,2.11158261066115e-91,2.72173827201471e-91,2.76658970422238e-91,1.34528782252726e-91,8.97364979082468e-92,7.16701984172019e-92,3.29703655813488e-92,1.97984709008819e-92,8.72058576640291e-93,3.65242347417898e-93,1.19271739995214e-93,3.09820593153218e-94,5.64172469736384e-95,6.43945445033315e-96,3.88922136069239e-97,1.02594663159063e-98,9.71507484674667e-101,2.76889243230614e-103,2.06128281137294e-106,3.63404020359202e-110,1.43175685154939e-114,1.20486175105273e-119,2.05997197244644e-125,6.84297904517218e-132,4.32119911525878e-139,5.2284912836633e-147,1.21103494770434e-155,5.16603415325476e-165,3.95642595279722e-175,5.50318843487035e-186,1.42166187120022e-197,6.80140376224453e-210,5.72969633885685e-223,8.33287216193366e-237,2.17560928108328e-251,1.06065667412668e-266,9.49635949711894e-283,1.4555799704463e-299,3.73585070148371e-317,0,0,0
"8",4.19826169776e-104,4.19826169776e-104,4.1982617039006e-104,4.19859816235771e-104,2.10059216453951e-105,1.90962520730719e-104,2.09054567706012e-104,1.87742856118992e-104,5.77846682155469e-105,7.44819275475479e-105,7.5709312692712e-105,3.68145722012804e-105,2.45569069013576e-105,1.96129605139328e-105,9.02252948307337e-106,5.41796502020071e-106,2.38643826963054e-106,9.99506614482041e-107,3.26393951546915e-107,8.47841807908103e-108,1.54389029420237e-108,1.76219361261514e-109,1.06430771313305e-110,2.80756175079318e-112,2.65858590553883e-114,7.57723281663377e-117,5.64081853829533e-120,9.94475927137766e-124,3.91808467328744e-128,3.29717322820656e-133,5.63723135245334e-139,1.87262043045243e-145,1.18252090118492e-152,1.43080660244576e-160,3.31406653460821e-169,1.4137148507893e-178,1.08269863488876e-188,1.50597905206773e-199,3.89045918105362e-211,1.86124311602574e-223,1.56796423803192e-236,2.28033821991524e-250,5.95367947431139e-265,2.9025477713053e-280,2.59873319673134e-296,3.98327800247311e-313,0,0,0,0
"9",3.90335310101007e-114,3.90335310101007e-114,3.90335310671933e-114,3.90366593051557e-114,1.95303521545299e-115,1.77548280963205e-114,1.94369444756379e-114,1.74554782998772e-114,5.37255607458531e-115,6.92499143197882e-115,7.03910812973176e-115,3.42285176364539e-115,2.28318970100824e-115,1.8235240143056e-115,8.38873823789975e-116,5.03737786857076e-116,2.21880194488628e-116,9.29295866715545e-117,3.03466275959249e-117,7.88284816029891e-118,1.43543909392537e-118,1.63840760714166e-119,9.89544985893422e-121,2.61034343620908e-122,2.47183245966385e-124,7.04496702234247e-127,5.24457695084565e-130,9.24618562045385e-134,3.64285722532651e-138,3.06556195669134e-143,5.24124174832892e-149,1.74107744834518e-155,1.09945424057585e-162,1.33029901198923e-170,3.08126858592896e-179,1.31440787736426e-188,1.00664402988677e-198,1.40019094238008e-209,3.61717229700598e-221,1.73049933798768e-233,1.45782195380062e-246,2.12015493622208e-260,5.53546084344214e-275,2.69865712516192e-290,2.41618412867672e-306,0,0,0,0,0
"10",2.16192710605609e-124,2.16192710605609e-124,2.16192710921824e-124,2.1621003710849e-124,1.08171606875056e-125,9.83376167399987e-125,1.07654255286089e-124,9.66796257195205e-125,2.97566587133678e-125,3.83550406498634e-125,3.89870920573106e-125,1.8957946709771e-125,1.26457678184443e-125,1.0099844654206e-125,4.64622085494433e-126,2.79002269989155e-126,1.2289147160113e-126,5.14703607848937e-127,1.68079072221374e-127,4.36602650840493e-128,7.95038164865688e-129,9.07455135363349e-130,5.48073431304814e-131,1.44577548707947e-132,1.36905923135514e-134,3.90195423594452e-137,2.90478283066324e-140,5.12113016762754e-144,2.01764779540126e-148,1.69790467783976e-153,2.90293558176248e-159,9.64320273343035e-166,6.08948220429801e-173,7.36804849255096e-181,1.70660401572052e-189,7.28003320466216e-199,5.57543977714591e-209,7.75515479550744e-220,2.00342183599756e-231,9.58461437895425e-244,8.074352271409e-257,1.17427768050782e-270,3.06589297259653e-285,1.49468926788335e-300,1.33823846115362e-316,0,0,0,0,0
