"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",2.00696531508434e-14,1.74385577075279e-14,1.77292931655797e-14,2.36499132507398e-14,1.89152559510137e-14,1.83835052622952e-14,2.37039956899372e-14,2.18611593863986e-14,2.06885768671144e-14,2.65077617465346e-14,2.13095927738946e-14,2.18628615931369e-14,2.19563074634124e-14,1.98087808322672e-14,2.06510545052156e-14,2.1295314670936e-14,2.28480739894331e-14,2.06928321521741e-14,2.29933545902921e-14,2.17373132815579e-14,2.24267508867149e-14,2.53360493222169e-14,2.4737814202591e-14,7.66183831507244e-14,4.39250042888164e-10,9.70812878361489e-07,0.00051110106846021,0.0626037955005062,1.63366377686334,7.43130924418139,4.29544827865135,0.371350667640449,0.00631832589208829,2.42128500160566e-05,2.19854780732054e-08,4.73278247317392e-12,2.3389275053908e-16,2.51623527319592e-21,5.5401656614643e-27,2.37156550534543e-33,1.95194356552639e-40,3.24853674190045e-48,1.16500361710186e-56,9.12114616671653e-66,1.54233581107619e-75,5.46961385933701e-86,3.94697387464549e-97,5.64622841096198e-109,1.59932292269083e-121,9.25394342523059e-135
"2",7.25551601182764e-16,6.30433090792262e-16,6.40943664917519e-16,8.54984004852454e-16,6.83818207464293e-16,6.6459452877239e-16,8.56939175679802e-16,7.90317554433997e-16,7.47926730935893e-16,9.58300018162555e-16,7.70377496882756e-16,7.90379092060742e-16,7.93757316900641e-16,7.161206296047e-16,7.46570234660089e-16,7.69861319528541e-16,8.25996171552112e-16,7.48080566623304e-16,8.31248308785469e-16,7.85840310159169e-16,8.10764635187488e-16,9.15940650055901e-16,8.94313447748716e-16,2.7698829749186e-15,1.58796253000372e-11,3.50965127822564e-08,1.84771603076729e-05,0.00226323214079072,0.0590596838016439,0.268654285177495,0.155287655095438,0.0134249490751909,0.000228418071470584,8.75335112485974e-07,7.94811883339019e-10,1.71098019265806e-13,8.4556149716787e-18,9.0966122717628e-23,2.00286274819068e-28,8.57360681213804e-35,7.0566031646967e-42,1.17440048259522e-49,4.21168334808239e-58,3.29744722349878e-67,5.5758024758929e-77,1.97735708916656e-87,1.42689721294722e-98,2.04120620990648e-110,5.78182043628326e-123,3.34545565833489e-136
"3",7.70856756476377e-16,6.69798821684477e-16,6.80965700877759e-16,9.08371225072562e-16,7.26517431104992e-16,7.06093380520819e-16,9.10448481383305e-16,8.3966684878678e-16,7.94629042167868e-16,1.01813853422392e-15,8.18481686955637e-16,8.39732228968253e-16,8.43321398144488e-16,7.60836892762706e-16,7.93187843061376e-16,8.17933278268524e-16,8.77573323009149e-16,7.94792483718868e-16,8.8315341609374e-16,8.34910034806878e-16,8.61390693546205e-16,9.73134147145384e-16,9.50156491255716e-16,2.94284100866735e-15,1.68711866018796e-11,3.72880219171992e-08,1.96309178292048e-05,0.00240455370005249,0.0627475099216102,0.285429693143544,0.164984182975483,0.0142632345970874,0.000242681035239078,9.29993103923775e-07,8.44441814201529e-10,1.81781783619204e-13,8.98360353757866e-18,9.66462622272945e-23,2.12792622774286e-28,9.10896306718192e-35,7.49723412974567e-42,1.24773282195487e-49,4.47467080179533e-58,3.50334761471779e-67,5.92396874917387e-77,2.10082793514027e-87,1.5159960443952e-98,2.16866394575236e-110,6.14285095750131e-123,3.55435380959206e-136
"4",8.33179819392924e-16,7.23951443108053e-16,7.36021154259019e-16,9.81812206858278e-16,7.85255700165117e-16,7.63180383792749e-16,9.8405740743968e-16,9.07553144659806e-16,8.58874072615183e-16,1.10045410244473e-15,8.84655181893072e-16,9.07623810769086e-16,9.11503160986751e-16,8.22349858872815e-16,8.57316353880582e-16,8.84062434865764e-16,9.4852432261352e-16,8.59050728265925e-16,9.54555561114519e-16,9.02411746625265e-16,9.31033342376322e-16,1.05181115187971e-15,1.02697577355114e-15,3.18076700956916e-15,1.82352065903299e-11,4.03027243459641e-08,2.12180595604022e-05,0.00259895966494226,0.0678205886432352,0.308506422476954,0.178323003099233,0.0154164040539539,0.000262301574724251,1.00518219481627e-06,9.12714161656082e-10,1.96478674374068e-13,9.70991965764368e-18,1.0446002403302e-22,2.29996711479377e-28,9.84541439042835e-35,8.10337864420001e-42,1.34861087810785e-49,4.83644383883255e-58,3.78659006148394e-67,6.40291619818898e-77,2.27067795004715e-87,1.63856293644394e-98,2.34399844000234e-110,6.63949483263747e-123,3.84172006050935e-136
"5",8.85310293775628e-16,7.6924770602854e-16,7.82072596017636e-16,1.04324232663188e-15,8.34387653686454e-16,8.10931126814439e-16,1.04562800513733e-15,9.64337016349236e-16,9.12612187483421e-16,1.16930741965377e-15,9.40006371664814e-16,9.6441210390238e-16,9.68534177674356e-16,8.7380272325307e-16,9.10957005254507e-16,9.39376537584983e-16,1.00787168287172e-15,9.12799896141762e-16,1.01428028447832e-15,9.58873930832242e-16,9.89286325315295e-16,1.11762097231975e-15,1.09123169167188e-15,3.37978154310709e-15,1.93761487349838e-11,4.282438904567e-08,2.25456331340998e-05,0.00276157162106677,0.0720639937000957,0.327809081734295,0.18948033376008,0.0163809790927416,0.000278713284661812,1.06807453022473e-06,9.69820948349033e-10,2.08771970806365e-13,1.0317450836615e-17,1.10995888776885e-22,2.44387167653193e-28,1.04614232167599e-34,8.61039161186e-42,1.43299089211811e-49,5.13905091809109e-58,4.02350978949874e-67,6.80353446938942e-77,2.41274994453275e-87,1.74108469848683e-98,2.4906579578945e-110,7.05491537839564e-123,4.08208916755976e-136
"6",9.03539274395583e-16,7.85086900064493e-16,7.98175860936655e-16,1.06472320659881e-15,8.51568111742255e-16,8.27628603279754e-16,1.06715800741489e-15,9.84193196612504e-16,9.3140332771542e-16,1.19338404277846e-15,9.59361571815751e-16,9.84269830255827e-16,9.88476779583224e-16,8.91794757254971e-16,9.29714064458661e-16,9.58718769137999e-16,1.02862426363763e-15,9.31594901388682e-16,1.03516482154849e-15,9.78617623439245e-16,1.0096562242971e-15,1.14063334570805e-15,1.11370069660634e-15,3.44937293121377e-15,1.97751133039747e-11,4.37061645807151e-08,2.30098589680878e-05,0.00281843375846083,0.0735478272822777,0.334558834267381,0.193381828361758,0.0167182716245431,0.000284452130239848,1.09006671765215e-06,9.89790045508048e-10,2.13070689839201e-13,1.05298922965984e-17,1.13281349501373e-22,2.49419221357118e-28,1.06768291398766e-34,8.78768387077346e-42,1.46249688948948e-49,5.24486654030793e-58,4.10635586334724e-67,6.94362263831918e-77,2.46242966958386e-87,1.77693450103578e-98,2.54194184780813e-110,7.20017960565288e-123,4.16614142002711e-136
"7",8.96883618883071e-16,7.79303789022962e-16,7.92296333926221e-16,1.05688023720046e-15,8.45295286467462e-16,8.21532121331677e-16,1.05929710277461e-15,9.76943427775624e-16,9.24542419874278e-16,1.1845933312865e-15,9.5229471781738e-16,9.77019496919821e-16,9.81195456996086e-16,8.85225614263236e-16,9.22865600076952e-16,9.51656650155922e-16,1.02104720645308e-15,9.24732582376591e-16,1.02753958527362e-15,9.71408925417301e-16,1.0022188895786e-15,1.13223120666413e-15,1.10549694897665e-15,3.42396414311245e-15,1.96294457656597e-11,4.33842160130482e-08,2.28403636301176e-05,0.00279767259764279,0.0730060589098824,0.332094405312657,0.191957338172533,0.0165951214086634,0.000282356797538408,1.08203706275618e-06,9.824990491349e-10,2.11501167460297e-13,1.04523269514097e-17,1.12446895859302e-22,2.47581948243935e-28,1.05981814277796e-34,8.72295198998627e-42,1.45172383760298e-49,5.2062317782222e-58,4.07610760429231e-67,6.89247449058599e-77,2.44429090786207e-87,1.76384523724578e-98,2.52321738308227e-110,7.14714160670647e-123,4.13545276830619e-136
"8",8.89622985981536e-16,7.72995012040372e-16,7.85882377077467e-16,1.04832436745143e-15,8.3845228182425e-16,8.14881489048709e-16,1.05072166752863e-15,9.69034678585312e-16,9.1705787787655e-16,1.17500357277716e-15,9.44585509828106e-16,9.69110131919252e-16,9.73252285922481e-16,8.78059357588591e-16,9.15394632608554e-16,9.43952607580485e-16,1.01278141947124e-15,9.17246500937077e-16,1.01922123987919e-15,9.63544980245113e-16,9.94105525379493e-16,1.12306534057161e-15,1.09654750743117e-15,3.39624577900394e-15,1.94705375229798e-11,4.30330033701148e-08,2.26554617184711e-05,0.0027750243149866,0.0724150455585708,0.329405967799848,0.190403366468866,0.0164607772396231,0.000280071005925074,1.0732775384064e-06,9.74545324959672e-10,2.09788980613705e-13,1.03677111692021e-17,1.11536593101438e-22,2.45577672994171e-28,1.05123848950402e-34,8.65233619225782e-42,1.43997155041953e-49,5.16408524221003e-58,4.04310987709691e-67,6.83667714296394e-77,2.42450339183112e-87,1.74956620204753e-98,2.50279092555354e-110,7.08928262655673e-123,4.10197461818711e-136
"9",8.91149300106887e-16,7.74321229128166e-16,7.8723070484316e-16,1.05012296339061e-15,8.39890803064535e-16,8.16279570198612e-16,1.05252437648313e-15,9.7069723827766e-16,9.18631261674882e-16,1.17701951051564e-15,9.46206122412279e-16,9.70772821065865e-16,9.74922081706696e-16,8.79565832153099e-16,9.16965162799475e-16,9.45572134302832e-16,1.01451903485527e-15,9.18820208353443e-16,1.02096990397601e-15,9.65198121336264e-16,9.95811098784616e-16,1.12499216858755e-15,1.09842883915942e-15,3.40207267195448e-15,1.95039428608789e-11,4.31068345119974e-08,2.26943313877379e-05,0.00277978538667303,0.072539287072859,0.329971125163755,0.190730038949608,0.0164890187725095,0.000280551519962122,1.07511894616351e-06,9.76217339193476e-10,2.10148912730454e-13,1.03854989110371e-17,1.11727954925747e-22,2.45999007286414e-28,1.05304208516299e-34,8.66718088844443e-42,1.4424420901337e-49,5.17294519341847e-58,4.05004658603205e-67,6.84840673747554e-77,2.42866307951031e-87,1.7525679091184e-98,2.50708493009554e-110,7.10144561288017e-123,4.10901232056241e-136
"10",9.22531882511449e-16,8.01589611404628e-16,8.14953705313652e-16,1.08710393888998e-15,8.6946827379233e-16,8.45025551229901e-16,1.08958991979202e-15,1.00488116914814e-15,9.5098164478741e-16,1.21846925611507e-15,9.7952757775623e-16,1.00495941364867e-15,1.00925479404067e-15,9.10540492857508e-16,9.49256872819575e-16,9.78871263214965e-16,1.05024618765506e-15,9.51177245384353e-16,1.05692422963194e-15,9.99188396115059e-16,1.03087943566513e-15,1.16460972698203e-15,1.13711094725998e-15,3.52187956173278e-15,2.01907908379485e-11,4.46248784425827e-08,2.34935316169326e-05,0.00287767789913284,0.0750938199147286,0.341591339672519,0.197446759889235,0.0170696936272579,0.000290431380938145,1.112980176508e-06,1.01059566512419e-09,2.17549485866967e-13,1.07512331099519e-17,1.1566255011864e-22,2.54662072068802e-28,1.09012586002444e-34,8.97240305314145e-42,1.49323891817587e-49,5.35511486890076e-58,4.19267242966254e-67,7.08957921974423e-77,2.51419052055359e-87,1.81428608229196e-98,2.5953740634703e-110,7.35152907488928e-123,4.25371469280907e-136
