"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01735728458829,9.01736581633773,9.01737214038177,9.01737004992474,1.50304172344451e-05,5.58733439835485e-06,1.24251986061272e-06,1.62375217622605e-07,1.23530253525225e-08,5.46505407942842e-10,1.4644850336175e-11,3.57786633091946e-13,2.3295546301058e-14,2.33222511839859e-15,2.02271839036256e-16,1.6220337904328e-17,1.58905093380363e-18,2.12468687771969e-19,3.03738243266658e-20,3.84268801693134e-21,4.02345903716323e-22,3.38379643625134e-23,2.23554053474192e-24,1.14329437713218e-25,4.517929128957e-27,1.39413593127519e-28,3.41353834450588e-30,6.72911052150412e-32,1.07928231288832e-33,1.4201540322301e-35,1.55162031286879e-37,1.44987489405861e-39,1.24875451352887e-41,1.13711795713488e-43,1.21415182511958e-45,1.43155069445684e-47,1.64612481790696e-49,1.7178123503708e-51,1.58481940041857e-53,1.28256881868777e-55,9.0843116012502e-58,5.62680512475475e-60,3.0466283918686e-62,1.44177670954876e-64,5.96408101408796e-67,2.1574037419934e-69,6.82922218719546e-72,1.89364235079179e-74,4.60523209452437e-77,9.83667066960689e-80
"2",4.19455576005175e-06,4.19455972871992e-06,4.19456267044159e-06,4.19456169803489e-06,6.99161863026938e-12,2.59903039707766e-12,5.77976304345774e-13,7.5531209740643e-14,5.74619059788693e-15,2.54214991647716e-16,6.81226654262523e-18,1.66429690578005e-19,1.08362644216904e-20,1.08486865889587e-21,9.40897072999283e-23,7.54512765096578e-24,7.39170306448153e-25,9.88329207768816e-26,1.41288290752287e-26,1.78748259016523e-27,1.87157087681437e-28,1.57402245298398e-29,1.03989440929189e-30,5.3182011798854e-32,2.10158087932937e-33,6.48502739358014e-35,1.58785733704666e-36,3.13014427699797e-38,5.0204396913329e-40,6.60605439936658e-42,7.2175890511521e-44,6.74430533946135e-46,5.80876444428509e-48,5.28947065800574e-50,5.64780497312326e-52,6.659067642249e-54,7.65719059232226e-56,7.99065564503124e-58,7.37201946742094e-60,5.96605663533403e-62,4.22570054069547e-64,2.61739078333596e-66,1.41718380081167e-68,6.70663544859453e-71,2.77427960116589e-73,1.00354793617882e-75,3.17671268398476e-78,8.80855463447936e-81,2.142191131927e-83,4.57567137629676e-86
"3",3.69210894861638e-06,3.69211244189578e-06,3.69211503124196e-06,3.69211417531545e-06,6.15412434279144e-12,2.28770433287982e-12,5.08743144074196e-13,6.64836686733681e-14,5.05788048616902e-15,2.23763730708729e-16,5.99625602833236e-18,1.46493832732104e-19,9.53823745101505e-21,9.54917162320299e-22,8.28191279761352e-23,6.64133102816112e-24,6.50628447708385e-25,8.69941734220064e-26,1.2436400717076e-26,1.57336815724286e-27,1.64738388938972e-28,1.38547744181462e-29,9.1533017411011e-31,4.68115797954127e-32,1.84984203683999e-33,5.70821537286327e-35,1.3976551078591e-36,2.75519848982099e-38,4.41906398930083e-40,5.81474510250568e-42,6.35302679177293e-44,5.93643558947926e-46,5.11295889529074e-48,4.65586895657952e-50,4.97128002919937e-52,5.86140812944777e-54,6.739970457998e-56,7.03349124436668e-58,6.48895868884651e-60,5.25140976812217e-62,3.71952303723394e-64,2.30386541173588e-66,1.24742578049466e-68,5.90327800399968e-71,2.44196122959683e-73,8.83337480173493e-76,2.7961886785309e-78,7.75341782318713e-81,1.88558777145372e-83,4.02757245361894e-86
"4",1.75209154106892e-06,1.75209319880583e-06,1.75209442758093e-06,1.75209402140071e-06,2.92044177291463e-12,1.08563085918891e-12,2.41424229814031e-13,3.15498472886316e-14,2.40021888272698e-15,1.06187153529072e-16,2.84552531128903e-18,6.95186975034614e-20,4.52637378452578e-21,4.53156259960835e-22,3.93018449848479e-23,3.15164586902028e-24,3.08755948286917e-25,4.1283114202819e-26,5.90169813539712e-27,7.46642387225725e-28,7.81766577764346e-29,6.57478785141184e-30,4.34370241415673e-31,2.2214450907347e-32,8.77843159605474e-34,2.70883552153608e-35,6.63257700650841e-37,1.30748036831098e-38,2.09706829967674e-40,2.75938924050171e-42,3.01483099685369e-44,2.81713750194856e-46,2.42635636026644e-48,2.20944417639825e-50,2.3591226067988e-52,2.78153319560264e-54,3.19845524356429e-56,3.3377456312754e-58,3.07933752424458e-60,2.49205826844887e-62,1.76510090602575e-64,1.09330010458559e-66,5.91966322915538e-69,2.80140255862767e-71,1.1588335213126e-73,4.19188097767566e-76,1.32693227612436e-78,3.6793870309461e-81,8.94806309966861e-84,1.91128585998862e-86
"5",4.48268760217464e-07,4.482691843458e-07,4.48269498725201e-07,4.48269394804889e-07,7.47188592687943e-13,2.77756263240408e-13,6.1767857242874e-14,8.07195891174552e-15,6.14090712494483e-16,2.7167749257244e-17,7.28021381052243e-19,1.77862055785039e-20,1.15806275934209e-21,1.15939030624791e-22,1.00552904415419e-23,8.06341651240608e-25,7.89945290552028e-26,1.05621938054238e-26,1.50993646411773e-27,1.91026809617089e-28,2.00013256373623e-29,1.68214498487171e-30,1.11132669173194e-31,5.68351831724098e-33,2.24594238142178e-34,6.93049599526743e-36,1.69693021287033e-37,3.34515971325258e-39,5.36530303784203e-41,7.05983657133846e-43,7.71337867655184e-45,7.2075842258229e-47,6.20777928531539e-49,5.65281424233977e-51,6.03576320849947e-53,7.11649139254346e-55,8.18317726577742e-57,8.53954865360673e-59,7.87841720554221e-61,6.37587616972187e-63,4.51597177576787e-65,2.79718422776707e-67,1.51453279377143e-69,7.16732672004072e-72,2.96485003049736e-74,1.07248351173218e-76,3.39492699078905e-79,9.4136306469249e-82,2.2893422278547e-84,4.88998275943715e-87
"6",6.18379466367972e-08,6.18380051446116e-08,6.18380485127389e-08,6.18380341771008e-08,1.03073451515662e-13,3.83160249131887e-14,8.52077547898094e-15,1.11351360776689e-15,8.47128153453403e-17,3.74774683829482e-18,1.00429365834274e-19,2.45357814116038e-21,1.59752874769854e-22,1.59936007707068e-23,1.38711096762558e-24,1.11233519766701e-25,1.08971668468372e-26,1.45703746250454e-27,2.08293280236103e-28,2.63518377983078e-29,2.75915035174076e-30,2.32049165682192e-31,1.53305710230688e-32,7.84032111094042e-34,3.09824099864344e-35,9.56050654330625e-37,2.34088763845463e-38,4.61459343585144e-40,7.40134830683648e-42,9.73892976506216e-44,1.06404804733355e-45,9.94274525221073e-48,8.56353059249818e-50,7.79796533882835e-52,8.32623721132092e-54,9.81708416977e-56,1.1288559988769e-57,1.17801685240767e-59,1.08681484407346e-61,8.79541751146833e-64,6.2297096399879e-66,3.85867016309677e-68,2.08927336438709e-70,9.88721067752653e-73,4.08996241190354e-75,1.47947356704416e-77,4.68324658605235e-80,1.2985950422257e-82,3.15811038116437e-85,6.7456517109566e-88
"7",4.60246203975108e-09,4.60246639435872e-09,4.60246962215282e-09,4.60246855518288e-09,7.67152975976513e-15,2.85177726247738e-15,6.34182533931608e-16,8.28763629651921e-17,6.30498808761165e-18,2.78936534861993e-19,7.47473629167159e-21,1.82614411868811e-22,1.18900542766703e-23,1.19036844574508e-24,1.03239611284573e-25,8.27886564993901e-27,8.11052104429963e-28,1.08444086137911e-28,1.55028096429618e-29,1.96130919185824e-30,2.053574778354e-31,1.72709078243015e-32,1.14102060334901e-33,5.83537815453428e-35,2.30595247122446e-36,7.11567424850021e-38,1.74227106190795e-39,3.43454016061274e-41,5.50866037406884e-43,7.2484707189207e-45,7.91947503543037e-47,7.40016609267304e-49,6.37364702772435e-51,5.80385368712996e-53,6.19703479550275e-55,7.30663931934656e-57,8.40182633115538e-59,8.76771972594428e-61,8.08892328437951e-63,6.5462353493165e-65,4.63663554437206e-67,2.87192313384564e-69,1.55500010482765e-71,7.35883293305521e-74,3.04406885554532e-76,1.10113955935982e-78,3.48563718677451e-81,9.66515660999688e-84,2.35051193274965e-86,5.0206398532944e-89
"8",1.86057732575993e-10,1.86057908614039e-10,1.86058039099863e-10,1.8605799596686e-10,3.10126932099227e-16,1.15285081481522e-16,2.56372705051131e-17,3.35033467832417e-18,2.54883533501803e-19,1.12762036407439e-20,3.02171419127472e-22,7.38231475122545e-24,4.80663722984756e-25,4.81214732533281e-26,4.17353317023197e-27,3.34678908337555e-28,3.27873460438987e-29,4.38392768996888e-30,6.26711874169573e-31,7.92872897083869e-32,8.30171902854971e-33,6.9818847424808e-34,4.6126552364371e-35,2.35899224975433e-36,9.32197342462461e-38,2.8765608602324e-39,7.04325207924786e-41,1.3884367740692e-42,2.2269143121187e-44,2.93024475803999e-46,3.20150292508236e-48,2.99156866910946e-50,2.57659118961956e-52,2.34624826430643e-54,2.50519446502189e-56,2.9537598197806e-58,3.39649679491238e-60,3.54441174741167e-62,3.27000355956049e-64,2.64636122032745e-66,1.87439220294749e-68,1.16099492358824e-70,6.28619619588022e-73,2.97485945153792e-75,1.23058603020785e-77,4.45143333925892e-80,1.40909310267533e-82,3.9072068564962e-85,9.50210815044263e-88,2.02962861858855e-90
"9",4.44352677109532e-12,4.44353097532677e-12,4.44353409165654e-12,4.44353306153192e-12,7.4066114110991e-18,2.75329780051907e-18,6.12282522473249e-19,8.00144214870615e-20,6.08726006141154e-21,2.69304113622383e-22,7.21661374543718e-24,1.76308250001509e-25,1.14794590442767e-26,1.14926185386235e-27,9.96744726231976e-29,7.99297437590491e-30,7.83044315772924e-31,1.04699223102519e-31,1.49674563485202e-32,1.89357996332084e-33,1.9826593734504e-34,1.66744973919554e-35,1.10161812385678e-36,5.63386700969733e-38,2.22632179261026e-39,6.8699510706479e-41,1.68210580320427e-42,3.31593634412901e-44,5.31843166410358e-46,6.99816172536355e-48,7.64599447622151e-50,7.14461865395916e-52,6.15354802551223e-54,5.6034311660889e-56,5.98303468391343e-58,7.05432160913816e-60,8.11168889740624e-62,8.46494701905266e-64,7.80959122596492e-66,6.3201764128296e-68,4.47652017361205e-70,2.77274798130899e-72,1.50130181089584e-74,7.10471283839578e-77,2.93894905288664e-79,1.06311427850301e-81,3.36526885392749e-84,9.33139301800147e-87,2.26934249728586e-89,4.84726379130513e-92
"10",1.3466194235491e-13,1.34662069764961e-13,1.3466216420594e-13,1.34662132987813e-13,2.24458798217342e-19,8.34392249217857e-20,1.85553408347953e-20,2.4248525932018e-21,1.84475599161763e-22,8.16131350000128e-24,2.18700882035231e-25,5.34305578011537e-27,3.47887237259717e-28,3.48286038293316e-29,3.02065426362503e-30,2.42228641819808e-31,2.37303101666609e-32,3.17293030341301e-33,4.5359167342368e-34,5.73853087875663e-35,6.00848776232728e-36,5.05323883992062e-37,3.33847513324104e-38,1.70735434616967e-39,6.74691145893697e-41,2.08195202305172e-42,5.09765432672564e-44,1.00490095329297e-45,1.61176105166911e-47,2.12080651112842e-49,2.31713348527683e-51,2.16519056796434e-53,1.86484468796266e-55,1.69813070461499e-57,1.81317028841479e-59,2.13782587304767e-61,2.45826308464936e-63,2.56531864493763e-65,2.36671179822118e-67,1.91534174456549e-69,1.35661813830131e-71,8.40286664305805e-74,4.54972431428253e-76,2.15309703300472e-78,8.90654222043274e-81,3.22178848161107e-83,1.0198512662604e-85,2.82789678877388e-88,6.87728654052256e-91,1.46897271214791e-93
