"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-2.02132181624645e-35,-1.98999627968444e-29,-3.91522377101894e-30,4.02579607942063e-30,5.18415797201206e-33,-9.4783387701601e-34,-1.51525205855405e-33,-1.18285354543931e-33,-2.03751185864026e-34,-1.55021903332898e-35,-2.08580512665872e-37,1.71674595989913e-37,1.4039357158159e-36,-1.27140087515575e-36,-6.87168341989353e-37,1.49833702798141e-36,1.25867469116312e-32,1.53226601002923e-29,8.62317028092425e-27,2.09667549076984e-24,2.0193509889375e-22,7.23113936503249e-21,1.04125097603317e-19,7.17016204290668e-19,2.71776925029379e-18,6.12076316636045e-18,8.48966346581086e-18,7.3716758204379e-18,4.0377694396134e-18,1.40036144270106e-18,3.08113949917343e-19,4.30550371522363e-20,3.82334708748953e-21,2.15835015831672e-22,7.74723858179953e-24,1.76838780936506e-25,2.56721356118622e-27,2.37053062304683e-29,1.39241440307903e-31,5.20308654374011e-34,1.23691660727425e-36,1.87073770542547e-39,1.80003140035717e-42,1.10190897021486e-45,4.291600554964e-49,1.0634438996239e-52,1.67665884094235e-56,1.68196587895389e-60,1.07357514483447e-64,4.36000007242294e-69
"2",1.85951466294221e-37,1.83069674088081e-31,3.60180944587497e-32,-3.70353042228541e-32,-4.7691652494339e-35,8.71959614831437e-36,1.39395587495657e-35,1.08816591904304e-35,1.8744086897038e-36,1.42612373748598e-37,1.9188360734484e-39,-1.57932015541557e-39,-1.29155042428417e-38,1.16962502003759e-38,6.32160399976158e-39,-1.37839489544251e-38,-1.15791756922625e-34,-1.40960785673819e-31,-7.93288404129662e-29,-1.92883626307366e-26,-1.85770160069272e-24,-6.65228543568893e-23,-9.57898659270444e-22,-6.59618935851383e-21,-2.50021136208752e-20,-5.63079503954463e-20,-7.8100644693162e-20,-6.7815719240669e-20,-3.71454531296942e-20,-1.28826227233677e-20,-2.834493761079e-21,-3.96084741452885e-22,-3.51728750640336e-23,-1.98557386305093e-24,-7.12707082285377e-26,-1.62682806609636e-27,-2.36170768136004e-29,-2.18076924568832e-31,-1.28095139458075e-33,-4.78657858579329e-36,-1.13790122363314e-38,-1.72098483566429e-41,-1.65593858227693e-44,-1.01370097075737e-47,-3.94805720459977e-51,-9.7831503557372e-55,-1.54244201711217e-58,-1.54732422583317e-62,-9.87635272891455e-67,-4.01098132911611e-71
"3",3.82459131395176e-37,3.76531951760692e-31,7.40808846293617e-32,-7.61730497011364e-32,-9.80906918955139e-35,1.79341912998117e-35,2.86704463139618e-35,2.23810546109133e-35,3.8552248800738e-36,2.93320648000656e-37,3.94660172660124e-39,-3.2482960574208e-39,-2.65642031906981e-38,2.40564797974677e-38,1.30020764178735e-38,-2.83503929781526e-38,-2.38156846288471e-34,-2.89923713558078e-31,-1.63161065645614e-28,-3.96716980231522e-26,-3.82086226450178e-24,-1.36822116019283e-22,-1.97017585550797e-21,-1.35668349535015e-20,-5.14235614757323e-20,-1.15812422607147e-19,-1.60634951291472e-19,-1.39481239877329e-19,-7.63996005107306e-20,-2.64965735149144e-20,-5.8298976792796e-21,-8.1465464722534e-22,-7.23424639436651e-23,-4.08386591467831e-24,-1.46587352636824e-25,-3.34600883492922e-27,-4.85748613024165e-29,-4.48533764267063e-31,-2.6346205679047e-33,-9.84488439247196e-36,-2.34039947238514e-38,-3.53966751921702e-41,-3.4058824296621e-44,-2.08494829590038e-47,-8.12023997046924e-51,-2.01216761659918e-54,-3.17244626164304e-58,-3.18248783509194e-62,-2.03133718777803e-66,-8.24966033206102e-71
"4",8.33092470708972e-37,8.20181578222196e-31,1.61366855023296e-31,-1.65924118337726e-31,-2.13666272175759e-34,3.90651928890405e-35,6.24514647327063e-35,4.87515829857718e-35,8.3976523419984e-36,6.38926367011839e-37,8.59669416526838e-39,-7.07560825701608e-39,-5.78635358706798e-38,5.24010816996945e-38,2.83218024571649e-38,-6.17543078278227e-38,-5.18765690773153e-34,-6.31526986855114e-31,-3.55405961432688e-28,-8.64149662285849e-26,-8.3228018966646e-24,-2.9803308464966e-22,-4.29154002731962e-21,-2.95519890187566e-20,-1.12013489457537e-19,-2.52268672306557e-19,-3.4990344710937e-19,-3.03825327226638e-19,-1.66417603152737e-19,-5.77162213759616e-20,-1.26989878471308e-20,-1.7745233336585e-21,-1.57580136220439e-22,-8.89569019438091e-24,-3.19304233467805e-25,-7.28845133632071e-27,-1.05808301841702e-28,-9.77019689676457e-31,-5.73886822963194e-33,-2.14446417645974e-35,-5.09798046076905e-38,-7.71028880475567e-41,-7.41887112989261e-44,-4.54154335600735e-47,-1.76879311393878e-50,-4.38300867619012e-54,-6.91038826727036e-58,-6.93226134741839e-62,-4.42476483810358e-66,-1.79698413356622e-70
"5",9.99688249664617e-35,9.84195530710226e-29,1.93635826182465e-29,-1.99104417900964e-29,-2.56393700764061e-32,4.6877166311227e-33,7.49400548711002e-33,5.85005703171826e-33,1.00769538391339e-33,7.66694219381281e-35,1.03157985999628e-36,-8.49053698414699e-37,-6.9434665331615e-36,6.28798692662774e-36,3.39853907233798e-36,-7.41034855939927e-36,-6.22504684208382e-32,-7.57815164945482e-29,-4.26477463183233e-26,-1.03695603274825e-23,-9.98713534561342e-22,-3.57631575378438e-20,-5.14973101920581e-19,-3.54615810548948e-18,-1.34413133177565e-17,-3.02715528383952e-17,-4.19874596027381e-17,-3.64582108538922e-17,-1.99696586223569e-17,-6.92578919546454e-18,-1.52384391646305e-18,-2.12937961605201e-19,-1.89091866868106e-20,-1.0674585682441e-21,-3.83156373978852e-23,-8.74594287591095e-25,-1.26967077229854e-26,-1.17239698809104e-28,-6.88648539897895e-31,-2.57329854056791e-33,-6.1174375508562e-36,-9.25213633616852e-39,-8.90244307215755e-42,-5.44972819701425e-45,-2.12250350862911e-48,-5.25949090385668e-52,-8.29227750135759e-56,-8.31852460114155e-60,-5.30959715962497e-64,-2.15633196352276e-68
"6",8.95386658591551e-34,8.81510358793365e-28,1.73433003186042e-28,-1.78331034214886e-28,-2.29643090321481e-31,4.19862785440676e-32,6.71212503980247e-32,5.23969649533994e-32,9.02558375556627e-33,6.867018547868e-34,9.2395088591097e-36,-7.60468430276522e-36,-6.21902608163643e-35,5.63193536123828e-35,3.04395549822099e-35,-6.63719638379787e-35,-5.5755620748561e-31,-6.78749188657745e-28,-3.81981313526838e-25,-9.28766140424573e-23,-8.94513639528165e-21,-3.20318400653765e-19,-4.61243837914358e-18,-3.17617282985651e-17,-1.20389257578107e-16,-2.71131970946358e-16,-3.76067350687137e-16,-3.265437560724e-16,-1.78861419178277e-16,-6.20319309336376e-17,-1.36485500658297e-17,-1.90721267348037e-18,-1.69363133855653e-19,-9.56086220804992e-21,-3.43180091923733e-22,-7.83344264626666e-24,-1.13720079304838e-25,-1.05007598324959e-27,-6.16799002378982e-30,-2.30481570886785e-32,-5.47918010403867e-35,-8.28682285868085e-38,-7.97361453268543e-41,-4.88113561622216e-44,-1.90105397865569e-47,-4.71074656311785e-51,-7.42711004810288e-55,-7.45061867990001e-59,-4.75562502692089e-63,-1.93135297156943e-67
"7",-1.32335297632269e-32,-1.30284424697982e-26,-2.56328457383827e-27,2.63567591313226e-27,3.39405176694176e-30,-6.20543830342592e-31,-9.92030712501897e-31,-7.74410461179183e-31,-1.33395254568193e-31,-1.01492347988286e-32,-1.36556999494454e-34,1.12394813006138e-34,9.19152256289795e-34,-8.32382116847195e-34,-4.49886932054696e-34,9.80956495683487e-34,8.24050324587044e-30,1.00316969252117e-26,5.6455622082927e-24,1.37268678781965e-21,1.32206268194e-19,4.73420398672094e-18,6.81703708512491e-17,4.69428232750033e-16,1.77931490049087e-15,4.0072442143878e-15,5.55815572026114e-15,4.82621275793578e-15,2.64351483404052e-15,9.16812191028193e-16,2.01721224889775e-16,2.81879961434846e-17,2.50313320079809e-18,1.41306499687368e-19,5.07209250555895e-21,1.15775788496743e-22,1.68074656877772e-24,1.55197887355638e-26,9.11609289415871e-29,3.40644424276254e-31,8.09805376136982e-34,1.224766037004e-36,1.17847484353602e-39,7.21416304741807e-43,2.80969725946266e-46,6.96233345134939e-50,1.09770322053868e-53,1.10117772147741e-57,7.02866239212227e-62,2.85447820640579e-66
"8",-4.65848365201722e-31,-4.58628856720099e-25,-9.023306325932e-26,9.27813922137445e-26,1.19477833603654e-28,-2.18444613095139e-29,-3.49215888668707e-29,-2.72608936383625e-29,-4.6957963882727e-30,-3.57274629193855e-31,-4.80709652749756e-33,3.95653622524481e-33,3.23561123619421e-32,-2.93016190913723e-32,-1.5836975891774e-32,3.45317529052604e-32,2.90083223010952e-28,3.53137046307549e-25,1.98735784966903e-22,4.83214915053664e-20,4.65394154163881e-18,1.66654039187172e-16,2.3997418968668e-15,1.65248711960286e-14,6.26356650419938e-14,1.41063510615584e-13,1.9565889087394e-13,1.69892943426746e-13,9.30573388852218e-14,3.22737370927518e-14,7.1010157171004e-15,9.92277355830173e-16,8.81156071235222e-17,4.97428902564287e-18,1.78548432968528e-19,4.075553746138e-21,5.91658503356538e-23,5.46329538686551e-25,3.20905839012926e-27,1.19914075083078e-29,2.8506869849136e-32,4.31143667865811e-35,4.14848184207159e-38,2.53953867340597e-41,9.89073133510883e-45,2.45088930491776e-48,3.86414856741832e-52,3.87637954895656e-56,2.47423850137362e-60,1.00483697830429e-64
"9",-1.22860486891009e-29,-1.20956450312966e-23,-2.3797610797468e-24,2.44696941608248e-24,3.15104783138427e-27,-5.76114751673871e-28,-9.21004286305378e-28,-7.18964992834723e-28,-1.23844554086694e-28,-9.42258000144628e-30,-1.26779927551036e-31,1.04347681208455e-31,8.53343709163179e-31,-7.72786051680576e-31,-4.17676375895831e-31,9.10722950225058e-31,7.65050790778369e-27,9.31345748735451e-24,5.24135687223624e-21,1.2744065273425e-18,1.22740695573858e-16,4.39524916826167e-15,6.32895765844624e-14,4.35818578020801e-13,1.65192128568901e-12,3.7203375371471e-12,5.1602084268167e-12,4.48067038718023e-12,2.4542470937446e-12,8.51171185561833e-13,1.87278589685698e-13,2.61698200905842e-14,2.32391636476066e-15,1.31189377762966e-16,4.70894588170146e-18,1.07486588985703e-19,1.56041015114678e-21,1.44086183702512e-23,8.46340796113417e-26,3.16255304307282e-28,7.51825737949492e-31,1.13707645901112e-33,1.09409957627462e-36,6.69765059190665e-40,2.60853135550542e-43,6.46385124025869e-47,1.01911095943555e-50,1.0223366965191e-54,6.52543122764018e-59,2.6501061208425e-63
"10",-2.85485460708819e-28,-2.81061135415599e-22,-5.52974520466553e-23,5.68591423303091e-23,7.32194999891453e-26,-1.33869227987569e-26,-2.14009678493248e-26,-1.67062704541466e-26,-2.87772093977477e-27,-2.18948309651819e-28,-2.94592891021555e-30,2.42468075762386e-30,1.98287690467593e-29,-1.79568865121861e-29,-9.70536057744836e-30,2.11620650057933e-29,1.77771456875931e-25,2.16412678221608e-22,1.21791083469912e-19,2.961281888061e-17,2.85207106941621e-15,1.02130454264304e-13,1.47063180250212e-12,1.01269228765229e-11,3.83849617752201e-11,8.64478322250956e-11,1.19905473058247e-10,1.04115349217464e-10,5.70282504962326e-11,1.97782870800241e-11,4.35170947228534e-12,6.08096494998838e-13,5.39998131890043e-14,3.04838934782899e-15,1.09419685572548e-16,2.49761816456292e-18,3.62585581554827e-20,3.3480667037058e-22,1.96660454641897e-24,7.34868414870162e-27,1.74698410044283e-29,2.64217410313467e-32,2.54231062807989e-35,1.55630334315164e-38,6.06132854137632e-42,1.50197642543574e-45,2.36806290720598e-49,2.37555840930537e-53,1.516285493805e-57,6.15793397845753e-62
