"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",3.31878807348432e-17,5.20322986532206e-17,2.52091559325549e-16,2.21215101983285e-15,1.92579504701766e-14,1.50776355704324e-13,1.04356198246035e-12,6.37030335391268e-12,3.42231600232259e-11,1.61483275471874e-10,6.68064889358965e-10,2.41981961595125e-09,7.66676514965256e-09,2.12395396264653e-08,5.14640500923407e-08,1.0917271410012e-07,2.03097138934619e-07,3.32110265059123e-07,4.78738856232692e-07,6.10361502577045e-07,6.90726058155869e-07,6.96428547840862e-07,6.27957998020392e-07,5.08234798657273e-07,3.70515402168956e-07,2.44114520761002e-07,1.45800662959017e-07,7.91637903120179e-08,3.91747849010777e-08,1.77094013899408e-08,7.32860003410281e-09,2.78141916873761e-09,9.69755684267203e-10,3.11066194697217e-10,9.19203993168983e-11,2.5052495694966e-11,6.30413988912676e-12,1.46602997912142e-12,3.15329652787815e-13,6.27792301909702e-14,1.15767494642247e-14,1.97850442811824e-15,3.13545774556065e-16,4.60987094858627e-17,6.29056614889861e-18,7.97024699397544e-19,9.37916006162118e-20,1.02492092014588e-20,1.03616084146654e-21,9.4730973619902e-23
"2",3.06225470282065e-19,4.80103422458398e-19,2.32605561425795e-18,2.04115770993494e-17,1.77693628180577e-16,1.39121749899801e-15,9.62897454647956e-15,5.87789607892402e-14,3.15778020186990e-13,1.49001053635058e-12,6.16425274507218e-12,2.23277408344567e-11,7.07414487310016e-11,1.95977804749081e-10,4.7486017766724e-10,1.00733957628634e-09,1.87398277642658e-09,3.06439036935727e-09,4.41733633320672e-09,5.63182203955835e-09,6.37334796050386e-09,6.42596498656579e-09,5.79418537741372e-09,4.68949618916574e-09,3.41875560486804e-09,2.25245126436278e-09,1.34530664789292e-09,7.30446427456195e-10,3.61466796430198e-10,1.63405124068525e-10,6.76211900929292e-11,2.56642296567012e-11,8.94796184324162e-12,2.87021616478211e-12,8.48152002661023e-13,2.31160053190019e-13,5.81684687159007e-14,1.35270981413627e-14,2.90955520752643e-15,5.79265649493323e-16,1.06818979414312e-16,1.82557136985119e-17,2.8930953149889e-18,4.25354035242266e-19,5.8043223448869e-20,7.35416838904065e-21,8.65417627497172e-22,9.45697296194298e-23,9.56068401899573e-24,8.74085247527616e-25
"3",3.67847192075968e-19,5.76714587766695e-19,2.79412756074536e-18,2.45189967866547e-17,2.13450899808592e-16,1.67117206188625e-15,1.15666121640075e-14,7.0607045388973e-14,3.79322000675186e-13,1.78984521259879e-12,7.40468472930344e-12,2.68207499650164e-11,8.49767436233046e-11,2.35414399461153e-10,5.70416245332873e-10,1.21004642188194e-09,2.25108414944155e-09,3.68103734726708e-09,5.30623649668507e-09,6.76511304436852e-09,7.65585615473131e-09,7.71906129986323e-09,6.96014874101115e-09,5.63316305415956e-09,4.10671146487692e-09,2.70571181463327e-09,1.61602257464972e-09,8.77434091469235e-10,4.34204724946849e-10,1.96287121394789e-10,8.12285956410074e-11,3.0828640110552e-11,1.07485593403042e-11,3.44778948626857e-12,1.01882554819849e-12,2.77676368356156e-13,6.9873704054708e-14,1.62491547932084e-14,3.49504472078294e-15,6.95831220165686e-16,1.283141523198e-16,2.19293092019905e-17,3.47527260566063e-18,5.10947986651564e-19,6.97232556946942e-20,8.83404698332462e-21,1.03956553305202e-21,1.13599987172354e-22,1.14845795402771e-23,1.04997733742363e-24
"4",1.26735881727533e-18,1.98697810830776e-18,9.62672076064488e-18,8.44762918888746e-17,7.35411023259639e-16,5.75775673551515e-15,3.98509169781339e-14,2.43265310876681e-13,1.30689343971649e-12,6.16662614425137e-12,2.55116599582162e-11,9.24066152639833e-11,2.92773813731053e-10,8.11082757453952e-10,1.96527817423276e-09,4.16902190670474e-09,7.75575131924428e-09,1.26824269405196e-08,1.8281791340229e-08,2.33081177492695e-08,2.63770310349046e-08,2.65947942792781e-08,2.39800821278162e-08,1.94081646390938e-08,1.41490192045358e-08,9.32209841246614e-09,5.56774797529331e-09,3.02305918423824e-09,1.49598311069982e-09,6.76275962889242e-10,2.79860167803763e-10,1.0621516137779e-10,3.70324464788311e-11,1.18788086457086e-11,3.51020089208148e-12,9.56689629188441e-13,2.40738700300131e-13,5.59838705964388e-14,1.20416190175541e-14,2.39737546244559e-15,4.42085941735622e-16,7.5553936451308e-17,1.19734973491651e-17,1.76038977597579e-18,2.40220354476878e-19,3.04362995768874e-20,3.58165720122424e-21,3.91390633085257e-22,3.95682866598155e-23,3.61752941218127e-24
"5",4.95685478972158e-18,7.77140760689367e-18,3.76517338746286e-17,3.30401072182162e-16,2.87631695410113e-15,2.25195608879326e-14,1.55863679650359e-13,9.51451794831536e-13,5.11148138791626e-12,2.41187183320903e-11,9.9780419036734e-11,3.61417908827099e-10,1.14508792704643e-09,3.17228191128195e-09,7.68653549278508e-09,1.63057501356493e-08,3.03340557943454e-08,4.96031178135965e-08,7.15031794739293e-08,9.11619925864779e-08,1.03165031750907e-07,1.04016740648328e-07,9.3790158977021e-08,7.59086160443679e-08,5.53392083266894e-08,3.64603043244146e-08,2.17764044744872e-08,1.18236960146921e-08,5.85104308782665e-09,2.64502972648894e-09,1.09458047264999e-09,4.15425469282999e-10,1.44840164601801e-10,4.64600306788059e-11,1.37289896654572e-11,3.7417750254145e-12,9.41569793327766e-13,2.18962391179564e-13,4.70968095929524e-14,9.37654110406742e-15,1.72907292543397e-15,2.95504230274846e-16,4.68303742207158e-17,6.88518229713537e-18,9.39542455101445e-19,1.1904151790528e-19,1.40084673819508e-20,1.53079499492632e-21,1.54758264650297e-22,1.41487696690983e-23
"6",1.86131528268455e-17,2.9181891260314e-17,1.4138349952421e-16,1.24066689696706e-15,1.08006647998132e-14,8.45616920773434e-14,5.85273245345477e-13,3.57273279445222e-12,1.91937807906222e-11,9.0566580895958e-11,3.74678756478507e-10,1.35713613909105e-09,4.29984284197442e-09,1.19120229519261e-08,2.88631936793567e-08,6.12286282544591e-08,1.13905377565019e-07,1.86261339441891e-07,2.68496791536708e-07,3.42316281592582e-07,3.87388088581442e-07,3.90586283514355e-07,3.52185132861534e-07,2.85039350807272e-07,2.07800548048567e-07,1.369096423625e-07,8.17711152933732e-08,4.43983675608114e-08,2.19708593069947e-08,9.93217365027015e-09,4.11018568890929e-09,1.55993630557065e-09,5.43879583640214e-10,1.74458943836262e-10,5.15528079077924e-11,1.40504883330717e-11,3.53562555366594e-12,8.22210983224239e-13,1.76850069610311e-13,3.5209220354629e-14,6.49272572531241e-15,1.10962810742213e-15,1.75849596021252e-16,2.58540860634068e-17,3.52801283192222e-18,4.47004816462475e-19,5.26022559286582e-20,5.74818557247554e-21,5.81122375649656e-22,5.31290956331514e-23
"7",6.65329130028595e-17,1.04310981086509e-16,5.05376824732077e-16,4.43477703585948e-15,3.86070913500796e-14,3.02266668881694e-13,2.09206544843436e-12,1.27707714220728e-11,6.86083738428557e-11,3.23731207913712e-10,1.33929320522475e-09,4.85109758218667e-09,1.53698340303982e-08,4.2579652900367e-08,1.03171793189364e-07,2.18862383758161e-07,4.07155985156957e-07,6.65793141450483e-07,9.59744640741029e-07,1.22361319409644e-06,1.38472284817645e-06,1.39615483002376e-06,1.25888950805698e-06,1.01887619502589e-06,7.42785271999778e-07,4.89384974662595e-07,2.92291722448766e-07,1.58702437672569e-07,7.85350705745041e-08,3.55026604869235e-08,1.46919025169873e-08,5.57600893701595e-09,1.94410336384147e-09,6.23605352666948e-10,1.84276060885037e-10,5.02236201791496e-11,1.26381311947037e-11,2.93900191578263e-12,6.32152457210906e-13,1.25855733122998e-13,2.32083172502941e-14,3.9663774871157e-15,6.28576253712134e-16,9.24157059702501e-17,1.2610919439758e-17,1.59782347688365e-18,1.88027324011861e-19,2.05469505448971e-20,2.0772281205014e-21,1.89910518146223e-22
"8",2.26058839379892e-16,3.54417359089336e-16,1.71711854016551e-15,1.50680393265196e-14,1.31175291574223e-13,1.0270112830876e-12,7.10820954374146e-12,4.33912425499181e-11,2.33110631455309e-10,1.09994133473277e-09,4.55051573571522e-09,1.64825714019254e-08,5.22220760456416e-08,1.44672861617256e-07,3.50546741041196e-07,7.43628592575828e-07,1.38339365130762e-06,2.26216496513417e-06,3.26092380139231e-06,4.1574698299393e-06,4.70487200685373e-06,4.74371444485285e-06,4.27732814113602e-06,3.46183504860903e-06,2.52376108182022e-06,1.6627830405897e-06,9.93119413458988e-07,5.39223179142611e-07,2.66838563102255e-07,1.20627368656282e-07,4.99186685412364e-08,1.89456022858876e-08,6.60547885594097e-09,2.11882353999621e-09,6.26114663691028e-10,1.70644764744739e-10,4.29405709273956e-11,9.98584508074293e-12,2.14786403207842e-12,4.27619950412627e-13,7.88548858718441e-14,1.34765584552321e-14,2.13571316755391e-15,3.14000789822779e-16,4.28481135636207e-17,5.42892388768155e-18,6.38860328210813e-19,6.98123617821433e-20,7.05779676334989e-21,6.45258855813573e-22
"9",7.29282213203715e-16,1.14337610837737e-15,5.5395489631821e-15,4.86105878400004e-14,4.23181005526301e-13,3.31321289435023e-12,2.29315995879462e-11,1.39983295885568e-10,7.52031805946558e-10,3.54849053099894e-09,1.46802938388257e-08,5.31739709195091e-08,1.68472205294556e-07,4.66725145542493e-07,1.1308892137956e-06,2.39899977936232e-06,4.46292826471678e-06,7.29790826552256e-06,1.05199767170865e-05,1.34122992368839e-05,1.51782583658778e-05,1.53035668883312e-05,1.37989708428259e-05,1.11681309738704e-05,8.14183631304162e-06,5.3642587002803e-06,3.20387526455366e-06,1.73957308891167e-06,8.60840559922916e-07,3.89152641090747e-07,1.61041245605783e-07,6.11198872091458e-08,2.13097539231171e-08,6.83547843063912e-09,2.01989132081029e-09,5.50512388925144e-10,1.38529396541472e-10,3.22150605619777e-11,6.92916516457233e-12,1.37953297779659e-12,2.5439158162669e-13,4.34763551098507e-14,6.8899655942433e-15,1.0129893242743e-15,1.38231122379463e-16,1.75141022531282e-17,2.06100975906839e-18,2.2521974300638e-19,2.27689643016704e-20,2.08165187323737e-21
"10",2.23190305638068e-15,3.49920042567563e-15,1.69532946752986e-14,1.48768361010681e-13,1.29510765864869e-12,1.01397920468335e-11,7.01801117336977e-11,4.28406370363467e-10,2.30152615242619e-09,1.08598382331068e-08,4.49277276947506e-08,1.62734187213748e-07,5.15594132291113e-07,1.42837060875229e-06,3.46098540043962e-06,7.34192448804407e-06,1.36583932174508e-05,2.23345962209224e-05,3.21954488438349e-05,4.10471435034596e-05,4.64517036395559e-05,4.6835199176936e-05,4.22305174065833e-05,3.41790670379045e-05,2.49173626102859e-05,1.64168344868544e-05,9.80517399952315e-06,5.32380801786399e-06,2.63452562254075e-06,1.19096688953037e-06,4.92852344076706e-07,1.87051954096719e-07,6.52165979789771e-08,2.09193710266811e-08,6.1816969217841e-09,1.68479398122143e-09,4.23956841318324e-10,9.85913146214116e-11,2.12060909055183e-11,4.22193742528871e-12,7.78542707158449e-13,1.33055500453927e-13,2.10861241227802e-14,3.10016332222992e-15,4.23043999894559e-16,5.36003451624033e-17,6.30753622837943e-18,6.89264901395308e-19,6.96823809705688e-20,6.37070957454059e-21
