"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",6.81997767257119e-18,7.96806490264847e-18,8.54402326939608e-18,9.39906725031566e-18,3.59449890093227e-18,4.00729149279822e-18,1.43938258016755e-17,8.13068216514874e-17,4.60735334132868e-16,2.46491691772191e-15,1.23477180301095e-14,5.79425378989838e-14,2.55041014994974e-13,1.05453512623585e-12,4.10202211228485e-12,1.50340100554714e-11,5.19930300815589e-11,1.69924516094992e-10,5.2558545772759e-10,1.54073184630884e-09,4.28654875475932e-09,1.13334827507108e-08,2.85132396811202e-08,6.83411879005078e-08,1.56231051454912e-07,3.4100964169837e-07,7.1140095585848e-07,1.41975117028373e-06,2.71286536888167e-06,4.96702699909474e-06,8.71999012165766e-06,1.46875436384032e-05,2.37476378165988e-05,3.68734282485128e-05,5.50007020597656e-05,7.88270763926408e-05,0.000108560059162178,0.000143655202435075,0.000182607324141119,0.00022286814757948,0.00026095454429838,0.000292779249211521,0.000314184397201578,0.000321599654424467,0.00031269871545501,0.000286907938375725,0.000245639502518766,0.000192182703218916,0.000131155813677819,6.91380946813179e-05
"2",4.07659954005281e-19,4.76286159233149e-19,5.10713714948118e-19,5.61823440913358e-19,2.14858952180944e-19,2.395333744581e-19,8.60382049030794e-19,4.86006505682074e-18,2.7540170091261e-17,1.47338886657457e-16,7.3807722046792e-16,3.46347942308493e-15,1.52449191821347e-14,6.30341859896716e-14,2.45195838741249e-13,8.98648667484242e-13,3.10785126715123e-12,1.01571330202813e-11,3.14165461838376e-11,9.20962947029612e-11,2.56225804848972e-10,6.7745193293757e-10,1.70436129486107e-09,4.08505230570407e-09,9.33861462720809e-09,2.03836407572438e-08,4.25235528425483e-08,8.48647494997744e-08,1.62159852216037e-07,2.9690097170517e-07,5.21232024881582e-07,8.77938851348855e-07,1.41950038619392e-06,2.20408640401584e-06,3.28763300239501e-06,4.71183981522914e-06,6.48911050000245e-06,8.58690101770133e-06,1.09152400395368e-05,1.33218058992912e-05,1.55983967446099e-05,1.75006988288675e-05,1.87801783321799e-05,1.92234207537171e-05,1.86913726231952e-05,1.71497448492236e-05,1.46829495793536e-05,1.14876024110643e-05,7.83975777317572e-06,4.1326869164328e-06
"3",2.34247625626357e-19,2.73681289572085e-19,2.93463888042e-19,3.22832315909742e-19,1.23461230121959e-19,1.37639529401389e-19,4.94388644596649e-19,2.79266748858814e-18,1.58250016707315e-17,8.46631709169379e-17,4.24110425183612e-16,1.99016808811414e-15,8.75996301867439e-15,3.62204044235835e-14,1.4089326772052e-13,5.1637722705465e-13,1.78581872704771e-12,5.83644351081179e-12,1.80524264810406e-11,5.29199352332616e-11,1.47231254432454e-10,3.89274210545969e-10,9.79351988362084e-10,2.34733334429572e-09,5.36611036127115e-09,1.17127507916638e-08,2.44346818682976e-08,4.87645790919169e-08,9.31795237190151e-08,1.70603825528551e-07,2.99507869314402e-07,5.04477050917138e-07,8.15666566643716e-07,1.26650165595946e-06,1.88912405345536e-06,2.70749500461078e-06,3.72874184014882e-06,4.9341642590163e-06,6.27206336379587e-06,7.65491280245724e-06,8.96307661594698e-06,1.00561684001247e-05,1.0791376832407e-05,1.10460706864436e-05,1.07403477179028e-05,9.85450489202685e-06,8.43704671592674e-06,6.60095150993558e-06,4.50484435816915e-06,2.37470491795952e-06
"4",4.16349869054822e-19,4.86438950112762e-19,5.21600383491178e-19,5.7379959389677e-19,2.19439009711102e-19,2.44639406225802e-19,8.78722449756372e-19,4.96366501081198e-18,2.81272322645052e-17,1.50479647470403e-16,7.5381050082291e-16,3.53730895102049e-15,1.55698886850949e-14,6.43778591076353e-14,2.50422574868328e-13,9.17804781552097e-13,3.17410001989922e-12,1.03736483346405e-11,3.2086239428919e-11,9.40594725169289e-11,2.61687662104662e-10,6.91892889645569e-10,1.74069244468472e-09,4.17213164023454e-09,9.53768193071318e-09,2.08181502174949e-08,4.34300094571257e-08,8.66737755191515e-08,1.65616545291623e-07,3.03229884312099e-07,5.32342907794704e-07,8.96653503013694e-07,1.44975927634887e-06,2.25106998291429e-06,3.35771408645585e-06,4.81228011435368e-06,6.62743612761948e-06,8.76994435970612e-06,1.11479156010115e-05,1.36057812086978e-05,1.59309011794653e-05,1.78737538337466e-05,1.91805074611965e-05,1.96331982942141e-05,1.90898087184237e-05,1.75153187163568e-05,1.49959398136596e-05,1.17324787794548e-05,8.00687457822004e-06,4.22078165783997e-06
"5",8.90846784004823e-19,1.04081352374721e-18,1.11604700446685e-18,1.22773551976044e-18,4.69524672915409e-19,5.23444930514458e-19,1.88016648155888e-18,1.06205509846741e-17,6.01826883305487e-17,3.21975146315074e-16,1.61289749395534e-15,7.5686352687027e-15,3.33142539324386e-14,1.37746671753128e-13,5.35818939898074e-13,1.96378934823749e-12,6.79149197586163e-12,2.21960710070373e-11,6.8653614016863e-11,2.01255205837144e-10,5.59922386258714e-10,1.4804149140621e-09,3.72448842078221e-09,8.92693940936082e-09,2.04073878878006e-08,4.45437444529198e-08,9.29254147287486e-08,1.85452332083297e-07,3.54362947407591e-07,6.48808579829333e-07,1.13903234429562e-06,1.91853282274296e-06,3.10199062112949e-06,4.81652236231383e-06,7.18436348333047e-06,1.02966389141289e-05,1.41804539866681e-05,1.87646912114597e-05,2.38527390054507e-05,2.91117335071041e-05,3.4086697599409e-05,3.82437399512919e-05,4.10397472351252e-05,4.20083512931923e-05,4.08456828452508e-05,3.74768109924191e-05,3.20861990096351e-05,2.51035049267805e-05,1.71319820134208e-05,9.0310338619998e-06
"6",1.85710228075656e-18,2.16973019771573e-18,2.32656554936352e-18,2.5593968287824e-18,9.78793835930784e-19,1.09119861211016e-18,3.91948595852609e-18,2.21401141146431e-17,1.25459742087499e-16,6.71204958366233e-16,3.36232410379872e-15,1.57779430448572e-14,6.94485045806708e-14,2.87153372355862e-13,1.11699407038763e-12,4.09381022979316e-12,1.41578725596479e-11,4.62710028605551e-11,1.4311864336506e-10,4.19546333314559e-10,1.16724128013699e-09,3.08614451186688e-09,7.76424865092018e-09,1.86095295341043e-08,4.25422275425907e-08,9.28580434955096e-08,1.93716812735414e-07,3.86602898576159e-07,7.38722134560336e-07,1.35253773713904e-06,2.37448190017312e-06,3.99946628847344e-06,6.46655963833377e-06,1.00407554081932e-05,1.49768715005036e-05,2.14648713503712e-05,2.9561260043413e-05,3.9117782622321e-05,4.97245730743679e-05,6.06877272989374e-05,7.10587779985508e-05,7.97247494893807e-05,8.55534414676756e-05,8.75726403217141e-05,8.51488854570122e-05,7.81259722986518e-05,6.6888441908861e-05,5.23319801918432e-05,3.57141580822407e-05,1.88265298633202e-05
"7",3.7270026019145e-18,4.35441288082669e-18,4.66916439974969e-18,5.13643149278655e-18,1.96433293472978e-18,2.18991711371074e-18,7.86598267470921e-18,4.44328046801722e-17,2.51784077829651e-16,1.3470354606585e-15,6.74781933832559e-15,3.16646182552128e-14,1.39375606800604e-13,5.76285634350106e-13,2.24168579716664e-12,8.21583255606554e-12,2.84133127260419e-11,9.28608778533335e-11,2.87223574991653e-10,8.41983929528124e-10,2.34252649044205e-09,6.19355688956787e-09,1.55820038690071e-08,3.73473048375967e-08,8.53776307236458e-08,1.86356009199162e-07,3.88768606113253e-07,7.75870033563277e-07,1.48253510112355e-06,2.71439635702303e-06,4.76532731225705e-06,8.02649451129708e-06,1.29776829457594e-05,2.01507057092612e-05,3.00569546595873e-05,4.30776657815544e-05,5.93262386457183e-05,7.85051416527917e-05,9.97918182254121e-05,0.000121793678189482,0.000142607250679576,0.000159998914363971,0.000171696466186487,0.000175748779007792,0.000170884566206617,0.000156790342164436,0.00013423783903317,0.000105024601153836,7.16744368239486e-05,3.77828009327684e-05
"8",7.20198293314588e-18,8.4143776115088e-18,9.02259695278342e-18,9.92553424280395e-18,3.79583643533631e-18,4.23175064859015e-18,1.52000626311816e-17,8.586103503497e-17,4.86542357237834e-16,2.60298353240253e-15,1.30393468696826e-14,6.11880550181205e-14,2.69326547011042e-13,1.11360247000488e-12,4.33178738441891e-12,1.58761053238797e-11,5.49052992938546e-11,1.79442444476189e-10,5.55024910372866e-10,1.62703237377127e-09,4.52664985957871e-09,1.19683015491383e-08,3.01103427915924e-08,7.21691613258335e-08,1.64981972115681e-07,3.60110507315479e-07,7.5124843345489e-07,1.49927524525786e-06,2.86482024203494e-06,5.24524351741295e-06,9.20842018089812e-06,1.55102323925549e-05,2.50778067713519e-05,3.89388079671306e-05,5.80814390549368e-05,8.32423925862434e-05,0.000114640799551555,0.000151701716027022,0.000192835650653378,0.000235351590909845,0.000275571308968119,0.000309178601050416,0.00033178270885063,0.000339613314539989,0.000330213810080492,0.000302978422330674,0.000259398430578679,0.000202947372422504,0.000138502202945541,7.30107049950724e-05
"9",1.3413676245989e-17,1.56717584781857e-17,1.68045655684189e-17,1.84862841438718e-17,7.06973641828524e-18,7.88162561350969e-18,2.83100808410782e-17,1.59915975474484e-16,9.06183994120891e-16,4.84805069678733e-15,2.42857528256697e-14,1.13962608319639e-13,5.01620059307503e-13,2.07408197687222e-12,8.06794379831638e-12,2.95692087635542e-11,1.02260990584602e-10,3.34211130092343e-10,1.03373258799833e-09,3.03034396305876e-09,8.43087469922924e-09,2.22909334394084e-08,5.60804425130382e-08,1.34414892947605e-07,3.07278534388011e-07,6.70704971498556e-07,1.39919843745986e-06,2.79239661218277e-06,5.33572095162227e-06,9.76925369402631e-06,1.71506608930056e-05,2.88877712909138e-05,4.67073560313824e-05,7.25234381036887e-05,0.000108176543407019,0.000155038760082933,0.000213518219085,0.00028254408870955,0.000359155945044594,0.000438341783609885,0.000513250913740659,0.000575844416069248,0.00061794451359462,0.000632528998243097,0.000615022443331373,0.000564296597810594,0.00048312896584166,0.000377989003017607,0.000257960026691738,0.000135982266048988
"10",2.41065495428191e-17,2.81646891761269e-17,3.0200527058477e-17,3.32228478162452e-17,1.27054618060449e-17,1.41645582348715e-17,5.08778021655871e-17,2.87394918049898e-16,1.62855946040274e-15,8.71273259954735e-15,4.36454326867868e-14,2.04809271754099e-13,9.01492520738603e-13,3.72746136215186e-12,1.44994022008658e-11,5.31406590504021e-11,1.83779568748918e-10,6.00631550783235e-10,1.85778494945111e-09,5.44601908810067e-09,1.5151647833087e-08,4.00604190423534e-08,1.0078564153716e-07,2.41565340978248e-07,5.52229312593138e-07,1.20536550365003e-06,2.51458629493515e-06,5.01838914554933e-06,9.58915506145468e-06,1.75569317353872e-05,3.08225164322836e-05,5.19160055032844e-05,8.39406864707425e-05,0.000130336368762808,0.000194410775628493,0.0002786297717685,0.000383726834633137,0.000507777506151166,0.000645461424894943,0.000787771206751699,0.000922395050624998,0.00103488571591848,0.00111054641237046,0.00113675709431085,0.00110529497866379,0.00101413241549147,0.000868261029791554,0.000679307481467612,0.000463595963513044,0.000244382164392476
