"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",6.31755072038993e-13,1.39777534406996e-12,1.0080404912312e-11,1.061188842855e-10,1.07932185163096e-09,1.00247701493954e-08,8.42067652024529e-08,6.39279139396038e-07,4.38587364074779e-06,2.71911671346402e-05,0.000152332843617348,0.00077115436653077,0.00352743559182476,0.0145792279955219,0.0544446265279517,0.183699384624487,0.559988892319278,1.54225694282509,3.83730193300724,8.62527928706485,17.5139493474897,32.1250825927563,53.2278485095575,79.6623421556814,107.68903576084,131.485749420194,144.996980037401,144.409702959222,129.889727027029,105.50618342094,77.3907732188443,51.261573847851,30.6598003809932,16.5578661771944,8.07383691827005,3.55450342420433,1.41281071259688,0.506964745726082,0.164226372798874,0.0480244072753003,0.0126770358802202,0.00302059625001487,0.000649635293185821,0.000126104706384541,2.20932910189573e-05,3.49331901740063e-06,4.98463856880743e-07,6.41653149266582e-08,7.43326215955794e-09,7.64702498876832e-10
"2",3.03367028086534e-14,6.71207831691086e-14,4.84058239578052e-13,5.09579930172116e-12,5.18287350541336e-11,4.81386673740071e-10,4.04358543917983e-09,3.06980064299861e-08,2.10608432103669e-07,1.30571228137776e-06,7.31498077237651e-06,3.70306181500597e-05,0.000169386475806956,0.000700090472486859,0.00261441581968756,0.00882119334554644,0.0268905108234547,0.074058749347373,0.184266171307489,0.414183511861335,0.841014975385605,1.54263752908935,2.55598647774498,3.82536350870644,5.17119753875978,6.31390910857193,6.96271464406289,6.93451376214584,6.23726855725647,5.06637757665486,3.71628340029705,2.46156651549624,1.47227508491364,0.795104127524913,0.387703402719931,0.170686265587706,0.0678427773830173,0.0243443060550647,0.00788610473496138,0.00230611867724364,0.000608747736289074,0.00014504819161306,3.11953060539486e-05,6.05551291897534e-06,1.06091368850274e-06,1.67748207394145e-07,2.39360957376104e-08,3.08120057235336e-09,3.56943181010821e-10,3.67208012601904e-11
"3",2.13883951801252e-14,4.73224082483641e-14,3.41277329431394e-13,3.59270979154429e-12,3.65410003195078e-11,3.39393785716941e-10,2.85086365065054e-09,2.16431263775733e-08,1.48486023761782e-07,9.2057104695255e-07,5.15730732114955e-06,2.61078304967233e-05,0.000119423158989265,0.000493587315069662,0.00184325103058656,0.00621923781318188,0.0189587139945685,0.0522139076081671,0.129913844464634,0.292013297709314,0.592943826473443,1.08761131029847,1.80205638054614,2.69700985462749,3.64586808299865,4.45151814939519,4.90894786005494,4.88906529039421,4.39748398461805,3.57196648642744,2.62010471171639,1.73548713344614,1.03800342207931,0.560575135541778,0.273343930695321,0.120339554474203,0.0478314384373812,0.0171635540479078,0.00555996891181918,0.00162589118244864,0.000429187615769616,0.000102263850555892,2.1993739328075e-05,4.26934015032292e-06,7.47979810621615e-07,1.18268124691526e-07,1.68757520530309e-08,2.17234997113541e-09,2.51656940454739e-10,2.58893991755676e-11
"4",1.92608123012744e-14,4.2615073044984e-14,3.07329209578396e-13,3.23532964325378e-12,3.29061316909298e-11,3.0563302893278e-10,2.5672776853651e-09,1.94902044431348e-08,1.33715569071579e-07,8.28998435647799e-07,4.64429086222205e-06,2.35107879088632e-05,0.000107543695090078,0.000444488356876857,0.00165989602423507,0.00560058719543366,0.0170728205013833,0.0470199968481741,0.116990833229762,0.262965653537281,0.533961508132072,0.979422585377877,1.6227991585954,2.42872829621822,3.28320008258951,4.00870915321825,4.42063663650277,4.40273185967977,3.96004996692288,3.21664975151814,2.35947319268479,1.56285180103854,0.934749377518893,0.504812650762347,0.246153397600741,0.108368933322329,0.0430734681159452,0.0154562317628543,0.00500689821324141,0.00146415776516698,0.000386494734165541,9.20912866147576e-05,1.98059406249819e-05,3.84465307439597e-06,6.7357548877313e-07,1.06503556331516e-07,1.51970584982604e-08,1.95625827437479e-09,2.26623692595498e-10,2.33140847601665e-11
"5",1.82452746664354e-14,4.03681683032908e-14,2.91125096598615e-13,3.06474498864826e-12,3.11711365813571e-11,2.89518348073212e-10,2.43191646239123e-09,1.84625719729611e-08,1.26665337200147e-07,7.85289006499407e-07,4.39941790027467e-06,2.22711678153436e-05,0.000101873390637425,0.000421052447342224,0.00157237703198473,0.00530529294796393,0.0161726460185626,0.0445408399132314,0.110822422873147,0.249100635091539,0.505808074176036,0.927781954634761,1.53723612036208,2.30067217111674,3.11009143096967,3.79734760996976,4.1875559748933,4.17059523793854,3.75125400783516,3.04705000516963,2.23506858357043,1.480449522422,0.88546416788368,0.478196107421748,0.233174815218185,0.102655117699459,0.0408023942250539,0.0146412928702233,0.00474290656585805,0.00138695918752597,0.000366116572431093,8.7235719469656e-05,1.87616607792806e-05,3.64194148420564e-06,6.38060825733246e-07,1.00888093805478e-07,1.4395784668142e-08,1.85311340851878e-09,2.14674825373439e-10,2.20848359556283e-11
"6",1.73737866495586e-14,3.84399772739554e-14,2.77219466908945e-13,2.91835702895898e-12,2.96822430185183e-11,2.75689464944589e-10,2.31575564301381e-09,1.7580704720792e-08,1.20615150204242e-07,7.47779570688705e-07,4.18927910809877e-06,2.12073824666566e-05,9.70073943286686e-05,0.000400940820137707,0.00149727222997768,0.00505188491137916,0.0154001573899153,0.0424133406590045,0.105528974826959,0.237202309500528,0.481648082970486,0.88346632384702,1.46380982876066,2.19078025309708,2.96153749231797,3.61596678679738,3.98753679629285,3.9713861912371,3.57207485181493,2.90150724876407,2.12831022979992,1.40973565036639,0.843169851914628,0.455355005549941,0.222037188571548,0.097751782091652,0.0388534623357232,0.0139419495322216,0.00451636099102408,0.00132071089398564,0.000348628964736119,8.3068893507793e-05,1.78655075097479e-05,3.46798365568962e-06,6.0758376392787e-07,9.60691603334185e-08,1.37081680626818e-08,1.76459919544372e-09,2.04420853248688e-10,2.10299507734707e-11
"7",1.65399490900236e-14,3.65950889093622e-14,2.63914595126787e-13,2.77829339447542e-12,2.82576733734942e-11,2.62458024080502e-10,2.20461326094138e-09,1.67369363348332e-08,1.1482634638629e-07,7.11890636119047e-07,3.98821883619789e-06,2.01895552999709e-05,9.2351621204741e-05,0.000381698065421936,0.00142541214285983,0.00480942473441692,0.014661042197961,0.0403777546822577,0.100464216947468,0.225818021270247,0.458531863682215,0.841065238909863,1.39355573620979,2.08563594019818,2.81940145456891,3.4424220678665,3.79615894540498,3.78078347252832,3.40063668252041,2.76225230267297,2.02616410335403,1.34207679406745,0.802702755951305,0.433500696284582,0.211380735192732,0.0930602828195822,0.0369887291680502,0.0132728195718049,0.00429960275042313,0.00125732469206516,0.000331896865338192,7.90820848268212e-05,1.70080702980298e-05,3.30154123952003e-06,5.78423387255489e-07,9.14584168141852e-08,1.30502582106938e-08,1.6799090172825e-09,1.94609878311035e-10,2.00206392639076e-11
"8",1.57336308748795e-14,3.48110878455237e-14,2.51048827273761e-13,2.64285231428908e-12,2.68801191479867e-11,2.49663263687044e-10,2.09713893801753e-09,1.59210150427524e-08,1.09228591872913e-07,6.77186152812051e-07,3.79379420549895e-06,1.92053197315649e-05,8.78495036969922e-05,0.000363090384034295,0.00135592367172732,0.00457496652982282,0.0139463202049929,0.0384093496460801,0.0955666125078157,0.214809451481612,0.436178554618287,0.800063527322578,1.32562025661378,1.9839617307077,2.68195636714758,3.2746048876305,3.61109718441634,3.59647126184237,3.23485652894925,2.62759322153878,1.92738913043765,1.27665089950823,0.763571205427955,0.412367650119238,0.201075979344405,0.0885236182424736,0.0351855382440093,0.0126257730707052,0.00408999823491462,0.00119603044042964,0.000315716979498469,7.52268537653243e-05,1.61789312957807e-05,3.14059196301469e-06,5.50225397608063e-07,8.6999842788102e-08,1.24140615180472e-08,1.59801388973119e-09,1.85122697372624e-10,1.90446383083149e-11
"9",1.49535643148234e-14,3.30851692852488e-14,2.38601935856584e-13,2.51182084863829e-12,2.55474145584093e-11,2.37285067908492e-10,1.99316370367089e-09,1.5131658057339e-08,1.03813085903587e-07,6.4361155855961e-07,3.60569954260906e-06,1.82531283513985e-05,8.34939635996987e-05,0.000345088521074912,0.00128869756716732,0.00434814168362735,0.0132548677288121,0.0365050308343144,0.0908284615197806,0.204159292518474,0.414553012022485,0.760396726407517,1.25989658216502,1.88559777296244,2.5489861396026,3.11225140479169,3.43206056018909,3.4181597844805,3.07447375240646,2.4973182950547,1.83183001755223,1.21335510443768,0.725713677924427,0.391922641788673,0.191106719943033,0.0841346558398802,0.0334410545962106,0.0119997927457797,0.00388721790536975,0.00113673177257555,0.000300063869284609,7.14971391490844e-05,1.53767869349749e-05,2.98488278255843e-06,5.22945462252968e-07,8.26864285082809e-08,1.17985777596116e-08,1.51878505769631e-09,1.7594439473694e-10,1.81004134430678e-11
"10",1.41993794000092e-14,3.14165145716515e-14,2.26568016927294e-13,2.38513684522106e-12,2.42589274614997e-11,2.25317565381361e-10,1.89263823921198e-09,1.43684909620091e-08,9.85772597352944e-08,6.11150927886791e-07,3.42384562837587e-06,1.73325295054668e-05,7.92829349446429e-05,0.000327683937699946,0.0012237019417463,0.0041288426057469,0.0125863567919903,0.0346638949692835,0.0862475165308927,0.19386249267899,0.393644978226941,0.722046020966528,1.19635353807934,1.79049740987604,2.42042770001685,2.95528461004052,3.25896415008052,3.24576446175972,2.91941227834982,2.37136572976879,1.73944143803663,1.15215938569037,0.689112216437256,0.372155973589163,0.181468228258627,0.0798913137903446,0.0317544507617696,0.0113945816750791,0.00369116557676743,0.00107940056129927,0.000284930109939293,6.78911718583856e-05,1.46012567335784e-05,2.8343398404411e-06,4.96570641467881e-07,7.85161279880903e-08,1.12035149922859e-08,1.44218494047715e-09,1.67070616849405e-10,1.71875167929274e-11
