"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11357881101022,5.11357922020927,1.91765703553089e-06,5.94340446244379e-06,1.63013919195146e-05,3.95707673162179e-05,8.50190369140991e-05,0.000161687711324634,0.000272194483747688,0.000405639483144388,0.000535144937135496,0.00062499906277406,0.000646198779008281,0.00059146910747988,0.000479273020196339,0.000343835053926301,0.00021844786758937,0.000123011405275182,6.156039099288e-05,2.76089168522869e-05,1.13882636135778e-05,4.64944034730359e-06,2.18348203333105e-06,1.33937848984418e-06,1.00197065817083e-06,7.87733052531265e-07,5.9935704229763e-07,4.29381084277089e-07,2.87931951987156e-07,1.8111281969611e-07,1.07655533425022e-07,6.13323303744208e-08,3.42849089025637e-08,1.94276941864437e-08,1.15275410318852e-08,7.26947874327211e-09,4.81565991300664e-09,3.26242031805177e-09,2.20582873392613e-09,1.46877421567338e-09,9.60961973265762e-10,6.21382134067836e-10,4.01200437615134e-10,2.61379954660571e-10,1.72997121342751e-10,1.16442904922683e-10,7.94070538963915e-11,5.45415332106218e-11,3.75109852759998e-11,2.56829685882363e-11
"2",3.52065487892874e-08,3.52065516065876e-08,1.32029031873278e-14,4.09198267817755e-14,1.12233676483477e-13,2.72441317839539e-13,5.8534873163383e-13,1.11320593810392e-12,1.87403552901235e-12,2.79279283296367e-12,3.68442670679772e-12,4.30306460700991e-12,4.44902282365304e-12,4.07221375859324e-12,3.29975338066571e-12,2.36727467179334e-12,1.50399471533354e-12,8.46922908890092e-13,4.23837979051362e-13,1.90085009756092e-13,7.84072121218538e-14,3.2010995523874e-14,1.50330853553063e-14,9.22150530827652e-15,6.89848150699704e-15,5.4234740818236e-15,4.12652150904971e-15,2.9562517077569e-15,1.98238663962782e-15,1.24694613276857e-15,7.41199056481545e-16,4.22267801375913e-16,2.36048638854541e-16,1.33757997777541e-16,7.93661251266417e-17,5.00497337591901e-17,3.31554028882543e-17,2.24614823284519e-17,1.51869404602841e-17,1.01123837131859e-17,6.6161402506569e-18,4.27816236502453e-18,2.76223038760406e-18,1.79957842958935e-18,1.19107025002644e-18,8.01699350853829e-19,5.46710712895923e-19,3.75513748979053e-19,2.58259896260958e-19,1.76825022175975e-19
"3",1.10445434805473e-08,1.10445443643543e-08,4.14184415503596e-15,1.2836839214564e-14,3.5208498490503e-14,8.54667692305008e-14,1.8362803910448e-13,3.49220579948843e-13,5.8789820632931e-13,8.76118873804913e-13,1.1558307293244e-12,1.34990181616967e-12,1.39568994154675e-12,1.27748227149578e-12,1.03515598492672e-12,7.42630815633238e-13,4.71813784629439e-13,2.65685709436944e-13,1.32960973151803e-13,5.96310126225782e-14,2.45968972605405e-14,1.00420758091065e-14,4.71598525169781e-15,2.89285146757548e-15,2.16410246314639e-15,1.70138219655737e-15,1.2945189971015e-15,9.2739707948023e-16,6.21888716433562e-16,3.9117582537523e-16,2.32519388822967e-16,1.32468397304267e-16,7.40501283143735e-17,4.19608303888768e-17,2.48977150555146e-17,1.57009556375884e-17,1.04010844972629e-17,7.04632594631419e-18,4.76425068682473e-18,3.17232632714751e-18,2.07553001315521e-18,1.3420898066479e-18,8.66531218432433e-19,5.64540487373824e-19,3.73647165575232e-19,2.5149875927418e-19,1.71507019219598e-19,1.1780132023064e-19,8.10179569320267e-20,5.54712606895891e-20
"4",3.18314186489271e-09,3.18314211961425e-09,1.19371864948308e-15,3.69969844283235e-15,1.01474221856726e-14,2.46323310396574e-14,5.29233372000506e-14,1.00648673263423e-13,1.69437822048343e-13,2.52505743740607e-13,3.33121345370416e-13,3.89054467675602e-13,4.02251038367678e-13,3.68182470123696e-13,2.98341742971816e-13,2.14033223153596e-13,1.35981194055928e-13,7.65731337019055e-14,3.83206097003301e-14,1.71862216903028e-14,7.08905837116697e-15,2.89422120295816e-15,1.35919154244228e-15,8.33747146867089e-16,6.23714792964656e-16,4.90354436793482e-16,3.73092615537288e-16,2.67284607487141e-16,1.79234208464175e-16,1.12740571711177e-16,6.70142864904521e-17,3.81786446834249e-17,2.13419471753919e-17,1.20935080867532e-17,7.17575690411885e-18,4.52516387815009e-18,2.99769090156034e-18,2.03081776561406e-18,1.37310209722893e-18,9.1429444402388e-19,5.98187375363412e-19,3.86802972663474e-19,2.49742490804344e-19,1.62705906581981e-19,1.07688646211213e-19,7.24843205175688e-20,4.94299446565997e-20,3.39514543834454e-20,2.33501412686393e-20,1.59873418498832e-20
"5",8.42845825814716e-10,8.42845893260965e-10,3.16077895242633e-16,9.79621870990518e-16,2.68687755525533e-15,6.52225325733676e-15,1.40132660561614e-14,2.66501832888696e-14,4.48644663386361e-14,6.68595435388125e-14,8.82052850147477e-14,1.0301549475741e-13,1.0650973880778e-13,9.7488918575851e-14,7.8996194138698e-14,5.66726260963422e-14,3.60056782462012e-14,2.02753596445123e-14,1.01466938325373e-14,4.550640790773e-15,1.87707099171225e-15,7.66344185536309e-16,3.59892510812977e-16,2.20763111525832e-16,1.65149852586563e-16,1.298381309295e-16,9.87890477380582e-17,7.07727538661413e-17,4.74583951514603e-17,2.98519275294483e-17,1.77443274713528e-17,1.01091037322562e-17,5.65101143933574e-18,3.20217044763099e-18,1.90002739758555e-18,1.19819211574941e-18,7.93741331898834e-19,5.3772855543021e-19,3.63575806605103e-19,2.42090767053226e-19,1.58390594506885e-19,1.02419334343153e-19,6.61278776873196e-20,4.30819611624955e-20,2.85142572336523e-20,1.91927063192039e-20,1.30882707376511e-20,8.98981032640535e-21,6.18274960268536e-21,4.23319629346809e-21
"6",2.05033216982595e-10,2.05033233389773e-10,7.68900618521079e-17,2.38305770146685e-16,6.53617935711809e-16,1.58662299363506e-15,3.40890935438931e-15,6.48300394394303e-15,1.09138653593333e-14,1.62644541598099e-14,2.1457083594095e-14,2.50598598726508e-14,2.59098802163798e-14,2.37154482866895e-14,1.92168523798318e-14,1.37863539066031e-14,8.75884985646442e-15,4.93224512249918e-15,2.46831533657012e-15,1.10700260010485e-15,4.56621949291206e-16,1.86423197296533e-16,8.75485373479789e-17,5.37035001668016e-17,4.01748511090901e-17,3.15848152249553e-17,2.40317216269086e-17,1.72163935033621e-17,1.15448723036972e-17,7.26186990198082e-18,4.31653860434955e-18,2.45917105543201e-18,1.37468208197208e-18,7.78969638450469e-19,4.62206393803356e-19,2.91475826931709e-19,1.93087909730057e-19,1.30809469782551e-19,8.84445469884467e-20,5.88917299587108e-20,3.85305736077424e-20,2.49148360927029e-20,1.60864669186168e-20,1.04802477754781e-20,6.93646419240875e-21,4.66887561010905e-21,3.18389220411194e-21,2.18688836656994e-21,1.50403431091455e-21,1.02978009451442e-21
"7",4.58230811470163e-11,4.58230848138731e-11,1.71842377323053e-17,5.32591977238534e-17,1.46077733881579e-16,3.54595978432282e-16,7.61860601261818e-16,1.44889311191438e-15,2.43915081345475e-15,3.63495931900714e-15,4.79546532596225e-15,5.60065344228987e-15,5.79062534908884e-15,5.30018953646468e-15,4.29479378488228e-15,3.08112618570183e-15,1.95752421794842e-15,1.1023124536179e-15,5.51646292384317e-16,2.4740513132986e-16,1.02050901526146e-16,4.16639090149496e-17,1.95663112067329e-17,1.20022495975911e-17,8.97871812935274e-18,7.05892231691174e-18,5.3708737853234e-18,3.84770920621362e-18,2.58017519399876e-18,1.62296265305046e-18,9.64707580811792e-19,5.49602627739197e-19,3.07229089610896e-19,1.74092712776428e-19,1.03298974681351e-19,6.51422275202326e-20,4.31534123410807e-20,2.92347407744807e-20,1.97665613079989e-20,1.31617723240194e-20,8.61123688664822e-21,5.56824193095236e-21,3.59518077035852e-21,2.34224118083919e-21,1.55023740172355e-21,1.04345173477678e-21,7.1157129063999e-22,4.88749894068664e-22,3.36138150155371e-22,2.3014659541006e-22
"8",9.40867352965258e-12,9.40867428255391e-12,3.52837213544131e-18,1.09355021812535e-17,2.99935681678345e-17,7.28078014940361e-17,1.56429849170979e-16,2.97495539979691e-16,5.00821269956801e-16,7.46351940332877e-16,9.8463408713156e-16,1.14996020503657e-15,1.18896639157262e-15,1.08826712970007e-15,8.81833163280629e-16,6.32635555254883e-16,4.01930770084507e-16,2.26333492732329e-16,1.13267369608673e-16,5.07987252706825e-17,2.09537113575077e-17,8.55468702842421e-18,4.01747393923813e-18,2.46437483596608e-18,1.84356497815629e-18,1.4493808336004e-18,1.10278044928822e-18,7.90035040248704e-19,5.29777252903542e-19,3.33236556144695e-19,1.98079623897794e-19,1.12847751962528e-19,6.30821439895584e-20,3.57457739070355e-20,2.12099733234103e-20,1.33753980830276e-20,8.86052090441208e-21,6.00265466192951e-21,4.05859050713209e-21,2.70245508963071e-21,1.7681114958864e-21,1.14330527653452e-21,7.38184366953917e-22,4.80923195180182e-22,3.18304165524747e-22,2.14247852189739e-22,1.46104142260218e-22,1.00353098827877e-22,6.9017928007208e-23,4.72550977798071e-23
"9",1.77482979544007e-12,1.77482993746559e-12,6.65583727147664e-19,2.06284712060843e-18,5.65791535736295e-18,1.37342904953439e-17,2.9508554668184e-17,5.61188510476444e-17,9.4473733125937e-17,1.40790054773663e-16,1.85739032174874e-16,2.16925757816643e-16,2.24283792065838e-16,2.05288122826497e-16,1.66346910418883e-16,1.19338866374993e-16,7.58192644480563e-17,4.26950117188506e-17,2.13664871885526e-17,9.58255070671061e-18,3.95265827059991e-18,1.61373581311548e-18,7.5784672805276e-19,4.6487380736728e-19,3.47765712430073e-19,2.73407752995841e-19,2.08025880912651e-19,1.4903033083845e-19,9.99359208751624e-20,6.2860951324483e-20,3.73652691057237e-20,2.1287331513874e-20,1.18996655968616e-20,6.74299776597875e-21,4.0009989183106e-21,2.5231032800546e-21,1.67142758803438e-21,1.1323264976889e-21,7.65602859621621e-22,5.097847001279e-22,3.33532347006111e-22,2.15670387933233e-22,1.39249343158605e-22,9.07202076290499e-23,6.00441406756803e-23,4.04152052334448e-23,2.75607378769604e-23,1.89303698659671e-23,1.301937777527e-23,8.9140892455998e-24
"10",3.07588111859916e-13,3.07588136473747e-13,1.1534945065945e-19,3.57503154676466e-19,9.8054895534531e-19,2.38023076469198e-18,5.11400058609638e-18,9.72571650410728e-18,1.63728360134721e-17,2.43997183435539e-17,3.2189632128185e-17,3.75944693018063e-17,3.886965854391e-17,3.55776008773912e-17,2.88288669825875e-17,2.06821052216363e-17,1.31399103475175e-17,7.39928869471229e-18,3.70293391979958e-18,1.66071061363278e-18,6.85018190141354e-19,2.79669607233431e-19,1.31339154188115e-19,8.05652784445044e-20,6.02697786181023e-20,4.73831207521514e-20,3.60520699462636e-20,2.58278051169924e-20,1.73194642595863e-20,1.08941608808306e-20,6.47561394500788e-21,3.68921579055702e-21,2.06227982091968e-21,1.16859991670287e-21,6.93395899707432e-22,4.37268168437034e-22,2.8966792040281e-22,1.96238631066435e-22,1.32683335963028e-22,8.8348591944015e-23,5.78030553258651e-23,3.73769065512168e-23,2.41327042457437e-23,1.57223286671498e-23,1.04059915526178e-23,7.00418524645286e-24,4.77643284264244e-24,3.28074091320904e-24,2.25633231861161e-24,1.54486243528776e-24
