"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11357884579201,5.113578845411,1.35047400998254e-11,1.97197775758478e-12,2.59609300776456e-13,3.08098239251379e-14,3.29580715515792e-15,3.17756941185375e-16,2.76089466041489e-17,2.16167498218613e-18,1.52504943149013e-19,9.69393646137422e-21,5.55150933243573e-22,2.86411446994212e-23,1.33110783277603e-24,5.57257557265611e-26,2.1013368451405e-27,7.13690981261079e-29,2.1831256512072e-30,6.01430589791144e-32,1.49224093787075e-33,3.33555592071777e-35,6.72879405859486e-37,1.23708339733626e-38,2.18732527656296e-40,4.7228753502445e-42,1.91429869257591e-43,1.28449139525669e-44,9.68338982313764e-46,7.20199335469972e-47,5.16429519902709e-48,3.55802662200257e-49,2.35398475976965e-50,1.49525620538684e-51,9.11766108537612e-53,5.33634740230743e-54,2.9973062720857e-55,1.61538028764846e-56,8.35223013333727e-58,4.14227843101484e-59,1.97019390770784e-60,8.98534345262394e-62,3.92862150361047e-63,1.64645968919746e-64,6.61296490217196e-66,2.54512397717134e-67,9.38488006640809e-69,3.31514445002282e-70,1.12172327008627e-71,3.635330979326e-73
"2",4.24770720787248e-10,4.24770720755598e-10,1.12180106325491e-21,1.63806687786775e-22,2.15650199477483e-23,2.55928607158926e-24,2.73773500534607e-25,2.63951821244594e-26,2.293398127394e-27,1.79564306717704e-28,1.26681599284094e-29,8.05248242403104e-31,4.61148383883113e-32,2.37913994191297e-33,1.10571412043272e-34,4.62898297654375e-36,1.74552186099887e-37,5.9284317631886e-39,1.81346153916355e-40,4.9959160273692e-42,1.23956289300047e-43,2.77075319535825e-45,5.5894213983819e-47,1.02761064649053e-48,1.81695005071915e-50,3.9231607201335e-52,1.59015448860575e-53,1.06699114702649e-54,8.04372162604447e-56,5.98249484487405e-57,4.28983586681961e-58,2.9555533969168e-59,1.9553894313224e-60,1.24206759155857e-61,7.57378655521484e-63,4.43275482945684e-64,2.48977865406666e-65,1.34185131357581e-66,6.93796442942917e-68,3.44087506598546e-69,1.63658508356897e-70,7.4638739911732e-72,3.26339622036362e-73,1.36766810489891e-74,5.49320535137126e-76,2.11416344379947e-77,7.79575790366562e-79,2.75379795641331e-80,9.31784208921445e-82,3.01976796868837e-83
"3",3.82828089376649e-09,3.82828089348125e-09,1.0110323915703e-20,1.47632118325635e-21,1.94356507639349e-22,2.3065775229021e-23,2.46740608527289e-24,2.37888739664724e-25,2.06694383657855e-26,1.61833801382492e-27,1.14172828398402e-28,7.2573657040615e-30,4.156137560374e-31,2.14421934881525e-32,9.96533902660522e-34,4.17190880148932e-35,1.57316586645355e-36,5.34304765802838e-38,1.63439705756871e-39,4.50261021734092e-41,1.11716620465289e-42,2.49716399931558e-44,5.03751179153246e-46,9.26142507397798e-48,1.63754110716593e-49,3.53578071488236e-51,1.43313975021255e-52,9.61634505883327e-54,7.24946996315827e-55,5.39177245296975e-56,3.86624969251713e-57,2.66371669378558e-58,1.76231073223002e-59,1.11942358473239e-60,6.82593713358056e-62,3.99505657756019e-63,2.24393339385675e-64,1.20935448105207e-65,6.25289723773556e-67,3.10111682098432e-68,1.47498570401428e-69,6.72687753546945e-71,2.94116255848652e-72,1.23262207557398e-73,4.95079629151826e-75,1.90540711073419e-76,7.02599062847842e-78,2.48188295141711e-79,8.39778146082235e-81,2.7215906022694e-82
"4",2.90125047250643e-08,2.90125047229026e-08,7.66207675235848e-20,1.11882530288411e-20,1.47292459793509e-21,1.74803242340153e-22,1.86991583674525e-23,1.80283223072799e-24,1.56642679806545e-25,1.22645230524483e-26,8.65255140701971e-28,5.49997146561123e-29,3.14971560223561e-30,1.62498979869451e-31,7.55220041630222e-33,3.16166778704324e-34,1.19221873734789e-35,4.0492116364084e-37,1.23862260035707e-38,3.41228880091927e-40,8.46640847173718e-42,1.89246777704768e-43,3.81766225389514e-45,7.01874147106417e-47,1.24100530832251e-48,2.67958014429786e-50,1.08610039149481e-51,7.28771645026177e-53,5.49398770353579e-54,4.08613756694202e-55,2.93002500561218e-56,2.01868920565683e-57,1.33556157096799e-58,8.48351595471455e-60,5.17301469867214e-61,3.02764089286375e-62,1.70055776988577e-63,9.16505438588148e-65,4.73873824019899e-66,2.35017149781987e-67,1.11781321419741e-68,5.097942698001e-70,2.22895066984803e-71,9.34138710929973e-73,3.75194518861932e-74,1.44400670529059e-75,5.32462460210008e-77,1.88088708360692e-78,6.36423191174087e-80,2.06254876272535e-81
"5",1.8488379977971e-07,1.84883799765934e-07,4.88270102014321e-19,7.12977646180943e-20,9.38629391139675e-21,1.11394338282488e-21,1.19161426578605e-22,1.14886486479179e-23,9.9821418814939e-25,7.81563551961633e-26,5.5138865019712e-27,3.50488740244377e-28,2.00717378346059e-29,1.03553378597594e-30,4.81268171395624e-32,2.01479037969675e-33,7.59748020442442e-35,2.58038263343959e-36,7.89319140202336e-38,2.17450001452195e-39,5.39526588129983e-41,1.20598561515774e-42,2.43282650175988e-44,4.47273203447586e-46,7.90837534103827e-48,1.70757734841163e-49,6.92123514411065e-51,4.64413783577077e-52,3.5010742167848e-53,2.60391388802155e-54,1.86717472903727e-55,1.28642092247101e-56,8.51094038313068e-58,5.40616771996386e-59,3.29653238446711e-60,1.92938099604167e-61,1.08368989585987e-62,5.84048187533972e-64,3.01978729624304e-65,1.49765985656361e-66,7.12332687037004e-68,3.24869233455527e-69,1.42041120981539e-70,5.95285088394485e-72,2.3909479364526e-73,9.20201303236195e-75,3.39314663854693e-76,1.19860575386103e-77,4.05564217799306e-79,1.31437066912104e-80
"6",9.90705783406824e-07,9.90705783333007e-07,2.61641103496682e-18,3.82051363263232e-19,5.02967576058957e-20,5.96910141974205e-21,6.38530334248286e-22,6.15622930326119e-23,5.3489628104608e-24,4.18803341315438e-25,2.95463380407611e-26,1.87810517953874e-27,1.07555052305626e-28,5.54894107489086e-30,2.57889096469986e-31,1.07963190062965e-32,4.07113418634323e-34,1.38270632764856e-35,4.22959198201191e-37,1.16521282176803e-38,2.89107056323485e-40,6.46231267999573e-42,1.30363790023285e-43,2.39672783632961e-45,4.23772834453524e-47,9.15010810412577e-49,3.70876609727788e-50,2.48857618586303e-51,1.87606187174755e-52,1.3953156260473e-53,1.00053157977733e-54,6.89332785947771e-56,4.56061475902423e-57,2.89691234852221e-58,1.76645747348918e-59,1.03386500788669e-60,5.80698713747304e-62,3.1296409845947e-63,1.61816272848735e-64,8.02525847717155e-66,3.8170575983301e-67,1.74082222898284e-68,7.61131912074875e-70,3.18985427901716e-71,1.28119713641247e-72,4.93092825926788e-74,1.81822853206243e-75,6.42276745604369e-77,2.173228896179e-78,7.04309747522518e-80
"7",4.46398518107773e-06,4.46398518074512e-06,1.17891913858991e-17,1.7214713516185e-18,2.2663033200118e-19,2.68959571331549e-20,2.87713062494809e-21,2.77391298621192e-22,2.41016971132667e-23,1.88707075372977e-24,1.33131770681215e-25,8.46248586652647e-27,4.84628400968159e-28,2.50027719065153e-29,1.16201310649946e-30,4.86467414054701e-32,1.83439755600502e-33,6.2302861856525e-35,1.90579647822174e-36,5.25029010256451e-38,1.30267697714962e-39,2.91182998243845e-41,5.87401463239569e-43,1.07993288458057e-44,1.90946261223855e-46,4.1229139534864e-48,1.6711194358228e-49,1.12131849856313e-50,8.45327900021658e-52,6.28710196500752e-53,4.5082588798134e-54,3.10603954558552e-55,2.05495082817424e-56,1.30530920594958e-57,7.95941652580585e-59,4.65845476198842e-60,2.61654922809146e-61,1.4101735561977e-62,7.29122062425024e-64,3.6160720484763e-65,1.71991410968363e-66,7.84390760932808e-68,3.42955661837736e-69,1.43730484567916e-70,5.77289961033359e-72,2.22180904230074e-73,8.19268985695063e-75,2.89401144370971e-76,9.79227309471477e-78,3.17352369238977e-79
"8",1.69134808665099e-05,1.69134808652497e-05,4.46677699070873e-17,6.52243938695492e-18,8.58673949080476e-19,1.01905413639446e-19,1.09010876608154e-20,1.05100089526578e-21,9.1318312324065e-23,7.14987478503529e-24,5.04419608220492e-25,3.20632992675057e-26,1.83619632562564e-27,9.47323718822161e-29,4.4027221521079e-30,1.84316411592753e-31,6.95030263464558e-33,2.36057741949031e-34,7.22082421028183e-36,1.98926917521514e-37,4.93567994393379e-39,1.10325591812589e-40,2.22559058922857e-42,4.09173046942297e-44,7.23471473299464e-46,1.56212046944393e-47,6.33166228312117e-49,4.2485353784558e-50,3.20284156039503e-51,2.38210420683518e-52,1.70812283670235e-53,1.17683948969115e-54,7.78595136499814e-56,4.9456531292466e-57,3.01572325303505e-58,1.76503017569092e-59,9.91377737838317e-61,5.34297102112012e-62,2.76255219315011e-63,1.37008441835954e-64,6.51653919226306e-66,2.97195837099558e-67,1.29941605745953e-68,5.44576807955877e-70,2.18727937354144e-71,8.41815624417459e-73,3.10410759713433e-74,1.09650469692705e-75,3.71016965578529e-77,1.20240838787219e-78
"9",5.38859390705799e-05,5.38859390665649e-05,1.42310429569704e-16,2.07803334021525e-17,2.73571433738776e-18,3.24668171719201e-19,3.4730600408629e-20,3.34846331470166e-21,2.90937924177766e-22,2.27793273347753e-23,1.60706861521309e-24,1.02152892380166e-25,5.85007687685423e-27,3.01815034973932e-28,1.40269657976167e-29,5.87227608745006e-31,2.21434953129128e-32,7.52074230029798e-34,2.30053704796549e-35,6.3377632562247e-37,1.57249563723651e-38,3.51494654782175e-40,7.09067753904485e-42,1.30361538531754e-43,2.30496253475008e-45,4.97687785865756e-47,2.0172522184912e-48,1.35357304832493e-49,1.02041753875695e-50,7.58932612171276e-52,5.44203785312243e-53,3.74938201886738e-54,2.48058518629089e-55,1.57567306984395e-56,9.60802100699161e-58,5.6233432523841e-59,3.15850538388367e-60,1.70225758477689e-61,8.80142416184385e-63,4.36505566606691e-64,2.07615355252294e-65,9.46858715622943e-67,4.13990798536588e-68,1.73500847781528e-69,6.96861893676599e-71,2.68200412464131e-72,9.88961137969586e-74,3.49343732112597e-75,1.18205103722339e-76,3.83084390718946e-78
"10",0.000144361080525538,0.000144361080514782,3.81251356793229e-16,5.56707637531644e-17,7.32901169704443e-18,8.6978994687733e-19,9.30436972755241e-20,8.97057359578187e-21,7.7942620699525e-22,6.10260926024851e-23,4.30535619815348e-24,2.73668830443768e-25,1.56724264931893e-26,8.0856611797414e-28,3.75784105086566e-29,1.57318984460531e-30,5.93226909490672e-32,2.01481593074416e-33,6.16316649132408e-35,1.69789441840343e-36,4.212734773274e-38,9.41658418476173e-40,1.89960106263331e-41,3.492401336231e-43,6.17502242378241e-45,1.33331157944261e-46,5.4042430173203e-48,3.6262385178162e-49,2.73371089050184e-50,2.0331896191994e-51,1.45792850284863e-52,1.00446396385107e-53,6.64551762491426e-55,4.22124715354275e-56,2.5740004131034e-57,1.50650043792848e-58,8.46167400861198e-60,4.56036859540136e-61,2.35791214569564e-62,1.16940367631373e-63,5.5620404014223e-65,2.53664591635519e-66,1.10908634117136e-67,4.64810863276077e-69,1.86690141590482e-70,7.18512138946011e-72,2.64943881349192e-73,9.35896070708596e-75,3.16672898186658e-76,1.02628770195912e-77
