"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11357884621678,5.11357884621678,6.70595532670593e-33,1.56996882670605e-29,1.22890400652816e-26,3.22903966041691e-24,2.87675261424297e-22,8.89830303718731e-21,1.00365279514237e-19,4.44602054336738e-19,8.16880767200266e-19,6.08702882245006e-19,1.70869380469541e-19,1.69704598176059e-20,5.76402373037105e-22,6.59506102259645e-24,2.52646217948027e-26,3.2326828164211e-29,1.38435883499698e-32,4.22511629174092e-35,2.12598505341534e-35,6.00694998181497e-36,9.09253485550992e-37,7.36886223857233e-38,3.19926426830721e-39,7.43679047622786e-41,9.26091126978107e-43,6.17460726566031e-45,2.20544280282181e-47,4.21766242930066e-50,4.3209211872452e-53,2.37013441242207e-56,6.96458692455228e-60,1.09575336739596e-63,9.23533931093807e-68,4.16765084953273e-72,1.00750875100875e-76,1.30409285366674e-81,9.04239090098088e-87,3.35710069642063e-92,6.67661302359599e-98,7.10982430876681e-104,4.05571640794136e-110,1.23877357823439e-116,2.02682951558087e-123,1.77567355579646e-130,8.33305271005662e-138,2.09396835937279e-145,2.81853152311161e-153,2.03142271367859e-161
"2",6.66324225345294e-45,6.66324225345294e-45,8.73818635176285e-78,2.04574583424116e-74,1.60132176465689e-71,4.20759592262541e-69,3.74854874607762e-67,1.15949221796553e-65,1.30780846712405e-64,5.79338127663817e-64,1.06443541944579e-63,7.93169497674655e-64,2.22651123607551e-64,2.2113335555754e-65,7.51080361233284e-67,8.59368567326912e-69,3.292103251428e-71,4.21234313231026e-74,1.80388697636241e-77,5.50553227935638e-80,2.7702620540616e-80,7.8273483477859e-81,1.18480156974701e-81,9.60198633961719e-83,4.16879713672906e-84,9.69050014119547e-86,1.20674183647207e-87,8.04581395307209e-90,2.87379937090598e-92,5.4958195336147e-95,5.63037072362601e-98,3.08840055823089e-101,9.07519591838426e-105,1.42781999780796e-108,1.20340968570662e-112,5.43065200975454e-117,1.3128329653921e-121,1.69929649396275e-126,1.17826756828499e-131,4.37446568874865e-137,8.6999519019234e-143,9.26444730266577e-149,5.28479598147016e-155,1.61418229721036e-161,2.64105755966894e-168,2.3137891134847e-175,1.08583734773112e-182,2.72854274260169e-190,3.67268382913093e-198,2.64704272046603e-206
"3",4.19829693391073e-49,4.19829693391073e-49,5.5056531900121e-82,1.2889593589374e-78,1.00894189330723e-75,2.65107231422354e-73,2.36184129417136e-71,7.30559153999761e-70,8.24008503491549e-69,3.65022520951897e-68,6.70666889754678e-68,4.99750863542957e-68,1.40285388706821e-68,1.39329091350614e-69,4.73231837856746e-71,5.41460791019298e-73,2.07424951110332e-75,2.65406338e-78,1.13657178801496e-81,3.46886071506566e-84,1.74545397650358e-84,4.93176314460602e-85,7.4650577126831e-86,6.04990607810749e-87,2.62662643372389e-88,6.1056758081638e-90,7.60329635239831e-92,5.06941137139271e-94,1.81068954551322e-96,3.46274102301243e-99,3.54751744671004e-102,1.94590292549995e-105,5.71799219502307e-109,8.99623950467544e-113,7.58230153064366e-117,3.42168103971814e-121,8.27174279981554e-126,1.07067265289838e-130,7.42388904844921e-136,2.75621164442192e-141,5.48156287970595e-147,5.83723347068819e-153,3.32978179712022e-159,1.01704490567478e-165,1.66404633559496e-172,1.45784490063002e-179,6.84151563804089e-187,1.71916796577115e-194,2.3140412238612e-202,1.66781739497831e-210
"4",1.04245165399771e-53,1.04245165399771e-53,1.36707273559129e-86,3.20053068378009e-83,2.50523762854946e-80,6.58270427826918e-78,5.86453364863727e-76,1.81400365533652e-74,2.04604162329411e-73,9.06363548607465e-73,1.66528909105772e-72,1.24089868460508e-72,3.48333473766261e-73,3.45958954344731e-74,1.17505102631845e-75,1.34446587761287e-77,5.15043330115146e-80,6.5901311980773e-83,2.82214707285999e-86,8.61330117148105e-89,4.33402261304111e-89,1.22457385176672e-89,1.85359965773691e-90,1.50221261071669e-91,6.52200431120766e-93,1.51606042764232e-94,1.88792479025755e-96,1.2587523827145e-98,4.49600478791847e-101,8.5981057643832e-104,8.80860855752714e-107,4.83174428855091e-110,1.41979724518802e-113,2.23379739428593e-117,1.88271170337779e-121,8.49615240526625e-126,2.05390235584863e-130,2.65851724038098e-135,1.84337733597189e-140,6.84376887277232e-146,1.36109102819439e-151,1.44940526648777e-157,8.2679634063569e-164,2.52535768860687e-170,4.13188462411572e-177,3.61987932692089e-184,1.69877200326644e-191,4.26875353894659e-199,5.74584442026577e-207,4.14124829503603e-215
"5",-4.85323006028534e-59,-4.85323006028534e-59,-6.36453352011541e-92,-1.49003665194638e-88,-1.1663365414029e-85,-3.06463884044403e-83,-2.73028786361194e-81,-8.44526174023034e-80,-9.52553595429169e-79,-4.21965930293236e-78,-7.75290733607907e-78,-5.77711855969406e-78,-1.62169869403819e-78,-1.61064389932315e-79,-5.47055869826494e-81,-6.2592852025664e-83,-2.3978318442668e-85,-3.06809651163002e-88,-1.31387666334697e-91,-4.01000199898141e-94,-2.01774429988231e-94,-5.70111679102072e-95,-8.62960459045246e-96,-6.99368970379707e-97,-3.03637940954653e-98,-7.05815949586372e-100,-8.78940841860471e-102,-5.86023810199571e-104,-2.09315659908395e-106,-4.00292763671024e-109,-4.10092915836762e-112,-2.24946322785142e-115,-6.60999734945213e-119,-1.03996503060461e-122,-8.76513841063387e-127,-3.95546230771241e-131,-9.56213232150273e-136,-1.23769728191464e-140,-8.5820136263194e-146,-3.18617987621868e-151,-6.33668512826036e-157,-6.74784023017129e-163,-3.84922680943425e-169,-1.17570362139274e-175,-1.92363709016987e-182,-1.68526829005891e-189,-7.90879012969746e-197,-1.98735767895962e-204,-2.67503099594276e-212,-1.92799643374334e-220
"6",9.93161235341258e-63,9.93161235341258e-63,1.30243320318448e-95,3.04919944772578e-92,2.38678205214787e-89,6.27145315355448e-87,5.58723990781234e-85,1.72823181232301e-83,1.9492982896211e-82,8.63507806957978e-82,1.58654894405189e-81,1.18222506128657e-81,3.31863162948344e-82,3.29600918332025e-83,1.11949088901346e-84,1.28089526911251e-86,4.90690448837409e-89,6.27852890505157e-92,2.68870701336381e-95,8.2060369888897e-98,4.12909628552839e-98,1.1666721182927e-98,1.765955590215e-99,1.43118323663563e-100,6.21362327334776e-102,1.44437628488098e-103,1.79865772166323e-105,1.19923457995514e-107,4.28341942971213e-110,8.19156006880718e-113,8.39210962262091e-116,4.60328410249791e-119,1.35266473083667e-122,2.12817637259558e-126,1.79369112605604e-130,8.09442738769006e-135,1.95678734182279e-139,2.53281411805273e-144,1.75621661222665e-149,6.52017378648388e-155,1.29673432987465e-160,1.38087279103524e-166,7.87702788798281e-173,2.40595077198742e-179,3.93651602147426e-186,3.44871995773048e-193,1.61844867803429e-200,4.06691334015274e-208,5.47416268238985e-216,3.94543694835167e-224
"7",1.24339962527448e-65,1.24339962527448e-65,1.63059622059068e-98,3.81748030005082e-95,2.98815922696861e-92,7.85161786784467e-90,6.99500922959945e-88,2.16367968398554e-86,2.44044640146495e-85,1.08107852520463e-84,1.98629818836606e-84,1.48010025551262e-84,4.15479901720679e-85,4.12647658568093e-86,1.401559487387e-87,1.6036315564442e-89,6.14325548057217e-92,7.86047643626936e-95,3.36615765288171e-98,1.02736423391193e-100,5.16946955987879e-101,1.46062856974566e-101,2.21090840136366e-102,1.79178630499045e-103,7.77921708454788e-105,1.8083034933993e-106,2.25185021075117e-108,1.5013955179393e-110,5.36267619423088e-113,1.02555177926054e-115,1.05065981118803e-118,5.76313444826625e-122,1.69348415906145e-125,2.66439487370256e-129,2.24563222428824e-133,1.01339114159113e-137,2.44982240645778e-142,3.17098575056099e-147,2.19871557591866e-152,8.16300652335958e-158,1.62346145064017e-163,1.72879956428724e-169,9.86173561317973e-176,3.01215772612197e-182,4.92836648452781e-189,4.31766459516038e-196,2.02623542702242e-203,5.09161890660397e-211,6.85344089737484e-219,4.93953514148073e-227
"8",-6.79188428157347e-69,-6.79188428157347e-69,-8.90688770939448e-102,-2.0852414556107e-98,-1.63223723668138e-95,-4.28882869976445e-93,-3.82091905693555e-91,-1.18187763107756e-89,-1.33305730653356e-88,-5.90522957642287e-88,-1.0849856449895e-87,-8.08482603358504e-88,-2.26949675425826e-88,-2.25402605010279e-89,-7.65580884743514e-91,-8.75959726885412e-93,-3.35566132465076e-95,-4.29366756012904e-98,-1.83871321714921e-101,-5.61182330275906e-104,-2.8237453457542e-104,-7.97846486553569e-105,-1.20767561080017e-105,-9.78736441079176e-107,-4.24928085592957e-108,-9.87758707939281e-110,-1.2300394611654e-111,-8.20114821609807e-114,-2.92928157692863e-116,-5.60192304060069e-119,-5.73907190563428e-122,-3.14802590222218e-125,-9.25040365721848e-129,-1.45538580636218e-132,-1.22664297916056e-136,-5.53549737811702e-141,-1.33817880887603e-145,-1.73210348777243e-150,-1.20101546246133e-155,-4.45892009048569e-161,-8.86791509681318e-167,-9.4433087705665e-173,-5.38682542110328e-179,-1.64534605751966e-185,-2.69204640082699e-192,-2.35845963766497e-199,-1.10680076363405e-206,-2.78122059204352e-214,-3.74358947512933e-222,-2.69814711246168e-230
"9",-1.49982111648129e-71,-1.49982111648129e-71,-1.96686776671388e-104,-4.60474448390127e-101,-3.60439573642834e-98,-9.47082662513728e-96,-8.43756290357484e-94,-2.60988696906413e-92,-2.94373021525555e-91,-1.30402516432996e-90,-2.39592477429155e-90,-1.7853356013656e-90,-5.01162713425049e-91,-4.97746387731432e-92,-1.69059767468056e-93,-1.93434228426749e-95,-7.41015527623923e-98,-9.48151206183444e-101,-4.06034731439027e-104,-1.23923358268553e-106,-6.23554925489216e-107,-1.76184834522273e-107,-2.66685548199286e-108,-2.16129945821195e-109,-9.38349490858289e-111,-2.18122292244415e-112,-2.71624056223429e-114,-1.81102250332321e-116,-6.46860014549506e-119,-1.23704735252786e-121,-1.26733331668023e-124,-6.95164335498526e-128,-2.04272484128041e-131,-3.2138627139617e-135,-2.7087402644945e-139,-1.22237887362877e-143,-2.95503979746118e-148,-3.8249258662136e-153,-2.65214817735784e-158,-9.84643175761501e-164,-1.95826162077697e-169,-2.08532320581108e-175,-1.189548317142e-181,-3.63334335315786e-188,-5.94472442568235e-195,-5.20807984985172e-202,-2.44409811506889e-209,-6.14164376277198e-217,-8.26679948224226e-225,-5.95819635152199e-233
"10",3.13673725826257e-74,3.13673725826257e-74,4.11352216483083e-107,9.63039753788683e-104,7.53826058037004e-101,1.98073586344147e-98,1.76463830504465e-96,5.45833740154539e-95,6.15653969863314e-94,2.7272481189371e-93,5.01085524462168e-93,3.73386441740763e-93,1.04813549987908e-93,1.04099057041264e-94,3.53572879900755e-96,4.04549812415594e-98,1.54976549463594e-100,1.98297062377658e-103,8.4918411686419e-107,2.59174251368022e-109,1.30410750046241e-109,3.68474299177353e-110,5.57748178155693e-111,4.52015807907894e-112,1.96247124200536e-113,4.56182616328181e-115,5.68076611293039e-117,3.7875861989817e-119,1.35284794047838e-121,2.5871702153472e-124,2.65051051047655e-127,1.45387196367078e-130,4.27217022591018e-134,6.72149685522197e-138,5.66507993335208e-142,2.55649244732595e-146,6.18019264463446e-151,7.99947896639316e-156,5.54672281309706e-161,2.05929020572207e-166,4.09552320594585e-172,4.36126076857294e-178,2.48783037248922e-184,7.59880184554865e-191,1.24328417510809e-197,1.08922176981765e-204,5.11160533488963e-212,1.28446803461865e-219,1.72892471359323e-227,1.24610170389585e-235
