"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.08765101017045,5.14454150179627,0.143157793649502,0.0908985411306575,0.0361621345550634,0.00981181137070421,0.0023220552039683,0.000629186541052431,0.000184983160064662,5.28281801090718e-05,1.49976300016701e-05,4.37940506986477e-06,1.30718511602789e-06,3.94727331848379e-07,1.20842587654721e-07,3.76252736795988e-08,1.19082845647715e-08,3.82842892261171e-09,1.25064340725566e-09,4.1526439494465e-10,1.40155106260519e-10,4.80845249672727e-11,1.67709898903776e-11,5.94709586286419e-12,2.14420572949703e-12,7.86059929577907e-13,2.92998350663079e-13,1.11031845802367e-13,4.2764504476584e-14,1.67313947568765e-14,6.64300102809503e-15,2.67230050326792e-15,1.08659274008966e-15,4.4515386169785e-16,1.83003687334751e-16,7.51401871911237e-17,3.06567415336545e-17,1.23636889140295e-17,4.90377186483048e-18,1.90378225608158e-18,7.20379071077302e-19,2.64694106598467e-19,9.41412945325635e-20,3.23220044113793e-20,1.0688631632521e-20,3.39816303471991e-21,1.03705368330268e-21,3.03415810454812e-22,8.49750921959397e-23,2.26537654566159e-23
"2",0.025440125803158,0.0257245991801784,0.000715841608016238,0.000454526129458314,0.000180823969755881,4.90626647009753e-05,1.16111298500508e-05,3.14616406000132e-06,9.24983819468594e-07,2.64160325706312e-07,7.4993664704789e-08,2.18986356763914e-08,6.53640623802358e-09,1.97378180226855e-09,6.04257372640079e-10,1.88140203381437e-10,5.9545801553995e-11,1.91435523437028e-11,6.25367690352022e-12,2.07647466932097e-12,7.00827066969579e-13,2.40440305733849e-13,8.38611162207848e-14,2.97376660883893e-14,1.07218170816377e-14,3.93058868568375e-15,1.46509949013519e-15,5.55200055924124e-16,2.1383824708479e-16,8.36631259939696e-17,3.32174478020228e-17,1.33624851333308e-17,5.4333632455173e-18,2.22593299357919e-18,9.15085727957954e-19,3.75728565342571e-19,1.53294980290903e-19,6.18229907545256e-20,2.45206624632641e-20,9.51961130976096e-21,3.60216024203175e-21,1.32356786221347e-21,4.70741088842948e-22,1.61621907004225e-22,5.34470884208384e-23,1.69920646935292e-23,5.18564974584698e-24,1.51719061964098e-24,4.24906706705739e-25,1.1327715717518e-25
"3",0.00656510377686031,0.00663851525510312,0.000184730786348461,0.000117295458060119,4.66636107060384e-05,1.26611592970668e-05,2.99637953923646e-06,8.11902178187061e-07,2.38702230237168e-07,6.81694723292556e-08,1.93529385508341e-08,5.65118336676303e-09,1.6867913945227e-09,5.09356064707937e-10,1.55935249299067e-10,4.85516451198294e-11,1.53664478589088e-11,4.94020386402985e-12,1.61382998559969e-12,5.35857086540885e-13,1.80856119183057e-13,6.20482607474681e-14,2.1641281772453e-14,7.67413123120879e-15,2.76688261536533e-15,1.01433156523399e-15,3.78085009114565e-16,1.43275470108252e-16,5.51833074425785e-17,2.15901882206403e-17,8.57212710778534e-18,3.44833599864432e-18,1.40213903972801e-18,5.74426448055169e-19,2.36147919049283e-19,9.69608815023477e-20,3.9559452727101e-20,1.59541015339222e-20,6.32782616698808e-21,2.45664021662172e-21,9.2957699945348e-22,3.4156121861905e-22,1.21479906357324e-22,4.17083075888361e-23,1.37926079756365e-23,4.3849888541941e-24,1.33821385143106e-24,3.91527697004768e-25,1.0965184081994e-25,2.92324141066339e-26
"4",0.000996494577360428,0.00100763745376747,2.8039652246869e-05,1.78038751371901e-05,7.08290936580799e-06,1.9217939291521e-06,4.54810169655967e-07,1.23235845983451e-07,3.62317925382339e-08,1.03472103147944e-08,2.93751614252755e-09,8.57773733980782e-10,2.56032278378388e-10,7.7313409456849e-11,2.36688764758841e-11,7.36948763161452e-12,2.33242039808508e-12,7.49856594637883e-13,2.44957716449204e-13,8.13359086356316e-14,2.74515298118497e-14,9.41809261072607e-15,3.28485590881123e-15,1.16483004957297e-15,4.19975618987546e-16,1.53961908106284e-16,5.73882263204852e-17,2.17472920283247e-17,8.37608490229246e-18,3.27710059388401e-18,1.30113376264672e-18,5.23411089962873e-19,2.12825874088852e-19,8.71902196880638e-20,3.58440824068891e-20,1.47173595295983e-20,6.00459360061402e-21,2.4216183331704e-21,9.60479023059503e-22,3.72884989726672e-22,1.41097303360126e-22,5.18444054746196e-23,1.84390181873437e-23,6.33076090733673e-24,2.09353264206176e-24,6.6558241324253e-25,2.03122889085145e-25,5.9428645793358e-26,1.66436767016218e-26,4.43708784057428e-27
"5",9.66612335965099e-05,9.77421066928507e-05,2.71988171072525e-06,1.72699839282374e-06,6.87051161447156e-07,1.86416440320414e-07,4.41171613473645e-08,1.19540328333982e-08,3.51452967404536e-09,1.0036924796519e-09,2.84942778914564e-10,8.32051364422804e-11,2.48354546335165e-11,7.49949844327961e-12,2.29591093617649e-12,7.14849615472048e-13,2.26247726848412e-13,7.27370375162206e-14,2.37612081278792e-14,7.88968594815495e-15,2.66283309112781e-15,9.13566887930673e-16,3.18635175289703e-16,1.12989987181116e-16,4.07381659008375e-17,1.49344996977772e-17,5.5667304931529e-18,2.10951481583536e-18,8.12490823090398e-19,3.17882899938862e-19,1.26211619640365e-19,5.07715373303087e-20,2.06443788035217e-20,8.45756152022753e-21,3.47692130123021e-21,1.42760247745911e-21,5.82453169206889e-22,2.34900039299973e-22,9.31676793048138e-23,3.61703153388714e-23,1.36866167762374e-23,5.02897286358419e-24,1.78860807152437e-24,6.14091810242128e-25,2.03075312554417e-25,6.4562335396327e-26,1.97031769933612e-26,5.76465376115969e-27,1.61445767805554e-27,4.3040312911894e-28
"6",7.6845987747485e-06,7.77052852924005e-06,2.16231459955781e-07,1.37296920799541e-07,5.46207855724798e-08,1.48201662194693e-08,3.50732834065114e-09,9.50349407377645e-10,2.794062254546e-10,7.97938709488577e-11,2.2653041433969e-11,6.61483477674359e-12,1.97442653218874e-12,5.96212508408703e-13,1.82525648707535e-13,5.68307714974608e-14,1.79867661506e-14,5.78261758699681e-15,1.88902359376301e-15,6.27232538986871e-16,2.11696076576653e-16,7.2628857779199e-17,2.53315976479679e-17,8.98273987144942e-18,3.23869712933583e-18,1.18729746982211e-18,4.42556842442185e-19,1.67707097932873e-19,6.45932785182281e-20,2.52717915186206e-20,1.00338638517271e-20,4.0363533450154e-21,1.64123467243558e-21,6.72378827348705e-22,2.76416347869735e-22,1.13494850426845e-22,4.63052119644917e-23,1.86746277388511e-23,7.40686009885336e-24,2.87555155871085e-24,1.08809038117763e-24,3.99804940076182e-25,1.42194909826163e-25,4.88204939766063e-26,1.61445518536573e-26,5.13272617182313e-27,1.56640882956105e-27,4.58291805117792e-28,1.28349898227627e-28,3.42171854797718e-29
"7",7.09344111513347e-07,7.17276050075014e-07,1.99597294978601e-08,1.26734999643825e-08,5.04189402046429e-09,1.36800865569896e-09,3.23751802600284e-10,8.77241318334923e-11,2.57912178053665e-11,7.36555208040521e-12,2.09103975627923e-12,6.10597148277313e-13,1.82253865852565e-13,5.50347317338186e-14,1.68484390540065e-14,5.24589172397015e-15,1.66030875886728e-15,5.3377747553306e-16,1.74370556228477e-16,5.78981051739379e-17,1.95410807710051e-17,6.7041694825897e-18,2.33828989040478e-18,8.29171934650204e-19,2.98955196622447e-19,1.09596153751121e-19,4.08512011359471e-20,1.54805795155608e-20,5.96242733072895e-21,2.33276935160654e-21,9.26198289276616e-22,3.72584641202374e-22,1.51497844536693e-22,6.2065434496502e-23,2.55152304544148e-23,1.04763965168768e-23,4.27430636291933e-24,1.7238033643066e-24,6.83706820607137e-25,2.65434230896632e-25,1.00438621105228e-25,3.69048909786794e-26,1.31256198181487e-26,4.50648510593344e-27,1.49025903968402e-27,4.73787792012907e-28,1.44590877421315e-28,4.23036521286393e-29,1.18476249951103e-29,3.15849398831242e-30
"8",7.51531127000593e-08,7.5993480390408e-08,2.11467999250058e-09,1.34272344785583e-09,5.34175195637158e-10,1.44936860696652e-10,3.4300638170884e-11,9.2941373011923e-12,2.73251059244469e-12,7.8036055648068e-13,2.21540073306157e-13,6.46911358732782e-14,1.93093099641268e-14,5.83078273193134e-15,1.78504708574297e-15,5.5578820708434e-16,1.75905275375928e-16,5.65522968674625e-17,1.84740943797405e-17,6.13414949476883e-18,2.07032527884271e-18,7.10288837966736e-19,2.47735564173628e-19,8.78485502890095e-20,3.16735040431958e-20,1.16114195644465e-20,4.3280755744243e-21,1.64012602362074e-21,6.31703239484431e-22,2.47150677843093e-22,9.81282332323949e-23,3.94743469017524e-23,1.60507917095298e-23,6.57566689817514e-24,2.7032704702625e-24,1.10994620994825e-24,4.52851334906743e-25,1.82632359115647e-25,7.24369102511688e-26,2.81220473184302e-26,1.06412034566071e-26,3.90997456084741e-27,1.39062433794927e-27,4.77450052168343e-28,1.57888962132518e-28,5.01965502372233e-29,1.53190170044008e-29,4.4819588750303e-30,1.25522420223659e-30,3.34633996128742e-31
"9",7.84301215423934e-09,7.93071329891102e-09,2.2068894138427e-10,1.40127214202628e-10,5.57467601986911e-11,1.51256750279652e-11,3.57962980383907e-12,9.69940288532626e-13,2.85166016658077e-13,8.14387735820571e-14,2.3120020251535e-14,6.75119561515207e-15,2.01512814702752e-15,6.08503070495313e-16,1.86288305119803e-16,5.8002303653644e-17,1.83575525111568e-17,5.90182276883004e-18,1.92796467841784e-18,6.40162560337372e-19,2.16060063805974e-19,7.41260579774929e-20,2.58537932900492e-20,9.16791364848503e-21,3.30546092175285e-21,1.21177289269955e-21,4.51679885438058e-22,1.71164278838068e-22,6.59248300855121e-23,2.5792754293334e-23,1.02407059170963e-23,4.11956034032453e-24,1.67506773758563e-24,6.86239512266751e-25,2.82114504545975e-25,1.15834478472229e-25,4.72597660447176e-26,1.90595939521251e-26,7.55954806267143e-27,2.93482932371433e-27,1.11052070962109e-27,4.08046678330978e-28,1.45126172325642e-28,4.98268990819268e-29,1.64773620750454e-29,5.23853423320838e-30,1.59869940498712e-30,4.6773921490062e-31,1.30995754144315e-31,3.49225521680532e-32
"10",8.16705215450981e-10,8.25837673854181e-10,2.29806872508117e-11,1.45916676418822e-11,5.80499799100232e-12,1.57506037726571e-12,3.72752492624778e-13,1.01001410777165e-13,2.96947867087195e-14,8.48034783274516e-15,2.40752414371239e-15,7.03012638638355e-16,2.09838469597407e-16,6.33643836727748e-17,1.93984947845108e-17,6.03987128548532e-18,1.91160087271738e-18,6.14566105621229e-19,2.00762000249869e-19,6.66611362423282e-20,2.24986749339195e-20,7.71886323270802e-21,2.69219623837528e-21,9.54669295963641e-22,3.44202854869448e-22,1.26183820953906e-22,4.70341382745619e-23,1.78236060937883e-23,6.86485644797261e-24,2.68584015145576e-24,1.06638084551119e-24,4.28976310267412e-25,1.74427443259845e-25,7.14592018595627e-26,2.93770279435979e-26,1.20620267872693e-26,4.92123391506556e-27,1.98470555431495e-27,7.8718765288397e-28,3.05608402486076e-28,1.15640271566279e-28,4.24905436567794e-29,1.5112217029107e-29,5.188553523784e-30,1.71581367960649e-30,5.45496825128243e-31,1.66475088437242e-31,4.87064215594515e-32,1.36407943157105e-32,3.63654039183038e-33
