"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.10553228011521,5.14152707817057,0.0835458652544665,0.0602641168369501,0.0255009263425047,0.00667258655334688,0.00137530144798677,0.000337728507188226,9.68159421530751e-05,2.64378799314378e-05,7.05139145915082e-06,1.96802535094522e-06,5.71045393679954e-07,1.68141210316105e-07,5.04094691922495e-08,1.55158873055005e-08,4.89738662796231e-09,1.5817073884039e-09,5.23157183187558e-10,1.77366148222981e-10,6.16356196043934e-11,2.19550512570003e-11,8.01853359380726e-12,3.00327854622536e-12,1.15365402496834e-12,4.54512260863237e-13,1.83630629534816e-13,7.60439345341249e-14,3.22430238469087e-14,1.39696772152668e-14,6.16440414471937e-15,2.75726511574537e-15,1.24236039223126e-15,5.59770390948152e-16,2.502197733126e-16,1.10087070987557e-16,4.73168714239023e-17,1.97363902588536e-17,7.94337491585118e-18,3.07010449121902e-18,1.13506006141566e-18,4.0017004677538e-19,1.34201727977639e-19,4.2729163050888e-20,1.28974113382075e-20,3.68645196852275e-21,9.96972576476543e-22,2.5495488190434e-22,6.16207195533868e-23,1.40539955498917e-23
"2",0.00796519791485978,0.00802135380119762,0.000130340837195728,9.40187215425282e-05,3.97842799116976e-05,1.04099767831143e-05,2.14562314461767e-06,5.26894014894693e-07,1.51043632329254e-07,4.1246031667133e-08,1.10009545461185e-08,3.07033832354622e-09,8.9089429455673e-10,2.62318979556352e-10,7.86443757222181e-11,2.42065090243996e-11,7.6404675589334e-12,2.46763935684072e-12,8.16183362682689e-13,2.76710908183802e-13,9.61584183232166e-14,3.42523206001456e-14,1.25098037888001e-14,4.68544839238534e-15,1.79982852521305e-15,7.09089652925349e-16,2.86484195423028e-16,1.18636991317833e-16,5.03027015056647e-17,2.17942493987711e-17,9.61715573342016e-18,4.30164009268687e-18,1.93822031921057e-18,8.73304036906382e-19,3.90370662116592e-19,1.71748068599681e-19,7.38195794141272e-20,3.07909628049853e-20,1.23925478961538e-20,4.78970429529976e-21,1.77081987506788e-21,6.2430975798133e-22,2.09369614216591e-22,6.66622443583798e-23,2.01213954318316e-23,5.75127487632798e-24,1.55538804803015e-24,3.97757957899336e-25,9.61351725872782e-26,2.19257953740564e-26
"3",0.00143680049903102,0.00144693016641357,2.35115036598861e-05,1.69595467023547e-05,7.17647870670933e-06,1.87780140515733e-06,3.87037765774517e-07,9.50436626470792e-08,2.72459728717174e-08,7.44015648020832e-09,1.9844048008139e-09,5.5384231284891e-10,1.60703774179292e-10,4.73183522569771e-11,1.41862486646893e-11,4.36648588243753e-12,1.37822408417821e-12,4.45124590403821e-13,1.47227058930393e-13,4.99144371822946e-14,1.73455154422567e-14,6.17859742561412e-15,2.25657824433915e-15,8.45183592463421e-16,3.24661678320883e-16,1.27908983313544e-16,5.16773894821108e-17,2.14003079585753e-17,9.07384190556171e-18,3.93135095284221e-18,1.73478855199047e-18,7.7595041553128e-19,3.49625452078027e-19,1.57530759366571e-19,7.04169272542252e-20,3.09807381196728e-20,1.33159288286618e-20,5.55422115015043e-21,2.23542706556502e-21,8.63989770908141e-22,3.1942895925347e-22,1.126159803442e-22,3.77670924694938e-23,1.20248544963285e-23,3.62959355268764e-24,1.0374424717001e-24,2.80568335838513e-25,7.17494830024427e-26,1.7341322265219e-26,3.95507984507512e-27
"4",0.000140703867781011,0.000141695851971594,2.30244874255293e-06,1.66082474111285e-06,7.02782544802188e-07,1.83890471090761e-07,3.79020682819376e-08,9.30749324734817e-09,2.6681601009274e-09,7.28604141192372e-10,1.94329992859847e-10,5.42370047972403e-11,1.57374963394584e-11,4.63382020264547e-12,1.38923953448732e-12,4.27603868932732e-13,1.34967561219249e-13,4.3590429956347e-14,1.44177404222087e-14,4.88805117648387e-15,1.69862212118294e-15,6.05061423511475e-16,2.20983558359794e-16,8.27676497362395e-17,3.17936650849093e-17,1.25259482358823e-17,5.06069463496322e-18,2.09570229374711e-18,8.88588675050559e-19,3.84991712518553e-19,1.69885421957951e-19,7.59877413358116e-20,3.42383326114094e-20,1.54267674268659e-20,6.89583141751798e-21,3.0339004497064e-21,1.30401032749706e-21,5.43917126187184e-22,2.18912252939414e-22,8.46093125468638e-23,3.12812322090208e-23,1.1028325796842e-23,3.69847866066628e-24,1.17757721985645e-24,3.55441031431008e-25,1.01595293478072e-25,2.74756655889137e-26,7.02632674232783e-27,1.69821148920732e-27,3.87315449820691e-28
"5",7.91763610619386e-06,7.97345667437011e-06,1.29562545679771e-07,9.34573167296387e-08,3.95467199252042e-08,1.03478167050764e-08,2.13281119461162e-09,5.23747824104269e-10,1.50141720233931e-10,4.09997432650933e-11,1.09352656202616e-11,3.05200471207227e-12,8.85574584433744e-13,2.60752619843956e-13,7.81747742395265e-14,2.40619670603461e-14,7.59484478093837e-15,2.4529045828651e-15,8.11309766653167e-16,2.75058611353078e-16,9.55842369478394e-17,3.40477930622035e-17,1.24351052187695e-17,4.6574706318407e-18,1.78908138485789e-18,7.04855535109331e-19,2.84773540316379e-19,1.17928585834118e-19,5.00023338952218e-20,2.1664111525111e-20,9.55972975031309e-21,4.27595412917097e-21,1.92664681344712e-21,8.68089361771565e-22,3.88039679893823e-22,1.70722526125433e-22,7.33787877665847e-23,3.06071037349127e-23,1.23185494847873e-23,4.76110400166055e-24,1.76024595123321e-24,6.20581878074922e-25,2.08119425879996e-25,6.62641906068843e-26,2.00012465077434e-26,5.71693285015651e-27,1.54610051123165e-27,3.95382864638481e-28,9.55611300168945e-29,2.1794872012757e-29
"6",3.22148390205276e-07,3.24419586549379e-07,5.27156905948032e-09,3.80253951224222e-09,1.60905502487506e-09,4.21026231689513e-10,8.677863995523e-11,2.13099612239966e-11,6.10888310946425e-12,1.66817483331256e-12,4.4492802760644e-13,1.24178276408012e-13,3.60317679362482e-14,1.06093580960138e-14,3.18073189246767e-15,9.79019981430945e-16,3.0901483564321e-16,9.98024223516632e-17,3.3010122185418e-17,1.1191432350645e-17,3.88907846341381e-18,1.38531773599077e-18,5.05952670030645e-19,1.89500584057165e-19,7.27931519392922e-20,2.8678771405662e-20,1.15867079966219e-20,4.79821294842366e-21,2.03446725194294e-21,8.8145736422295e-22,3.8896098640498e-22,1.73977652019956e-22,7.83903378636681e-23,3.53203388862828e-23,1.5788343457181e-23,6.94626353439789e-24,2.98559545262854e-24,1.24532487535448e-24,5.01210314917583e-25,1.93717161178321e-25,7.16199117955838e-26,2.52498915498287e-26,8.46784786752682e-27,2.69612066606143e-27,8.137996338993e-28,2.32607395678218e-28,6.29068808048899e-29,1.60871188887294e-29,3.8881383014126e-30,8.86777674481291e-31
"7",1.54495948153357e-08,1.55585168659476e-08,2.52813946883716e-10,1.82362217287542e-10,7.71670724601761e-11,2.01915790486669e-11,4.16173063934885e-12,1.02198327370649e-12,2.92969860117354e-13,8.0002340658591e-14,2.13378615492253e-14,5.95534267344332e-15,1.72801178593666e-15,5.08803671903402e-16,1.52541562984463e-16,4.69518473135547e-17,1.48197357111517e-17,4.78632528922364e-18,1.58309967727748e-18,5.36718793195055e-19,1.86512452930481e-19,6.6437077950064e-20,2.42644817896802e-20,9.0880703736781e-21,3.49101450445433e-21,1.37537672541769e-21,5.55675425468841e-22,2.30112731103844e-22,9.75689951067562e-23,4.22729386155266e-23,1.86537937846005e-23,8.34362148734949e-24,3.75944438728754e-24,1.69389306643966e-24,7.57177489117273e-25,3.33128956561309e-25,1.43183208198643e-25,5.97232993324147e-26,2.40370478890465e-26,9.29028900959294e-27,3.43474824520085e-27,1.21093448062071e-27,4.06101108957369e-28,1.29300574301674e-28,3.90282086978648e-29,1.11553871555559e-29,3.01688864225853e-30,7.71506163413177e-31,1.86467364634462e-31,4.2528090093176e-32
"8",9.40060672496469e-10,9.46688246706131e-10,1.53829567548324e-11,1.10961841181172e-11,4.69538074613386e-12,1.22859593446516e-12,2.53228602454479e-13,6.21845617987999e-14,1.78263214676502e-14,4.86789815912544e-15,1.29834372469693e-15,3.62364418320338e-16,1.05144241061713e-16,3.09591499126828e-17,9.28168835473247e-18,2.85687655165685e-18,9.01735669146248e-19,2.91233279833861e-19,9.63267817077744e-20,3.26576998104576e-20,1.13487132851376e-20,4.04249334192525e-21,1.47641963052281e-21,5.52981333769006e-22,2.12417573533688e-22,8.36874743244878e-23,3.38111530043158e-23,1.40016570879097e-23,5.93677544629308e-24,2.57217924342376e-24,1.13502639644346e-24,5.07683892050557e-25,2.28750712311143e-25,1.03068221154496e-25,4.60719383340866e-26,2.02698798690965e-26,8.71226103973997e-27,3.63398041212109e-27,1.46258097208978e-27,5.65285720333288e-28,2.08993943455042e-28,7.3681665817637e-29,2.47100125376155e-29,7.86754515474782e-30,2.37474733501935e-30,6.78771247838868e-31,1.83568462460476e-31,4.69437944154655e-32,1.13459697999923e-32,2.58770443178854e-33
"9",5.55676517488657e-11,5.59594123515556e-11,9.09297462205663e-13,6.55903297368444e-13,2.77547279407623e-13,7.26231753160469e-14,1.49685219323919e-14,3.67577346365855e-15,1.05372647985275e-15,2.87744905801538e-16,7.67460165658137e-17,2.14196172571835e-17,6.21515051278562e-18,1.8300172649711e-18,5.48647168450942e-19,1.6887199513451e-19,5.33022336734732e-20,1.72150053129137e-20,5.69394424916411e-21,1.93041975170313e-21,6.70830475177252e-22,2.38954642815413e-22,8.72722094055994e-23,3.26871180526008e-23,1.25561531258541e-23,4.94682584333166e-24,1.99860118643405e-24,8.27647861176668e-25,3.50926998823121e-25,1.52043335729236e-25,6.70922136928102e-26,3.00095542100024e-26,1.35216165199787e-26,6.09243550661311e-27,2.72334488575615e-27,1.19816694657177e-27,5.14987916807359e-28,2.14807154379392e-28,8.64541965102869e-29,3.34144390517569e-29,1.23537799285774e-29,4.35537542013931e-30,1.46062633144084e-30,4.65056162935212e-31,1.40372995876389e-31,4.01226489104031e-32,1.08508617502204e-32,2.7748809158472e-33,6.70668305828408e-34,1.52961040602581e-34
"10",3.18751677319659e-12,3.20998926308684e-12,5.21598595834996e-14,3.7624457686383e-14,1.59208924729294e-14,4.16586956902351e-15,8.58636512931898e-16,2.1085270298689e-16,6.04447142030004e-17,1.65058570009303e-17,4.40236733747792e-18,1.22868948271e-18,3.5651851183094e-19,1.04974936743729e-19,3.14719445030334e-20,9.68697254739419e-21,3.05756602152093e-21,9.87501117261103e-22,3.26620654798992e-22,1.10734305737318e-22,3.84807225841171e-23,1.3707110306724e-23,5.00617936081762e-24,1.8750250151114e-24,7.20256254058851e-25,2.83763841973472e-25,1.14645384575194e-25,4.74762088512182e-26,2.01301595390716e-26,8.72163331788794e-27,3.84859805599195e-27,1.72143242318113e-27,7.75637949448604e-28,3.49479233974362e-28,1.56218721312513e-28,6.87302255734644e-29,2.95411551712824e-29,1.23219424618014e-29,4.9592558407041e-30,1.91674619301515e-30,7.08647558343577e-31,2.49836582405978e-31,8.37856339850696e-32,2.66769293497217e-32,8.05218980427725e-33,2.30154797551974e-33,6.224359450851e-34,1.5917497292958e-34,3.84714200942102e-35,8.77427545021791e-36
