"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.11333536129182,5.12759240557267,0.0865155253594301,0.323188645912185,0.862915951744681,1.65561849237678,2.30417789545678,2.38325749666437,1.97474644042235,1.59142181079882,1.56899981101525,1.80218727186682,2.01406167659251,2.06330429376005,2.00142279993715,1.95016529415022,1.97077127421886,2.03648245316739,2.09374245953941,2.12175625697478,2.13611857159125,2.15744755780234,2.19011152457689,2.2263207215743,2.25957617765366,2.29006237312189,2.32086320457129,2.35341359923224,2.38703036342539,2.42076248671575,2.45443692526159,2.48831813522877,2.52253104974532,2.55696815172155,2.59147798419338,2.62596705683634,2.66036485647974,2.69457483747454,2.72846903097571,2.76190018669127,2.79470405888131,2.82669207433301,2.85763915098162,2.88725017669564,2.91502550826056,2.93970532388655,2.95706619730673,2.952536115842,2.88457331356201,2.67142301721632
"2",0.000242330981398622,0.000243006650661111,4.10014025782018e-06,1.53165431576554e-05,4.0895277676054e-05,7.84630042293985e-05,0.000109199505072554,0.000112947242315512,9.35871029589746e-05,7.54205977079941e-05,7.43579752065236e-05,8.54091858636196e-05,9.54503290319514e-05,9.77840331412459e-05,9.48513479037325e-05,9.24221542749667e-05,9.33987120439944e-05,9.65128935631652e-05,9.92265574554391e-05,0.000100554186203713,0.000101234844433664,0.000102245666880378,0.000103793676264775,0.000105509701055651,0.000107085742277116,0.00010853054281237,0.000109990254563242,0.000111532881542652,0.000113126045863545,0.00011472467727808,0.000116320574899549,0.000117926271823806,0.00011954768887657,0.000121179730612303,0.000122815219188723,0.000124449723916179,0.000126079903037353,0.000127701181064774,0.000129307493304145,0.00013089186127562,0.000132446501051776,0.000133962475778583,0.000135429118375985,0.000136832442901855,0.000138148770285299,0.00013931839510331,0.000140141160910086,0.000139926471473623,0.000136705581113138,0.000126603970941063
"3",2.19557053418746e-05,2.2016922422539e-05,3.71481478932225e-07,1.38771157730103e-06,3.70519964615093e-06,7.10891604183768e-06,9.89370877390076e-06,1.02332617857784e-05,8.47919174225161e-06,6.83326750227158e-06,6.7369916303328e-06,7.73825495810787e-06,8.64800401052814e-06,8.85944259540519e-06,8.59373503889019e-06,8.37364489926496e-06,8.46212312232313e-06,8.74427463023764e-06,8.9901383843139e-06,9.11042438915019e-06,9.1720934809398e-06,9.26367615709996e-06,9.40392911903704e-06,9.55940463624234e-06,9.70219734258727e-06,9.83309936199369e-06,9.96535236943519e-06,1.01051176739657e-05,1.02494617697509e-05,1.03943011959159e-05,1.05388929345808e-05,1.06843725110421e-05,1.08312763647769e-05,1.09791428375183e-05,1.11273216014e-05,1.12754112264607e-05,1.14231089423384e-05,1.15700002000796e-05,1.17155355254067e-05,1.18590826531163e-05,1.19999363427313e-05,1.21372868961579e-05,1.22701678531225e-05,1.23973120573476e-05,1.25165741343529e-05,1.26225446450841e-05,1.26970889873497e-05,1.26776376651135e-05,1.238581810789e-05,1.14705906155714e-05
"4",1.4775164388537e-06,1.48163606250559e-06,2.49989687557531e-08,9.33865086966409e-08,2.4934263332373e-07,4.78396851783816e-07,6.6580039798536e-07,6.88650730010658e-07,5.70610007389524e-07,4.59846992318442e-07,4.53368075734368e-07,5.20748421907419e-07,5.81970284710382e-07,5.9619911407839e-07,5.78318236349092e-07,5.63507197748311e-07,5.69461368976856e-07,5.88448847843953e-07,6.04994330337432e-07,6.1308901674091e-07,6.17239058630684e-07,6.2340214505555e-07,6.32840514428486e-07,6.43303290683366e-07,6.52912572994632e-07,6.61721667603096e-07,6.7062167739736e-07,6.80027229704136e-07,6.8974091327992e-07,6.99487930277129e-07,7.09218279062249e-07,7.19008375184971e-07,7.2889431851698e-07,7.38845041612816e-07,7.48816780444032e-07,7.58782520648859e-07,7.68721887195841e-07,7.78606982876307e-07,7.88400830637354e-07,7.98060881983396e-07,8.0753967752373e-07,8.16782728357825e-07,8.2572499622254e-07,8.34281207417872e-07,8.42306988259954e-07,8.49438308761892e-07,8.54454794882744e-07,8.53145811731715e-07,8.33507718294816e-07,7.71917182070389e-07
"5",7.39333223897687e-08,7.41394638955892e-08,1.25092132163672e-09,4.67295975378814e-09,1.24768353232939e-08,2.39384603399905e-08,3.33159308262439e-08,3.44593366929497e-08,2.85527067758976e-08,2.30102454625964e-08,2.26860474936598e-08,2.60576870405006e-08,2.91211627493904e-08,2.98331579605639e-08,2.89384182047085e-08,2.81972898740834e-08,2.84952301537499e-08,2.94453430320466e-08,3.0273261056589e-08,3.0678310397344e-08,3.08859739988439e-08,3.11943681686706e-08,3.1666653949954e-08,3.21901999421355e-08,3.26710380217471e-08,3.31118355753465e-08,3.35571824263784e-08,3.40278260772134e-08,3.45138882830307e-08,3.50016184571547e-08,3.54885145719982e-08,3.59784003789064e-08,3.64730822763609e-08,3.69710056830382e-08,3.74699806943531e-08,3.79686555409002e-08,3.84660106781724e-08,3.89606501600618e-08,3.94507236948886e-08,3.99341022020156e-08,4.04084108649323e-08,4.087092311807e-08,4.13183845171801e-08,4.17465280586694e-08,4.21481294397597e-08,4.25049729941661e-08,4.27559925265948e-08,4.26904924273994e-08,4.17078235006719e-08,3.86258997730603e-08
"6",2.7599953966136e-09,2.76769083878669e-09,4.66979837730238e-11,1.74445662552839e-10,4.65771142747435e-10,8.9364359945948e-10,1.24371275011246e-09,1.2863970881966e-09,1.06589744265626e-09,8.58992528658547e-10,8.46889935768981e-10,9.72756180210994e-10,1.08711839985532e-09,1.11369780196699e-09,1.08029638664429e-09,1.05262941977864e-09,1.06375179023036e-09,1.09922033250062e-09,1.1301272343231e-09,1.14524807942717e-09,1.15300034275929e-09,1.16451296604676e-09,1.1821438061077e-09,1.20168823454172e-09,1.21963833935709e-09,1.23609369642003e-09,1.25271888272323e-09,1.27028842062255e-09,1.28843354662475e-09,1.30664093933835e-09,1.32481719589169e-09,1.34310506025689e-09,1.36157196686451e-09,1.38015988183809e-09,1.39878705412982e-09,1.41740302100902e-09,1.43596972199016e-09,1.45443504518774e-09,1.47272991759985e-09,1.49077485878969e-09,1.50848121478601e-09,1.5257472005185e-09,1.5424513247454e-09,1.55843429650164e-09,1.57342642626471e-09,1.58674770732768e-09,1.59611848536888e-09,1.59367330954811e-09,1.55698942160019e-09,1.44193852132983e-09
"7",7.77187324618859e-11,7.79354284796259e-11,1.31496889879532e-12,4.91221680793935e-12,1.31156533362591e-11,2.51641172691389e-11,3.50217172840303e-11,3.62236659017507e-11,3.00146146182894e-11,2.41883774891379e-11,2.38475804791018e-11,2.73918490636702e-11,3.06121757218922e-11,3.13606253186737e-11,3.04200745972853e-11,2.96410002558926e-11,2.99541951744565e-11,3.09529541401046e-11,3.18232618358763e-11,3.22490498341762e-11,3.24673458793879e-11,3.27915299306768e-11,3.32879968970551e-11,3.38383486137456e-11,3.43438057588989e-11,3.48071722901287e-11,3.52753210442943e-11,3.57700618026129e-11,3.62810105509269e-11,3.67937126680657e-11,3.73055380218182e-11,3.78205061408385e-11,3.83405159117957e-11,3.88639331582986e-11,3.93884558519373e-11,3.99126630122749e-11,4.04354828937951e-11,4.09554480774964e-11,4.14706135361655e-11,4.19787411795463e-11,4.24773345997533e-11,4.29635276301767e-11,4.34338991979675e-11,4.38839638275653e-11,4.4306127329548e-11,4.46812413896123e-11,4.49451132034702e-11,4.48762594779639e-11,4.38432775836521e-11,4.06035583621699e-11
"8",1.71753432438532e-12,1.72232316790652e-12,2.90599723855213e-14,1.08556852501369e-13,2.89847557701885e-13,5.56110911533447e-13,7.73957572760716e-13,8.00519869155535e-13,6.63303803434916e-13,5.34547685902589e-13,5.27016289753379e-13,6.05342360650409e-13,6.76509521977207e-13,6.9304977979954e-13,6.72264209877873e-13,6.55047164769141e-13,6.61968572334818e-13,6.84040507258994e-13,7.03273751200505e-13,7.12683393880282e-13,7.17507596986173e-13,7.24671857362912e-13,7.35643460072674e-13,7.47805881331461e-13,7.58976161247339e-13,7.69216265491819e-13,7.79562053807293e-13,7.90495508422e-13,8.01787149258545e-13,8.13117538425695e-13,8.24428551682272e-13,8.35809018043006e-13,8.47300901689883e-13,8.58868088368909e-13,8.70459704723247e-13,8.82044347993258e-13,8.93598333287888e-13,9.05089231584901e-13,9.16474059025774e-13,9.27703355246008e-13,9.3872195122656e-13,9.49466506516864e-13,9.59861417593055e-13,9.69807558311514e-13,9.79137101938767e-13,9.87426882964671e-13,9.93258281434288e-13,9.91736658098795e-13,9.68908418319935e-13,8.9731269373712e-13
"9",3.45088782116535e-14,3.4605096153561e-14,5.8387598643472e-16,2.18113556673803e-15,5.82364726379441e-15,1.11734382514582e-14,1.55504360176004e-14,1.60841284383552e-14,1.33271689800167e-14,1.0740187680229e-14,1.05888660857859e-14,1.21626016455397e-14,1.35924996499214e-14,1.39248282297211e-14,1.35072023978511e-14,1.31612757375298e-14,1.33003413779342e-14,1.37438129891735e-14,1.41302493260602e-14,1.43193088450703e-14,1.44162372354296e-14,1.45601822997624e-14,1.47806248820865e-14,1.50249935145029e-14,1.52494279399081e-14,1.54551731790164e-14,1.56630418334668e-14,1.58827179402989e-14,1.61095907619396e-14,1.63372421190674e-14,1.65645041733855e-14,1.67931616866931e-14,1.70240578076975e-14,1.72564669250529e-14,1.74893668859845e-14,1.77221267429809e-14,1.79542706167485e-14,1.8185146940001e-14,1.84138920765842e-14,1.86395122637122e-14,1.88608990397188e-14,1.90767797616858e-14,1.92856353957516e-14,1.94854742891327e-14,1.96729244496519e-14,1.98394835918842e-14,1.99566486562061e-14,1.99260760419514e-14,1.94674086749415e-14,1.80288999330637e-14
"10",1.2673043668897e-15,1.27083787549014e-15,2.14422671983836e-17,8.01000429962425e-17,2.13867676699488e-16,4.10333451072992e-16,5.71074358061541e-16,5.90673683523534e-16,4.89427078535072e-16,3.94422753034399e-16,3.88865617381762e-16,4.46659496828476e-16,4.99171084543541e-16,5.11375522422957e-16,4.96038627459039e-16,4.83334813543098e-16,4.88441861424743e-16,5.04727917032468e-16,5.18919408690286e-16,5.2586243223843e-16,5.29422031354475e-16,5.34708271246203e-16,5.42803806705639e-16,5.51778002652918e-16,5.60020134595078e-16,5.67575924684502e-16,5.75209695098848e-16,5.83277082505133e-16,5.91608762133501e-16,5.99969032706392e-16,6.08315006519251e-16,6.16712227181122e-16,6.25191658493033e-16,6.33726653097117e-16,6.42279673445296e-16,6.50827548615243e-16,6.59352802411323e-16,6.67831506670408e-16,6.7623194521027e-16,6.84517623077054e-16,6.92647833114134e-16,7.00575838771059e-16,7.08245855034054e-16,7.15584740427633e-16,7.22468661879472e-16,7.28585381379938e-16,7.3288815230026e-16,7.31765403327821e-16,7.14921298642747e-16,6.62093490123167e-16
