"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",4.90443754101113,6.39389515362378,3.74808317303272,4.10949607766984,3.73346930598155,3.38359972898868,3.10309918635922,2.82843223356938,2.57077055823456,2.33109205992097,2.10748077439278,1.89949195564476,1.70650498608328,1.52785931900501,1.36292341287764,1.21106976439758,1.07167730147142,0.944132420875213,0.827828885775209,0.722168085567063,0.626559290381785,0.54041991614597,0.463175817824788,0.394261611192115,0.333121028785831,0.279207317366215,0.231983686805603,0.190923824574233,0.155512496329095,0.125246262287699,0.099634351370116,0.0781997496767192,0.0604805737469183,0.046031806178687,0.0344274624534343,0.0252632227389836,0.0181594933068284,0.012764759780482,0.00875897318976779,0.00585659897751697,0.00380889684110816,0.00240501985019035,0.00147163953806879,0.000871004281494589,0.00049757625135966,0.000273606602766069,0.000144144864476922,7.19985254469802e-05,3.3099439047637e-05,1.29042358191859e-05
"2",0.147681980820787,0.192532394092416,0.112861942403372,0.123744775185865,0.112421890956999,0.101886649815242,0.0934402427786699,0.0851694962731184,0.0774108111482991,0.0701936338277363,0.0634602709691939,0.0571973304210815,0.0513861242024036,0.0460067619904158,0.0410402268634664,0.0364676234986828,0.032270250229213,0.0284296302901292,0.02492750873258,0.0217458602480463,0.0188668968320009,0.0162730757653785,0.0139471084446822,0.0118719700710966,0.0100309103689814,0.00840746555410304,0.00698547185055953,0.00574908098293167,0.00468277826116045,0.00377140415192929,0.00300018060075029,0.00235474380810785,0.00182118558090173,0.00138610559526578,0.00103667664380292,0.000760723884199097,0.000546817024343498,0.000384371295040379,0.00026374941057041,0.000176353380105313,0.000114693158090647,7.24197407795306e-05,4.43138770182769e-05,2.62276023537631e-05,1.49829711961276e-05,8.23881734128657e-06,4.34047715626675e-06,2.1680131034952e-06,9.96687322804435e-07,3.8857118493613e-07
"3",0.0194677112217844,0.0253799754594188,0.0148776695059689,0.0163122646048905,0.0148196611123036,0.0134308861848568,0.012317465223574,0.0112272001576277,0.0102044359677701,0.00925305433588617,0.00836545001914382,0.00753985763940852,0.00677381371254149,0.00606469625949595,0.00540999843456882,0.00480722942143247,0.00425392393185325,0.00374764632458414,0.00328599019858264,0.00286657942441856,0.00248706915451185,0.00214514687526465,0.00183853357106222,0.0015649850015097,0.00132229311436379,0.00110828762320703,0.000920837789273848,0.00075785446365446,0.00061729247127683,0.000497153454486056,0.00039548934287036,0.000310406673872808,0.000240072043814854,0.00018271899727753,0.000136656628112366,0.000100280026139909,7.20824291623819e-05,5.06685333728684e-05,3.47679339846575e-05,2.32472279813338e-05,1.51190637369139e-05,9.54650386199273e-06,5.84153703867474e-06,3.4573709387231e-06,1.97508291038217e-06,1.08605610459567e-06,5.72169707999061e-07,2.85791487826172e-07,1.31385162028102e-07,5.12221706087678e-08
"4",0.00187976422782553,0.0024506409319612,0.00143655875167474,0.00157508045654517,0.00143095757431582,0.00129686017584022,0.00118935041931637,0.00108407655088543,0.000985320435403098,0.000893456880501766,0.000807751538766024,0.000728033948726206,0.00065406624115839,0.000585595242879447,0.000522378897757373,0.000464176697425394,0.000410750598459705,0.000361865420091709,0.000317288804929929,0.000276791318550738,0.000240146547044946,0.000207131198609623,0.000177525215941759,0.000151111899565756,0.000127678044263348,0.000107014091410762,8.89143010283601e-05,7.31769489718668e-05,5.9604557125018e-05,4.80041679700402e-05,3.81876796272811e-05,2.99722630450508e-05,2.31808883398242e-05,1.7642990021452e-05,1.31952974900013e-05,9.68284374859e-06,6.96013877802907e-06,4.89245476397466e-06,3.35712389788409e-06,2.24470699496078e-06,1.4598673078252e-06,9.21791794429923e-07,5.64047423742921e-07,3.33836994955155e-07,1.9071015383521e-07,1.04867459331634e-07,5.5247591105547e-08,2.75954686872241e-08,1.26862950058106e-08,4.94591289571802e-09
"5",0.000184945556554263,0.000241112765296376,0.000141339617978964,0.000154968440904136,0.000140788531385937,0.000127595005503047,0.000117017374829482,0.000106659727897291,9.69433472626059e-05,8.79051093619234e-05,7.94727634898424e-05,7.16295383455202e-05,6.43520305385983e-05,5.76153309583675e-05,5.13956242744857e-05,4.56692474375713e-05,4.04127799181513e-05,3.56030828366285e-05,3.12172950988028e-05,2.72328431943678e-05,2.36274507942888e-05,2.03791487461819e-05,1.74662861324605e-05,1.48675424042352e-05,1.25619408043317e-05,1.05288633553831e-05,8.74806778738722e-06,7.19970693888582e-06,5.86435140507418e-06,4.72301655214147e-06,3.75719548102759e-06,2.94890007374488e-06,2.28071277874585e-06,1.73585206085835e-06,1.2982541119055e-06,9.52672095575784e-07,6.84791592978952e-07,4.81357053105827e-07,3.30299480394951e-07,2.20851412288287e-07,1.43632891691652e-07,9.06929145285438e-08,5.54952919961699e-08,3.28454323773387e-08,1.87635209881628e-08,1.03176613021071e-08,5.43567982305816e-09,2.71505289822342e-09,1.24817456132534e-09,4.86616672254482e-10
"6",1.99493299463957e-05,2.60078598199467e-05,1.52457335341961e-05,1.67158195983373e-05,1.51862900499721e-05,1.37631577190428e-05,1.26221914352914e-05,1.15049539089173e-05,1.04568871871346e-05,9.48196898215555e-06,8.57240590230443e-06,7.72638889512079e-06,6.94139353144381e-06,6.21473296614204e-06,5.54383833575304e-06,4.92615720274627e-06,4.35916328923392e-06,3.84036069776228e-06,3.36728349446612e-06,2.93749676599289e-06,2.54859765473308e-06,2.19821643698144e-06,1.88401771573452e-06,1.60370172952545e-06,1.35500580031064e-06,1.13570595017473e-06,9.43618727237822e-07,7.76603298382287e-07,6.3256389221284e-07,5.09452712984291e-07,4.05273496268807e-07,3.18085936456803e-07,2.46011272635321e-07,1.87239348408104e-07,1.40037425690024e-07,1.02760889850249e-07,7.38657023579093e-08,5.19220404823052e-08,3.56280704348184e-08,2.38223495333009e-08,1.54930997040255e-08,9.78267826185569e-09,5.98605292892425e-09,3.54290408450723e-09,2.02394519837603e-09,1.11292443801159e-09,5.86324820630864e-10,2.92861786450574e-10,1.34635546906321e-10,5.24893743493295e-11
"7",2.26390681173559e-06,2.95144604672196e-06,1.73012928708456e-06,1.89695884293378e-06,1.72338347109928e-06,1.56188235869855e-06,1.43240225341752e-06,1.30561495514327e-06,1.18667735688946e-06,1.07604086077316e-06,9.72821050498275e-07,8.76812629636338e-07,7.87729118772342e-07,7.05265607064094e-07,6.29130572565409e-07,5.59034357391665e-07,4.94690272329041e-07,4.35815075821956e-07,3.82128926668235e-07,3.3335550396188e-07,2.89222124573963e-07,2.49459865505435e-07,2.13803699249182e-07,1.81992642320339e-07,1.53769919566583e-07,1.28883147636432e-07,1.07084542188392e-07,8.81311553795638e-08,7.1785153099709e-08,5.78141456520794e-08,4.59915912606687e-08,3.60972985156304e-08,2.79180602746745e-08,2.12484548315681e-08,1.58918461306437e-08,1.16615986169511e-08,8.38249039797537e-09,5.8922611156842e-09,4.04317496192164e-09,2.70342811136521e-09,1.75820110495386e-09,1.11016620676195e-09,6.7931434477326e-10,4.02058851690449e-10,2.29683068729377e-10,1.26297836715897e-10,6.65378114895374e-11,3.32347900918995e-11,1.52788255325857e-11,5.95664377964012e-12
"8",2.71341805585435e-07,3.53747201631312e-07,2.07365604547063e-07,2.2736105342088e-07,2.06557081033594e-07,1.87200275702338e-07,1.71681365925564e-07,1.56485204024952e-07,1.42229872270619e-07,1.28969473713478e-07,1.1659800614821e-07,1.05090863657609e-07,9.44137100926196e-08,8.45300001952685e-08,7.54047934411332e-08,6.70033727239228e-08,5.9291376749031e-08,5.22348574428399e-08,4.5800274282974e-08,3.99545086741068e-08,3.46648780286989e-08,2.9899150431661e-08,2.56255608642491e-08,2.18128290062464e-08,1.8430178929466e-08,1.54473610874439e-08,1.28346771506078e-08,1.05630084706041e-08,8.60384930834196e-09,6.92934646792641e-09,5.51234765924397e-09,4.32646171883666e-09,3.34613458650521e-09,2.54674532980364e-09,1.90472602530355e-09,1.39770736513235e-09,1.00468803225407e-09,7.06220221531508e-10,4.84596975802453e-10,3.24020874536745e-10,2.10730167835285e-10,1.33059585969347e-10,8.14195972711227e-11,4.81889864917438e-11,2.75287914936985e-11,1.51374972142751e-11,7.97492627156025e-12,3.98337418529848e-12,1.8312521017852e-12,7.13936841401037e-13
"9",3.44367941449668e-08,4.48951076140015e-08,2.63173845295482e-08,2.88550663114549e-08,2.62147724099943e-08,2.37581427761697e-08,2.17885918616542e-08,1.98600018383222e-08,1.80508153621247e-08,1.63678988118819e-08,1.47977991330025e-08,1.33373935154801e-08,1.19823242566963e-08,1.07279532894607e-08,9.56984620808254e-09,8.50359696152943e-09,7.52484465588612e-09,6.62928084033992e-09,5.81264878761629e-09,5.07074531845512e-09,4.39942258863911e-09,3.79458995012957e-09,3.2522160100892e-09,2.76833089020983e-09,2.33902872607328e-09,1.96047045792870e-09,1.6288869825974e-09,1.34058276596527e-09,1.0919400600524e-09,8.79423933073229e-10,6.99588407275874e-10,5.49084101752048e-10,4.24667874853335e-10,3.23215010944893e-10,2.41734434892623e-10,1.77387191421233e-10,1.27507941033994e-10,8.96285050415351e-11,6.15016409394686e-11,4.11224511866849e-11,2.67443912456502e-11,1.68869871015809e-11,1.0333202819751e-11,6.11580734597958e-12,3.49376065985423e-12,1.92114471381693e-12,1.01212157021833e-12,5.05541844263684e-13,2.32409641119083e-13,9.06078441793749e-14
"10",4.62197415118394e-09,6.02564878812519e-09,3.53221819982097e-09,3.8728160949249e-09,3.5184459955275e-09,3.18872660821254e-09,2.92438105450014e-09,2.66553311416785e-09,2.42271105900049e-09,2.19683646797214e-09,1.98610372380282e-09,1.7900936949361e-09,1.60822150727549e-09,1.43986465726929e-09,1.28442797602947e-09,1.14132010032124e-09,1.00995572772454e-09,8.89756594530979e-10,7.80151379166628e-10,6.80575947066257e-10,5.90473590521395e-10,5.09295278474829e-10,4.36499932874728e-10,3.71554731912928e-10,3.13935445479541e-10,2.63126809730357e-10,2.18622950123409e-10,1.79927866273805e-10,1.46555997952617e-10,1.18032900202212e-10,9.38960671334624e-11,7.36959577143141e-11,5.69972899378384e-11,4.33806764814742e-11,3.24446667370185e-11,2.38082270390401e-11,1.7113625764608e-11,1.20295934565611e-11,8.25451386331112e-12,5.5192973427801e-12,3.58952940004178e-12,2.26650650308258e-12,1.38688276646131e-12,8.20840155670237e-13,4.68919127381366e-13,2.5784865950547e-13,1.35843067032085e-13,6.78518832703279e-14,3.11931287568862e-14,1.21610365915197e-14
