Sites,sitesplit,Years,yrsplit,Genus_Code,g.int,g.slp
FFS_OCC_002,NA,All_Years,NA,MOSP,0.68492595,0.632712197
FFS_OCC_014,NA,All_Years,NA,MOSP,0.323273554,0.861501817
HAW_OCC_002,NA,All_Years,NA,MOSP,-0.087017964,0.918850314
HAW_OCC_003,NA,All_Years,NA,MOSP,0.509556388,0.890345838
HAW_OCC_010,NA,All_Years,NA,MOSP,0.419566775,0.791055695
HAW_SIO_K10,NA,All_Years,NA,MOSP,0.500047173,0.811829613
MAI_SIO_K01,NA,All_Years,NA,MOSP,0.562269953,0.852622974
MAI_SIO_K02,NA,All_Years,NA,MOSP,0.501862893,0.8346671
All_Sites,,13-16,NA,MOSP,0.014534602,0.980902926
All_Sites,,14-15,NA,MOSP,0.513501633,0.855783672
All_Sites,,14-16,NA,MOSP,0.213821898,NA
All_Sites,,15-16,NA,MOSP,0.451703987,0.902800823
All_Sites,,15-17,NA,MOSP,-0.630164543,1.163654976
All_Sites,,16-17,NA,MOSP,0.67665436,0.809484628
All_Sites,,16-18,NA,MOSP,0.622260812,0.82519447
All_Sites,,16-19,NA,MOSP,-0.029090758,0.965646853
All_Sites,,17-18,NA,MOSP,0.936754806,0.63708485
All_Sites,,17-19,NA,MOSP,0.905384037,0.73193338
FFS_OCC_002,13-16,13-16,FFS_OCC_002,MOSP,0.194086287,0.810223527
FFS_OCC_002,16-19,16-19,FFS_OCC_002,MOSP,0.661943382,0.762981547
FFS_OCC_014,13-16,13-16,FFS_OCC_014,MOSP,0.304983337,0.917324918
FFS_OCC_014,16-19,16-19,FFS_OCC_014,MOSP,0.076191197,0.878567384
HAW_OCC_002,16-19,16-19,HAW_OCC_002,MOSP,-0.087017964,0.918850314
HAW_OCC_003,16-19,16-19,HAW_OCC_003,MOSP,0.509556388,0.890345838
HAW_OCC_010,16-19,16-19,HAW_OCC_010,MOSP,0.419566775,0.791055695
HAW_SIO_K10,15-17,15-17,HAW_SIO_K10,MOSP,-0.630164543,1.163654976
HAW_SIO_K10,17-19,17-19,HAW_SIO_K10,MOSP,0.905384037,0.73193338
MAI_SIO_K01,14-15,14-15,MAI_SIO_K01,MOSP,0.537155132,0.852434529
MAI_SIO_K01,14-16,14-16,MAI_SIO_K01,MOSP,1.161450431,NA
MAI_SIO_K01,15-16,15-16,MAI_SIO_K01,MOSP,0.585855534,0.862805067
MAI_SIO_K01,16-18,16-18,MAI_SIO_K01,MOSP,0.622260812,0.82519447
MAI_SIO_K02,14-15,14-15,MAI_SIO_K02,MOSP,0.3685985,0.883045365
MAI_SIO_K02,15-16,15-16,MAI_SIO_K02,MOSP,0.085236543,0.993250872
MAI_SIO_K02,16-17,16-17,MAI_SIO_K02,MOSP,0.67665436,0.809484628
MAI_SIO_K02,17-18,17-18,MAI_SIO_K02,MOSP,0.936754806,0.63708485
