Sites,sitesplit,Years,yrsplit,Genus_Code,s.int,s.slp
MAI_SIO_K01,NA,All_Years,NA,MOSP,0.311710081,0.132816361
FFS_OCC_002,NA,All_Years,NA,MOSP,-2.152397659,0.089844153
FFS_OCC_014,NA,All_Years,NA,MOSP,0.749043879,-0.042085269
HAW_OCC_002,NA,All_Years,NA,MOSP,1.013664059,-0.428039577
HAW_OCC_003,NA,All_Years,NA,MOSP,-4.472051662,1.41801246
HAW_OCC_010,NA,All_Years,NA,MOSP,-2.721046231,0.697829803
HAW_SIO_K08,NA,All_Years,NA,MOSP,-15.56606825,1.24E-12
HAW_SIO_K10,NA,All_Years,NA,MOSP,0.845377915,-0.176577193
MAI_SIO_K02,NA,All_Years,NA,MOSP,-1.878590673,0.718267172
All_Sites,NA,14-15,NA,MOSP,-1.422593,0.591084429
All_Sites,NA,15-16,NA,MOSP,1.010232414,0.114008108
All_Sites,NA,16-18,NA,MOSP,-3.189182228,0.819093044
All_Sites,NA,14-16,NA,MOSP,12.28431033,NA
All_Sites,NA,13-16,NA,MOSP,-3.839406344,1.165954406
All_Sites,NA,16-19,NA,MOSP,-0.667150081,0.298785097
All_Sites,NA,15-17,NA,MOSP,-0.207328881,-0.307360674
All_Sites,NA,17-19,NA,MOSP,15.56606825,-4.03E-11
All_Sites,NA,17-18,NA,MOSP,0.88970414,0.179643128
All_Sites,NA,16-17,NA,MOSP,0.425625536,0.042164441
MAI_SIO_K01,14-15,14-15,MAI_SIO_K01,MOSP,0.808588924,0.024201752
MAI_SIO_K01,15-16,15-16,MAI_SIO_K01,MOSP,1.526838044,-0.034521248
MAI_SIO_K01,16-18,16-18,MAI_SIO_K01,MOSP,-3.189182228,0.819093044
MAI_SIO_K01,14-16,14-16,MAI_SIO_K01,MOSP,16.43169795,NA
FFS_OCC_002,13-16,13-16,FFS_OCC_002,MOSP,-3.627908288,0.650329368
FFS_OCC_002,16-19,16-19,FFS_OCC_002,MOSP,-0.860408311,-0.364388156
FFS_OCC_014,13-16,13-16,FFS_OCC_014,MOSP,16.56606842,-7.07E-11
FFS_OCC_014,16-19,16-19,FFS_OCC_014,MOSP,-0.512310789,0.092672249
HAW_OCC_002,16-19,16-19,HAW_OCC_002,MOSP,1.013664059,-0.428039577
HAW_OCC_003,16-19,16-19,HAW_OCC_003,MOSP,-4.472051662,1.41801246
HAW_OCC_010,16-19,16-19,HAW_OCC_010,MOSP,-2.721046231,0.697829803
HAW_SIO_K08,15-17,15-17,HAW_SIO_K08,MOSP,-16.56606842,-5.39E-14
HAW_SIO_K10,15-17,15-17,HAW_SIO_K10,MOSP,-0.1544717,-0.05129202
HAW_SIO_K10,17-19,17-19,HAW_SIO_K10,MOSP,16.56606842,-2.11E-11
MAI_SIO_K02,17-18,17-18,MAI_SIO_K02,MOSP,0.88970414,0.179643128
